from date,PM2.5,PM10,AT,VWS,RH,RF,BP,SR,Temp,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,WS,WD,to date,station
01-Jan-2018 - 00:00,58.65,97.67,24.99,0.09,64.99,0.0,750.2,79.7,29.29,5.57,1.7,22.7,13.31,11.45,0.94,95.17,2.64,3.47,0.63,2.17,161.38,02-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
02-Jan-2018 - 00:00,64.8,107.86,24.74,0.08,60.18,0.0,750.53,119.45,29.22,10.18,1.68,29.09,16.63,11.83,1.02,98.79,2.99,3.79,0.77,1.95,172.6,03-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
03-Jan-2018 - 00:00,74.32,140.19,24.18,0.04,62.45,0.0,753.41,117.73,33.5,14.36,20.98,56.83,47.17,13.31,1.44,85.2,2.94,6.21,1.75,1.35,124.61,04-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
04-Jan-2018 - 00:00,112.71,236.44,22.96,0.03,68.77,0.0,755.44,110.49,38.33,34.18,72.95,82.75,99.44,20.85,1.94,35.74,3.48,6.2,2.57,0.84,212.66,05-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
05-Jan-2018 - 00:00,91.14,179.17,23.21,0.04,66.33,0.0,752.83,154.62,28.58,11.46,42.14,61.61,66.86,13.94,1.49,58.75,4.44,7.67,3.25,1.33,221.38,06-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
06-Jan-2018 - 00:00,107.45,222.16,21.9,0.02,66.95,0.0,751.84,135.08,27.51,13.17,66.76,77.06,95.2,13.66,1.8,50.09,5.29,9.15,4.0,0.9,184.38,07-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
07-Jan-2018 - 00:00,91.87,201.63,21.82,0.03,64.8,0.0,754.03,129.48,28.44,14.23,50.55,71.68,79.13,16.09,1.58,55.22,5.04,8.1,3.43,1.13,213.84,08-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
08-Jan-2018 - 00:00,97.02,186.42,21.89,0.06,63.94,0.0,756.04,119.4,27.92,12.83,23.17,58.17,49.2,15.38,1.12,73.5,5.44,6.05,2.18,1.97,183.19,09-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
09-Jan-2018 - 00:00,65.2,117.96,22.81,0.06,58.45,0.0,759.49,126.11,27.28,10.32,2.06,33.21,19.05,14.93,0.88,102.05,2.48,4.49,0.81,2.1,153.88,10-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
10-Jan-2018 - 00:00,99.44,196.08,22.79,0.04,63.62,0.0,759.84,124.69,28.06,13.01,22.8,67.89,53.67,16.58,1.35,68.21,4.31,6.95,2.11,1.36,166.81,11-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
