from date,PM2.5,PM10,AT,VWS,RH,RF,BP,SR,Temp,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,WS,WD,to date,station
11-Jan-2018 - 00:00,124.11,291.21,22.96,0.02,72.99,0.0,757.74,126.55,28.64,15.83,33.79,70.36,64.86,19.82,1.48,62.61,6.31,6.98,2.58,1.06,271.29,12-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
12-Jan-2018 - 00:00,127.74,254.55,24.31,0.01,76.89,0.0,755.77,123.12,29.04,14.29,31.45,68.42,61.96,21.77,1.59,52.27,5.62,7.17,2.68,1.49,231.58,13-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
13-Jan-2018 - 00:00,111.45,207.84,25.32,0.03,78.7,0.0,755.77,104.56,29.29,15.38,13.5,50.81,37.71,22.44,1.15,33.08,4.09,8.34,1.71,1.04,272.02,14-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
14-Jan-2018 - 00:00,202.52,290.65,25.13,0.03,74.35,0.0,756.78,109.75,29.0,14.56,40.82,67.18,67.48,27.03,2.18,38.84,5.26,7.35,2.5,1.04,313.86,15-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
15-Jan-2018 - 00:00,111.82,196.32,24.1,0.03,72.16,0.0,756.45,114.9,29.23,10.81,18.41,45.51,38.97,19.18,1.32,63.66,3.97,5.4,1.71,1.2,262.62,16-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
16-Jan-2018 - 00:00,125.46,237.61,23.95,0.01,76.03,0.0,754.68,129.83,29.18,18.32,13.56,55.64,40.06,20.2,1.5,51.9,4.38,6.01,1.79,1.14,195.2,17-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
17-Jan-2018 - 00:00,102.48,200.7,23.11,0.02,75.47,0.0,753.98,121.21,29.09,12.33,15.91,51.61,39.97,16.91,1.39,39.96,4.43,5.98,1.91,1.36,209.57,18-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
18-Jan-2018 - 00:00,83.61,167.9,22.82,0.03,70.42,0.0,753.73,141.23,27.85,13.03,22.57,55.95,47.63,14.1,1.3,45.02,3.75,6.0,1.88,1.16,218.29,19-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
19-Jan-2018 - 00:00,86.71,191.31,22.12,0.03,70.64,0.0,755.51,141.53,28.24,10.8,36.69,58.72,60.37,14.42,1.42,43.85,3.81,5.63,2.2,1.1,213.85,20-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
20-Jan-2018 - 00:00,104.07,255.26,21.93,0.03,66.17,0.0,754.77,141.34,28.76,14.22,38.12,61.94,63.11,16.35,1.52,50.79,4.15,6.27,2.71,1.13,213.49,21-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
21-Jan-2018 - 00:00,88.75,190.35,21.65,0.04,65.72,0.0,754.08,133.61,29.03,12.15,34.11,59.12,58.49,18.07,1.45,54.57,3.75,5.47,1.93,1.2,199.49,22-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
22-Jan-2018 - 00:00,93.59,213.72,21.73,0.03,67.75,0.0,752.17,134.0,29.07,11.67,22.51,64.31,51.98,18.84,1.52,53.41,4.19,5.75,2.2,1.09,216.97,23-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
23-Jan-2018 - 00:00,110.93,280.52,20.95,0.01,70.95,0.0,752.52,142.76,29.36,14.76,59.86,84.61,93.66,19.42,1.7,34.55,4.88,7.04,2.89,1.13,273.41,24-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
27-Jan-2018 - 00:00,71.34,123.32,25.58,0.04,66.55,0.0,724.3,106.59,29.55,8.37,1.69,24.48,14.39,16.34,0.91,104.07,4.27,6.44,1.86,1.5,211.45,28-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
28-Jan-2018 - 00:00,84.28,152.5,24.44,0.04,69.49,0.0,701.0,122.86,29.49,18.43,21.69,38.17,37.95,17.66,0.99,81.77,5.11,8.79,2.47,1.41,201.86,29-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
29-Jan-2018 - 00:00,85.8,156.38,22.97,0.01,71.13,0.0,751.36,35.18,29.4,9.3,15.64,50.81,39.74,16.94,1.1,67.99,6.21,10.15,3.34,0.47,250.43,30-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
30-Jan-2018 - 00:00,95.83,201.81,23.58,0.0,67.96,0.0,755.21,126.26,29.97,20.19,31.04,67.39,61.08,15.9,1.21,54.77,7.78,14.96,6.34,1.23,230.41,31-Jan-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
31-Jan-2018 - 00:00,93.4,188.24,24.33,-0.01,66.22,0.0,754.65,141.94,29.83,11.01,17.75,64.52,48.72,15.97,1.14,63.12,7.73,22.05,3.78,1.6,274.32,01-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
01-Feb-2018 - 00:00,74.23,174.52,25.62,0.03,60.9,0.0,754.14,150.26,29.98,2.33,17.83,64.25,48.65,13.92,1.17,55.28,7.65,19.64,4.21,1.44,210.57,02-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
02-Feb-2018 - 00:00,79.55,203.49,24.92,0.01,63.89,0.0,753.94,149.41,29.9,4.57,20.0,69.05,52.95,14.78,1.17,48.73,8.19,22.25,4.54,1.38,199.75,03-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
03-Feb-2018 - 00:00,79.03,209.94,23.95,0.0,63.51,0.0,755.3,149.48,29.58,9.43,34.09,67.22,63.47,16.46,1.26,45.08,8.65,16.13,5.06,1.16,208.94,04-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
04-Feb-2018 - 00:00,62.96,190.25,24.5,-0.01,58.99,0.0,756.06,146.07,29.55,12.32,27.05,62.97,55.47,15.29,1.06,34.52,7.38,14.26,4.21,1.16,215.99,05-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
05-Feb-2018 - 00:00,64.79,177.28,25.05,0.02,56.99,0.0,758.73,146.34,30.04,11.2,33.92,59.41,59.15,16.17,1.16,34.47,7.43,15.01,4.91,0.69,263.68,06-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
06-Feb-2018 - 00:00,69.68,183.45,23.5,-0.01,65.38,0.0,757.73,140.06,29.84,11.5,43.33,57.82,65.98,19.19,0.94,33.62,8.19,14.61,5.98,1.14,247.57,07-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
07-Feb-2018 - 00:00,61.97,136.68,24.04,-0.01,72.91,0.0,707.6,126.09,29.7,9.17,22.79,48.73,44.46,17.9,0.64,21.84,6.52,16.73,3.65,1.87,213.61,08-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
08-Feb-2018 - 00:00,51.34,115.59,25.82,-0.01,70.58,0.0,703.0,112.5,29.83,9.9,18.95,47.8,40.84,15.59,0.59,31.7,7.16,21.15,3.39,1.53,192.08,09-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
09-Feb-2018 - 00:00,49.06,125.19,25.21,-0.01,75.31,0.0,,144.8,30.01,8.72,25.57,40.58,42.36,13.39,0.6,20.74,6.59,18.33,3.77,2.03,224.62,10-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
10-Feb-2018 - 00:00,54.38,125.25,26.85,-0.01,74.07,0.0,755.75,132.32,30.36,8.58,12.72,39.48,31.33,14.14,0.62,16.26,8.46,13.5,3.07,1.72,222.19,11-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
11-Feb-2018 - 00:00,72.32,123.88,25.94,0.07,76.41,0.0,759.2,74.06,29.63,11.16,3.86,27.87,13.8,11.37,0.41,32.91,5.56,8.69,1.71,1.46,162.48,12-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
12-Feb-2018 - 00:00,72.27,116.3,26.35,0.08,75.92,0.0,760.03,122.52,29.67,9.14,1.61,,0.31,0.24,0.48,63.16,4.16,9.35,1.4,2.0,140.15,13-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
13-Feb-2018 - 00:00,64.21,123.64,26.66,0.07,62.92,0.0,762.86,127.01,29.84,10.82,1.55,,0.35,0.27,0.5,99.21,4.38,6.59,1.38,1.66,130.11,14-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
14-Feb-2018 - 00:00,52.11,115.15,26.19,0.08,62.12,0.0,762.9,140.35,29.89,7.92,1.24,7.39,2.85,1.6,0.52,80.5,4.4,7.89,2.08,1.99,192.67,15-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
15-Feb-2018 - 00:00,67.15,166.28,25.15,0.03,64.96,0.0,762.41,135.86,29.74,10.81,4.17,10.76,9.04,2.04,0.68,63.69,7.13,12.99,4.69,0.92,298.3,16-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
16-Feb-2018 - 00:00,74.04,152.96,25.09,0.02,72.49,0.0,759.94,131.95,29.51,11.11,3.77,7.91,5.83,0.87,0.65,49.69,6.04,10.45,4.08,1.03,243.7,17-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
17-Feb-2018 - 00:00,82.24,155.69,25.3,-0.0,74.78,0.0,754.73,141.61,29.7,10.58,1.01,0.56,0.99,0.16,0.73,31.66,7.23,12.43,4.1,1.33,243.6,18-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
18-Feb-2018 - 00:00,66.86,113.67,26.66,0.01,73.45,0.0,753.64,166.89,29.52,10.26,0.45,0.69,0.62,0.19,0.48,46.0,4.96,13.23,2.13,1.47,242.86,19-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
19-Feb-2018 - 00:00,79.07,143.39,25.86,-0.01,73.88,0.0,755.12,147.23,29.65,9.71,0.83,0.91,1.05,0.24,0.54,35.58,5.92,9.49,2.71,1.14,194.03,20-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
20-Feb-2018 - 00:00,80.71,160.09,25.57,0.0,71.6,0.0,754.35,134.93,30.0,10.59,5.74,21.08,15.3,5.39,0.71,29.28,6.57,16.92,3.5,1.1,214.77,21-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
21-Feb-2018 - 00:00,71.56,182.64,26.1,0.01,66.55,0.0,752.35,140.61,30.1,9.39,24.41,49.17,45.99,11.08,0.79,34.31,7.47,13.45,4.28,1.27,299.65,22-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
22-Feb-2018 - 00:00,72.23,194.95,27.48,-0.01,59.8,0.0,751.81,151.49,30.26,16.34,19.09,66.06,50.66,11.32,0.73,40.87,7.26,17.1,3.62,1.2,225.93,23-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
23-Feb-2018 - 00:00,76.95,192.92,27.1,-0.02,63.51,0.0,753.5,151.62,30.02,16.82,20.74,61.5,49.58,12.55,0.79,35.12,6.75,19.9,3.51,1.53,182.47,24-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
24-Feb-2018 - 00:00,86.96,271.82,26.99,0.01,57.9,0.0,756.76,136.8,30.55,31.57,99.32,92.41,129.9,15.7,1.84,21.89,11.69,34.76,10.7,0.62,192.41,25-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
25-Feb-2018 - 00:00,62.71,237.19,27.9,0.0,50.14,0.0,755.26,192.21,31.16,18.86,77.41,65.32,95.88,19.71,1.01,39.87,9.16,16.48,7.37,0.88,181.93,26-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
26-Feb-2018 - 00:00,58.42,171.37,31.24,0.01,48.02,0.0,750.93,214.64,31.12,20.49,14.74,83.07,52.75,18.63,0.92,48.19,6.92,12.61,4.55,1.48,240.81,27-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
27-Feb-2018 - 00:00,47.91,134.74,26.08,-0.01,57.79,0.0,751.78,140.61,30.09,17.22,11.4,58.1,40.17,15.93,0.76,38.4,5.77,12.77,3.19,1.38,248.3,28-Feb-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
28-Feb-2018 - 00:00,51.67,153.79,26.04,-0.0,55.51,0.0,751.94,155.65,29.37,19.18,17.48,69.23,51.04,14.92,0.77,35.76,6.12,15.31,4.04,1.29,253.1,01-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
01-Mar-2018 - 00:00,55.59,147.83,24.67,0.01,64.24,0.0,750.93,167.85,29.14,18.63,15.14,58.64,43.49,15.05,0.81,38.77,7.16,17.38,3.84,1.51,238.27,02-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
02-Mar-2018 - 00:00,54.88,137.43,25.36,-0.01,70.01,0.0,749.73,163.02,29.03,21.86,12.5,49.31,36.4,15.41,0.76,31.52,5.44,14.09,2.37,2.21,221.31,03-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
03-Mar-2018 - 00:00,36.68,124.75,27.94,-0.02,55.48,0.0,748.15,137.42,29.12,40.47,7.71,55.84,35.97,13.08,0.71,28.08,5.01,11.38,2.29,2.44,272.1,04-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
04-Mar-2018 - 00:00,32.46,118.15,28.95,-0.01,48.18,0.0,748.73,151.93,28.89,26.27,9.18,58.12,38.38,10.27,0.71,26.89,4.82,9.59,2.01,1.73,265.21,05-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
05-Mar-2018 - 00:00,46.79,133.17,27.3,-0.01,59.85,0.0,750.34,155.67,29.03,20.77,10.69,52.18,36.57,12.14,0.84,24.28,5.48,12.78,3.03,2.19,277.11,06-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
06-Mar-2018 - 00:00,49.02,124.0,26.21,0.02,65.62,0.0,751.39,151.61,29.15,16.15,6.08,43.86,28.26,12.89,0.76,44.47,6.08,17.54,2.09,1.97,238.22,07-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
07-Mar-2018 - 00:00,64.91,147.04,25.32,0.02,72.16,0.0,751.74,139.43,30.03,12.75,13.9,47.79,36.72,17.78,0.88,34.04,6.19,14.4,3.52,1.27,244.0,08-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
08-Mar-2018 - 00:00,48.85,92.16,25.02,0.05,76.49,0.0,752.86,134.84,28.95,2.42,2.51,20.06,12.67,15.89,0.53,51.31,2.87,6.25,1.39,1.56,183.12,09-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
09-Mar-2018 - 00:00,46.17,86.52,24.94,0.02,75.0,0.0,753.42,134.57,29.24,4.28,2.17,25.08,15.09,15.19,0.57,51.07,3.23,6.51,1.42,1.24,210.64,10-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
10-Mar-2018 - 00:00,60.05,143.32,25.63,0.01,70.75,0.0,753.09,152.25,29.12,11.03,12.93,44.01,33.85,15.23,0.75,45.32,6.12,11.01,3.33,1.08,209.17,11-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
11-Mar-2018 - 00:00,64.12,142.74,26.29,0.0,70.19,0.0,754.27,151.01,29.01,13.89,7.41,52.93,34.18,12.7,0.82,43.1,5.61,10.26,2.67,1.18,227.65,12-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
12-Mar-2018 - 00:00,56.39,123.65,25.49,-0.01,75.51,0.0,754.26,141.14,29.3,19.51,9.47,48.92,33.72,12.16,0.7,30.4,5.74,10.32,2.71,1.75,278.24,13-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
13-Mar-2018 - 00:00,49.07,123.52,28.26,0.01,61.94,0.0,752.72,147.72,29.03,18.24,10.83,56.06,38.62,10.05,0.78,30.28,6.21,14.98,3.03,1.88,268.15,14-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
14-Mar-2018 - 00:00,39.9,122.61,29.19,0.01,54.42,0.0,750.73,161.31,29.39,22.79,10.57,56.04,38.4,9.98,0.78,27.79,6.5,17.0,3.13,2.25,281.14,15-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
15-Mar-2018 - 00:00,42.09,109.16,26.38,0.01,76.09,0.0,750.09,146.11,29.6,19.89,16.24,38.68,33.78,10.52,0.83,12.26,5.36,9.6,2.86,2.76,264.81,16-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
16-Mar-2018 - 00:00,43.93,83.26,26.58,0.01,73.72,0.0,750.17,121.73,29.84,10.38,7.75,34.7,24.76,12.13,0.62,22.78,5.09,9.92,1.88,1.96,237.29,17-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
17-Mar-2018 - 00:00,95.9,177.61,26.57,0.0,59.03,0.0,752.15,70.71,28.9,15.68,10.12,68.33,44.54,15.14,1.12,54.29,8.92,13.56,4.5,0.94,299.19,18-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
18-Mar-2018 - 00:00,93.69,155.62,25.97,0.01,67.9,0.0,752.66,171.7,29.23,11.4,8.97,51.76,34.82,14.76,0.89,51.88,6.54,15.67,2.85,1.51,285.34,19-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
19-Mar-2018 - 00:00,67.19,108.67,26.02,0.01,75.54,0.0,754.19,153.44,29.71,8.24,7.47,40.33,27.66,14.2,0.65,36.76,4.92,10.97,2.18,1.53,267.0,20-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
20-Mar-2018 - 00:00,55.76,104.3,26.71,-0.0,74.39,0.0,751.67,148.52,29.17,17.71,8.4,40.97,28.74,12.38,0.63,22.7,4.04,9.43,2.27,2.02,272.49,21-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
21-Mar-2018 - 00:00,59.87,121.01,27.07,0.02,73.74,0.0,749.5,132.75,29.56,23.83,16.16,46.43,37.99,13.89,0.75,10.85,5.32,9.61,3.06,2.82,277.75,22-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
22-Mar-2018 - 00:00,51.6,108.0,27.94,-0.01,70.65,0.0,746.28,149.09,27.94,15.5,8.8,42.26,29.64,11.05,0.67,17.44,5.24,9.33,2.57,2.54,267.31,23-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
23-Mar-2018 - 00:00,55.5,141.04,27.33,0.02,76.91,0.0,,80.33,28.45,13.32,5.73,40.68,25.95,11.87,0.95,18.04,5.74,7.44,2.5,2.04,251.94,24-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
24-Mar-2018 - 00:00,54.53,116.64,27.99,0.0,77.32,0.0,749.67,137.38,29.05,8.11,4.36,32.41,20.78,12.85,0.67,25.02,4.19,6.09,2.05,2.4,239.61,25-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
25-Mar-2018 - 00:00,45.19,94.58,27.69,-0.02,75.15,0.0,754.26,156.98,29.12,4.68,4.34,27.01,17.9,13.37,0.52,29.55,2.57,3.88,1.11,2.78,255.2,26-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
26-Mar-2018 - 00:00,52.29,116.05,27.65,0.01,74.41,0.0,753.47,155.64,29.22,9.48,7.75,37.61,26.3,11.19,0.74,22.65,4.28,7.24,2.22,2.86,285.74,27-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
27-Mar-2018 - 00:00,47.61,104.96,27.72,0.03,73.16,0.0,751.22,145.86,30.57,24.11,12.71,39.73,31.32,10.77,0.62,13.5,4.92,8.02,2.84,3.06,269.38,28-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
28-Mar-2018 - 00:00,30.03,75.42,27.71,0.03,72.68,0.0,749.42,176.24,29.48,17.21,9.93,29.43,23.5,7.55,0.59,13.24,4.2,8.63,2.35,3.44,273.64,29-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
29-Mar-2018 - 00:00,28.14,67.52,28.16,0.05,74.74,0.0,748.95,158.57,30.37,9.87,5.27,29.08,19.56,9.45,0.56,17.61,3.56,6.91,2.21,3.89,286.25,30-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
30-Mar-2018 - 00:00,29.75,75.36,28.13,0.07,74.03,0.0,748.29,165.27,29.06,10.55,5.49,27.31,18.96,8.07,0.51,21.45,3.69,6.72,2.01,4.16,293.46,31-Mar-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
31-Mar-2018 - 00:00,39.58,95.45,27.35,0.04,73.2,0.0,748.82,126.25,28.96,15.02,8.36,41.22,28.73,7.61,0.6,20.26,4.2,8.91,3.0,3.2,255.43,01-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
01-Apr-2018 - 00:00,35.62,86.66,26.99,0.01,73.89,0.0,748.98,172.96,29.11,9.85,8.69,33.15,24.69,7.43,0.6,19.82,4.34,9.79,2.27,2.89,285.85,02-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
02-Apr-2018 - 00:00,29.04,85.66,26.55,0.01,65.82,0.0,751.17,181.32,29.07,9.29,3.34,30.6,19.0,6.54,0.42,53.79,3.37,6.38,1.86,3.11,236.06,03-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
03-Apr-2018 - 00:00,22.13,57.24,27.03,-0.01,75.51,0.0,749.59,110.02,30.28,4.21,7.14,22.92,17.99,7.44,0.51,18.52,3.13,6.19,2.28,2.82,249.02,04-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
04-Apr-2018 - 00:00,24.01,67.72,26.79,0.01,72.22,0.01,746.73,198.0,30.24,5.25,5.39,30.57,20.65,7.93,0.41,25.68,3.13,7.24,2.16,3.34,279.22,05-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
05-Apr-2018 - 00:00,27.58,74.99,27.08,0.03,67.14,0.0,745.42,192.22,28.84,8.74,6.56,35.24,24.08,5.96,0.52,41.94,3.59,7.55,2.32,3.15,232.75,06-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
06-Apr-2018 - 00:00,39.2,100.06,27.36,0.03,75.04,0.0,747.1,160.91,30.96,10.97,9.54,35.62,26.17,9.45,0.52,14.92,4.4,9.53,2.23,2.79,275.68,07-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
07-Apr-2018 - 00:00,36.33,83.99,27.27,0.02,73.48,0.22,746.79,165.29,30.77,10.71,8.75,32.57,24.3,8.74,0.53,14.84,4.09,9.85,2.51,2.97,261.85,08-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
08-Apr-2018 - 00:00,23.89,43.63,29.6,0.03,65.32,0.0,746.95,257.0,29.32,3.14,2.27,21.84,12.52,6.85,0.32,64.64,2.32,5.21,1.36,1.96,272.66,09-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
09-Apr-2018 - 00:00,39.83,89.45,27.42,0.01,74.04,0.11,749.58,182.53,29.9,5.12,15.36,41.91,34.74,9.26,0.62,22.07,4.78,9.87,3.21,1.92,222.56,10-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
10-Apr-2018 - 00:00,47.05,98.96,28.48,-0.01,69.08,0.0,749.29,252.73,29.99,13.62,9.29,34.8,25.66,9.02,0.59,28.77,5.34,12.87,4.62,2.36,268.23,11-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
11-Apr-2018 - 00:00,28.51,67.92,27.32,-0.01,70.58,0.0,749.03,199.03,28.92,12.26,11.24,30.55,25.39,8.79,0.51,18.77,4.95,11.08,2.52,2.46,292.64,12-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
