from date,AT,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,CO,NO,NO2,NOx,Ozone,PM2.5,RH,SO2,SR,VWS,WD,WS,to date,BP,station
01-Jan-2018 - 00:00,22.11,14.63,46.31,6.41,0.66,3.69,0.86,6.96,87.1,47.68,63.41,84.48,49.71,95.94,183.73,0.39,98.5,2.36,02-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
02-Jan-2018 - 00:00,21.79,14.13,61.73,7.48,0.9,3.41,0.82,9.11,74.65,43.21,94.18,76.36,46.0,100.42,200.31,0.4,136.67,1.87,03-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
03-Jan-2018 - 00:00,21.41,13.63,65.36,10.8,1.26,4.63,0.94,15.28,73.49,47.25,72.77,65.04,43.34,71.59,207.05,0.4,141.94,1.68,04-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
04-Jan-2018 - 00:00,21.9,19.39,69.71,10.78,1.37,5.87,1.32,19.01,111.94,68.25,27.9,81.22,48.2,84.84,201.79,0.4,121.28,1.51,05-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
05-Jan-2018 - 00:00,21.75,17.57,62.01,10.06,0.92,5.37,1.37,29.97,170.66,105.62,36.33,72.68,53.97,87.71,216.94,0.39,96.77,1.57,06-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
06-Jan-2018 - 00:00,21.79,20.78,63.33,10.68,1.02,5.58,1.41,26.86,146.65,91.58,42.22,76.1,56.6,115.03,215.33,0.39,94.02,1.81,07-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
07-Jan-2018 - 00:00,21.52,16.45,56.14,10.01,0.9,4.83,1.27,22.87,135.0,82.92,49.7,79.07,45.44,105.03,213.0,0.4,109.32,1.86,08-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
08-Jan-2018 - 00:00,21.57,14.51,51.35,6.23,0.62,3.03,1.18,9.09,139.9,75.03,47.58,75.89,52.05,101.94,208.73,0.4,123.29,1.85,09-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
09-Jan-2018 - 00:00,21.98,8.62,35.29,4.04,0.45,2.2,0.88,5.67,87.27,46.81,70.76,66.8,53.31,90.7,195.82,0.41,151.79,1.88,10-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
10-Jan-2018 - 00:00,22.58,12.57,59.1,8.79,1.2,4.41,1.38,16.53,139.16,80.22,53.47,76.07,52.97,98.48,201.55,0.41,163.2,1.5,11-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
11-Jan-2018 - 00:00,22.61,19.76,71.76,20.95,3.47,10.39,2.02,53.64,139.85,108.25,58.53,93.39,51.41,93.07,193.35,0.41,140.2,1.54,12-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
12-Jan-2018 - 00:00,22.75,15.81,91.15,12.95,1.53,6.48,1.19,22.86,151.51,89.8,46.07,107.96,50.36,92.19,120.91,0.39,88.59,1.32,13-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
13-Jan-2018 - 00:00,23.79,16.29,79.18,14.44,1.02,3.31,1.54,19.99,150.13,88.16,25.26,84.07,47.48,106.07,160.13,0.38,1.06,0.96,14-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
14-Jan-2018 - 00:00,24.2,14.73,55.13,9.39,1.72,9.44,1.5,21.43,128.42,78.63,3.0,107.18,53.31,86.83,209.66,0.38,0.19,0.83,15-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
15-Jan-2018 - 00:00,24.21,11.1,38.54,7.63,0.54,2.92,1.21,14.85,113.93,66.66,51.68,90.38,55.54,85.12,216.46,0.38,0.24,0.84,16-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
16-Jan-2018 - 00:00,24.02,18.56,80.97,13.99,1.52,7.57,2.02,47.74,163.69,115.47,4.45,86.85,51.12,126.53,219.04,0.38,0.97,0.95,17-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
17-Jan-2018 - 00:00,23.41,24.64,82.1,12.66,1.43,6.05,1.51,28.44,131.89,85.56,41.73,87.97,58.48,91.09,236.54,0.38,0.72,0.91,18-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
18-Jan-2018 - 00:00,23.04,14.09,55.53,9.65,0.89,4.65,1.25,31.84,126.62,85.53,31.72,50.58,55.9,91.5,242.86,0.38,0.4,0.86,19-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
19-Jan-2018 - 00:00,21.73,22.0,58.97,9.1,1.04,5.21,1.61,66.9,169.98,132.84,23.43,93.45,60.04,92.53,198.95,0.38,0.37,0.85,20-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
20-Jan-2018 - 00:00,24.82,28.88,128.48,27.74,3.11,15.39,2.56,51.37,175.99,127.08,51.18,91.54,42.97,85.34,377.95,0.38,43.39,1.21,21-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
21-Jan-2018 - 00:00,23.87,38.19,181.22,46.08,4.77,24.67,2.97,29.82,267.72,152.13,21.04,107.09,49.87,28.33,32.11,0.39,83.8,1.92,22-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
22-Jan-2018 - 00:00,23.13,13.98,48.85,4.36,0.43,2.8,1.19,9.45,140.53,75.6,50.34,88.71,50.28,123.28,204.9,0.39,98.11,2.01,23-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
23-Jan-2018 - 00:00,22.14,9.24,47.9,9.33,0.93,3.72,1.23,34.89,88.12,70.75,46.66,57.78,60.99,91.31,243.29,0.4,103.82,2.33,24-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
24-Jan-2018 - 00:00,22.19,30.56,99.42,22.96,2.47,12.51,1.38,44.73,117.0,99.71,41.13,100.61,48.46,92.15,244.29,0.4,113.09,1.48,25-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
25-Jan-2018 - 00:00,21.86,33.35,129.65,27.82,3.34,15.11,2.26,95.33,164.22,157.54,39.96,128.2,44.04,95.08,237.81,0.4,115.61,1.33,26-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
26-Jan-2018 - 00:00,22.05,21.16,88.74,17.08,1.79,9.22,1.86,48.23,180.13,123.86,43.37,101.39,43.16,84.58,244.05,0.4,133.14,1.38,27-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
27-Jan-2018 - 00:00,22.98,12.87,53.62,4.58,0.69,2.28,1.02,10.56,137.26,74.84,67.02,100.54,40.09,119.18,384.65,0.4,164.0,1.9,28-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
28-Jan-2018 - 00:00,25.14,15.91,86.28,14.44,1.44,6.45,1.4,39.76,130.67,101.6,79.88,92.13,28.32,157.54,402.58,0.41,205.73,2.01,29-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
29-Jan-2018 - 00:00,22.91,18.78,72.33,14.03,1.42,7.66,2.17,77.07,184.67,147.6,41.58,101.12,43.4,109.29,210.4,0.38,20.54,0.93,30-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
30-Jan-2018 - 00:00,23.56,23.79,96.42,17.8,2.01,9.99,2.42,70.23,208.47,154.11,40.94,118.3,48.31,141.75,191.06,0.38,0.38,0.85,31-Jan-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
31-Jan-2018 - 00:00,24.39,11.35,38.07,8.05,1.07,5.22,1.34,36.18,155.97,117.02,32.37,123.9,48.5,61.8,198.4,0.38,0.75,0.91,01-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
01-Feb-2018 - 00:00,24.46,0.74,5.81,3.21,0.32,0.11,2.79,90.34,184.28,158.18,39.58,179.14,48.98,49.13,364.27,0.38,1.02,0.95,02-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
02-Feb-2018 - 00:00,23.94,0.74,5.81,3.21,0.32,0.11,1.49,18.04,157.04,90.06,43.52,88.02,48.28,89.93,625.27,0.38,0.56,0.88,03-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
03-Feb-2018 - 00:00,22.29,0.74,5.81,3.21,0.32,0.11,1.88,72.97,201.03,152.52,7.94,97.31,50.77,146.44,543.48,0.38,1.67,1.05,04-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
04-Feb-2018 - 00:00,22.27,0.74,5.81,3.21,0.32,0.11,1.86,71.48,201.17,151.47,7.94,98.0,50.83,146.25,544.4,0.38,1.68,1.05,05-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
05-Feb-2018 - 00:00,23.34,0.74,5.81,3.21,0.32,0.11,1.98,48.05,186.85,127.01,32.97,94.81,52.44,112.93,567.37,0.38,1.01,0.95,06-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
06-Feb-2018 - 00:00,23.01,0.74,5.81,3.21,0.32,0.11,1.84,24.89,151.77,92.61,38.24,105.07,61.56,69.7,630.58,0.38,0.79,0.92,07-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
07-Feb-2018 - 00:00,23.92,0.74,5.81,3.21,0.32,0.11,1.65,26.88,158.31,97.28,50.2,106.28,50.74,94.49,899.32,0.38,1.08,0.96,08-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
08-Feb-2018 - 00:00,23.49,0.74,5.81,3.21,0.32,0.11,1.63,55.82,139.79,110.32,55.3,72.57,29.23,73.96,919.81,0.38,0.88,0.93,09-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
09-Feb-2018 - 00:00,23.29,0.74,5.81,3.21,0.32,0.11,2.19,109.87,173.32,169.22,42.22,107.76,32.35,72.01,651.58,0.38,0.95,0.94,10-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
10-Feb-2018 - 00:00,23.12,0.74,5.81,3.21,0.32,0.11,2.76,115.86,171.27,171.36,40.85,180.39,45.58,36.26,165.23,0.38,0.58,0.89,11-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
11-Feb-2018 - 00:00,22.62,0.74,5.81,3.21,0.32,0.11,1.28,20.74,100.87,64.68,29.65,85.87,48.57,56.72,170.49,0.38,2.35,1.16,12-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
12-Feb-2018 - 00:00,23.06,0.74,5.81,3.21,0.32,0.11,1.4,28.53,133.16,86.25,34.02,87.54,53.46,71.52,181.29,0.38,3.55,1.34,13-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
13-Feb-2018 - 00:00,23.35,0.74,5.81,3.21,,,0.83,9.75,111.8,61.81,53.37,63.41,42.74,96.98,219.15,0.38,1.88,1.08,14-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
14-Feb-2018 - 00:00,24.44,0.74,5.81,3.21,,,0.67,5.89,107.99,55.94,58.86,63.4,35.0,57.12,234.5,0.38,0.84,0.92,15-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
15-Feb-2018 - 00:00,23.61,0.74,5.81,3.21,,,1.23,37.99,110.5,82.26,48.02,54.22,38.73,71.25,210.74,0.38,1.7,1.06,16-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
16-Feb-2018 - 00:00,24.31,0.74,5.81,3.21,,,1.72,34.34,177.66,112.29,28.61,74.94,40.89,116.06,195.22,0.38,1.48,1.03,17-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
17-Feb-2018 - 00:00,24.74,0.74,5.81,3.21,,,2.04,48.01,179.89,123.58,47.93,84.11,39.9,107.43,198.18,0.38,1.1,0.97,18-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
18-Feb-2018 - 00:00,25.0,0.74,5.81,3.21,,,2.92,115.05,172.66,189.88,41.83,223.85,43.37,61.05,169.67,0.37,0.63,0.9,19-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
19-Feb-2018 - 00:00,25.21,0.74,5.81,3.21,,,3.44,120.98,203.08,231.0,44.13,236.3,49.66,0.0,148.61,0.38,0.73,0.91,20-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
