from date,AT,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,CO,NO,NO2,NOx,Ozone,PM2.5,RH,SO2,SR,VWS,WD,WS,to date,BP,station
20-Feb-2018 - 00:00,25.0,13.95,57.67,15.22,,,1.96,71.57,155.49,135.22,31.56,108.38,40.16,84.31,181.06,0.37,0.78,0.9,21-Feb-2018 - 00:00,989.35,"Maninagar, Ahmedabad - GPCB"
21-Feb-2018 - 00:00,25.85,17.41,133.38,29.75,,,2.27,71.97,160.94,133.05,46.93,90.73,40.06,97.7,189.31,0.37,0.38,0.86,22-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
22-Feb-2018 - 00:00,26.0,26.3,123.18,27.8,,,2.02,87.02,136.54,131.55,32.67,91.24,39.71,97.21,190.29,0.37,0.42,0.86,23-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
23-Feb-2018 - 00:00,24.44,28.6,211.32,39.75,,,2.5,129.77,143.55,166.86,24.5,140.41,52.1,27.08,155.23,0.37,0.5,0.88,24-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
24-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,25-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
25-Feb-2018 - 00:00,27.79,8.48,74.61,16.9,,,1.59,30.39,136.13,89.08,40.21,43.92,31.29,99.25,139.3,0.38,0.68,0.91,26-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
26-Feb-2018 - 00:00,26.34,11.49,77.69,16.62,,,1.53,31.74,138.37,91.19,40.64,49.32,37.11,92.16,195.78,0.38,0.85,0.93,27-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
27-Feb-2018 - 00:00,26.56,11.98,89.03,18.44,,,1.59,33.41,153.86,99.99,44.8,56.2,36.5,106.04,185.98,0.37,0.64,0.9,28-Feb-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
28-Feb-2018 - 00:00,27.05,15.18,90.44,18.13,,,1.71,19.6,175.78,100.37,51.13,59.98,34.16,92.77,149.53,0.37,0.73,0.91,01-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
01-Mar-2018 - 00:00,25.98,11.84,70.28,16.74,,,0.96,6.07,110.63,58.5,0.81,53.68,34.3,167.55,1.1,0.37,0.5,0.88,02-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
02-Mar-2018 - 00:00,25.96,11.62,69.29,16.62,,,0.94,4.52,105.31,54.74,0.0,53.5,34.32,171.32,1.1,0.37,0.48,0.88,03-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
03-Mar-2018 - 00:00,27.06,12.88,74.6,13.75,,,1.21,22.86,106.33,68.93,34.53,41.56,28.14,106.5,168.1,0.37,0.46,0.87,04-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
04-Mar-2018 - 00:00,25.84,6.88,71.76,12.15,,,1.14,17.8,79.35,51.99,44.81,32.25,42.74,69.76,185.31,0.37,0.64,0.9,05-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
05-Mar-2018 - 00:00,26.03,9.08,64.87,11.64,,,1.34,25.75,114.74,75.18,37.02,29.54,43.5,85.06,211.0,0.37,1.41,1.01,06-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
06-Mar-2018 - 00:00,26.39,21.81,96.25,20.81,,,1.55,50.23,131.36,104.25,42.03,34.15,32.02,81.64,216.54,0.37,0.65,0.9,07-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
07-Mar-2018 - 00:00,26.34,6.88,47.93,11.56,,,0.83,7.82,115.71,61.98,56.24,52.95,28.23,73.65,185.67,0.37,0.83,0.93,08-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
08-Mar-2018 - 00:00,26.53,14.61,78.01,15.34,,,1.61,47.27,155.31,100.61,66.12,93.98,35.84,72.77,168.76,0.37,0.71,0.91,09-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
09-Mar-2018 - 00:00,25.99,21.24,68.03,18.6,,,1.43,39.0,109.53,98.25,52.94,111.67,49.61,47.24,217.39,0.37,1.23,0.99,10-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
10-Mar-2018 - 00:00,26.42,55.17,115.71,24.82,,,1.61,48.0,131.6,119.43,57.01,109.34,46.89,59.03,235.49,0.37,1.52,1.03,11-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
11-Mar-2018 - 00:00,26.64,20.33,112.71,21.02,,,1.51,27.86,122.51,85.58,53.71,110.9,34.9,88.62,279.41,0.37,1.58,1.04,12-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
12-Mar-2018 - 00:00,26.58,22.16,67.48,10.91,,,1.73,61.86,136.83,112.91,50.08,87.07,28.85,73.91,278.81,0.38,1.59,1.04,13-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
13-Mar-2018 - 00:00,25.73,14.38,55.57,10.82,,,1.6,60.61,100.45,97.95,39.0,102.08,36.67,58.08,243.63,0.37,0.98,0.95,14-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
14-Mar-2018 - 00:00,25.85,12.89,33.36,5.41,,,0.95,16.71,90.85,56.79,3.31,80.89,37.28,54.79,246.38,0.37,0.82,0.92,15-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
15-Mar-2018 - 00:00,25.99,17.55,48.74,9.95,,,1.67,51.37,75.91,84.69,25.36,72.25,43.3,49.41,268.24,0.37,1.63,1.05,16-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
16-Mar-2018 - 00:00,26.47,19.86,73.28,13.52,,,1.76,70.42,86.45,98.35,36.94,87.5,37.88,31.91,280.78,0.37,1.56,1.04,17-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
17-Mar-2018 - 00:00,26.81,12.94,58.43,9.9,,,1.69,67.19,112.97,106.17,44.95,128.36,31.84,72.62,272.02,0.37,3.09,1.27,18-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
18-Mar-2018 - 00:00,26.94,10.0,59.53,8.05,,,1.32,28.08,136.39,87.49,1.37,112.64,29.06,97.91,215.7,0.37,2.6,1.2,19-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
19-Mar-2018 - 00:00,26.27,8.14,33.09,5.72,,,1.02,17.68,91.89,58.01,0.0,103.21,34.98,61.68,164.69,0.38,2.56,1.19,20-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
20-Mar-2018 - 00:00,26.35,6.54,36.13,3.9,,,0.55,14.9,96.81,58.35,32.87,157.9,34.99,45.85,289.61,0.38,1.75,1.07,21-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
21-Mar-2018 - 00:00,25.73,0.93,7.64,6.0,,,0.99,15.01,79.75,50.1,47.92,107.01,38.69,48.65,287.09,0.37,2.9,1.24,22-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
22-Mar-2018 - 00:00,25.72,0.74,5.81,3.79,,,1.09,11.33,98.57,56.53,59.54,94.94,42.92,36.45,307.37,0.37,2.14,1.13,23-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
23-Mar-2018 - 00:00,26.48,0.74,6.67,3.21,,,1.41,34.8,153.97,101.08,62.09,100.91,30.31,62.91,305.26,0.37,0.93,0.94,24-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
24-Mar-2018 - 00:00,27.3,0.74,5.81,3.21,,,1.41,38.6,138.58,110.44,52.77,108.95,27.14,70.46,300.06,0.38,0.67,0.9,25-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
25-Mar-2018 - 00:00,27.99,0.74,5.81,3.21,,,1.33,31.92,131.88,88.15,57.78,105.27,22.1,74.02,252.69,0.38,0.89,0.93,26-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
26-Mar-2018 - 00:00,28.32,0.74,5.81,3.21,,,1.28,35.74,144.81,123.13,51.63,135.1,21.76,73.61,192.47,0.38,0.99,0.95,27-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
27-Mar-2018 - 00:00,28.5,9.09,34.8,7.92,,,1.83,56.9,157.86,119.47,50.49,175.26,19.66,78.96,198.57,0.37,0.91,0.94,28-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
28-Mar-2018 - 00:00,27.59,10.17,39.61,5.05,,,1.0,12.39,89.05,52.68,57.4,130.1,27.83,89.22,271.84,0.37,0.91,0.94,29-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
29-Mar-2018 - 00:00,30.17,21.92,55.68,9.83,,,2.16,65.45,155.38,124.64,61.04,153.72,20.88,51.51,288.82,0.37,2.68,1.21,30-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
30-Mar-2018 - 00:00,28.74,15.46,57.51,10.14,,,1.5,49.37,97.79,90.94,48.03,150.71,26.29,69.72,199.66,0.37,2.08,1.12,31-Mar-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
31-Mar-2018 - 00:00,29.15,7.49,30.34,3.5,,,0.92,13.42,92.14,54.96,52.2,107.71,32.04,65.89,243.45,0.37,2.1,1.12,01-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
01-Apr-2018 - 00:00,28.03,12.72,61.88,10.3,,,1.57,49.94,129.97,101.38,53.4,84.26,28.72,69.31,205.27,0.37,2.46,1.18,02-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
02-Apr-2018 - 00:00,28.02,9.6,48.05,6.61,,,1.62,20.79,96.25,62.47,49.89,100.94,34.72,74.39,192.94,0.37,2.19,1.14,03-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
03-Apr-2018 - 00:00,28.81,7.72,28.03,4.2,,,0.62,7.24,65.11,37.17,72.22,72.6,25.27,98.54,250.83,0.37,2.08,1.11,04-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
04-Apr-2018 - 00:00,29.91,9.24,33.67,6.12,,,0.98,21.6,71.59,51.02,67.76,66.32,23.31,62.53,264.07,0.37,1.63,1.04,05-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
05-Apr-2018 - 00:00,27.81,15.91,40.89,8.35,,,1.54,40.55,69.98,64.6,42.46,107.81,35.6,18.44,172.29,0.37,2.33,1.15,06-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
06-Apr-2018 - 00:00,26.89,6.97,21.83,3.55,,,1.35,5.19,61.94,34.08,8.15,85.58,49.14,73.01,385.5,0.37,2.48,1.18,07-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
07-Apr-2018 - 00:00,28.53,10.62,34.57,6.06,,,1.58,16.97,83.73,53.51,40.05,95.13,38.88,69.83,386.44,0.37,2.03,1.11,08-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
08-Apr-2018 - 00:00,28.51,9.23,29.4,4.18,,,1.29,17.77,61.76,43.39,58.77,156.7,43.78,42.97,206.14,0.37,3.02,1.26,09-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
09-Apr-2018 - 00:00,29.64,4.05,24.88,3.49,,,1.05,22.25,60.0,45.87,53.89,95.75,34.96,55.72,252.48,0.4,166.41,1.71,10-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
10-Apr-2018 - 00:00,27.54,9.31,36.66,3.85,,,1.53,29.14,67.29,54.57,27.82,122.76,52.98,69.95,256.84,0.41,256.87,1.88,11-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
11-Apr-2018 - 00:00,27.45,7.56,26.32,3.21,,,1.42,17.98,61.11,43.23,22.92,91.51,56.07,70.4,254.52,0.42,283.11,2.37,12-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
12-Apr-2018 - 00:00,27.86,6.48,25.97,3.63,,,1.45,16.45,61.93,42.48,31.26,88.46,50.77,86.84,268.85,0.42,240.48,2.27,13-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
13-Apr-2018 - 00:00,28.31,11.34,37.16,7.05,,,1.73,22.6,72.62,52.19,38.94,,47.27,56.25,254.69,0.39,122.23,1.41,14-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
14-Apr-2018 - 00:00,28.88,10.67,34.21,5.64,,,1.95,26.98,60.72,49.73,32.82,89.6,38.29,3.3,255.18,0.4,139.51,2.05,15-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
15-Apr-2018 - 00:00,29.01,7.42,33.7,5.08,,,1.68,26.49,61.03,49.54,35.85,81.92,31.89,3.3,207.8,0.39,133.72,2.11,16-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
16-Apr-2018 - 00:00,29.25,9.22,37.23,5.4,,,1.67,27.64,63.45,51.58,0.0,70.6,32.59,3.3,150.87,0.39,102.36,1.7,17-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
17-Apr-2018 - 00:00,30.09,1.63,11.74,3.75,,,2.06,43.61,56.03,59.88,48.39,55.58,23.14,22.5,353.65,0.39,81.69,3.03,18-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
18-Apr-2018 - 00:00,29.52,7.74,35.77,8.1,,,1.82,40.65,49.69,55.61,51.54,62.06,24.62,27.9,262.78,0.38,25.72,2.2,19-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
19-Apr-2018 - 00:00,29.2,3.21,15.42,3.44,,,0.85,10.24,41.91,28.08,37.18,50.88,26.09,78.89,282.95,0.38,57.9,1.85,20-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
20-Apr-2018 - 00:00,28.49,0.74,6.18,3.21,,,1.02,8.05,36.05,23.59,35.92,72.12,42.92,54.68,293.91,0.41,133.44,3.23,21-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
21-Apr-2018 - 00:00,25.77,0.93,16.23,3.21,,,1.52,5.37,33.81,20.49,34.5,38.31,60.67,15.88,505.15,0.38,44.75,2.85,22-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
22-Apr-2018 - 00:00,28.37,6.74,35.24,5.43,,,1.28,19.8,71.7,49.75,2.22,78.96,22.92,47.43,286.37,0.39,124.84,1.89,23-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
23-Apr-2018 - 00:00,29.59,8.11,40.55,7.88,,,1.35,25.62,85.82,60.98,45.22,56.17,12.68,15.49,334.2,0.39,114.59,2.05,24-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
24-Apr-2018 - 00:00,29.03,14.41,72.9,11.84,,,1.58,59.14,73.6,83.84,62.78,64.99,15.51,27.82,235.25,0.39,107.64,2.04,25-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
25-Apr-2018 - 00:00,28.42,6.74,40.19,7.81,,,2.34,27.93,37.42,39.07,58.18,110.98,26.18,19.69,339.51,0.39,87.94,2.21,26-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
