from date,PM2.5,Benzene,Temp,RH,SR,RF,Toluene,Eth-Benzene,MP-Xylene,O Xylene,WS,NO2,NO,WD,NOx,NH3,SO2,CO,Ozone,PM10,to date,station
01-Jan-2018 - 00:00,101.4,6.59,22.11,44.5,595.71,0.0,42.4,7.84,20.93,9.99,1.8,53.19,15.01,154.86,39.85,34.21,6.59,1.63,54.98,172.82,02-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
02-Jan-2018 - 00:00,70.01,4.64,23.11,41.63,560.86,0.0,33.78,5.32,14.83,7.45,2.09,51.09,9.15,209.89,34.31,32.42,6.28,1.11,76.93,133.64,03-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
03-Jan-2018 - 00:00,74.13,3.46,22.78,42.88,605.8,0.0,27.51,6.16,13.43,6.29,1.88,52.58,7.71,224.24,33.65,32.55,6.79,1.05,82.09,105.53,04-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
04-Jan-2018 - 00:00,59.51,5.2,22.8,42.05,573.8,0.0,35.29,8.33,19.8,9.35,1.84,51.63,13.9,201.97,38.11,32.03,6.91,1.41,64.49,169.95,05-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
05-Jan-2018 - 00:00,68.41,6.25,22.47,45.15,570.76,0.0,44.1,8.33,20.53,9.93,1.76,59.25,12.55,170.94,41.18,36.42,5.95,1.64,53.57,163.8,06-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
06-Jan-2018 - 00:00,58.51,6.02,22.6,44.96,550.45,0.0,38.12,7.07,17.3,8.21,1.83,60.72,19.58,159.93,47.5,43.38,6.76,1.44,80.94,180.0,07-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
07-Jan-2018 - 00:00,53.84,4.62,22.3,43.19,575.49,0.0,32.63,6.51,15.72,7.05,1.82,66.97,12.74,185.86,46.1,45.42,5.63,1.09,59.96,117.6,08-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
08-Jan-2018 - 00:00,57.44,4.56,22.43,43.72,586.72,0.0,33.46,6.12,15.02,6.63,1.73,68.44,10.27,186.01,45.08,45.58,5.91,1.24,57.52,115.47,09-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
09-Jan-2018 - 00:00,55.56,3.66,22.84,43.48,536.53,0.0,29.14,5.07,17.03,7.91,2.29,66.82,8.71,253.84,42.43,43.9,6.96,1.08,71.53,75.62,10-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
10-Jan-2018 - 00:00,48.5,3.51,23.23,39.77,554.24,0.0,30.03,4.79,15.3,7.16,1.98,71.78,8.72,279.09,46.14,45.07,6.69,1.04,80.4,45.26,11-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
11-Jan-2018 - 00:00,52.73,3.62,24.7,37.56,575.22,0.0,31.42,5.33,14.89,6.75,1.65,67.39,11.94,219.68,45.61,43.94,6.25,1.02,77.49,111.65,12-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
