from date,NO,NO2,NOx,CO,SO2,PM10,PM2.5,Temp,WS,WD,RH,SR,BP,RF,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
