from date,CO,Ozone,SO2,NO2,NO,NOx,NH3,PM10,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,Temp,WS,VWS,WD,RH,BP,SR,RF,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
