from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,VWS,to date,station
23-Jan-2018 - 00:00,29.89,0.73,25.78,7.81,65.16,39.45,16.99,3.82,54.74,96.9,0.15,3.11,0.63,23.3,54.44,1.84,217.14,127.68,719.44,0.0,0.0,24-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
24-Jan-2018 - 00:00,29.69,0.82,16.77,8.96,76.43,46.15,17.69,6.52,69.08,134.22,0.72,8.74,10.23,23.32,56.16,1.99,239.68,119.04,719.51,0.0,0.0,25-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
25-Jan-2018 - 00:00,29.81,0.85,14.9,11.23,88.07,53.72,20.87,13.69,70.28,157.79,1.46,16.51,20.11,23.56,49.48,1.41,223.32,128.66,719.34,0.0,0.0,26-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
26-Jan-2018 - 00:00,30.78,0.95,20.01,14.13,89.14,56.04,33.5,25.06,66.88,149.75,2.02,29.99,9.81,23.75,45.67,1.18,142.3,130.22,720.03,0.0,0.0,27-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
27-Jan-2018 - 00:00,30.74,3.4,28.08,13.58,81.75,50.55,39.08,14.95,72.77,159.14,1.24,18.83,0.69,25.16,44.43,1.51,137.64,166.17,722.31,0.0,0.0,28-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
28-Jan-2018 - 00:00,31.92,1.09,18.75,12.02,82.92,49.01,27.83,8.04,69.6,140.85,1.1,17.28,0.71,22.4,56.23,1.58,153.79,102.01,724.54,0.0,0.0,29-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
29-Jan-2018 - 00:00,29.58,0.81,36.92,9.4,67.9,41.88,20.23,6.25,67.42,132.02,1.02,12.29,0.57,23.96,52.48,1.86,150.15,130.53,726.47,0.0,0.0,30-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
30-Jan-2018 - 00:00,29.97,0.29,39.17,12.27,74.73,47.26,26.0,14.75,63.75,154.97,1.6,21.26,3.22,23.91,44.59,1.97,165.85,139.16,727.18,0.0,0.0,31-Jan-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
31-Jan-2018 - 00:00,31.41,0.93,37.71,13.13,72.91,46.8,25.01,20.33,55.2,141.3,1.07,12.87,8.2,24.5,37.87,2.08,187.19,139.37,726.32,0.01,0.0,01-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
01-Feb-2018 - 00:00,29.54,1.24,17.73,16.68,84.11,54.91,24.47,17.25,46.36,121.42,1.66,24.36,5.77,24.63,37.02,1.74,190.07,143.62,725.89,0.0,0.0,02-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
