from date,NO2,NOx,NH3,NO,SO2,CO,PM2.5,PM10,Benzene,O Xylene,MP-Xylene,Toluene,Ozone,Temp,VWS,SR,RH,RF,WD,WS,BP,to date,station
09-Oct-2018 - 00:00,29.01,34.34,11.1,5.33,3.33,0.71,38.68,89.43,4.74,2.46,5.18,13.31,37.0,24.99,0.01,,75.17,0.0,97.77,0.71,,10-Oct-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
10-Oct-2018 - 00:00,32.0,40.33,10.39,7.0,4.13,0.74,39.04,86.1,3.05,1.6,3.77,9.8,32.52,25.56,0.01,123.73,72.03,0.0,84.32,0.65,,11-Oct-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
11-Oct-2018 - 00:00,24.64,29.51,14.73,5.12,4.16,0.6,29.65,65.33,4.0,1.07,2.72,8.7,27.34,24.47,0.0,148.51,78.8,0.0,62.27,0.84,,12-Oct-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
12-Oct-2018 - 00:00,27.39,38.38,13.49,11.3,3.38,0.89,26.38,49.08,2.96,1.81,3.99,10.51,17.52,23.29,0.01,95.96,87.08,0.01,75.35,0.61,,13-Oct-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
13-Oct-2018 - 00:00,21.1,27.07,14.61,7.33,4.4,0.62,33.4,56.24,2.19,1.26,2.26,9.49,20.79,24.3,0.01,214.16,82.43,0.0,186.73,0.34,,14-Oct-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
14-Oct-2018 - 00:00,24.22,28.54,13.5,5.71,13.32,0.84,50.18,87.81,3.3,1.62,3.32,10.88,22.65,24.3,0.01,191.15,85.49,0.0,168.53,0.51,,15-Oct-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
15-Oct-2018 - 00:00,28.7,42.53,10.31,14.07,4.27,0.82,57.16,120.75,4.66,2.27,4.5,11.4,34.47,23.95,0.01,215.73,79.29,0.0,204.15,0.26,,16-Oct-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
16-Oct-2018 - 00:00,31.21,38.45,9.05,7.45,4.24,0.69,65.88,126.96,4.4,2.35,5.26,12.37,36.98,23.76,0.01,202.65,77.34,0.0,128.57,0.48,,17-Oct-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
17-Oct-2018 - 00:00,27.03,34.28,9.63,7.25,3.38,0.82,60.73,125.95,4.54,2.37,5.29,12.11,38.84,24.12,0.01,181.25,80.67,0.0,183.52,0.37,,18-Oct-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
18-Oct-2018 - 00:00,22.68,25.17,11.81,2.79,3.09,0.75,53.66,104.53,3.6,1.66,4.18,11.27,49.75,23.9,0.01,178.38,83.3,0.05,65.08,0.79,,19-Oct-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
19-Oct-2018 - 00:00,22.98,25.63,11.21,3.39,2.78,0.83,49.04,87.72,2.9,1.59,3.98,10.95,38.01,23.56,0.01,152.41,84.19,0.0,44.91,0.8,,20-Oct-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
20-Oct-2018 - 00:00,27.37,33.17,8.66,6.21,2.71,0.77,45.8,95.0,3.18,1.79,4.2,11.6,27.77,24.15,0.0,167.89,81.25,0.0,103.54,0.52,,21-Oct-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
21-Oct-2018 - 00:00,27.03,32.15,9.98,6.36,3.0,0.76,53.4,106.61,2.96,1.48,3.32,10.77,30.36,24.28,0.01,181.71,79.92,0.0,165.46,0.44,,22-Oct-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
22-Oct-2018 - 00:00,32.23,42.34,7.99,10.74,3.27,0.72,54.15,102.96,4.79,2.85,4.89,17.69,25.85,24.18,0.01,182.16,78.71,0.0,184.01,0.3,,23-Oct-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
