from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
01-Jan-2018 - 00:00,0.14,2.36,0.31,1.0,11.67,78.57,40.67,985.99,13.86,228.01,142.51,6.22,66.5,17.93,0.73,,36.5,02-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
02-Jan-2018 - 00:00,,2.0,0.13,1.0,9.59,81.79,39.29,986.94,13.88,285.69,188.12,5.85,76.19,0.0,0.69,,44.37,03-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
03-Jan-2018 - 00:00,0.1,2.17,0.13,1.25,11.27,70.62,43.73,986.68,13.87,242.73,151.75,5.77,69.86,0.0,0.7,,38.28,04-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
04-Jan-2018 - 00:00,0.81,2.53,4.24,1.0,10.38,74.8,44.22,986.63,13.87,307.72,192.4,5.72,76.13,0.0,0.68,,46.37,05-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
05-Jan-2018 - 00:00,0.47,2.24,1.75,1.03,10.62,71.76,39.77,985.9,13.87,329.41,205.94,5.32,76.52,0.0,0.66,,49.18,06-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
06-Jan-2018 - 00:00,0.1,2.58,0.18,1.18,11.54,66.52,52.77,985.61,13.86,319.4,199.63,5.24,76.32,0.0,0.66,,47.88,07-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
07-Jan-2018 - 00:00,0.17,2.72,1.7,1.2,10.16,69.79,45.69,986.39,13.88,188.54,117.84,6.74,61.52,0.0,0.77,,31.57,08-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
08-Jan-2018 - 00:00,,,,,,,,,,171.69,107.39,7.08,58.94,0.0,0.8,,29.43,09-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
09-Jan-2018 - 00:00,,,,,,,,,,240.83,150.59,6.0,68.33,0.0,0.71,,38.1,10-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
10-Jan-2018 - 00:00,0.15,2.7,1.89,1.28,16.22,44.74,66.98,988.73,13.82,207.45,129.7,6.34,64.53,0.0,0.74,,33.89,11-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
11-Jan-2018 - 00:00,0.14,2.33,1.17,1.28,14.63,49.42,46.86,987.49,13.82,164.26,102.68,6.96,58.59,0.0,0.79,,28.53,12-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
12-Jan-2018 - 00:00,0.13,2.58,0.69,1.39,15.21,50.85,55.38,987.4,13.83,179.61,112.28,6.73,60.74,0.0,0.77,,30.45,13-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
13-Jan-2018 - 00:00,0.15,2.64,0.81,1.1,15.2,54.63,55.47,988.11,13.85,289.31,180.86,5.86,73.27,0.0,0.7,,44.16,14-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
14-Jan-2018 - 00:00,,,,,,,,,,199.46,124.66,6.28,65.85,0.0,0.74,,32.93,15-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
15-Jan-2018 - 00:00,,,,,,,,,,187.1,116.94,6.86,60.82,0.0,0.78,,31.39,16-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
16-Jan-2018 - 00:00,,,,,,,,,,155.45,97.16,7.92,54.63,0.0,0.86,,27.43,17-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
