from date,MP-Xylene,Toluene,Benzene,AT,RH,ETH,SR,VWS,WS,WD,CO,NO,NO2,NOx,Ozone,PM2.5,SO2,to date,BP,station
13-Feb-2018 - 00:00,0.0,1.25,0.0,17.62,93.54,68.93,52.81,0.08,0.29,145.46,900.81,9.06,20.3,18.03,11.98,57.75,6.88,14-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
14-Feb-2018 - 00:00,0.0,0.0,0.0,17.54,72.84,56.98,59.21,0.07,0.0,261.93,8.63,0.08,0.22,19.15,0.05,0.83,0.06,15-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
15-Feb-2018 - 00:00,,0.0,0.0,17.02,70.99,83.4,59.96,0.07,0.0,259.24,0.87,0.0,0.0,18.77,0.0,0.0,0.0,16-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
16-Feb-2018 - 00:00,,0.0,0.0,18.59,78.53,55.41,58.17,0.08,0.0,261.97,0.95,0.0,0.0,17.8,0.0,0.0,0.0,17-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
17-Feb-2018 - 00:00,,0.0,0.0,19.87,78.1,58.91,56.95,0.09,0.0,265.87,0.9,0.0,0.0,17.1,0.0,0.0,0.0,18-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
18-Feb-2018 - 00:00,,0.0,0.0,20.54,69.34,28.03,58.72,0.09,0.0,272.99,0.92,0.0,0.0,14.66,0.0,0.0,0.0,19-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
19-Feb-2018 - 00:00,,0.0,0.0,19.83,59.31,4.91,72.0,0.09,0.0,262.94,0.88,0.0,0.0,12.39,0.0,0.0,0.0,20-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
20-Feb-2018 - 00:00,,0.0,0.0,20.04,54.41,3.85,71.26,0.09,0.0,269.96,0.96,0.0,0.0,13.28,0.0,0.0,0.0,21-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
21-Feb-2018 - 00:00,,0.0,0.0,20.94,64.64,13.78,65.58,0.09,0.0,278.75,1.09,0.0,0.0,7.73,0.0,0.0,0.0,22-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
22-Feb-2018 - 00:00,,0.0,0.0,22.89,64.18,0.0,67.32,0.05,0.0,279.65,1.32,0.0,0.0,6.96,0.0,0.0,0.0,23-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
23-Feb-2018 - 00:00,,0.0,0.0,21.72,74.94,0.0,27.36,0.07,0.0,133.67,1.37,0.0,0.0,2.35,0.0,0.0,0.0,24-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
24-Feb-2018 - 00:00,,0.0,0.0,24.57,60.28,0.0,61.73,0.05,0.0,104.74,1.04,0.0,0.0,9.09,0.0,0.0,0.0,25-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
25-Feb-2018 - 00:00,,0.0,0.0,24.14,75.9,0.0,53.37,0.06,0.0,148.83,0.95,0.0,0.0,15.44,0.0,0.0,0.0,26-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
26-Feb-2018 - 00:00,,0.0,0.0,22.3,65.06,0.0,79.83,0.05,0.0,266.72,0.93,0.0,0.0,16.03,0.0,0.0,0.0,27-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
27-Feb-2018 - 00:00,,0.0,0.0,22.06,58.19,0.0,77.95,0.05,0.0,269.14,0.9,0.35,0.08,34.9,0.0,0.0,0.41,28-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
28-Feb-2018 - 00:00,,0.0,0.0,23.95,65.86,0.0,70.42,0.05,0.0,251.59,1.06,0.0,0.0,48.2,0.0,0.0,0.0,01-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
01-Mar-2018 - 00:00,,0.0,0.0,25.24,56.52,1.12,74.36,0.05,0.0,271.89,1.09,0.0,0.0,43.9,0.0,0.0,0.0,02-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
02-Mar-2018 - 00:00,,0.0,0.0,25.07,53.22,0.4,74.05,0.05,0.0,263.03,1.02,0.0,0.0,37.68,0.0,0.0,0.0,03-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
03-Mar-2018 - 00:00,,0.0,0.0,25.6,50.7,0.51,78.03,0.05,0.0,263.43,1.03,0.0,0.0,37.46,0.0,0.0,0.0,04-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
04-Mar-2018 - 00:00,,0.0,0.0,25.96,50.04,1.04,73.53,0.05,0.0,270.07,0.84,0.0,0.0,40.67,0.0,0.0,0.0,05-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
05-Mar-2018 - 00:00,,0.0,0.0,23.9,50.55,0.0,71.15,0.06,0.0,257.6,0.79,0.0,0.0,38.74,0.0,0.0,0.0,06-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
06-Mar-2018 - 00:00,,0.0,0.0,22.95,47.44,0.15,92.24,0.07,0.0,269.34,0.77,0.0,0.0,36.43,0.0,0.0,0.0,07-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
07-Mar-2018 - 00:00,,0.0,0.0,22.47,47.32,0.32,92.65,0.06,0.0,253.54,0.9,0.0,0.0,43.39,0.0,0.0,0.0,08-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
08-Mar-2018 - 00:00,,0.0,0.0,23.26,45.94,2.22,83.56,0.07,0.0,240.2,1.01,0.0,0.0,57.34,0.0,0.0,0.0,09-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
09-Mar-2018 - 00:00,,0.0,0.0,24.11,47.02,1.82,86.3,0.06,0.0,208.15,0.9,0.0,0.0,48.03,0.0,0.0,0.0,10-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
10-Mar-2018 - 00:00,,0.0,0.0,25.16,42.64,0.0,91.13,0.06,0.0,266.15,0.79,0.0,0.0,38.34,0.0,0.0,0.0,11-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
11-Mar-2018 - 00:00,,0.0,0.0,25.16,43.18,0.0,89.1,0.06,0.0,273.42,1.42,0.0,0.0,41.24,0.0,0.0,0.0,12-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
12-Mar-2018 - 00:00,,0.0,0.0,25.55,47.13,0.06,87.21,0.06,0.0,274.49,1.96,0.0,0.0,43.53,0.0,0.0,0.0,13-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
13-Mar-2018 - 00:00,,0.05,0.06,26.29,45.18,0.0,89.84,0.06,0.0,258.11,0.51,2.97,2.07,43.88,2.92,0.0,0.99,14-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
14-Mar-2018 - 00:00,,0.0,0.0,26.58,44.35,0.0,79.32,0.07,0.0,152.35,0.0,0.0,0.0,73.78,0.0,0.0,0.0,15-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
15-Mar-2018 - 00:00,,0.0,0.0,27.81,40.89,0.0,60.27,0.06,0.0,186.05,0.0,0.0,0.0,51.5,0.0,0.0,0.0,16-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
16-Mar-2018 - 00:00,,0.0,0.0,25.25,43.61,0.0,86.05,0.06,0.0,237.96,0.0,0.0,0.0,38.78,0.0,0.0,0.0,17-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
17-Mar-2018 - 00:00,,0.0,0.0,25.37,38.42,0.0,90.57,0.07,0.0,270.19,0.0,0.0,0.0,38.15,0.0,0.0,0.0,18-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
18-Mar-2018 - 00:00,,0.0,0.0,25.22,32.82,0.0,100.14,0.06,0.0,274.57,0.0,0.0,0.0,36.67,0.0,0.0,0.0,19-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
19-Mar-2018 - 00:00,,0.0,0.0,25.69,35.95,0.0,93.2,0.06,0.0,276.31,0.0,0.0,0.0,42.26,0.0,0.0,0.0,20-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
20-Mar-2018 - 00:00,,0.0,0.0,27.55,36.76,0.0,93.1,0.06,0.0,273.23,0.21,4.36,1.49,39.88,0.0,0.0,1.02,21-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
21-Mar-2018 - 00:00,,0.0,0.0,28.51,38.14,0.06,75.37,0.07,0.0,144.82,0.0,0.0,0.0,48.13,0.0,0.0,0.0,22-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
22-Mar-2018 - 00:00,,0.0,0.0,27.79,39.22,0.0,83.02,0.07,0.0,212.8,0.0,0.0,0.0,46.43,0.0,0.0,0.0,23-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
23-Mar-2018 - 00:00,,0.0,0.0,28.01,38.68,0.0,86.1,0.06,0.0,275.18,0.0,0.0,0.0,35.2,0.0,0.0,0.0,24-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
24-Mar-2018 - 00:00,,0.0,0.0,26.81,42.39,0.0,93.84,0.07,0.3,256.32,0.0,0.0,0.0,27.22,0.0,0.0,0.0,25-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
25-Mar-2018 - 00:00,,0.0,0.0,27.39,37.75,0.0,97.09,0.06,0.33,269.55,0.0,0.0,0.0,26.66,0.0,0.0,0.0,26-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
26-Mar-2018 - 00:00,,0.0,0.0,27.2,37.67,0.0,90.82,0.06,0.37,266.27,0.0,0.0,0.0,28.3,0.0,0.0,0.0,27-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
27-Mar-2018 - 00:00,,0.0,0.0,28.27,36.05,0.0,91.95,0.07,0.41,263.71,0.03,0.08,0.33,31.77,4.27,0.0,0.64,28-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
28-Mar-2018 - 00:00,,0.0,0.0,29.01,31.97,0.72,90.94,0.07,0.41,241.43,0.0,0.0,0.0,57.18,0.0,0.0,0.0,29-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
29-Mar-2018 - 00:00,,0.0,0.0,29.09,30.85,1.38,97.62,0.06,0.38,271.34,0.0,0.0,0.0,54.25,0.0,0.0,0.0,30-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
30-Mar-2018 - 00:00,,0.0,0.0,28.11,34.79,0.0,85.81,0.06,0.36,166.65,0.0,0.0,0.0,40.86,0.0,0.0,0.0,31-Mar-2018 - 00:00,,"Central School, Lucknow - CPCB"
31-Mar-2018 - 00:00,,0.0,0.0,25.29,43.4,0.0,86.69,0.08,0.42,109.8,0.0,0.0,0.0,23.86,0.0,0.0,0.0,01-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
01-Apr-2018 - 00:00,,0.0,0.0,26.46,49.49,0.0,83.96,0.07,0.41,96.18,0.0,0.0,0.0,31.81,0.0,0.0,0.0,02-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
02-Apr-2018 - 00:00,,0.0,0.0,27.95,44.84,0.09,84.8,0.09,0.4,90.34,0.0,0.0,0.0,47.66,0.0,0.0,0.0,03-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
03-Apr-2018 - 00:00,,0.0,0.0,29.82,38.72,0.06,80.5,0.1,0.39,116.53,0.04,0.9,0.19,36.51,1.18,0.0,0.69,04-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
04-Apr-2018 - 00:00,,0.0,0.0,30.16,38.3,0.0,114.29,0.1,0.33,164.48,0.0,0.0,0.0,32.51,0.0,0.0,0.0,05-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
05-Apr-2018 - 00:00,,0.0,0.0,30.89,41.46,0.0,119.25,0.03,0.44,107.22,0.0,0.0,0.0,26.8,0.0,0.0,0.0,06-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
06-Apr-2018 - 00:00,,0.0,0.0,27.92,53.08,0.0,67.03,0.06,0.44,105.11,0.0,0.0,0.0,24.96,0.0,0.0,0.0,07-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
07-Apr-2018 - 00:00,,0.0,0.0,26.43,62.22,0.0,96.09,0.13,0.37,97.19,0.0,0.0,0.0,24.64,0.0,0.0,0.0,08-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
08-Apr-2018 - 00:00,,0.0,0.0,27.71,52.72,0.0,90.76,0.06,0.38,108.06,0.0,0.0,0.0,28.78,0.0,0.0,0.0,09-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
09-Apr-2018 - 00:00,,0.0,0.0,26.37,60.51,0.0,73.78,0.06,0.35,124.41,0.0,0.0,0.0,27.67,0.0,0.0,0.0,10-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
10-Apr-2018 - 00:00,,0.0,0.0,26.84,62.02,0.0,100.33,0.07,0.29,168.77,0.0,0.0,0.0,30.18,0.0,0.0,0.0,11-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
11-Apr-2018 - 00:00,,0.0,0.0,27.32,56.37,0.01,76.19,0.06,0.32,162.78,0.0,0.0,0.0,27.07,0.0,0.0,0.0,12-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
12-Apr-2018 - 00:00,,0.0,0.0,30.16,40.08,0.01,116.91,-0.03,0.34,261.02,0.0,0.0,0.0,28.17,0.0,0.0,0.0,13-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
13-Apr-2018 - 00:00,,0.0,0.0,29.38,36.33,0.0,104.0,-0.03,0.36,259.74,0.0,0.0,0.0,33.31,0.0,0.0,0.0,14-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
14-Apr-2018 - 00:00,,0.0,0.0,29.84,28.44,0.0,106.73,-0.02,0.38,260.02,0.0,0.0,0.0,33.25,0.0,0.0,0.0,15-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
15-Apr-2018 - 00:00,,0.0,0.0,31.57,28.74,0.0,101.04,-0.04,0.39,255.68,0.0,0.0,0.0,35.1,0.0,0.0,0.0,16-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
16-Apr-2018 - 00:00,,0.0,0.0,32.22,33.8,0.0,95.02,-0.04,0.4,221.53,0.0,0.0,0.0,45.69,0.0,0.0,0.0,17-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
17-Apr-2018 - 00:00,,0.0,0.0,32.4,34.36,0.0,87.53,0.01,0.37,155.82,0.0,0.0,0.0,45.24,0.0,0.0,0.0,18-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
18-Apr-2018 - 00:00,,0.0,0.0,32.58,29.84,0.02,100.23,0.07,0.37,265.5,0.0,0.0,0.0,29.08,0.0,0.0,0.0,19-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
19-Apr-2018 - 00:00,,0.0,0.0,32.61,26.78,0.05,98.41,0.07,0.39,268.52,0.0,0.0,0.0,41.88,0.0,0.0,0.0,20-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
20-Apr-2018 - 00:00,,0.0,0.0,31.02,37.45,0.0,83.24,0.07,0.43,134.9,0.0,0.0,0.0,50.44,0.0,0.0,0.0,21-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
21-Apr-2018 - 00:00,,0.0,0.0,31.61,30.29,0.0,95.49,0.08,0.31,260.58,0.0,0.0,0.0,29.42,0.0,0.0,0.0,22-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
22-Apr-2018 - 00:00,,0.0,0.0,29.68,22.42,0.0,109.36,0.07,0.36,282.32,0.0,0.0,0.0,26.27,0.0,0.0,0.0,23-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
23-Apr-2018 - 00:00,,0.0,0.0,30.27,20.7,0.0,110.71,0.07,0.42,271.15,0.04,0.0,0.0,26.78,0.0,0.0,0.0,24-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
24-Apr-2018 - 00:00,,0.0,0.0,33.19,20.97,0.0,137.98,0.04,0.4,258.73,0.0,0.0,0.0,48.59,0.0,0.0,0.0,25-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
25-Apr-2018 - 00:00,,0.0,0.0,31.14,26.72,0.0,103.25,0.07,0.42,243.93,0.0,0.0,0.0,66.69,0.0,0.0,0.0,26-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
26-Apr-2018 - 00:00,,0.0,0.0,30.6,40.0,0.0,86.05,0.09,0.44,118.11,0.0,0.0,0.0,29.53,0.0,0.0,0.0,27-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
27-Apr-2018 - 00:00,,0.0,0.0,29.35,49.0,0.0,91.81,0.07,0.41,107.85,0.0,0.0,0.0,22.76,0.0,0.0,0.0,28-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
28-Apr-2018 - 00:00,,0.0,0.0,30.22,48.61,0.0,85.24,0.05,0.41,110.84,0.0,0.0,0.0,24.39,0.0,0.0,0.0,29-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
29-Apr-2018 - 00:00,,0.0,0.0,30.5,51.37,0.0,85.84,0.09,0.43,112.19,0.0,0.0,0.0,24.68,0.0,0.0,0.0,30-Apr-2018 - 00:00,,"Central School, Lucknow - CPCB"
30-Apr-2018 - 00:00,,0.0,0.0,26.94,65.2,0.0,65.54,0.08,0.43,123.44,0.0,0.0,0.0,22.47,0.0,0.0,0.0,01-May-2018 - 00:00,,"Central School, Lucknow - CPCB"
01-May-2018 - 00:00,,0.0,0.0,27.38,70.73,0.03,77.74,0.06,0.49,109.86,0.0,0.0,0.0,22.68,0.0,0.0,0.0,02-May-2018 - 00:00,,"Central School, Lucknow - CPCB"
