from date,MP-Xylene,Toluene,Benzene,AT,RH,ETH,SR,VWS,WS,WD,CO,NO,NO2,NOx,Ozone,PM2.5,SO2,to date,BP,station
01-Jan-2018 - 00:00,0.0,1.09,2.1,8.9,99.14,0.0,12.81,0.1,0.29,240.39,781.14,10.08,27.99,22.73,19.46,121.03,4.74,02-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
02-Jan-2018 - 00:00,0.0,1.1,2.1,7.7,98.11,0.0,14.34,0.09,0.3,200.82,,5.33,5.97,6.36,19.81,175.33,5.88,03-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
03-Jan-2018 - 00:00,0.61,2.68,2.76,6.83,98.95,1.31,21.8,0.1,0.27,273.0,842.37,10.89,28.08,23.41,14.48,172.73,6.28,04-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
04-Jan-2018 - 00:00,1.19,4.2,3.42,10.46,95.52,2.61,22.26,0.1,0.28,173.94,938.4,11.71,46.61,34.16,25.06,193.08,5.71,05-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
05-Jan-2018 - 00:00,1.2,4.22,3.41,8.24,99.12,2.6,17.45,0.1,0.29,232.1,,24.33,52.96,47.63,9.74,195.48,5.79,06-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
06-Jan-2018 - 00:00,1.2,4.16,3.39,8.68,87.08,2.6,30.19,0.1,0.29,235.04,,37.11,49.29,56.17,18.5,125.92,6.17,07-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
07-Jan-2018 - 00:00,1.2,4.19,3.39,9.03,89.55,2.6,22.78,0.1,0.31,205.34,,59.56,55.74,77.3,15.93,177.44,5.81,08-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
08-Jan-2018 - 00:00,1.2,4.21,3.41,11.61,95.22,2.6,33.26,0.09,0.32,152.41,965.51,22.63,55.45,47.6,15.8,210.1,5.46,09-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
09-Jan-2018 - 00:00,1.21,4.21,3.4,11.17,99.13,2.59,19.48,0.11,0.27,184.14,,35.39,46.46,53.53,9.63,169.37,5.54,10-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
10-Jan-2018 - 00:00,1.2,4.18,3.4,10.93,97.12,2.61,27.02,0.11,0.27,207.33,870.38,16.46,46.73,38.02,13.73,173.36,4.93,11-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
11-Jan-2018 - 00:00,0.56,1.96,1.59,10.59,96.92,1.22,20.64,0.1,0.29,198.06,,25.24,50.03,46.81,16.15,175.37,5.39,12-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
12-Jan-2018 - 00:00,0.0,0.0,0.0,10.26,99.12,0.0,18.33,0.1,0.26,157.71,,17.66,56.6,44.23,9.58,195.39,5.3,13-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
13-Jan-2018 - 00:00,0.0,0.0,0.0,11.7,94.82,0.0,21.84,0.1,0.29,247.16,,46.56,52.76,65.87,17.07,212.38,5.68,14-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
14-Jan-2018 - 00:00,0.0,0.0,0.0,14.03,77.23,4.35,37.91,0.11,0.33,259.46,,54.16,61.22,75.89,25.04,188.77,5.08,15-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
15-Jan-2018 - 00:00,0.0,0.0,0.0,14.18,73.09,9.99,29.92,0.1,0.34,266.66,,60.28,63.38,81.94,25.22,193.8,5.13,16-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
16-Jan-2018 - 00:00,0.0,0.0,0.0,12.8,82.6,0.0,27.55,0.1,0.32,196.74,932.72,11.4,48.19,34.75,32.57,142.08,6.52,17-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
17-Jan-2018 - 00:00,0.0,0.0,0.0,11.16,97.5,0.67,29.16,0.11,0.27,117.27,,28.18,54.17,51.36,8.57,134.05,4.93,18-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
18-Jan-2018 - 00:00,0.0,0.0,0.0,12.73,82.64,381.43,35.89,0.12,0.32,254.39,,70.79,55.82,76.49,17.74,165.65,6.2,19-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
19-Jan-2018 - 00:00,20.83,93.75,7.67,16.07,79.08,347.0,35.23,0.11,0.35,223.07,,124.65,55.72,131.59,14.24,190.8,19.33,20-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
20-Jan-2018 - 00:00,0.0,0.0,0.0,11.66,80.49,,15.02,0.1,0.3,175.18,494.58,21.68,39.13,41.29,10.01,126.13,17.37,21-Jan-2018 - 00:00,914.83,"Central School, Lucknow - CPCB"
21-Jan-2018 - 00:00,0.0,0.0,0.0,4.66,30.86,,0.5,0.03,0.12,93.02,,47.58,29.0,75.31,1.18,78.52,2.62,22-Jan-2018 - 00:00,354.2,"Central School, Lucknow - CPCB"
22-Jan-2018 - 00:00,0.0,0.0,0.0,14.33,78.9,,35.17,0.09,0.32,270.34,,33.45,42.59,49.42,24.07,202.29,2.82,23-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
23-Jan-2018 - 00:00,50.13,63.19,0.51,14.85,77.68,136.2,36.33,0.09,0.34,140.59,,27.32,21.85,33.48,29.18,189.25,4.04,24-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
24-Jan-2018 - 00:00,48.36,50.15,0.44,14.76,88.09,66.32,32.6,0.09,0.29,208.42,905.2,8.93,10.28,12.61,24.69,100.53,4.58,25-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
25-Jan-2018 - 00:00,23.32,45.48,1.58,12.6,96.64,29.97,24.72,0.09,0.35,252.44,837.96,6.85,3.34,6.69,20.09,118.4,4.69,26-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
26-Jan-2018 - 00:00,15.34,39.14,1.97,13.03,89.87,25.67,32.58,0.09,0.37,243.4,989.24,5.49,2.67,5.63,24.31,115.65,5.46,27-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
27-Jan-2018 - 00:00,6.8,30.13,2.58,11.66,90.06,16.93,26.34,0.08,0.31,243.77,,5.81,3.0,5.92,22.16,125.75,5.28,28-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
28-Jan-2018 - 00:00,16.4,37.02,3.64,11.83,81.5,16.06,42.82,0.09,0.39,186.82,,4.53,2.52,4.81,23.82,148.14,5.64,29-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
29-Jan-2018 - 00:00,7.0,44.49,6.46,13.08,74.09,20.25,42.46,0.08,0.37,204.64,,4.61,2.65,4.21,23.12,152.83,6.11,30-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
30-Jan-2018 - 00:00,8.56,18.33,0.72,15.63,71.03,8.1,35.57,0.07,0.39,230.75,968.86,6.56,2.52,6.31,31.61,126.69,5.9,31-Jan-2018 - 00:00,,"Central School, Lucknow - CPCB"
31-Jan-2018 - 00:00,1.67,7.92,0.0,16.71,64.42,2.5,33.51,0.08,0.39,248.72,854.37,6.44,4.28,7.02,32.43,89.77,5.66,01-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
01-Feb-2018 - 00:00,0.43,0.0,0.0,16.96,70.25,0.0,37.25,0.09,0.38,240.62,958.03,5.88,2.52,5.59,27.95,115.03,6.28,02-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
02-Feb-2018 - 00:00,0.0,0.0,0.35,15.07,64.99,0.0,30.06,0.08,0.33,217.5,,4.64,2.06,5.84,19.84,105.04,5.45,03-Feb-2018 - 00:00,886.29,"Central School, Lucknow - CPCB"
03-Feb-2018 - 00:00,0.0,0.0,0.49,17.97,75.0,0.0,37.1,0.1,0.33,108.03,,2.67,1.49,2.8,18.07,168.53,5.15,04-Feb-2018 - 00:00,982.9,"Central School, Lucknow - CPCB"
04-Feb-2018 - 00:00,0.0,0.0,0.0,17.6,61.09,0.0,39.3,0.09,0.34,272.93,786.15,6.62,3.62,7.1,31.57,118.29,5.62,05-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
05-Feb-2018 - 00:00,0.0,0.0,0.0,15.74,57.87,0.0,31.78,0.09,0.36,264.83,870.15,7.14,2.94,6.8,34.11,102.34,6.64,06-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
06-Feb-2018 - 00:00,0.0,0.0,0.4,15.96,58.6,0.0,36.42,0.09,0.38,259.66,850.88,8.03,7.94,10.63,26.49,104.47,6.59,07-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
07-Feb-2018 - 00:00,0.0,0.0,0.0,14.96,59.24,0.0,24.48,0.07,0.39,257.09,679.46,9.52,18.1,17.24,22.58,95.3,6.23,08-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
08-Feb-2018 - 00:00,0.0,0.0,0.0,16.07,52.42,10.53,32.61,0.05,0.36,266.77,618.66,9.45,16.22,16.19,27.87,94.63,5.78,09-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
09-Feb-2018 - 00:00,0.0,0.0,0.0,16.6,47.62,30.72,28.3,0.04,0.37,263.32,639.48,9.92,17.24,17.11,32.29,84.23,7.47,10-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
10-Feb-2018 - 00:00,0.0,0.16,0.0,16.98,45.91,65.15,31.43,0.04,0.36,264.28,,8.38,16.23,14.81,27.5,66.34,9.09,11-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
11-Feb-2018 - 00:00,0.0,0.0,0.0,16.23,53.87,67.92,25.2,0.05,0.37,191.03,893.96,5.39,11.06,9.24,18.95,6.75,6.96,12-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
12-Feb-2018 - 00:00,0.0,0.0,0.0,15.55,78.42,48.13,32.73,0.17,0.32,109.39,901.71,9.37,19.59,18.14,17.17,21.26,7.24,13-Feb-2018 - 00:00,,"Central School, Lucknow - CPCB"
