from date,Temp,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,VWS,to date,station
01-Jan-2018 - 00:00,29.55,2.28,18.8,6.73,55.1,35.54,3.61,221.8,1.3,1.59,0.93,12.88,91.66,1.11,130.49,68.26,751.38,0.0,-0.04,02-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
02-Jan-2018 - 00:00,30.05,2.08,20.26,44.08,70.23,74.79,6.25,282.3,1.12,1.43,0.91,12.03,86.67,0.92,120.93,55.41,751.61,0.0,-0.02,03-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
03-Jan-2018 - 00:00,29.12,3.36,13.93,15.64,75.45,54.0,4.24,217.06,1.1,1.32,0.81,10.94,90.14,1.61,122.47,97.89,752.17,0.0,-0.04,04-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
04-Jan-2018 - 00:00,28.8,2.4,18.16,53.87,78.38,87.35,7.07,358.67,1.09,1.34,0.8,11.19,88.74,0.82,120.4,74.33,753.0,0.0,-0.02,05-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
05-Jan-2018 - 00:00,28.46,2.58,17.08,15.79,68.27,50.2,3.72,274.18,1.07,1.38,0.82,9.63,90.58,1.27,153.25,78.29,752.17,0.0,-0.03,06-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
06-Jan-2018 - 00:00,28.32,2.27,17.04,73.35,109.9,153.01,9.23,298.33,0.95,1.26,0.81,9.21,88.78,0.91,161.73,42.34,751.22,0.0,-0.02,07-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
07-Jan-2018 - 00:00,30.14,4.37,12.99,47.37,122.85,106.22,8.4,312.57,1.2,1.46,0.9,13.3,78.49,1.29,165.48,124.43,751.98,0.0,0.0,08-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
08-Jan-2018 - 00:00,27.87,2.89,22.44,81.78,101.01,123.71,8.29,255.85,1.04,1.25,0.8,16.82,64.7,1.35,122.62,137.66,754.91,0.0,-0.01,09-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
09-Jan-2018 - 00:00,29.13,3.37,16.85,48.09,80.41,83.61,5.56,310.46,1.03,1.29,0.81,11.43,87.97,0.94,124.02,81.67,756.04,0.0,-0.01,10-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
10-Jan-2018 - 00:00,29.45,3.88,18.0,41.99,101.37,89.98,11.02,322.72,1.07,1.35,0.8,13.98,79.3,1.44,163.54,126.32,755.21,0.0,0.0,11-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
