from date,NOx,Ozone,PM2.5,SO2,Benzene,Toluene,Eth-Benzene,MP-Xylene,O Xylene,RH,SR,VWS,WS,NO,WD,NO2,to date,BP,CO,station
01-Jan-2018 - 00:00,29.42,24.11,188.25,4.81,3.99,1.47,0.0,0.0,0.03,99.12,7.89,0.05,0.48,13.0,226.47,36.14,02-Jan-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
02-Jan-2018 - 00:00,46.81,25.78,185.22,8.98,9.95,6.55,1.06,3.95,1.88,96.41,10.14,0.06,0.56,39.5,286.65,35.05,03-Jan-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
03-Jan-2018 - 00:00,28.08,14.65,278.93,3.46,0.63,14.77,0.12,1.6,0.61,97.3,17.29,0.05,0.74,14.34,297.79,31.27,04-Jan-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
04-Jan-2018 - 00:00,31.55,30.66,295.48,6.18,1.26,15.43,0.13,1.85,1.51,93.63,17.52,0.05,0.54,14.64,206.63,38.55,05-Jan-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
05-Jan-2018 - 00:00,37.18,13.95,268.56,5.22,1.07,12.15,1.01,2.06,0.39,98.95,12.6,0.07,0.62,19.77,248.22,40.25,06-Jan-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
06-Jan-2018 - 00:00,56.05,25.92,238.04,8.99,2.77,8.58,3.35,11.43,1.92,88.41,24.43,0.06,0.44,38.46,260.74,47.66,07-Jan-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
07-Jan-2018 - 00:00,63.33,17.04,276.16,7.03,2.49,9.05,3.35,10.49,0.88,89.43,23.26,0.05,0.38,43.24,233.07,54.04,08-Jan-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
08-Jan-2018 - 00:00,47.53,20.67,343.87,4.55,2.31,9.1,2.65,2.33,0.35,90.79,24.29,0.06,0.58,25.8,139.44,50.6,09-Jan-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
09-Jan-2018 - 00:00,47.21,17.08,272.03,5.83,2.3,9.67,3.03,4.11,0.92,98.67,17.39,0.07,0.47,37.7,250.43,37.35,10-Jan-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
10-Jan-2018 - 00:00,39.59,15.85,252.64,4.6,1.34,9.5,2.67,1.49,0.11,95.21,24.44,0.07,0.62,22.36,219.99,40.94,11-Jan-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
11-Jan-2018 - 00:00,46.16,14.03,124.3,4.24,1.6,4.92,1.7,6.78,0.77,47.6,16.39,0.02,0.25,12.63,121.54,24.17,12-Jan-2018 - 00:00,520.28,912.46,"Lalbagh, Lucknow - CPCB"
12-Jan-2018 - 00:00,38.15,10.08,125.21,2.32,0.95,4.38,1.1,0.96,0.13,42.11,28.25,0.02,0.32,9.98,81.75,22.08,13-Jan-2018 - 00:00,445.73,672.7,"Lalbagh, Lucknow - CPCB"
13-Jan-2018 - 00:00,74.09,16.54,178.96,8.15,2.57,4.4,3.29,8.5,3.25,42.54,35.27,0.02,0.15,35.82,111.51,32.15,14-Jan-2018 - 00:00,487.87,,"Lalbagh, Lucknow - CPCB"
14-Jan-2018 - 00:00,80.05,26.27,195.16,8.95,3.28,7.12,3.16,13.36,2.08,55.16,40.21,0.02,0.2,51.76,177.19,49.77,15-Jan-2018 - 00:00,784.95,,"Lalbagh, Lucknow - CPCB"
15-Jan-2018 - 00:00,64.43,29.34,238.74,7.14,4.84,9.53,3.21,13.5,2.65,71.46,40.72,0.03,0.38,42.46,246.38,57.53,16-Jan-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
16-Jan-2018 - 00:00,39.09,39.1,196.79,6.29,2.38,8.87,2.45,2.49,0.72,80.39,43.06,0.04,0.56,20.13,169.93,43.48,17-Jan-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
17-Jan-2018 - 00:00,57.89,25.05,217.22,7.18,2.86,9.32,3.03,3.4,0.74,95.26,47.41,0.05,0.45,40.56,202.1,47.94,18-Jan-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
18-Jan-2018 - 00:00,59.3,32.62,268.12,3.34,3.44,8.65,4.7,15.35,2.91,81.79,31.92,0.05,0.42,56.73,251.89,37.41,19-Jan-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
19-Jan-2018 - 00:00,75.33,26.21,314.95,7.39,5.41,8.25,5.21,16.19,3.19,79.48,29.99,0.03,0.34,72.24,257.8,31.79,20-Jan-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
20-Jan-2018 - 00:00,35.5,22.35,204.76,6.41,3.27,8.43,2.62,7.96,1.35,71.56,26.87,0.03,0.37,27.44,245.03,27.5,21-Jan-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
21-Jan-2018 - 00:00,33.0,37.95,193.36,6.83,1.69,8.64,2.09,8.47,0.91,76.29,22.18,0.04,0.39,26.24,254.08,24.61,22-Jan-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
22-Jan-2018 - 00:00,56.36,35.34,246.76,7.4,3.28,9.32,3.67,9.18,1.41,80.07,26.91,0.05,0.39,50.13,260.88,31.95,23-Jan-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
23-Jan-2018 - 00:00,74.42,19.46,241.25,5.19,4.56,5.77,3.24,6.46,1.5,52.43,26.15,0.01,0.26,65.14,112.16,18.09,24-Jan-2018 - 00:00,664.95,,"Lalbagh, Lucknow - CPCB"
24-Jan-2018 - 00:00,28.61,20.47,83.69,4.55,1.5,4.8,1.3,7.74,1.25,45.21,20.82,0.02,0.31,13.17,141.97,11.49,25-Jan-2018 - 00:00,549.09,729.25,"Lalbagh, Lucknow - CPCB"
25-Jan-2018 - 00:00,28.69,17.55,169.16,6.86,2.21,8.72,2.0,7.86,0.72,96.43,24.65,0.03,0.99,25.61,232.86,17.18,26-Jan-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
26-Jan-2018 - 00:00,28.31,27.33,205.6,7.34,1.74,9.55,2.39,3.66,0.44,87.99,33.11,0.04,0.38,23.0,248.88,20.79,27-Jan-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
27-Jan-2018 - 00:00,30.28,26.55,176.14,6.77,2.16,9.07,2.4,3.35,0.66,90.57,29.33,0.06,0.56,24.42,258.84,22.19,28-Jan-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
28-Jan-2018 - 00:00,36.29,28.54,228.49,6.58,2.45,9.21,2.8,3.54,0.79,81.38,37.44,0.05,0.42,29.54,255.49,25.48,29-Jan-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
29-Jan-2018 - 00:00,33.38,12.3,141.67,3.4,1.07,5.41,1.52,0.87,1.38,56.04,29.08,0.04,0.33,16.9,144.66,13.59,30-Jan-2018 - 00:00,624.72,720.28,"Lalbagh, Lucknow - CPCB"
30-Jan-2018 - 00:00,27.34,34.2,132.35,5.53,2.58,7.82,1.56,7.16,0.67,57.89,32.13,0.02,0.46,18.96,224.76,19.74,31-Jan-2018 - 00:00,887.62,982.49,"Lalbagh, Lucknow - CPCB"
