from date,Benzene,Toluene,Xylene,BP,PM2.5,RH,SR,Temp,VWS,WD,WS,RF,CO,NO,NO2,NOx,Ozone,SO2,to date,station
22-Jan-2018 - 00:00,2.57,5.15,4.05,745.47,201.19,59.06,11.65,28.15,-0.19,207.28,0.68,0.0,1.69,34.16,59.7,60.79,11.71,19.16,23-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
23-Jan-2018 - 00:00,1.51,2.92,2.0,745.12,168.89,73.38,13.5,28.01,-0.13,179.99,1.84,0.01,1.18,12.64,58.46,42.25,13.56,17.65,24-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
24-Jan-2018 - 00:00,1.08,2.01,1.08,745.0,166.83,87.89,16.8,27.89,-0.43,212.86,1.98,0.0,1.08,16.8,58.65,45.8,11.62,19.86,25-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
25-Jan-2018 - 00:00,2.24,8.44,4.3,745.17,169.9,81.73,13.54,27.9,-0.41,290.5,1.77,0.0,1.91,55.13,60.26,78.52,11.63,25.69,26-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
26-Jan-2018 - 00:00,4.78,20.89,9.36,745.33,239.24,76.01,12.11,27.95,-0.24,316.15,0.76,0.0,2.67,62.02,58.27,83.16,11.76,27.44,27-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
27-Jan-2018 - 00:00,2.67,5.84,3.63,745.12,238.9,85.67,13.46,27.9,-0.21,296.27,0.68,0.0,2.15,40.43,55.02,63.46,11.78,25.89,28-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
28-Jan-2018 - 00:00,3.19,8.16,4.52,745.3,248.04,77.2,12.92,28.01,-0.22,267.52,0.59,0.0,2.21,33.34,60.1,60.29,11.71,25.83,29-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
29-Jan-2018 - 00:00,2.66,7.21,4.82,745.48,242.56,63.46,11.93,28.11,-0.35,262.79,1.28,0.0,2.3,51.93,65.34,78.61,11.68,28.31,30-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
30-Jan-2018 - 00:00,0.81,3.05,2.09,745.79,103.15,51.3,11.95,28.36,-0.62,271.27,3.18,0.0,0.87,22.72,65.48,54.44,11.83,25.97,31-Jan-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
31-Jan-2018 - 00:00,0.74,2.24,1.23,745.73,90.92,52.23,11.85,28.37,-0.82,287.74,4.24,0.0,0.73,10.0,63.59,42.85,11.79,26.96,01-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
01-Feb-2018 - 00:00,1.92,6.68,4.0,745.93,117.5,49.33,11.79,28.25,-0.26,276.02,1.39,0.0,1.34,38.74,60.5,65.01,11.55,27.99,02-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
02-Feb-2018 - 00:00,2.56,9.62,5.64,745.94,149.42,59.98,12.09,28.13,-0.22,304.97,0.91,0.0,1.5,32.23,56.47,57.39,12.0,28.95,03-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
03-Feb-2018 - 00:00,1.06,2.13,1.87,745.44,115.11,60.76,11.95,28.05,-0.28,295.63,1.99,0.0,0.88,10.86,59.11,41.32,11.68,28.08,04-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
04-Feb-2018 - 00:00,0.72,1.81,1.54,745.45,104.77,52.26,11.7,28.21,-0.55,294.99,3.04,0.0,0.84,15.52,59.21,45.01,12.2,29.16,05-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
05-Feb-2018 - 00:00,1.25,2.99,2.6,745.49,126.18,50.34,11.42,28.05,-0.24,283.05,1.38,0.0,1.08,20.51,61.06,50.19,11.83,29.66,06-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
06-Feb-2018 - 00:00,1.15,3.11,2.07,745.45,138.01,52.54,11.32,27.96,-0.48,293.6,2.83,0.0,1.02,17.5,61.5,48.97,11.86,29.08,07-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
07-Feb-2018 - 00:00,1.42,5.46,3.2,745.48,116.86,49.79,11.21,28.11,-0.48,293.64,2.74,0.0,1.23,33.55,62.98,62.07,12.03,32.68,08-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
08-Feb-2018 - 00:00,2.48,8.96,5.58,745.52,129.73,48.85,11.05,28.15,-0.23,304.24,0.92,0.0,1.32,38.38,60.2,65.98,11.91,33.43,09-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
09-Feb-2018 - 00:00,1.58,4.88,3.78,745.47,150.72,49.72,11.2,28.22,-0.25,306.42,1.38,0.0,1.32,32.57,61.59,60.48,12.2,35.11,10-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
10-Feb-2018 - 00:00,3.75,13.88,9.37,745.67,183.54,49.44,11.22,28.23,-0.18,313.07,0.69,0.0,2.14,88.12,56.63,103.93,12.03,40.95,11-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
11-Feb-2018 - 00:00,1.66,4.53,3.23,745.41,119.15,55.6,10.8,27.98,-0.03,239.65,2.21,0.0,1.1,24.76,54.82,50.34,11.8,35.51,12-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
12-Feb-2018 - 00:00,0.2,0.23,0.59,745.32,82.3,73.94,11.28,27.96,0.22,179.76,3.79,0.0,0.6,9.79,51.41,36.04,11.74,34.0,13-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
13-Feb-2018 - 00:00,0.5,0.85,1.1,745.48,87.22,77.91,11.74,27.93,-0.31,276.77,1.5,0.0,0.78,17.01,51.09,41.87,11.55,35.05,14-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
14-Feb-2018 - 00:00,0.16,0.65,0.8,745.47,73.23,60.89,11.79,28.08,-0.94,271.1,4.57,0.0,0.55,11.86,55.49,39.98,14.0,35.16,15-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
15-Feb-2018 - 00:00,0.23,0.76,0.78,745.62,60.65,57.22,11.62,28.07,-0.82,267.78,4.07,0.0,0.56,9.08,59.02,40.46,11.67,35.49,16-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
16-Feb-2018 - 00:00,0.94,2.83,1.79,745.67,92.41,59.24,11.84,27.99,-0.4,272.95,1.83,0.0,0.86,26.69,60.57,55.05,11.69,39.74,17-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
17-Feb-2018 - 00:00,1.32,4.43,2.78,745.92,98.56,56.57,12.1,28.06,-0.37,288.86,1.66,0.0,1.02,29.95,57.25,55.95,11.74,41.11,18-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
18-Feb-2018 - 00:00,1.05,2.46,2.21,745.98,115.77,54.07,12.21,28.07,-0.26,334.16,1.14,0.0,0.94,18.35,52.84,44.9,11.83,39.58,19-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
19-Feb-2018 - 00:00,2.89,4.87,5.02,745.96,130.74,50.04,12.12,28.11,-0.25,302.27,1.0,0.0,1.6,52.75,55.4,73.88,11.98,43.67,20-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
