from date,Benzene,Eth-Benzene,MP-Xylene,Toluene,PM10,PM2.5,RH,SR,WD,WS,Temp,CO,NH3,NO,NO2,NOx,O Xylene,SO2,Ozone,to date,station
09-Jun-2018 - 00:00,1.38,0.67,3.77,6.64,46.84,25.23,75.6,140.09,209.03,0.87,32.11,0.57,25.98,1.65,14.2,8.49,1.36,0.69,12.43,10-Jun-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
10-Jun-2018 - 00:00,1.44,1.27,4.01,11.36,32.48,18.22,92.52,76.09,217.39,0.57,29.59,0.6,26.84,1.16,13.64,7.93,1.5,0.19,11.88,11-Jun-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
11-Jun-2018 - 00:00,3.55,3.1,11.37,18.16,58.84,20.77,86.02,133.23,203.77,0.83,31.41,0.87,25.65,5.45,16.95,13.04,4.73,0.59,13.44,12-Jun-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
12-Jun-2018 - 00:00,8.87,10.0,15.07,19.91,77.86,25.88,74.5,164.85,203.73,0.85,33.56,0.6,22.32,1.69,15.2,10.49,10.82,0.68,14.41,13-Jun-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
13-Jun-2018 - 00:00,2.5,2.76,6.89,12.76,111.15,20.66,59.58,152.03,216.89,0.75,35.66,0.72,20.22,3.01,20.49,13.07,3.16,1.71,13.19,14-Jun-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
14-Jun-2018 - 00:00,0.58,0.36,1.38,3.93,120.79,27.24,60.45,75.7,213.62,0.69,33.57,0.36,19.91,1.49,10.52,6.56,0.44,2.06,12.65,15-Jun-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
15-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jun-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
16-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,,17-Jun-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
17-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,,18-Jun-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
18-Jun-2018 - 00:00,4.79,3.76,14.76,22.73,70.09,33.6,81.27,506.92,171.56,0.57,31.91,1.06,13.66,4.54,25.04,16.47,6.47,0.99,11.81,19-Jun-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
19-Jun-2018 - 00:00,2.92,2.67,8.37,18.98,62.46,22.28,68.57,454.21,189.75,0.82,33.83,1.05,15.74,2.13,20.59,12.25,3.6,2.53,30.03,20-Jun-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
20-Jun-2018 - 00:00,3.05,2.38,7.87,15.37,56.49,28.17,67.86,390.5,186.52,1.21,34.61,0.93,15.03,2.34,20.84,12.52,3.33,4.42,30.4,21-Jun-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
21-Jun-2018 - 00:00,1.57,0.95,4.93,7.7,37.34,16.29,67.47,470.27,211.42,3.38,34.45,0.66,12.76,1.36,15.01,8.61,1.91,1.79,33.9,22-Jun-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
22-Jun-2018 - 00:00,3.16,2.62,9.61,15.9,42.2,19.33,81.98,185.49,184.11,6.13,31.73,0.91,12.02,2.37,19.03,11.65,4.14,0.47,22.97,23-Jun-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
23-Jun-2018 - 00:00,1.63,0.79,4.22,7.59,35.82,19.03,68.34,429.07,190.19,6.37,34.21,0.7,11.26,1.28,15.2,8.83,1.59,0.52,30.32,24-Jun-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
24-Jun-2018 - 00:00,1.37,0.7,3.49,10.81,27.37,15.8,68.58,339.1,197.53,5.92,34.36,0.64,10.54,1.58,13.23,7.87,1.27,0.49,26.89,25-Jun-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
25-Jun-2018 - 00:00,2.61,1.92,8.07,15.89,29.62,16.4,62.89,393.67,205.35,4.64,34.88,0.69,11.79,3.6,14.02,9.75,3.25,0.83,19.94,26-Jun-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
26-Jun-2018 - 00:00,2.34,1.97,7.91,12.11,33.93,15.05,72.28,164.68,216.26,7.46,31.98,0.75,10.5,2.55,12.78,8.37,3.27,0.99,20.54,27-Jun-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
27-Jun-2018 - 00:00,4.07,4.1,13.02,19.04,32.63,17.56,93.29,47.43,209.41,1.6,28.84,0.96,9.55,7.1,12.86,12.27,5.57,1.0,15.5,28-Jun-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
28-Jun-2018 - 00:00,4.74,4.73,15.57,22.2,36.97,14.78,97.38,113.23,182.9,3.32,27.64,1.0,9.02,7.32,16.64,14.39,6.72,0.68,13.93,29-Jun-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
29-Jun-2018 - 00:00,3.97,3.57,12.84,17.92,45.04,15.67,86.65,368.65,188.57,4.5,29.54,0.9,8.56,5.11,13.13,10.77,5.45,0.45,19.16,30-Jun-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
30-Jun-2018 - 00:00,4.34,3.63,12.46,20.27,48.28,18.87,80.85,429.54,203.01,5.44,31.45,1.01,9.08,8.27,14.3,13.94,5.3,0.54,17.57,01-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
01-Jul-2018 - 00:00,3.81,2.29,9.03,15.06,56.29,12.3,88.92,292.43,215.22,3.82,31.01,0.79,12.15,4.2,15.27,11.15,3.97,0.45,16.65,02-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
02-Jul-2018 - 00:00,6.06,5.83,18.03,27.59,36.7,15.26,94.47,177.83,197.44,7.91,28.79,1.31,12.91,13.02,17.06,19.23,8.34,0.75,13.67,03-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
03-Jul-2018 - 00:00,5.62,20.72,26.3,30.82,57.0,22.55,82.3,245.45,198.7,8.34,31.38,0.92,14.55,8.25,17.31,15.52,12.34,0.93,11.5,04-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
04-Jul-2018 - 00:00,3.62,3.31,11.99,20.77,46.17,20.99,84.24,337.48,211.25,7.05,30.76,0.78,12.71,6.73,15.51,13.29,5.07,0.72,15.55,05-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
05-Jul-2018 - 00:00,3.24,2.58,9.81,15.69,38.49,17.75,90.14,261.94,204.9,8.88,29.49,0.85,13.69,7.45,19.27,15.95,4.26,0.65,15.1,06-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
06-Jul-2018 - 00:00,2.61,2.44,8.83,14.32,24.15,15.62,98.84,25.34,213.85,5.94,27.72,0.76,12.07,6.98,18.42,14.49,3.64,0.6,15.43,07-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
07-Jul-2018 - 00:00,2.25,1.58,7.07,10.32,35.3,14.72,90.02,341.83,209.94,7.2,30.49,0.77,13.23,2.86,14.98,9.82,2.79,0.5,16.1,08-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
08-Jul-2018 - 00:00,2.14,1.75,4.8,14.34,55.92,19.29,87.93,295.89,215.62,6.95,31.66,0.67,11.84,2.8,11.37,8.0,2.16,0.27,16.92,09-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
09-Jul-2018 - 00:00,4.74,3.91,10.89,23.22,38.67,17.3,97.13,73.94,201.36,2.69,29.42,0.84,14.95,10.36,15.51,15.71,4.62,0.86,14.51,10-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
10-Jul-2018 - 00:00,4.22,3.46,9.36,19.37,37.97,20.37,95.85,95.95,214.73,1.66,29.58,0.87,14.99,9.71,12.61,14.26,3.9,0.53,16.42,11-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
11-Jul-2018 - 00:00,4.37,3.1,9.25,18.13,52.27,19.76,93.5,99.96,208.0,13.05,30.0,0.99,22.43,10.57,13.65,15.5,3.97,0.7,14.21,12-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
12-Jul-2018 - 00:00,3.39,2.21,6.93,14.31,27.36,12.01,93.71,152.98,210.26,12.82,29.37,0.86,21.59,10.07,15.44,16.04,2.71,1.93,14.28,13-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
13-Jul-2018 - 00:00,3.08,1.86,5.52,13.01,43.28,12.87,87.79,269.78,208.72,4.17,30.44,0.9,18.2,9.53,42.71,29.79,2.15,2.81,15.34,14-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
14-Jul-2018 - 00:00,1.62,0.87,2.66,10.34,37.11,14.87,83.67,247.26,211.48,0.68,31.67,0.57,16.91,3.45,11.66,8.77,0.88,2.84,16.54,15-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
15-Jul-2018 - 00:00,1.87,0.75,2.7,8.47,23.08,11.04,91.11,238.69,202.25,0.66,30.55,0.57,14.88,3.49,10.27,7.92,0.89,2.83,17.62,16-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
16-Jul-2018 - 00:00,3.89,2.22,6.25,17.69,26.66,16.07,98.37,120.2,216.52,1.14,29.19,0.81,13.58,10.55,13.14,15.22,2.53,3.02,14.35,17-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
17-Jul-2018 - 00:00,3.2,1.58,5.36,12.92,25.96,17.53,93.98,224.24,208.43,0.7,29.25,0.72,12.25,10.87,13.02,15.39,1.93,2.84,14.5,18-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
18-Jul-2018 - 00:00,2.7,1.1,4.32,12.05,49.52,17.28,85.42,219.65,212.72,0.72,30.91,0.72,10.48,7.58,26.29,19.86,1.54,2.78,16.14,19-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
19-Jul-2018 - 00:00,3.43,1.85,5.61,14.51,56.05,19.81,83.5,201.05,210.73,0.59,31.21,1.01,13.28,9.92,20.85,18.72,2.09,3.17,16.0,20-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
20-Jul-2018 - 00:00,3.16,1.56,5.24,13.41,49.86,19.12,82.27,232.51,203.17,1.95,31.34,0.8,13.94,8.63,19.13,16.75,1.86,2.75,14.9,21-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
21-Jul-2018 - 00:00,3.49,2.68,6.44,15.94,32.69,18.26,90.23,109.6,195.29,1.24,29.93,0.76,12.74,6.41,16.01,13.39,2.45,3.26,15.27,22-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
22-Jul-2018 - 00:00,1.38,0.73,2.24,8.69,25.15,14.61,91.78,129.97,207.69,0.72,29.47,0.61,15.13,2.78,12.91,8.84,0.72,2.53,14.78,23-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
23-Jul-2018 - 00:00,2.58,1.69,4.69,19.6,29.53,20.56,94.18,129.71,203.87,1.01,28.6,0.73,13.16,5.16,12.62,10.44,1.7,3.08,14.28,24-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
24-Jul-2018 - 00:00,3.29,1.87,5.06,20.47,40.79,21.13,88.75,130.2,205.2,2.26,29.56,0.68,12.14,4.74,13.28,10.58,1.77,3.4,14.0,25-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
25-Jul-2018 - 00:00,2.18,0.97,3.74,11.51,49.51,18.39,87.1,113.33,208.32,4.15,29.84,0.75,12.0,4.18,11.38,9.18,1.23,2.72,14.0,26-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
26-Jul-2018 - 00:00,2.39,1.0,3.99,10.43,54.24,17.13,88.75,139.99,202.56,1.56,29.0,0.78,10.57,4.44,13.05,10.26,1.33,2.91,16.64,27-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
27-Jul-2018 - 00:00,3.12,1.54,5.04,13.98,54.52,20.04,91.66,177.04,193.68,1.95,29.19,0.83,9.7,4.61,14.12,10.99,1.82,3.39,13.22,28-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
28-Jul-2018 - 00:00,2.39,1.06,3.12,11.09,62.84,21.34,85.25,336.29,182.1,0.74,30.81,0.71,9.03,5.12,13.81,11.2,1.07,3.06,15.02,29-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
29-Jul-2018 - 00:00,1.34,0.37,1.42,5.09,73.05,17.38,80.95,245.7,198.43,1.62,31.12,0.59,9.19,2.46,12.35,8.22,0.4,2.96,15.14,30-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
30-Jul-2018 - 00:00,2.96,2.3,5.03,13.43,74.37,20.24,76.07,287.44,241.16,2.4,31.44,0.88,9.03,5.76,15.37,12.52,1.84,3.18,15.24,31-Jul-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
31-Jul-2018 - 00:00,2.68,1.87,4.24,11.14,80.67,20.52,76.89,256.79,210.68,3.12,31.32,0.66,8.9,4.82,16.01,12.08,1.54,3.7,14.54,01-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
01-Aug-2018 - 00:00,1.75,0.48,2.31,6.66,103.43,22.24,72.47,328.02,222.23,1.37,32.11,0.57,8.66,3.07,14.07,9.52,0.74,3.12,15.49,02-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
02-Aug-2018 - 00:00,1.36,0.23,1.32,4.36,135.23,33.5,69.59,297.46,223.19,0.49,32.37,0.44,6.53,1.89,10.82,6.81,0.39,2.73,19.71,03-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
03-Aug-2018 - 00:00,1.39,1.51,3.32,6.19,91.08,22.86,71.28,308.27,220.86,0.53,32.15,0.49,5.42,2.0,10.14,6.65,1.02,2.95,19.69,04-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
04-Aug-2018 - 00:00,1.85,1.11,3.3,7.63,72.54,19.56,71.11,359.25,206.59,0.45,32.24,0.61,5.38,3.15,12.67,8.98,1.11,3.24,21.06,05-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
05-Aug-2018 - 00:00,0.77,0.38,1.03,3.97,69.63,15.15,70.67,296.26,220.04,0.64,32.26,0.36,6.25,1.5,9.52,5.97,0.31,3.07,23.84,06-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
06-Aug-2018 - 00:00,1.76,0.93,3.08,7.9,69.67,22.39,72.91,242.72,210.84,0.5,31.67,0.5,5.73,3.27,11.95,8.55,0.99,2.81,22.16,07-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
