from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,P-Xylene,NH3,NO2,NO,NOx,Ozone,SO2,CO,to date,station
03-Feb-2018 - 00:00,16.82,992.16,260.06,130.5,59.71,120.38,297.66,1.53,0.0,,,,40.63,135.05,64.66,137.18,,26.45,1.45,04-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
04-Feb-2018 - 00:00,15.87,992.49,264.64,151.42,58.1,123.05,300.58,2.09,0.0,6.56,1.5,,38.77,114.08,38.77,79.62,2.97,21.3,1.33,05-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
05-Feb-2018 - 00:00,15.13,994.76,332.21,189.28,55.44,96.1,300.64,1.41,0.0,3.41,3.06,0.57,41.05,190.25,74.78,106.21,30.1,21.05,1.72,06-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
06-Feb-2018 - 00:00,16.65,994.68,297.66,170.45,51.8,82.89,292.01,2.07,0.0,2.2,4.16,0.56,41.8,130.09,48.06,113.42,26.51,30.14,1.38,07-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
07-Feb-2018 - 00:00,15.68,991.7,259.6,149.46,52.73,130.82,299.67,2.0,0.0,2.99,3.49,0.34,39.41,142.77,46.56,73.72,41.08,25.86,1.43,08-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
08-Feb-2018 - 00:00,15.39,990.34,310.51,172.58,58.7,87.78,283.24,1.13,0.0,7.46,2.67,0.38,35.88,181.74,84.38,55.74,31.84,14.26,2.91,09-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
09-Feb-2018 - 00:00,15.22,990.82,378.91,234.49,63.37,123.35,293.78,1.29,0.0,5.18,2.86,0.52,33.32,191.08,74.35,80.76,36.27,17.8,3.56,10-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
10-Feb-2018 - 00:00,16.08,993.09,455.8,249.91,63.69,114.52,224.36,0.56,0.0,3.61,5.19,0.83,22.68,83.55,87.47,75.26,44.34,21.32,4.72,11-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11-Feb-2018 - 00:00,17.36,992.6,333.93,182.73,59.53,102.65,162.8,1.43,0.0,3.13,3.48,0.7,40.16,76.48,59.19,88.32,24.0,18.25,3.07,12-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
12-Feb-2018 - 00:00,16.44,994.86,167.88,95.99,73.88,78.05,113.33,2.9,0.0,0.42,2.18,0.22,59.06,45.45,12.24,57.19,25.25,19.44,1.48,13-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
13-Feb-2018 - 00:00,16.64,998.5,169.54,119.62,78.82,117.55,237.53,1.38,0.0,1.03,4.11,0.56,55.75,71.37,60.7,135.66,29.88,18.83,1.25,14-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
14-Feb-2018 - 00:00,16.7,998.7,150.04,81.04,62.49,142.49,295.4,2.89,0.0,1.04,2.22,0.26,37.7,43.76,7.46,48.43,36.11,12.91,0.76,15-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
15-Feb-2018 - 00:00,17.81,996.65,186.0,100.0,61.93,136.05,294.42,3.01,0.0,0.76,2.73,0.35,44.19,46.73,16.34,64.85,41.29,20.46,1.0,16-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
16-Feb-2018 - 00:00,20.38,994.48,228.84,119.53,59.02,164.86,294.24,2.32,0.0,1.83,3.51,1.15,44.45,71.68,52.31,132.75,11.2,16.13,1.51,17-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
17-Feb-2018 - 00:00,18.94,990.01,278.42,160.11,65.63,128.11,292.63,2.36,0.0,1.07,4.05,0.67,57.99,77.07,49.76,129.6,36.14,27.5,1.82,18-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
18-Feb-2018 - 00:00,18.68,989.22,247.72,150.84,61.88,144.14,295.32,1.65,0.0,1.89,2.95,0.53,48.26,71.42,51.92,115.6,40.39,17.03,1.71,19-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
19-Feb-2018 - 00:00,18.47,990.67,321.91,181.73,59.65,137.72,293.41,1.26,0.0,4.31,2.86,0.56,40.78,106.3,86.22,113.37,37.67,15.17,2.95,20-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
20-Feb-2018 - 00:00,19.62,990.31,346.93,196.77,60.76,137.5,295.59,1.46,0.0,2.91,3.13,0.62,44.36,88.5,89.97,137.71,42.67,18.02,2.78,21-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
21-Feb-2018 - 00:00,22.05,987.82,362.91,166.14,60.59,115.61,246.96,0.78,0.0,5.04,2.91,1.23,22.11,81.47,92.82,71.62,14.33,9.95,4.28,22-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
22-Feb-2018 - 00:00,22.61,987.11,303.0,159.72,63.84,120.33,274.96,0.87,0.0,6.75,3.51,1.04,40.07,162.25,77.47,123.63,36.99,14.97,3.13,23-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
23-Feb-2018 - 00:00,25.29,987.33,338.29,143.49,51.28,123.19,174.79,0.59,0.0,5.5,2.32,0.44,38.18,304.92,100.03,114.19,50.98,8.57,2.76,24-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
24-Feb-2018 - 00:00,24.35,989.29,359.88,181.21,59.01,102.67,109.08,1.32,0.0,3.52,1.83,0.56,44.59,269.28,146.47,157.45,36.46,8.28,2.28,25-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
25-Feb-2018 - 00:00,23.09,992.37,223.38,118.71,58.74,122.82,267.75,1.75,0.0,1.08,2.68,0.27,58.74,177.34,87.47,206.41,43.04,24.5,1.22,26-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
26-Feb-2018 - 00:00,21.44,990.41,149.04,71.25,61.65,148.26,293.47,3.29,0.0,0.44,2.21,0.24,49.39,103.76,16.65,110.23,43.14,20.6,0.81,27-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
27-Feb-2018 - 00:00,22.44,989.8,187.17,95.42,62.67,135.49,294.91,2.21,0.0,1.28,2.62,0.48,47.82,77.3,42.08,98.37,36.13,17.41,1.38,28-Feb-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
28-Feb-2018 - 00:00,23.13,989.96,284.39,164.55,67.51,119.3,291.89,1.1,0.0,1.89,4.07,0.86,59.27,88.97,87.8,187.11,39.2,19.13,1.96,01-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
01-Mar-2018 - 00:00,22.42,988.34,248.0,123.74,61.1,116.47,294.63,1.28,0.0,1.72,4.74,0.87,55.03,97.56,89.76,174.57,36.46,24.34,1.88,02-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
02-Mar-2018 - 00:00,23.49,986.75,256.66,138.48,60.41,133.81,279.08,1.38,0.0,2.53,2.94,0.89,47.86,119.63,68.7,137.53,38.21,12.17,2.33,03-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
03-Mar-2018 - 00:00,24.53,984.75,210.28,115.43,55.74,123.56,253.52,1.16,0.0,1.15,3.06,0.57,52.32,64.15,39.45,108.42,33.75,23.12,1.38,04-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
04-Mar-2018 - 00:00,23.39,985.94,175.01,82.15,53.01,112.54,263.63,1.71,0.0,0.97,2.81,0.45,47.21,57.47,34.91,96.7,33.91,20.18,1.11,05-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
05-Mar-2018 - 00:00,21.87,989.85,158.56,82.86,57.2,146.27,290.1,1.98,0.0,0.89,2.82,0.47,45.08,63.01,44.38,115.45,35.97,18.67,1.05,06-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
06-Mar-2018 - 00:00,21.54,990.55,168.25,93.21,55.61,148.01,286.94,2.63,0.0,0.69,2.05,0.28,44.22,61.11,16.4,73.63,38.62,19.62,0.9,07-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
07-Mar-2018 - 00:00,21.3,989.57,190.55,111.18,57.25,112.52,295.19,1.88,0.0,1.32,2.29,0.34,42.58,68.84,38.99,95.74,33.79,18.56,1.63,08-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
08-Mar-2018 - 00:00,23.02,990.59,258.71,129.83,60.34,137.85,202.31,0.78,0.0,3.28,2.78,0.58,39.27,91.74,77.52,102.64,41.78,18.8,3.12,09-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
09-Mar-2018 - 00:00,23.74,990.56,256.5,138.21,55.89,136.79,282.05,1.48,0.0,2.79,3.66,0.71,45.41,92.26,82.62,139.96,46.02,21.44,2.56,10-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
10-Mar-2018 - 00:00,24.41,989.39,176.71,79.38,48.65,150.15,288.0,2.3,0.0,0.78,2.61,0.35,46.96,68.25,22.28,87.01,37.25,18.15,1.0,11-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11-Mar-2018 - 00:00,24.07,988.4,207.88,109.25,53.22,140.4,293.17,1.77,0.0,0.85,2.78,0.5,52.9,68.22,41.75,114.17,45.76,23.13,1.3,12-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
12-Mar-2018 - 00:00,25.18,988.45,251.69,131.19,50.06,141.39,282.56,1.85,0.0,1.17,3.94,0.73,54.4,88.75,81.39,181.0,40.9,24.19,1.64,13-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
13-Mar-2018 - 00:00,26.48,986.79,269.11,120.46,46.47,138.83,261.66,1.51,0.0,2.4,3.57,0.58,48.59,86.91,77.52,141.43,41.04,17.16,2.16,14-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
14-Mar-2018 - 00:00,25.95,984.97,408.79,123.28,42.17,138.84,184.85,1.12,0.0,2.82,3.46,0.82,47.9,96.64,91.81,152.12,33.94,18.12,2.33,15-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
15-Mar-2018 - 00:00,25.43,985.08,362.15,105.42,45.81,165.26,245.58,2.01,0.0,1.23,2.58,0.46,54.14,82.41,49.51,118.09,32.39,20.06,1.22,16-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
16-Mar-2018 - 00:00,24.23,986.3,253.99,106.23,50.22,168.28,283.17,1.94,0.0,1.2,2.73,0.51,53.02,73.28,44.13,121.09,42.45,20.05,1.18,17-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
17-Mar-2018 - 00:00,21.67,987.52,254.37,131.41,51.49,159.59,286.87,2.22,0.0,0.72,2.16,0.19,55.04,59.54,21.21,76.4,34.7,30.41,0.95,18-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
18-Mar-2018 - 00:00,27.4,989.14,166.82,,29.82,288.05,297.5,2.39,0.0,0.81,1.8,0.4,30.47,60.89,20.43,84.32,74.05,14.59,0.94,19-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
19-Mar-2018 - 00:00,25.71,990.37,224.09,35.89,40.33,214.53,278.36,1.58,0.0,0.89,3.12,0.57,43.36,84.45,69.85,157.4,51.88,22.73,1.31,20-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
20-Mar-2018 - 00:00,31.08,986.12,276.93,81.85,27.62,215.12,166.09,1.09,0.0,1.65,3.42,0.72,51.21,100.46,62.55,133.39,73.45,28.87,1.85,21-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
21-Mar-2018 - 00:00,26.53,985.11,306.27,125.59,46.82,146.99,225.2,1.72,0.0,1.15,3.38,0.51,68.78,70.05,38.1,98.95,57.07,32.48,1.41,22-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
22-Mar-2018 - 00:00,24.78,986.06,179.8,75.24,52.74,119.37,291.35,1.55,0.0,0.51,2.37,0.23,53.92,51.1,9.45,57.2,56.7,28.49,0.89,23-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
23-Mar-2018 - 00:00,24.07,987.24,159.62,59.57,51.72,184.94,294.54,2.06,0.0,0.98,2.36,0.32,39.64,50.65,18.47,70.09,58.65,17.07,0.88,24-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
24-Mar-2018 - 00:00,25.62,989.66,189.93,73.42,48.36,190.24,299.5,2.33,0.0,1.12,2.04,0.33,41.22,64.6,10.93,64.45,56.96,16.0,0.91,25-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
25-Mar-2018 - 00:00,25.97,990.91,214.43,95.01,47.3,185.89,291.47,2.56,0.0,0.83,1.62,0.28,45.32,65.4,8.64,64.46,58.46,23.49,0.96,26-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
26-Mar-2018 - 00:00,26.53,989.12,209.82,85.24,43.04,186.88,295.48,2.57,0.0,1.24,1.97,0.37,41.69,65.65,30.13,87.97,58.15,19.8,1.24,27-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
27-Mar-2018 - 00:00,27.64,985.77,295.12,99.25,36.56,194.72,280.43,1.54,0.0,1.67,2.38,0.42,36.69,82.11,69.18,123.64,44.12,20.95,2.15,28-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
28-Mar-2018 - 00:00,29.13,984.9,293.5,95.17,37.26,210.68,272.24,1.67,0.0,2.22,2.92,0.49,33.65,66.57,42.0,80.76,53.59,13.71,2.41,29-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
29-Mar-2018 - 00:00,28.45,984.2,237.75,89.29,35.98,207.44,295.52,2.36,0.0,0.98,2.46,0.44,42.67,69.96,23.05,84.93,60.22,25.58,1.09,30-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
30-Mar-2018 - 00:00,28.8,981.92,267.38,91.67,34.66,217.62,285.05,2.43,0.0,1.17,2.45,0.76,39.91,93.46,30.33,101.56,60.48,19.58,1.25,31-Mar-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
31-Mar-2018 - 00:00,26.55,984.73,333.33,101.48,43.55,190.6,105.02,2.17,0.0,0.92,3.25,0.48,52.42,73.24,29.33,88.71,64.59,25.29,1.33,01-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
01-Apr-2018 - 00:00,29.34,986.57,208.0,68.89,39.69,257.54,99.63,2.09,0.0,0.64,,,1.52,,,0.31,5.65,0.69,0.09,02-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
02-Apr-2018 - 00:00,29.1,986.61,246.29,91.08,42.14,179.13,100.99,1.64,0.0,0.63,2.47,0.38,52.41,88.84,31.3,117.57,54.78,22.71,1.4,03-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
03-Apr-2018 - 00:00,30.92,985.14,270.54,104.21,38.6,165.42,105.59,1.55,0.0,0.64,2.95,0.49,62.63,87.37,17.03,99.66,63.14,25.47,1.38,04-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
04-Apr-2018 - 00:00,31.08,982.73,256.75,114.21,40.32,172.08,137.3,1.0,0.0,1.58,2.31,0.39,62.78,82.28,47.53,90.13,56.26,20.79,1.97,05-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
05-Apr-2018 - 00:00,30.85,981.37,318.08,151.71,43.15,172.52,247.33,1.12,0.0,2.61,2.5,0.55,43.39,124.85,81.25,129.55,80.89,14.1,2.62,06-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
06-Apr-2018 - 00:00,29.05,983.41,225.78,111.79,42.48,118.77,191.76,1.74,0.01,0.63,2.42,0.37,59.69,79.88,43.09,125.09,58.42,33.74,1.26,07-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
07-Apr-2018 - 00:00,27.88,985.75,141.08,44.83,49.36,203.16,125.57,1.85,0.0,0.38,1.77,0.23,60.04,60.72,16.85,77.83,60.98,19.25,0.9,08-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
08-Apr-2018 - 00:00,29.24,986.24,141.67,51.5,44.95,193.8,101.77,2.54,0.0,0.35,1.47,0.15,58.89,46.81,4.73,49.3,64.14,21.11,0.8,09-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
09-Apr-2018 - 00:00,25.98,987.61,127.5,49.38,59.77,135.89,111.81,1.88,0.0,0.56,2.0,0.41,55.28,66.67,34.93,99.89,41.8,22.02,1.23,10-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
10-Apr-2018 - 00:00,28.68,985.68,235.71,84.0,50.3,173.5,154.98,1.22,0.0,1.12,1.8,0.46,53.86,74.6,32.42,96.05,60.61,16.37,1.26,11-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11-Apr-2018 - 00:00,26.77,985.5,122.0,45.12,52.63,148.74,102.18,2.3,0.0,0.37,1.55,0.15,52.67,42.56,5.28,44.83,51.84,19.6,0.77,12-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
12-Apr-2018 - 00:00,27.34,984.73,101.6,37.34,48.4,212.68,229.59,1.81,0.01,0.54,1.93,0.32,45.05,61.56,30.97,96.29,63.29,18.76,1.09,13-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
13-Apr-2018 - 00:00,28.44,985.41,183.38,65.7,31.35,203.84,288.21,1.44,0.0,1.79,1.8,0.41,30.21,82.42,64.3,105.97,40.98,9.89,1.47,14-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
14-Apr-2018 - 00:00,28.78,984.91,269.7,81.2,33.41,204.36,289.95,1.67,0.0,3.82,2.64,0.85,42.28,103.68,85.77,129.5,50.06,11.46,2.35,15-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
15-Apr-2018 - 00:00,30.32,984.24,1.0,99.57,37.1,203.56,273.64,1.02,0.0,3.01,2.06,0.57,43.91,111.41,87.88,121.89,62.24,10.45,2.37,16-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
16-Apr-2018 - 00:00,31.38,984.69,307.0,104.77,35.33,145.9,124.19,1.49,0.0,2.16,2.74,0.75,56.94,102.24,67.15,139.23,45.65,26.48,2.31,17-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
17-Apr-2018 - 00:00,31.94,985.68,269.64,61.84,30.63,195.6,226.01,1.37,0.0,0.95,2.81,0.64,50.13,84.48,52.77,140.65,47.86,18.35,1.4,18-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
18-Apr-2018 - 00:00,33.13,984.23,259.39,45.06,21.88,205.8,298.92,2.81,0.0,0.38,2.17,0.49,26.57,62.33,15.21,65.5,25.58,12.45,0.72,19-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
19-Apr-2018 - 00:00,31.71,981.55,320.96,82.08,27.89,196.25,278.27,1.57,0.0,0.88,2.68,0.7,42.84,82.58,68.47,158.11,48.48,25.67,1.47,20-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
20-Apr-2018 - 00:00,32.99,980.54,402.61,93.89,23.25,166.74,200.14,2.29,0.0,0.47,2.06,0.26,45.12,53.09,18.29,67.27,43.97,23.66,0.84,21-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
21-Apr-2018 - 00:00,24.62,985.55,551.82,100.63,28.38,183.59,290.78,2.34,0.0,0.7,1.33,0.21,33.48,43.58,5.0,46.37,60.91,16.12,0.63,22-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
22-Apr-2018 - 00:00,23.8,986.82,243.19,41.71,23.2,238.89,299.46,2.62,0.0,0.62,1.28,0.26,33.36,49.36,8.95,53.24,70.24,26.37,0.7,23-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
23-Apr-2018 - 00:00,24.02,985.28,226.85,25.11,21.63,235.1,296.72,2.3,0.0,1.03,1.41,0.4,30.39,65.73,36.52,86.71,70.36,13.33,1.13,24-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
24-Apr-2018 - 00:00,24.02,984.68,293.35,155.0,23.88,226.36,284.16,1.77,0.0,1.72,1.96,0.43,36.39,85.71,59.68,102.57,58.95,17.64,1.88,25-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
25-Apr-2018 - 00:00,23.82,981.35,322.3,101.22,25.36,226.01,271.5,1.27,0.0,2.2,2.6,1.06,30.59,79.93,83.54,126.99,41.81,12.48,2.73,26-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
26-Apr-2018 - 00:00,23.9,980.61,436.85,121.86,21.73,181.94,141.37,1.24,0.0,2.2,3.22,0.75,53.23,104.96,74.93,142.71,28.23,23.98,2.37,27-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
