from date,PM10,O Xylene,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM2.5,NH3,SO2,Benzene,Toluene,MP-Xylene,Eth-Benzene,to date,station
29-Jan-2018 - 00:00,,,264.41,52.92,133.76,4.0,16.94,9.96,,23.88,,0.28,0.0,128.52,5.31,,,,,,30-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
30-Jan-2018 - 00:00,,,277.45,55.68,98.46,1.92,14.38,6.82,,23.62,,0.42,0.0,131.75,3.11,,,,,,31-Jan-2018 - 00:00,"Sirifort, Delhi - CPCB"
31-Jan-2018 - 00:00,,,265.73,66.71,89.91,6.25,31.95,20.97,,23.12,,0.4,0.0,186.89,18.1,,,,,,01-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
01-Feb-2018 - 00:00,,,247.1,58.3,96.74,28.06,73.73,61.48,,24.4,,0.2,0.0,125.2,46.85,,,,,,02-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
02-Feb-2018 - 00:00,,,238.01,70.78,94.95,37.08,79.54,71.73,,23.55,,0.17,0.0,146.81,52.92,,,,,,03-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
03-Feb-2018 - 00:00,,,226.52,60.96,95.23,21.96,75.44,57.5,,22.26,,0.16,0.0,110.67,44.17,,,,,,04-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
04-Feb-2018 - 00:00,,,254.86,57.31,101.35,14.04,56.73,41.37,,21.26,,0.26,0.0,129.42,34.85,,,,,,05-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
05-Feb-2018 - 00:00,,,235.27,52.96,78.99,41.58,74.53,72.72,,20.69,,0.15,0.0,153.94,49.77,,,,,,06-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
06-Feb-2018 - 00:00,,,260.79,48.63,55.39,33.41,69.64,63.62,,22.18,,0.25,0.0,135.46,45.68,,,,,,07-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
07-Feb-2018 - 00:00,,,238.59,51.04,107.26,29.52,63.92,57.52,,21.55,,0.31,0.0,126.7,42.28,,,,,,08-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
08-Feb-2018 - 00:00,,,195.99,61.64,93.44,103.26,89.52,129.91,,20.52,,0.16,0.0,149.33,79.3,,,,,,09-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
09-Feb-2018 - 00:00,,,228.06,64.1,97.23,87.65,89.82,117.59,,21.05,,0.18,0.0,184.96,73.96,,,,,,10-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
10-Feb-2018 - 00:00,,,154.15,66.73,86.01,188.64,124.99,216.78,,21.23,,0.1,0.0,196.54,125.12,,,,,,11-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
11-Feb-2018 - 00:00,,,142.43,63.19,74.12,132.65,92.64,151.44,,22.4,,0.3,0.0,154.01,94.07,,,,,,12-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
12-Feb-2018 - 00:00,,,125.95,76.68,36.28,9.55,42.68,30.42,,21.09,,0.5,0.0,61.22,32.38,,,,,,13-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
13-Feb-2018 - 00:00,,,147.59,83.68,130.62,36.12,53.03,57.08,,21.68,,0.13,0.0,82.48,37.72,,,,,,14-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
14-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,15-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
15-Feb-2018 - 00:00,,,274.19,54.99,125.5,13.9,44.9,35.06,,26.07,,0.41,0.0,65.59,24.66,,,,,,16-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
16-Feb-2018 - 00:00,,,268.56,69.75,97.4,19.07,48.85,41.25,,23.43,,0.28,0.0,126.14,27.71,,,,,,17-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
17-Feb-2018 - 00:00,,,257.47,69.79,83.18,19.83,51.79,43.42,,24.28,,0.29,0.0,112.98,28.78,,,,,,18-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
18-Feb-2018 - 00:00,,,235.8,65.35,105.2,28.77,52.59,50.99,,23.93,,0.17,0.0,113.3,32.98,,,,,,19-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
19-Feb-2018 - 00:00,,,225.46,60.19,101.97,78.19,72.66,101.03,,24.08,,0.15,0.0,125.11,59.74,,,,,,20-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
20-Feb-2018 - 00:00,,,221.39,62.38,94.59,76.53,70.14,98.39,,25.23,,0.19,0.0,150.66,58.24,,,,,,21-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
21-Feb-2018 - 00:00,,,156.02,73.73,129.94,200.71,112.06,219.66,,24.68,,0.15,0.0,189.27,122.96,,,,,,22-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
22-Feb-2018 - 00:00,,,340.0,22.2,338.0,34.4,74.9,67.1,,37.2,,0.07,0.0,78.0,41.4,,,,,,23-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
23-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,24-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
24-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,25-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
25-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,26-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
26-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,27-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
27-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,28-Feb-2018 - 00:00,"Sirifort, Delhi - CPCB"
28-Feb-2018 - 00:00,,,255.27,54.69,142.86,18.3,49.44,42.09,,31.01,,0.32,0.0,118.19,27.45,,,,,,01-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
01-Mar-2018 - 00:00,,,229.53,59.58,93.53,35.27,52.84,56.32,,28.29,,0.26,0.0,105.29,35.53,,,,,,02-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
02-Mar-2018 - 00:00,,,238.5,57.29,109.42,37.24,51.31,57.09,,29.2,,0.27,0.0,116.38,35.79,,,,,,03-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
03-Mar-2018 - 00:00,,,230.04,53.5,93.78,17.63,47.66,39.49,,30.1,,0.25,0.0,95.0,26.59,,,,,,04-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
04-Mar-2018 - 00:00,,,218.86,50.54,96.23,12.96,45.25,34.49,,28.79,,0.34,0.0,62.96,23.99,,,,,,05-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
05-Mar-2018 - 00:00,,,278.99,54.13,118.89,11.93,51.17,36.76,,27.78,,0.42,0.0,77.2,25.18,,,,,,06-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
06-Mar-2018 - 00:00,,,286.7,53.99,115.15,9.72,41.87,30.12,,27.1,,0.59,0.0,71.39,21.72,,,,,,07-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
07-Mar-2018 - 00:00,,,283.14,52.99,123.99,22.42,53.67,46.47,,27.44,,0.48,0.0,82.4,30.29,,,,,,08-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
08-Mar-2018 - 00:00,,,188.64,56.32,117.04,69.55,80.51,98.23,,28.95,,0.27,0.0,92.51,57.18,,,,,,09-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
09-Mar-2018 - 00:00,,,252.51,52.98,108.81,74.97,79.89,102.23,,29.68,,0.32,0.0,105.06,59.39,,,,,,10-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
10-Mar-2018 - 00:00,,,293.91,46.41,118.38,11.89,50.78,36.54,,29.85,,0.5,0.0,66.98,24.89,,,,,,11-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
11-Mar-2018 - 00:00,,,279.99,51.25,117.94,20.97,44.87,40.7,,29.93,,0.46,0.0,82.09,27.01,,,,,,12-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
12-Mar-2018 - 00:00,,,264.39,47.3,113.25,28.26,59.66,54.28,,30.8,,0.41,0.0,96.33,34.38,,,,,,13-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
13-Mar-2018 - 00:00,,,240.1,43.94,113.31,55.23,68.76,80.61,,32.09,,0.36,0.0,96.16,48.2,,,,,,14-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
14-Mar-2018 - 00:00,,,204.04,35.77,93.2,49.76,72.38,78.13,,31.53,,0.23,0.0,84.77,46.71,,,,,,15-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
15-Mar-2018 - 00:00,,,216.99,42.64,103.69,20.81,53.75,45.23,,31.16,,0.5,0.0,82.3,29.48,,,,,,16-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
16-Mar-2018 - 00:00,,,260.15,45.76,95.84,17.85,53.44,42.68,,30.19,,0.4,0.0,83.38,28.15,,,,,,17-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
17-Mar-2018 - 00:00,,,299.07,38.85,123.29,12.31,45.11,33.89,,29.34,,0.51,0.0,78.43,23.65,,,,,,18-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
18-Mar-2018 - 00:00,,,263.5,37.09,132.48,11.83,44.58,33.23,,30.09,,0.44,0.0,78.33,23.23,,,,,,19-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
19-Mar-2018 - 00:00,,,243.82,36.67,120.21,17.24,48.83,39.79,,31.63,,0.38,0.0,62.38,26.75,,,,,,20-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
20-Mar-2018 - 00:00,,,197.2,38.96,109.47,44.0,63.99,69.14,,32.45,,0.22,0.0,80.16,42.12,,,,,,21-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
21-Mar-2018 - 00:00,,,223.84,45.03,103.27,13.62,41.03,32.81,,32.12,,0.44,0.0,140.98,22.86,,,,,,22-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
22-Mar-2018 - 00:00,,,253.0,49.47,91.79,6.51,30.45,21.57,,30.03,,0.33,0.0,70.98,17.07,,,,,,23-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
23-Mar-2018 - 00:00,,,300.41,52.51,115.42,11.08,33.7,26.95,,29.07,,0.46,0.0,115.11,20.06,,,,,,24-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
24-Mar-2018 - 00:00,,,304.8,45.19,129.02,9.08,28.21,22.46,,31.2,,0.51,0.0,77.0,17.52,,,,,,25-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
25-Mar-2018 - 00:00,,,293.76,45.18,124.0,6.84,25.69,19.36,,31.51,,0.53,0.0,87.67,16.02,,,,,,26-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
26-Mar-2018 - 00:00,,,282.65,41.47,126.72,18.45,33.59,32.78,,32.16,,0.51,0.0,90.04,22.92,,,,,,27-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
27-Mar-2018 - 00:00,,,230.31,38.66,99.9,64.78,51.07,78.99,,30.92,,0.24,0.0,96.5,47.25,,,,,,28-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
28-Mar-2018 - 00:00,,,258.12,30.12,139.18,70.53,59.02,87.75,,35.13,,0.39,0.0,81.53,51.73,,,,,,29-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
29-Mar-2018 - 00:00,,,273.64,29.47,49.42,,,,,35.61,,0.44,0.0,,,,,,,,30-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
30-Mar-2018 - 00:00,,,260.84,31.6,111.94,4.77,1.63,4.59,,31.68,,0.52,0.0,64.76,7.98,,,,,,31-Mar-2018 - 00:00,"Sirifort, Delhi - CPCB"
