from date,SR,BP,PM10,Temp,WD,VWS,WS,RH,CO,Ozone,NO2,NO,NH3,Benzene,SO2,to date,station
18-Jan-2018 - 00:00,,,161.28,15.49,,-2.09,,63.39,0.34,24.17,11.53,9.77,7.0,,56.52,19-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-Jan-2018 - 00:00,,,199.77,16.07,,-2.13,,61.16,0.31,23.39,11.86,10.55,6.95,,60.16,20-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-Jan-2018 - 00:00,,,131.0,17.39,,-2.32,,54.89,0.36,26.98,10.96,9.74,7.1,,59.35,21-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-Jan-2018 - 00:00,,,148.4,17.33,,-2.21,,55.91,0.35,24.47,10.2,8.73,7.0,,59.06,22-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-Jan-2018 - 00:00,,,245.88,16.46,,-2.15,,59.16,0.33,24.53,13.36,12.17,6.86,,75.06,23-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-Jan-2018 - 00:00,,,169.99,17.21,,-2.11,,57.69,0.33,18.72,12.02,10.49,7.08,,73.35,24-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-Jan-2018 - 00:00,,,218.69,18.49,,-2.24,,63.99,0.34,17.22,12.12,9.87,7.04,,92.61,25-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-Jan-2018 - 00:00,,,93.29,18.08,,-2.26,,58.32,0.29,18.11,10.08,8.78,7.06,,45.41,26-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-Jan-2018 - 00:00,,,122.15,17.1,,-2.22,,55.71,0.31,20.11,10.42,9.17,7.0,,48.74,27-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-Jan-2018 - 00:00,,,129.73,16.74,,-2.26,,53.9,0.37,17.88,10.09,8.88,6.94,,45.35,28-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-Jan-2018 - 00:00,,,89.11,17.09,,-2.22,,45.63,0.32,16.45,11.42,10.3,6.91,,68.53,29-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
29-Jan-2018 - 00:00,,,189.49,18.13,,-2.26,,45.7,0.31,19.75,10.65,9.82,7.01,,57.23,30-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
30-Jan-2018 - 00:00,,,168.13,19.31,,-2.31,,41.06,0.37,21.81,10.89,9.94,6.88,,47.19,31-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
31-Jan-2018 - 00:00,,,116.94,19.62,,-2.38,,43.78,0.31,17.16,9.36,8.45,7.04,,56.99,01-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
01-Feb-2018 - 00:00,,,155.26,18.44,,-2.35,,65.36,0.35,18.34,10.6,8.85,6.82,,55.94,02-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-Feb-2018 - 00:00,,,176.28,19.43,,-2.34,,59.0,0.3,20.29,9.79,9.07,7.01,,53.64,03-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
03-Feb-2018 - 00:00,,,266.85,20.14,,-2.44,,56.66,0.41,15.41,11.14,9.93,6.96,,89.52,04-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-Feb-2018 - 00:00,,,228.15,21.45,,-2.4,,57.53,0.34,15.66,11.79,11.06,7.0,,93.62,05-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-Feb-2018 - 00:00,,,311.03,21.33,,-2.38,,58.55,0.28,15.71,10.79,10.04,6.95,,82.53,06-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-Feb-2018 - 00:00,,,207.88,21.39,,-2.48,,45.68,0.3,16.69,9.35,8.88,6.95,,52.59,07-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-Feb-2018 - 00:00,,,248.61,22.26,,-2.45,,40.36,0.33,24.0,8.9,8.33,7.02,,43.14,08-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-Feb-2018 - 00:00,,,138.59,22.17,,-2.48,,39.89,0.33,18.25,9.31,8.73,6.87,,66.87,09-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-Feb-2018 - 00:00,,,271.45,19.93,,-2.44,,53.61,0.37,15.43,10.41,9.79,6.88,,85.98,10-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-Feb-2018 - 00:00,,,278.83,20.91,,-2.46,,38.04,0.27,19.28,10.19,9.63,6.97,,54.05,11-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-Feb-2018 - 00:00,,,136.32,20.43,,-2.2,,37.01,0.37,20.39,10.91,9.31,6.67,0.0,85.1,12-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
12-Feb-2018 - 00:00,,,149.25,23.99,,-2.38,,36.71,0.38,29.38,10.28,9.97,6.92,,103.66,13-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-Feb-2018 - 00:00,,,129.02,20.25,,-2.34,,68.87,0.31,11.5,10.07,10.5,6.9,,78.74,14-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-Feb-2018 - 00:00,,,56.51,19.7,,-2.34,,80.9,0.29,11.6,8.78,8.33,6.88,,39.37,15-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
15-Feb-2018 - 00:00,,,82.72,21.69,,-2.43,,44.88,0.31,35.1,8.85,8.39,7.0,,46.85,16-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-Feb-2018 - 00:00,,,108.1,20.6,,-2.4,,48.36,0.36,46.14,10.72,16.09,6.91,,72.73,17-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-Feb-2018 - 00:00,,,100.7,15.48,,-1.61,,88.21,0.25,165.48,9.55,9.21,6.97,0.0,46.58,18-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
18-Feb-2018 - 00:00,,,,,,,,,,,,,,,,19-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-Feb-2018 - 00:00,,,235.37,27.17,,-2.62,,31.71,0.37,39.32,11.34,11.09,6.56,,98.62,20-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-Feb-2018 - 00:00,,,207.24,24.74,,-2.5,,46.25,0.34,45.18,9.78,8.59,6.95,,103.52,21-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-Feb-2018 - 00:00,,,143.35,23.57,,-2.41,,48.3,0.3,45.1,9.34,8.72,6.93,0.0,87.47,22-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-Feb-2018 - 00:00,,,161.16,24.72,,-2.42,,43.03,0.32,30.09,9.82,9.45,6.87,,81.63,23-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-Feb-2018 - 00:00,,,157.81,26.15,,-2.68,,40.87,0.42,36.1,9.8,10.15,6.97,,,24-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-Feb-2018 - 00:00,,,183.55,27.0,,-2.5,,42.11,0.34,38.58,10.4,10.81,6.95,,,25-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-Feb-2018 - 00:00,,,227.37,27.2,,-2.57,,48.75,0.37,38.02,9.68,9.0,6.89,0.0,,26-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-Feb-2018 - 00:00,,,120.48,27.68,,-2.54,,36.39,0.32,42.42,8.52,9.76,6.87,0.0,,27-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-Feb-2018 - 00:00,,,119.84,24.84,,-2.48,,43.48,0.38,35.21,8.99,10.33,6.93,,,28-Feb-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-Feb-2018 - 00:00,,,130.7,26.55,,-2.53,,44.3,0.3,41.78,9.29,8.85,6.86,0.0,86.66,01-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
01-Mar-2018 - 00:00,,,235.53,26.62,,-2.62,,47.8,0.4,20.79,9.33,11.1,6.93,,,02-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-Mar-2018 - 00:00,,,124.09,28.03,,-2.65,,38.97,0.33,21.18,9.04,8.93,6.92,,,03-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
03-Mar-2018 - 00:00,,,124.68,28.61,,-2.65,,32.95,0.29,30.26,8.8,8.27,6.86,,,04-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-Mar-2018 - 00:00,,,207.67,29.67,,-2.68,,29.11,0.28,78.55,8.27,8.38,6.86,,,05-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-Mar-2018 - 00:00,,,261.37,29.05,,-2.72,,32.82,0.3,26.57,7.93,8.13,6.9,,69.1,06-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-Mar-2018 - 00:00,,,120.62,27.58,,-2.67,,37.37,0.31,28.92,8.27,8.52,6.91,,,07-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-Mar-2018 - 00:00,,,201.43,27.09,,-2.67,,23.52,0.34,26.67,8.55,8.19,6.83,,69.27,08-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-Mar-2018 - 00:00,,,188.85,26.29,,-2.54,,35.27,0.34,39.38,10.9,8.84,6.9,,134.06,09-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-Mar-2018 - 00:00,,,145.41,27.1,,-2.56,,30.52,0.34,95.46,10.01,8.67,6.74,,87.1,10-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-Mar-2018 - 00:00,,,124.47,26.99,,-2.6,,27.52,0.3,54.51,9.08,8.29,6.85,,93.89,11-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-Mar-2018 - 00:00,,,134.79,28.34,,-2.56,,26.48,0.31,33.16,9.25,8.99,6.87,,91.16,12-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
12-Mar-2018 - 00:00,,,216.7,28.36,,-2.54,,30.21,0.38,30.87,10.1,9.38,6.9,,127.23,13-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-Mar-2018 - 00:00,,,158.41,27.78,,-2.68,,25.94,0.35,41.41,10.11,8.96,6.91,,122.06,14-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-Mar-2018 - 00:00,,,132.64,27.9,,-2.61,,25.45,0.31,34.46,9.96,9.74,6.8,,95.36,15-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
15-Mar-2018 - 00:00,,,165.37,26.46,,-2.54,,37.57,0.36,27.98,10.38,11.62,6.96,,127.3,16-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-Mar-2018 - 00:00,,,217.71,28.95,,-2.54,,38.99,0.27,30.66,8.86,8.88,6.77,,94.63,17-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-Mar-2018 - 00:00,,,101.0,27.46,,-2.59,,44.75,0.33,29.38,8.9,8.19,6.79,,109.67,18-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
18-Mar-2018 - 00:00,,,130.24,28.15,,-2.61,,36.05,0.36,30.59,9.13,8.18,6.82,,108.04,19-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-Mar-2018 - 00:00,,,189.42,27.72,,-2.59,,21.79,0.39,21.62,8.86,8.61,6.9,,90.26,20-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-Mar-2018 - 00:00,,,224.19,26.92,,-2.59,,23.51,0.31,24.55,9.12,8.64,6.87,,113.7,21-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-Mar-2018 - 00:00,,,256.22,28.32,,-2.6,,27.36,0.33,22.55,12.75,13.47,6.81,,114.63,22-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-Mar-2018 - 00:00,,,358.14,28.53,,-2.66,,34.04,0.35,25.35,12.6,15.21,6.98,,136.46,23-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-Mar-2018 - 00:00,,,304.8,29.36,,-2.62,,39.51,0.35,20.92,10.77,9.61,6.81,,124.57,24-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-Mar-2018 - 00:00,,,165.8,29.76,,-2.56,,49.56,0.37,16.82,10.14,9.61,6.81,,116.99,25-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-Mar-2018 - 00:00,,,143.3,26.44,,-2.27,,64.01,0.14,3.89,9.0,9.97,6.76,,122.94,26-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-Mar-2018 - 00:00,,,,,,0.0,,,0.0,,,,,0.0,,27-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-Mar-2018 - 00:00,,,,,,0.0,,,0.0,,,,,0.0,,28-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-Mar-2018 - 00:00,,,290.3,34.96,,-0.9,,18.25,0.07,58.97,7.39,8.48,7.25,0.0,132.04,29-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
29-Mar-2018 - 00:00,,,,,,0.0,,,0.0,,,,,0.0,,30-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
30-Mar-2018 - 00:00,,,,,,0.0,,,0.0,,,,,0.0,,31-Mar-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
31-Mar-2018 - 00:00,,,,,,0.0,,,0.0,,,,,0.0,,01-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
01-Apr-2018 - 00:00,,,,,,0.0,,,0.0,,,,,0.0,,02-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-Apr-2018 - 00:00,,,,,,0.0,,,0.0,,,,,0.0,,03-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
03-Apr-2018 - 00:00,,,298.45,,,,,,,22.2,6.38,10.14,,0.0,110.29,04-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-Apr-2018 - 00:00,,,,,,0.0,,,0.0,,,,,0.0,,05-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-Apr-2018 - 00:00,,,,,,0.0,,,0.0,,,,,0.0,,06-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-Apr-2018 - 00:00,,,125.87,34.01,,-0.72,,44.45,0.13,32.8,7.53,6.83,6.45,0.0,,07-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-Apr-2018 - 00:00,,,541.9,20.15,,-1.89,,99.42,0.23,4.23,7.84,8.23,6.52,0.0,,08-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-Apr-2018 - 00:00,,,,,,,,,,,,,,,,09-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-Apr-2018 - 00:00,,,,,,,,,,,,,,,,10-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-Apr-2018 - 00:00,,,,,,,,,,,,,,,,11-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-Apr-2018 - 00:00,,,164.57,34.76,,-2.72,,32.21,0.77,44.1,,,,,,12-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
12-Apr-2018 - 00:00,,,80.09,27.84,,-2.47,,62.37,0.37,34.95,8.22,7.72,6.69,,93.58,13-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-Apr-2018 - 00:00,,,28.88,21.39,,-2.41,,99.02,0.4,7.08,8.19,7.68,6.73,,84.13,14-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-Apr-2018 - 00:00,,,,,,,,,,,,,,,,15-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
15-Apr-2018 - 00:00,,,,,,,,,,,,,,,,16-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-Apr-2018 - 00:00,,,,,,,,,,,,,,,,17-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-Apr-2018 - 00:00,,,,,,,,,,,,,,,,18-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
18-Apr-2018 - 00:00,,,,,,,,,,,,,,,,19-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-Apr-2018 - 00:00,,,150.69,,,,,,0.32,25.99,7.57,7.56,6.81,,,20-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-Apr-2018 - 00:00,,,114.81,36.2,,-2.72,,40.71,0.52,21.11,8.23,7.67,6.74,,35.92,21-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-Apr-2018 - 00:00,,,42.53,27.97,,-2.33,,99.45,0.23,2.03,7.36,8.66,6.88,,34.43,22-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-Apr-2018 - 00:00,,,,,,,,,,,,,,,,23-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-Apr-2018 - 00:00,,,127.01,34.36,,-2.8,,19.38,0.33,35.54,9.47,8.98,7.01,0.0,83.53,24-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-Apr-2018 - 00:00,,,139.87,32.36,,-2.89,,29.43,0.47,30.16,10.46,10.3,6.92,,121.58,25-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-Apr-2018 - 00:00,,,146.75,25.4,,-2.6,,40.85,0.39,13.62,11.31,11.34,6.23,,142.21,26-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-Apr-2018 - 00:00,,,46.94,35.67,,-2.68,,46.51,1.12,24.69,10.09,8.75,6.45,,158.25,27-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-Apr-2018 - 00:00,,,,34.25,,-2.68,,38.54,0.0,39.86,12.24,10.69,7.04,,,28-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-Apr-2018 - 00:00,,,59.0,35.48,,-2.66,,28.49,0.47,39.91,5.69,9.75,8.14,,28.27,29-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
29-Apr-2018 - 00:00,,,,33.74,,-2.36,,44.31,0.47,57.72,6.65,7.49,7.54,,,30-Apr-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
30-Apr-2018 - 00:00,,,407.0,28.43,,-2.2,,60.39,0.34,21.46,4.73,9.24,7.37,,,01-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
01-May-2018 - 00:00,,,76.4,30.96,,-2.44,,61.3,0.34,23.72,6.71,7.64,6.97,,140.43,02-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-May-2018 - 00:00,,,,32.72,,-2.74,,55.77,0.0,25.86,6.81,6.34,6.67,,,03-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
03-May-2018 - 00:00,,,46.77,30.5,,-2.53,,49.57,0.54,41.38,6.07,6.75,6.66,,138.17,04-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-May-2018 - 00:00,,,46.7,35.09,,-2.62,,41.7,0.0,45.32,,,,,,05-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-May-2018 - 00:00,,,44.36,36.39,,-3.08,,42.41,0.49,40.95,6.46,5.91,6.58,,96.26,06-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-May-2018 - 00:00,,,,,,,,,,,,,,,,07-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-May-2018 - 00:00,,,,,,,,,,,,,,,,08-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-May-2018 - 00:00,,,,39.87,,-3.24,,22.48,1.26,8.42,,,,,,09-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-May-2018 - 00:00,,,,,,,,,,,,,,,,10-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-May-2018 - 00:00,,,,,,,,,,,,,,,,11-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-May-2018 - 00:00,,,,,,,,,,,,,,,,12-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
12-May-2018 - 00:00,,,,,,,,,,,,,,,,13-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-May-2018 - 00:00,,,,,,,,,,,,,,,,14-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-May-2018 - 00:00,,,,,,,,,,,,,,,,15-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
15-May-2018 - 00:00,,,,36.19,,-2.47,,31.29,,,,,,,,16-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-May-2018 - 00:00,,,,36.63,,-2.03,,45.57,,,,,,,,17-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-May-2018 - 00:00,,,,,,,,,,,,,,,,18-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
18-May-2018 - 00:00,910.9,,,36.07,,-1.6,,57.03,0.1,16.75,7.34,10.31,6.9,0.0,,19-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-May-2018 - 00:00,,,,,,,,,,,,,,,,20-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-May-2018 - 00:00,,,,,,,,,,,,,,,,21-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-May-2018 - 00:00,,,,,,,,,,,,,,,,22-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-May-2018 - 00:00,186.9,,,26.0,,-3.13,,99.42,0.0,26.11,8.19,7.02,6.59,,,23-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-May-2018 - 00:00,,,,,,,,,,,,,,,,24-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-May-2018 - 00:00,,,,,,,,,,,,,,,,25-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-May-2018 - 00:00,,,,,,,,,,,,,,,,26-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-May-2018 - 00:00,,,,,,,,,,,,,,,,27-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-May-2018 - 00:00,,,,,,,,,,,,,,,,28-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-May-2018 - 00:00,,,,,,,,,,,,,,,,29-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
29-May-2018 - 00:00,256.15,,49.8,34.74,,-0.34,,52.03,0.03,19.17,6.48,19.11,8.34,0.0,5.91,30-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
30-May-2018 - 00:00,,,,,,,,,,,,,,,,31-May-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
31-May-2018 - 00:00,,,,,,,,,,,,,,,,01-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
01-Jun-2018 - 00:00,,,,,,,,,,,,,,,,02-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-Jun-2018 - 00:00,,,83.84,29.9,,-1.9,,88.42,0.38,25.44,8.38,15.13,7.81,0.0,61.66,03-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
