from date,SR,BP,PM10,Temp,WD,VWS,WS,RH,CO,Ozone,NO2,NO,NH3,Benzene,SO2,to date,station
01-Jan-2018 - 00:00,8.3,,375.3,13.49,247.63,-2.4,0.49,99.4,0.32,1.77,12.56,15.11,7.7,,,02-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-Jan-2018 - 00:00,10.7,,129.04,16.91,229.98,-3.34,0.51,48.43,0.41,26.46,11.58,9.65,6.88,0.0,64.96,03-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
03-Jan-2018 - 00:00,142.38,,107.8,15.5,224.01,-3.14,0.68,60.81,0.34,24.43,9.78,8.37,6.92,,37.87,04-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-Jan-2018 - 00:00,155.17,,163.5,15.08,222.03,-2.87,0.55,62.95,0.33,27.51,,,,,50.87,05-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-Jan-2018 - 00:00,139.3,,282.4,11.12,219.23,-2.31,0.53,89.86,0.34,6.8,,,,,26.82,06-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-Jan-2018 - 00:00,,,171.78,16.54,,-2.39,,37.24,0.39,37.81,10.79,8.39,6.79,,79.85,11-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-Jan-2018 - 00:00,,,189.38,15.12,,-2.23,,61.02,0.29,47.68,11.08,9.07,6.86,,53.03,12-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
12-Jan-2018 - 00:00,,,262.68,13.3,,-2.2,,80.95,0.31,19.53,12.75,9.69,6.9,,54.29,13-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-Jan-2018 - 00:00,,,188.3,15.38,,-2.28,,65.91,0.35,28.55,11.07,8.93,7.02,,,14-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-Jan-2018 - 00:00,,,153.89,14.93,,-2.24,,62.54,0.3,27.33,10.36,8.47,6.87,,,15-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
15-Jan-2018 - 00:00,,,157.91,15.33,,-2.16,,58.42,0.33,30.38,10.65,8.31,6.87,,60.44,16-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-Jan-2018 - 00:00,,,203.75,15.63,,-2.2,,61.69,0.37,41.61,11.79,9.57,6.9,,54.73,17-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-Jan-2018 - 00:00,,,243.04,15.09,,-2.18,,63.71,0.3,26.63,12.07,11.12,6.95,,56.76,18-Jan-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
