from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,P-Xylene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
25-Apr-2018 - 00:00,34.12,737.32,551.42,171.12,18.09,219.07,12.1,205.11,0.78,2.12,31.07,4.28,23.48,102.77,220.05,70.01,25.99,18.25,26-Apr-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
26-Apr-2018 - 00:00,35.37,737.33,484.33,232.03,18.29,211.95,10.14,145.71,0.74,2.45,21.25,3.41,32.24,79.25,165.04,90.63,66.37,19.62,27-Apr-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
27-Apr-2018 - 00:00,32.43,737.75,351.92,97.75,42.5,218.35,1.14,89.41,3.09,1.67,9.34,1.14,9.43,32.26,39.76,52.7,20.05,3.03,28-Apr-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
28-Apr-2018 - 00:00,32.79,737.8,337.33,84.82,42.56,216.38,2.84,84.62,3.69,1.84,9.04,0.51,12.91,33.43,40.72,40.08,32.1,3.13,29-Apr-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
29-Apr-2018 - 00:00,33.59,738.0,275.88,99.21,40.38,210.18,3.32,116.74,1.63,1.9,9.51,0.95,19.99,32.72,43.51,50.16,35.64,4.21,30-Apr-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
30-Apr-2018 - 00:00,33.31,737.5,272.0,146.39,39.85,219.6,3.26,116.03,2.5,1.8,5.04,1.3,20.74,48.64,56.98,70.17,25.35,4.11,01-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
01-May-2018 - 00:00,30.39,737.93,188.92,49.25,52.22,226.96,0.22,86.57,4.78,1.48,4.6,0.95,5.39,30.33,28.54,37.4,10.29,1.66,02-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
02-May-2018 - 00:00,29.62,737.89,194.72,58.54,51.4,216.99,2.77,108.44,3.91,1.6,3.64,0.56,10.7,31.77,40.65,56.53,24.08,3.43,03-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
03-May-2018 - 00:00,28.63,738.0,176.79,48.67,49.66,225.48,1.64,99.77,3.86,1.61,3.99,0.26,10.37,32.32,41.55,33.52,25.84,2.2,04-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
04-May-2018 - 00:00,29.99,737.98,147.25,51.38,50.93,227.01,3.71,83.08,3.6,1.84,5.44,2.03,8.98,33.67,41.83,36.58,21.51,2.07,05-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
05-May-2018 - 00:00,33.85,738.15,288.25,93.33,38.54,221.51,13.22,144.82,1.0,2.32,17.98,1.95,19.29,57.34,103.41,82.46,44.43,7.33,06-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
06-May-2018 - 00:00,32.94,737.92,412.46,130.83,34.68,218.28,6.62,176.97,1.5,1.52,9.72,1.43,26.18,69.61,127.71,103.35,34.65,20.47,07-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
07-May-2018 - 00:00,34.01,737.86,508.58,185.33,30.48,219.84,17.92,188.4,0.96,2.55,17.9,5.06,27.54,69.47,166.32,82.36,53.37,22.31,08-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
08-May-2018 - 00:00,29.99,737.83,231.88,81.79,38.03,223.33,2.66,233.5,2.54,1.67,3.55,0.26,22.29,44.52,56.78,82.44,39.29,7.54,09-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
09-May-2018 - 00:00,28.58,737.98,392.41,110.67,45.63,206.05,10.25,181.6,0.82,2.17,5.16,1.53,31.32,54.55,79.46,117.3,38.57,12.7,10-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
10-May-2018 - 00:00,32.06,737.94,387.38,120.79,39.57,223.91,11.77,195.53,0.97,2.48,10.61,3.01,29.11,69.48,141.7,121.03,40.39,7.96,11-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
11-May-2018 - 00:00,34.94,737.9,414.38,194.88,33.41,217.64,13.97,206.78,0.86,2.44,30.71,9.54,29.24,99.71,205.7,110.65,41.53,8.75,12-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
12-May-2018 - 00:00,34.55,737.85,487.32,242.49,38.26,237.34,19.14,135.01,1.8,2.03,15.44,5.45,15.96,69.55,137.05,76.51,35.75,8.13,13-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
13-May-2018 - 00:00,31.59,737.97,236.59,80.33,49.78,187.17,0.87,118.38,3.47,2.04,5.0,0.2,9.39,26.15,31.71,37.51,21.48,1.69,14-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
14-May-2018 - 00:00,29.48,737.86,154.88,51.12,46.62,228.85,0.93,109.14,2.03,1.53,3.56,0.23,8.63,24.23,27.06,21.67,36.34,1.81,15-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
15-May-2018 - 00:00,31.8,738.0,185.5,73.04,48.08,226.28,3.91,87.27,2.22,1.64,4.38,1.55,6.67,24.5,26.5,22.87,30.28,3.16,16-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
16-May-2018 - 00:00,34.19,737.92,285.58,82.12,36.13,225.75,4.17,232.92,1.85,1.65,4.18,0.97,11.93,41.64,44.56,60.3,30.34,5.31,17-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
17-May-2018 - 00:00,35.6,737.76,319.42,112.75,26.54,216.82,3.52,204.35,1.16,1.69,3.92,1.01,23.06,60.09,88.79,94.54,56.08,7.06,18-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
18-May-2018 - 00:00,34.44,737.56,308.79,117.46,30.92,220.26,12.37,142.89,1.13,1.71,11.11,2.18,32.82,59.85,100.04,96.14,52.23,16.82,19-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
19-May-2018 - 00:00,34.73,737.55,446.46,127.75,33.85,215.57,18.56,192.93,0.92,3.41,37.59,5.48,34.55,77.64,182.49,101.58,48.43,15.81,20-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
20-May-2018 - 00:00,35.33,737.4,332.21,104.92,25.45,219.8,6.91,226.69,1.0,1.42,6.52,3.73,28.28,56.14,93.54,77.9,35.84,9.1,21-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
21-May-2018 - 00:00,36.77,737.24,241.58,72.29,13.96,222.9,2.73,242.71,1.45,1.83,4.83,0.38,23.52,43.29,59.89,93.6,45.4,16.82,22-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
22-May-2018 - 00:00,37.75,737.22,317.42,121.94,15.68,219.85,3.09,208.59,0.83,2.49,6.24,1.08,19.58,75.49,105.41,76.86,42.13,23.96,23-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
23-May-2018 - 00:00,37.24,737.3,444.67,177.79,24.25,219.57,3.28,120.55,0.81,3.08,13.3,1.05,25.79,86.03,143.71,87.34,71.23,17.12,24-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
24-May-2018 - 00:00,36.17,737.29,389.29,134.84,26.67,217.84,4.39,197.88,0.66,2.04,8.41,1.46,35.82,59.04,90.9,95.77,40.15,10.94,25-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
25-May-2018 - 00:00,37.16,737.16,361.25,111.21,15.85,224.94,3.86,233.05,1.14,2.38,16.95,3.64,25.7,98.61,200.78,82.55,58.6,9.87,26-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
26-May-2018 - 00:00,38.26,737.21,307.0,101.42,14.79,223.48,3.21,214.95,0.76,2.07,9.51,1.4,25.39,97.94,171.37,80.29,33.92,10.03,27-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
27-May-2018 - 00:00,37.96,737.13,359.54,115.46,16.83,221.88,3.02,177.2,1.05,1.89,10.02,2.17,24.26,100.51,244.16,92.44,44.03,9.59,28-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
28-May-2018 - 00:00,36.53,737.27,290.0,125.5,26.16,220.73,8.14,121.87,0.85,2.44,11.48,0.52,43.63,64.66,75.72,81.8,36.3,15.96,29-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
29-May-2018 - 00:00,37.02,737.0,303.46,124.17,32.82,221.99,5.45,136.07,2.25,1.9,12.13,3.05,21.47,54.9,133.11,57.56,31.15,5.18,30-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
30-May-2018 - 00:00,34.06,737.0,267.12,56.67,42.98,227.35,1.39,106.98,3.43,1.65,3.65,0.89,14.03,33.71,45.86,58.86,22.17,2.32,31-May-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
31-May-2018 - 00:00,35.8,737.57,258.83,70.12,40.26,225.19,1.46,100.38,2.18,1.68,8.58,0.29,14.73,43.81,54.34,47.16,18.41,2.61,01-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
01-Jun-2018 - 00:00,33.3,737.69,226.58,71.38,50.69,227.89,0.3,90.64,4.54,1.65,9.03,0.23,5.46,31.31,34.5,33.27,16.3,1.86,02-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
02-Jun-2018 - 00:00,30.79,737.66,146.5,44.04,49.27,232.68,0.12,87.51,3.64,1.71,2.4,0.0,5.21,33.03,35.46,26.24,26.71,0.95,03-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
03-Jun-2018 - 00:00,32.55,737.92,143.67,55.87,53.53,230.08,0.46,82.67,3.5,1.72,2.01,0.04,10.19,30.02,38.81,44.08,14.29,1.67,04-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
04-Jun-2018 - 00:00,35.03,737.92,179.09,58.62,48.69,225.36,0.03,86.41,3.92,1.54,1.99,,5.37,34.29,38.53,40.5,15.67,1.47,05-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
05-Jun-2018 - 00:00,35.14,737.91,158.83,49.75,48.27,225.39,1.34,81.38,4.2,1.77,27.12,,5.13,33.99,37.56,40.73,19.35,4.47,06-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
06-Jun-2018 - 00:00,31.87,738.0,170.33,58.96,60.53,198.81,22.0,98.95,2.69,1.83,22.76,2.57,23.26,38.2,58.93,65.88,23.1,4.96,07-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
07-Jun-2018 - 00:00,34.89,737.82,178.91,184.95,51.78,225.94,6.44,94.26,1.97,1.9,48.59,1.51,12.42,35.08,44.54,41.62,21.81,8.52,08-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
08-Jun-2018 - 00:00,34.64,738.0,214.25,112.67,55.15,228.8,1.14,86.74,4.11,1.61,12.83,0.6,5.89,25.54,29.49,22.54,19.06,7.12,09-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
09-Jun-2018 - 00:00,32.71,737.76,126.46,26.54,64.12,274.93,1.47,89.55,3.96,1.79,19.87,0.9,4.84,22.13,25.12,35.99,17.2,4.38,10-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
10-Jun-2018 - 00:00,36.14,737.56,322.87,90.8,46.59,282.15,14.29,206.24,1.26,2.15,18.13,4.2,18.99,38.92,49.51,56.91,31.49,7.8,11-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
11-Jun-2018 - 00:00,36.03,737.84,337.83,86.83,47.11,228.96,6.26,260.49,2.02,1.57,17.99,3.06,12.69,37.03,42.98,43.57,22.97,7.5,12-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
12-Jun-2018 - 00:00,37.63,737.45,514.06,168.21,41.07,219.93,4.56,254.21,1.48,1.85,12.63,1.28,8.1,33.68,48.64,30.7,18.38,11.09,13-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
13-Jun-2018 - 00:00,38.72,737.23,682.57,330.46,35.22,216.98,5.77,255.52,2.14,1.96,11.81,1.38,20.79,61.03,111.35,74.81,18.85,7.18,14-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
14-Jun-2018 - 00:00,37.73,737.12,657.17,258.38,33.52,221.67,7.39,248.47,1.78,1.8,8.01,3.61,30.88,65.18,93.65,92.98,23.16,6.45,15-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
15-Jun-2018 - 00:00,36.84,737.13,488.86,252.71,35.08,222.43,6.92,212.33,1.81,1.73,12.66,1.75,13.48,52.14,61.43,68.74,21.58,5.61,16-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
16-Jun-2018 - 00:00,34.61,737.74,611.94,183.98,48.38,221.15,3.35,148.62,1.73,1.83,25.13,1.14,9.78,33.22,36.93,36.81,17.32,6.2,17-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
17-Jun-2018 - 00:00,31.52,737.98,320.83,108.33,57.3,232.17,1.57,156.29,1.48,1.67,13.23,0.65,5.93,23.5,27.12,23.38,21.91,5.02,18-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
18-Jun-2018 - 00:00,32.67,737.86,255.54,94.83,48.31,227.8,5.44,210.02,1.53,1.47,21.09,2.51,8.69,27.61,28.35,20.39,23.8,9.22,19-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
19-Jun-2018 - 00:00,33.89,737.35,206.82,68.32,48.0,232.37,3.18,231.28,1.12,1.71,16.08,1.09,8.84,34.92,36.51,26.35,26.6,6.2,20-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
20-Jun-2018 - 00:00,36.25,737.52,278.35,95.76,44.4,219.61,6.74,163.22,0.92,1.94,33.8,3.14,19.97,29.99,31.73,28.1,41.87,13.99,21-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
21-Jun-2018 - 00:00,36.88,737.71,348.0,104.37,40.15,217.14,5.41,191.25,0.7,1.81,18.35,1.93,18.42,46.78,49.05,31.96,28.5,9.02,22-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
22-Jun-2018 - 00:00,37.89,737.59,392.41,132.7,39.22,220.08,10.78,156.47,0.69,2.82,31.62,,24.87,74.71,79.49,43.48,48.51,37.22,23-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
23-Jun-2018 - 00:00,37.88,737.3,310.71,97.5,37.63,216.36,4.91,204.86,0.96,1.94,29.51,,21.04,,,18.27,24.77,15.77,24-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
24-Jun-2018 - 00:00,37.6,737.25,211.02,76.76,35.95,216.93,2.08,210.77,1.81,1.34,10.76,1.6,24.2,43.63,73.74,32.34,41.04,14.67,25-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
25-Jun-2018 - 00:00,38.13,737.34,72.95,59.61,41.67,183.15,,255.14,3.31,0.04,1.85,,5.49,,,2.31,9.47,11.43,26-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
26-Jun-2018 - 00:00,31.99,981.5,268.86,73.36,55.9,45.17,31.29,172.97,0.4,1.66,9.22,,,,,,17.71,17.5,27-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
27-Jun-2018 - 00:00,28.63,981.57,229.0,67.33,74.82,163.31,,81.24,2.4,,,,,,,,9.57,,28-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
28-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,29-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
29-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,30-Jun-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
30-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,01-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
01-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,02-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
02-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,03-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
03-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,04-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
04-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,05-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
05-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,06-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
06-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,07-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
07-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,08-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
08-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,09-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
09-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,10-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
10-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,11-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
11-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,12-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
12-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,13-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
13-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,14-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
14-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,15-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
15-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,16-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
16-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,17-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
17-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,18-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
18-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,19-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
19-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,20-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
20-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,21-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
21-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,22-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
22-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,23-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
23-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,24-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
24-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,25-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
25-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,26-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
26-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,27-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
27-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,28-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
28-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,29-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
29-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,30-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
30-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,31-Jul-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
31-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,01-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
01-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,02-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
02-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,03-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
03-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,04-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
04-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,05-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
05-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,06-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
06-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,07-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
07-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,08-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
08-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,09-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
09-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,10-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
10-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,11-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
11-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,12-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
12-Aug-2018 - 00:00,31.9,983.7,224.0,51.0,65.7,391.7,122.1,159.3,0.5,,0.6,,2.5,3.6,8.2,7.3,18.4,9.3,13-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
13-Aug-2018 - 00:00,31.49,983.72,172.13,42.72,69.39,245.86,142.15,153.3,0.69,1.59,2.18,,19.51,13.28,18.32,20.57,22.95,9.27,14-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
14-Aug-2018 - 00:00,31.56,984.32,206.62,65.27,71.49,215.62,153.51,162.58,0.66,1.84,2.75,,14.11,11.78,12.22,16.1,41.54,10.3,15-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
15-Aug-2018 - 00:00,31.09,984.47,163.19,49.05,70.13,212.5,144.99,174.21,1.29,1.27,2.12,,11.89,7.95,10.85,12.21,24.9,9.82,16-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
16-Aug-2018 - 00:00,30.7,984.55,157.22,47.13,72.69,204.65,155.55,125.96,0.89,1.37,2.62,,9.3,13.56,10.15,16.45,40.36,10.62,17-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
17-Aug-2018 - 00:00,31.44,984.53,118.5,40.57,74.11,217.34,160.62,116.02,1.58,1.41,2.88,,6.47,5.24,5.22,7.04,39.18,9.6,18-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
18-Aug-2018 - 00:00,28.35,984.43,110.33,40.1,77.63,200.67,152.59,115.95,1.12,2.21,2.19,,6.78,5.01,6.07,7.02,36.5,10.31,19-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
19-Aug-2018 - 00:00,28.9,984.34,176.21,71.68,83.74,176.91,157.72,191.73,0.38,2.4,2.37,,4.46,4.2,10.78,8.16,33.35,11.37,20-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
20-Aug-2018 - 00:00,30.76,983.91,193.68,77.62,77.19,207.55,143.73,158.6,0.98,2.41,2.15,,16.49,3.17,19.52,12.33,56.66,8.7,21-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
21-Aug-2018 - 00:00,31.27,984.0,112.59,32.3,71.93,217.61,130.01,104.01,1.62,1.85,1.61,,28.83,2.88,23.5,14.1,30.79,9.67,22-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
22-Aug-2018 - 00:00,31.13,984.13,101.08,31.5,73.07,209.46,138.27,123.84,1.47,1.58,1.67,,35.88,3.64,26.69,16.29,26.51,9.65,23-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
23-Aug-2018 - 00:00,27.29,984.14,96.23,37.32,82.67,188.68,124.53,233.62,0.84,2.15,1.6,,27.85,18.83,28.35,24.65,12.13,9.61,24-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
24-Aug-2018 - 00:00,30.16,984.08,170.52,39.53,75.68,197.65,120.39,270.23,0.6,2.42,2.09,,25.61,16.88,25.7,22.6,11.41,9.96,25-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
25-Aug-2018 - 00:00,30.12,984.06,168.96,34.65,71.74,205.83,125.34,272.26,0.95,1.69,2.06,,25.86,19.7,36.76,27.07,19.04,20.99,26-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
26-Aug-2018 - 00:00,30.68,983.81,178.5,33.22,69.13,216.88,125.82,221.54,1.19,0.8,3.18,,30.85,11.54,25.94,18.91,34.64,11.5,27-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
27-Aug-2018 - 00:00,28.08,984.25,98.02,30.59,80.02,202.06,111.48,125.9,0.64,0.96,1.92,,19.26,4.65,27.97,16.33,55.21,11.95,28-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
28-Aug-2018 - 00:00,25.53,984.31,88.97,38.01,85.73,186.76,121.93,119.63,1.04,1.21,1.81,,13.4,6.2,9.11,9.45,37.07,12.0,29-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
29-Aug-2018 - 00:00,28.3,984.61,95.03,33.9,85.02,181.33,98.63,135.16,1.28,1.02,1.39,,17.9,7.53,18.36,14.48,23.77,11.02,30-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
30-Aug-2018 - 00:00,31.11,984.48,172.47,102.93,75.44,212.73,93.66,239.12,0.75,1.57,2.3,,31.02,17.34,28.49,26.63,30.63,14.37,31-Aug-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
31-Aug-2018 - 00:00,30.29,984.34,248.63,55.77,76.35,174.11,78.98,215.25,0.88,2.1,1.44,,28.54,19.39,23.54,27.53,30.76,11.09,01-Sep-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
01-Sep-2018 - 00:00,26.08,984.45,118.71,51.76,87.19,178.43,79.28,196.88,0.88,2.06,2.29,,,,,,23.19,15.87,02-Sep-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
02-Sep-2018 - 00:00,25.12,984.5,131.48,62.03,90.57,176.51,65.12,218.17,0.46,2.04,1.69,,,,,,38.47,11.44,03-Sep-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
03-Sep-2018 - 00:00,25.66,984.42,114.42,63.37,92.26,185.69,64.29,178.47,0.37,2.43,2.24,,2.6,,,,48.78,11.36,04-Sep-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
04-Sep-2018 - 00:00,27.32,984.49,177.91,79.21,87.62,205.26,84.98,207.43,0.33,2.87,3.72,,39.37,30.67,61.16,40.98,40.58,12.39,05-Sep-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
05-Sep-2018 - 00:00,28.02,984.45,186.85,48.73,82.04,191.04,90.04,261.61,0.65,2.4,2.52,,41.57,22.53,63.93,43.43,27.38,16.2,06-Sep-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
06-Sep-2018 - 00:00,29.31,984.37,228.33,50.66,78.26,197.85,91.09,263.59,0.67,2.8,2.53,,42.74,56.94,67.42,76.98,30.57,25.23,07-Sep-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
07-Sep-2018 - 00:00,28.0,984.52,148.64,58.4,81.72,168.0,93.18,212.32,0.48,2.63,2.93,,40.54,113.28,87.39,138.83,53.05,21.19,08-Sep-2018 - 00:00,"Anand Vihar, Delhi - DPCC"
