from date,MP-Xylene,Benzene,Toluene,O Xylene,NO,NO2,NOx,NH3,WS,SO2,CO,PM10,PM2.5,Ozone,Eth-Benzene,BP,RH,SR,VWS,WD,to date,station
01-Jan-2018 - 00:00,3.57,0.83,10.72,0.43,2.05,60.89,33.48,17.62,0.97,10.8,0.32,190.15,85.5,0.64,0.0,764.6,40.62,173.48,0.09,109.68,02-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
02-Jan-2018 - 00:00,5.74,0.19,11.25,0.0,10.39,72.63,46.31,18.97,0.87,10.33,0.4,223.49,92.26,0.56,0.0,767.53,46.25,162.27,-0.0,109.53,03-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
03-Jan-2018 - 00:00,14.66,3.82,26.2,2.15,46.47,144.71,112.92,34.94,0.91,8.33,0.62,255.7,102.76,0.75,2.1,767.57,44.22,164.42,-0.0,114.01,04-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
04-Jan-2018 - 00:00,7.68,2.31,15.51,1.0,35.69,148.63,96.39,30.67,0.88,18.1,0.32,179.15,88.4,1.09,0.0,767.52,41.97,157.52,0.0,98.7,05-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
05-Jan-2018 - 00:00,11.08,2.54,17.71,1.36,10.08,131.48,77.72,21.36,0.97,8.56,0.0,195.19,112.64,0.25,0.28,767.56,40.04,168.99,0.0,86.66,06-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
06-Jan-2018 - 00:00,6.72,0.0,12.16,0.0,22.91,126.98,84.51,22.8,0.92,9.1,0.0,197.49,116.27,0.25,0.0,767.53,48.07,165.99,0.0,97.36,07-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
07-Jan-2018 - 00:00,0.44,0.0,2.57,0.0,2.4,96.05,51.71,17.03,0.84,10.6,0.0,157.59,82.86,0.24,0.0,767.46,36.11,155.13,0.0,102.9,08-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
08-Jan-2018 - 00:00,9.91,2.06,17.35,1.51,39.51,166.75,116.81,22.41,0.94,11.38,0.0,210.08,105.37,0.32,0.69,767.64,29.61,177.12,-0.0,108.09,09-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
09-Jan-2018 - 00:00,10.44,2.45,15.2,1.53,36.92,140.4,99.8,21.57,0.94,10.66,0.0,207.93,101.99,0.0,0.72,751.26,36.54,165.58,-0.0,92.81,10-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
10-Jan-2018 - 00:00,15.74,2.56,28.16,0.96,71.98,209.4,162.88,27.04,0.81,11.06,0.01,230.32,117.68,0.0,0.0,767.53,34.63,156.13,0.0,127.13,11-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
11-Jan-2018 - 00:00,5.86,0.0,17.04,0.0,94.93,208.19,181.08,28.62,0.81,13.12,0.0,258.74,129.41,0.36,0.28,767.63,30.44,169.33,0.0,136.19,12-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
12-Jan-2018 - 00:00,13.96,3.48,19.67,3.99,64.15,142.78,102.0,22.26,0.86,13.53,0.0,220.59,112.94,0.0,2.17,767.67,28.53,175.39,-0.0,129.84,13-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
13-Jan-2018 - 00:00,36.13,10.12,54.05,7.61,143.24,254.3,260.37,36.45,0.89,8.91,0.0,346.38,189.46,0.0,0.04,767.58,40.44,165.65,0.0,104.91,14-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
14-Jan-2018 - 00:00,2.71,0.0,4.81,0.0,1.89,15.0,7.87,2.75,0.31,3.29,0.0,74.34,37.54,0.0,0.0,307.07,15.14,71.81,-0.0,40.99,15-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
15-Jan-2018 - 00:00,1.36,0.0,1.98,0.0,5.04,5.25,7.58,3.02,0.84,12.55,0.0,150.34,68.68,0.0,0.09,747.96,18.99,103.06,-0.0,125.59,16-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
16-Jan-2018 - 00:00,0.69,0.07,1.26,0.0,3.9,4.62,3.55,6.36,0.89,13.74,0.01,160.61,80.8,0.81,0.0,764.94,21.58,76.19,-0.0,107.38,17-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
17-Jan-2018 - 00:00,0.16,0.0,0.51,0.0,1.87,7.28,1.99,10.45,0.97,11.4,0.0,142.6,72.6,0.0,0.0,762.51,27.45,166.68,-0.0,85.68,18-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
18-Jan-2018 - 00:00,0.79,0.11,1.32,0.05,2.04,6.73,1.66,13.01,0.92,11.38,0.01,169.63,78.34,,0.03,762.38,35.34,148.31,-0.0,96.41,19-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
19-Jan-2018 - 00:00,0.22,0.01,0.59,0.0,2.38,7.71,1.66,16.5,0.83,10.0,0.0,192.0,92.2,,0.0,762.4,41.11,149.83,0.0,110.97,20-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
20-Jan-2018 - 00:00,0.06,0.02,0.48,0.0,3.04,8.35,,18.68,0.75,11.21,0.0,184.96,108.33,,0.0,762.42,34.97,150.59,-0.0,107.59,21-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
21-Jan-2018 - 00:00,0.17,0.0,0.93,0.0,3.09,8.33,,19.45,0.87,10.36,0.02,191.14,100.85,,0.0,762.38,34.69,149.09,-0.0,94.75,22-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
22-Jan-2018 - 00:00,0.0,0.0,0.13,0.0,1.63,6.74,0.16,9.71,1.0,16.53,0.02,122.79,73.52,0.0,0.0,762.34,40.91,149.29,-0.0,76.21,23-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
23-Jan-2018 - 00:00,0.0,0.01,0.09,0.0,18.7,26.13,60.75,15.34,0.96,9.06,0.01,149.0,85.25,0.0,0.01,762.56,43.29,177.43,-0.0,111.76,24-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
24-Jan-2018 - 00:00,0.0,0.0,0.19,0.0,34.89,70.24,74.88,24.81,0.81,10.23,0.01,154.73,106.8,0.0,0.0,762.48,58.03,158.44,-0.0,145.43,25-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
25-Jan-2018 - 00:00,2.09,0.66,3.69,0.4,34.98,70.83,74.78,25.23,0.88,10.8,0.0,152.55,94.92,0.0,0.38,762.43,54.21,155.94,-0.0,110.42,26-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
