from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
06-Oct-2018 - 00:00,0.9,0.06,0.1,0.01,763.01,121.47,51.7,0.0,41.4,33.37,234.22,0.99,0.94,11.86,11.26,38.06,49.07,23.72,8.55,07-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
07-Oct-2018 - 00:00,0.84,0.08,0.15,0.02,763.09,99.94,43.4,0.0,40.12,32.94,221.6,0.97,0.91,8.16,10.98,36.23,46.97,17.43,8.04,08-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
08-Oct-2018 - 00:00,0.71,0.14,0.36,0.11,761.36,106.16,45.11,0.0,37.54,32.17,217.85,0.96,0.84,7.64,11.05,36.31,46.56,25.3,10.13,09-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
09-Oct-2018 - 00:00,0.39,0.02,0.04,0.0,760.69,104.97,42.96,0.0,33.77,31.96,267.89,1.24,0.83,9.17,12.08,34.64,45.96,25.59,8.79,10-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
10-Oct-2018 - 00:00,0.32,0.03,0.04,0.0,760.65,95.63,42.08,0.0,32.43,31.53,271.56,1.44,0.79,11.25,13.14,29.98,41.5,19.54,8.0,11-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
11-Oct-2018 - 00:00,1.03,0.15,0.31,0.08,759.79,205.7,74.45,0.0,36.0,31.11,183.23,1.21,0.98,10.05,13.52,37.99,49.9,21.68,13.12,12-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
12-Oct-2018 - 00:00,1.37,0.73,0.93,1.47,762.88,196.24,67.41,0.0,51.16,29.03,148.81,0.96,0.99,8.78,13.07,36.88,49.82,23.21,7.86,13-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
13-Oct-2018 - 00:00,1.54,0.22,0.47,3.12,763.33,174.69,76.8,0.0,42.94,29.54,175.05,0.83,1.05,7.91,15.38,34.71,49.97,21.84,7.61,14-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
14-Oct-2018 - 00:00,1.25,0.1,0.23,0.03,761.98,166.35,63.46,0.0,37.56,29.66,206.39,0.87,0.9,9.06,12.75,33.53,45.61,17.28,8.48,15-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
15-Oct-2018 - 00:00,1.21,0.09,0.16,0.01,762.34,146.19,63.63,0.0,33.37,30.31,219.09,0.9,0.83,9.42,13.56,32.18,45.16,23.97,7.13,16-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
16-Oct-2018 - 00:00,0.6,0.04,0.06,0.0,764.14,160.94,57.26,0.0,30.4,30.57,204.77,1.11,0.76,10.79,12.54,30.32,42.06,23.39,9.66,17-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
17-Oct-2018 - 00:00,0.51,0.07,0.1,0.01,762.69,118.3,43.86,0.0,32.2,30.63,255.45,1.46,0.68,11.05,13.13,28.63,41.25,20.61,9.32,18-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
18-Oct-2018 - 00:00,0.19,0.0,0.0,0.0,760.02,94.83,31.23,0.0,33.13,33.09,255.37,1.59,0.64,11.71,13.99,26.34,39.81,21.47,6.23,19-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
19-Oct-2018 - 00:00,1.61,0.47,0.97,0.45,761.57,143.55,38.1,0.0,34.91,31.99,195.54,0.77,1.05,8.15,17.53,33.37,50.81,17.23,12.21,20-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
20-Oct-2018 - 00:00,1.0,0.11,0.3,0.06,764.07,169.71,45.93,0.0,35.86,31.1,234.94,0.8,0.81,10.35,13.57,31.06,44.25,17.73,12.06,21-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
21-Oct-2018 - 00:00,0.36,0.0,0.01,0.0,762.42,113.05,38.45,0.0,29.79,29.99,280.06,1.29,0.7,11.93,11.74,26.76,38.33,23.76,8.72,22-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
22-Oct-2018 - 00:00,1.74,0.23,0.41,0.16,758.45,183.69,61.28,0.0,35.06,28.76,160.26,0.9,1.1,8.63,16.08,33.73,49.16,24.91,11.88,23-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
23-Oct-2018 - 00:00,2.79,0.78,1.61,0.76,757.3,204.91,85.26,0.0,34.32,27.83,157.63,0.81,1.37,8.03,36.01,31.74,67.5,17.13,8.62,24-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
24-Oct-2018 - 00:00,0.49,0.13,0.46,0.24,756.67,101.92,37.76,0.0,26.32,28.77,210.9,1.12,0.65,7.11,40.58,28.43,58.5,21.84,6.0,25-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
