from date,PM2.5,PM10,WD,WS,Temp,RH,SO2,NO2,NO,NOx,NH3,CO,Ozone,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
