from date,PM2.5,PM10,WD,WS,Temp,RH,SO2,NO2,NO,NOx,NH3,CO,Ozone,to date,station
24-Jan-2018 - 00:00,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
01-Feb-2018 - 00:00,,,,,,,,,,,,,,02-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
02-Feb-2018 - 00:00,,,,,,,,,,,,,,03-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
03-Feb-2018 - 00:00,,,,,,,,,,,,,,04-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
04-Feb-2018 - 00:00,,,,,,,,,,,,,,05-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
05-Feb-2018 - 00:00,,,,,,,,,,,,,,06-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
06-Feb-2018 - 00:00,,,,,,,,,,,,,,07-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
07-Feb-2018 - 00:00,,,,,,,,,,,,,,08-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
08-Feb-2018 - 00:00,,,,,,,,,,,,,,09-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
09-Feb-2018 - 00:00,,,,,,,,,,,,,,10-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
10-Feb-2018 - 00:00,,,,,,,,,,,,,,11-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
11-Feb-2018 - 00:00,,,,,,,,,,,,,,12-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
12-Feb-2018 - 00:00,,,,,,,,,,,,,,13-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
13-Feb-2018 - 00:00,,,,,,,,,,,,,,14-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
14-Feb-2018 - 00:00,,,,,,,,,,,,,,15-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
15-Feb-2018 - 00:00,,,,,,,,,,,,,,16-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
16-Feb-2018 - 00:00,,,,,,,,,,,,,,17-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
17-Feb-2018 - 00:00,,,,,,,,,,,,,,18-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
18-Feb-2018 - 00:00,,,,,,,,,,,,,,19-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
19-Feb-2018 - 00:00,,,,,,,,,,,,,,20-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
20-Feb-2018 - 00:00,,,,,,,,,,,,,,21-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
21-Feb-2018 - 00:00,,,,,,,,,,,,,,22-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
22-Feb-2018 - 00:00,,,,,,,,,,,,,,23-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
23-Feb-2018 - 00:00,,,,,,,,,,,,,,24-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
24-Feb-2018 - 00:00,,,,,,,,,,,,,,25-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
25-Feb-2018 - 00:00,,,,,,,,,,,,,,26-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
26-Feb-2018 - 00:00,,,,,,,,,,,,,,27-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
27-Feb-2018 - 00:00,,,,,,,,,,,,,,28-Feb-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
28-Feb-2018 - 00:00,,,,,,,,,,,,,,01-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
01-Mar-2018 - 00:00,,,,,,,,,,,,,,02-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
02-Mar-2018 - 00:00,,,,,,,,,,,,,,03-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
03-Mar-2018 - 00:00,,,,,,,,,,,,,,04-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
04-Mar-2018 - 00:00,,,,,,,,,,,,,,05-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
05-Mar-2018 - 00:00,,,,,,,,,,,,,,06-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
06-Mar-2018 - 00:00,,,,,,,,,,,,,,07-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
07-Mar-2018 - 00:00,,,,,,,,,,,,,,08-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
08-Mar-2018 - 00:00,,,,,,,,,,,,,,09-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
09-Mar-2018 - 00:00,,,,,,,,,,,,,,10-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
10-Mar-2018 - 00:00,,,,,,,,,,,,,,11-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
11-Mar-2018 - 00:00,,,,,,,,,,,,,,12-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
12-Mar-2018 - 00:00,,,,,,,,,,,,,,13-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
13-Mar-2018 - 00:00,,,,,,,,,,,,,,14-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
14-Mar-2018 - 00:00,,,,,,,,,,,,,,15-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
15-Mar-2018 - 00:00,,,,,,,,,,,,,,16-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
16-Mar-2018 - 00:00,,,,,,,,,,,,,,17-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
17-Mar-2018 - 00:00,,,,,,,,,,,,,,18-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
18-Mar-2018 - 00:00,,,,,,,,,,,,,,19-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
19-Mar-2018 - 00:00,,,,,,,,,,,,,,20-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
20-Mar-2018 - 00:00,,,,,,,,,,,,,,21-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
21-Mar-2018 - 00:00,,,,,,,,,,,,,,22-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
22-Mar-2018 - 00:00,,,,,,,,,,,,,,23-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
23-Mar-2018 - 00:00,,,,,,,,,,,,,,24-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
24-Mar-2018 - 00:00,,,,,,,,,,,,,,25-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
25-Mar-2018 - 00:00,,,,,,,,,,,,,,26-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
26-Mar-2018 - 00:00,,,,,,,,,,,,,,27-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
27-Mar-2018 - 00:00,,,,,,,,,,,,,,28-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
28-Mar-2018 - 00:00,,,,,,,,,,,,,,29-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
29-Mar-2018 - 00:00,,,,,,,,,,,,,,30-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
30-Mar-2018 - 00:00,,,,,,,,,,,,,,31-Mar-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
31-Mar-2018 - 00:00,,,,,,,,,,,,,,01-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
01-Apr-2018 - 00:00,,,,,,,,,,,,,,02-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
02-Apr-2018 - 00:00,,,,,,,,,,,,,,03-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
03-Apr-2018 - 00:00,,,,,,,,,,,,,,04-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
04-Apr-2018 - 00:00,,,,,,,,,,,,,,05-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
05-Apr-2018 - 00:00,,,,,,,,,,,,,,06-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
06-Apr-2018 - 00:00,,,,,,,,,,,,,,07-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
07-Apr-2018 - 00:00,,,,,,,,,,,,,,08-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
08-Apr-2018 - 00:00,,,,,,,,,,,,,,09-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
09-Apr-2018 - 00:00,,,,,,,,,,,,,,10-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
10-Apr-2018 - 00:00,,,,,,,,,,,,,,11-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
11-Apr-2018 - 00:00,,,,,,,,,,,,,,12-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
12-Apr-2018 - 00:00,,,,,,,,,,,,,,13-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
13-Apr-2018 - 00:00,,,,,,,,,,,,,,14-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
14-Apr-2018 - 00:00,,,,,,,,,,,,,,15-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
15-Apr-2018 - 00:00,,,,,,,,,,,,,,16-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
16-Apr-2018 - 00:00,,,,,,,,,,,,,,17-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
17-Apr-2018 - 00:00,,,,,,,,,,,,,,18-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
18-Apr-2018 - 00:00,,,,,,,,,,,,,,19-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
19-Apr-2018 - 00:00,,,,,,,,,,,,,,20-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
20-Apr-2018 - 00:00,,,,,,,,,,,,,,21-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
21-Apr-2018 - 00:00,,,,,,,,,,,,,,22-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
22-Apr-2018 - 00:00,,,,,,,,,,,,,,23-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
23-Apr-2018 - 00:00,,,,,,,,,,,,,,24-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
24-Apr-2018 - 00:00,,,,,,,,,,,,,,25-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
25-Apr-2018 - 00:00,,,,,,,,,,,,,,26-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
26-Apr-2018 - 00:00,,,,,,,,,,,,,,27-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
27-Apr-2018 - 00:00,,,,,,,,,,,,,,28-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
28-Apr-2018 - 00:00,,,,,,,,,,,,,,29-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
29-Apr-2018 - 00:00,,,,,,,,,,,,,,30-Apr-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
30-Apr-2018 - 00:00,,,,,,,,,,,,,,01-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
01-May-2018 - 00:00,,,,,,,,,,,,,,02-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
02-May-2018 - 00:00,,,,,,,,,,,,,,03-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
03-May-2018 - 00:00,,,,,,,,,,,,,,04-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
04-May-2018 - 00:00,,,,,,,,,,,,,,05-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
05-May-2018 - 00:00,,,,,,,,,,,,,,06-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
06-May-2018 - 00:00,,,,,,,,,,,,,,07-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
07-May-2018 - 00:00,,,,,,,,,,,,,,08-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
08-May-2018 - 00:00,,,,,,,,,,,,,,09-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
09-May-2018 - 00:00,,,,,,,,,,,,,,10-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
10-May-2018 - 00:00,,,,,,,,,,,,,,11-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
11-May-2018 - 00:00,,,,,,,,,,,,,,12-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
12-May-2018 - 00:00,,,,,,,,,,,,,,13-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
13-May-2018 - 00:00,,,,,,,,,,,,,,14-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
14-May-2018 - 00:00,,,,,,,,,,,,,,15-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
15-May-2018 - 00:00,,,,,,,,,,,,,,16-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
16-May-2018 - 00:00,,,,,,,,,,,,,,17-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
17-May-2018 - 00:00,,,,,,,,,,,,,,18-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
18-May-2018 - 00:00,,,,,,,,,,,,,,19-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
19-May-2018 - 00:00,,,,,,,,,,,,,,20-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
20-May-2018 - 00:00,,,,,,,,,,,,,,21-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
21-May-2018 - 00:00,,,,,,,,,,,,,,22-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
22-May-2018 - 00:00,,,,,,,,,,,,,,23-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
23-May-2018 - 00:00,,,,,,,,,,,,,,24-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
24-May-2018 - 00:00,,,,,,,,,,,,,,25-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
25-May-2018 - 00:00,,,,,,,,,,,,,,26-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
26-May-2018 - 00:00,,,,,,,,,,,,,,27-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
27-May-2018 - 00:00,,,,,,,,,,,,,,28-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
28-May-2018 - 00:00,,,,,,,,,,,,,,29-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
29-May-2018 - 00:00,,,,,,,,,,,,,,30-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
30-May-2018 - 00:00,,,,,,,,,,,,,,31-May-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
31-May-2018 - 00:00,,,,,,,,,,,,,,01-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
01-Jun-2018 - 00:00,,,,,,,,,,,,,,02-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
02-Jun-2018 - 00:00,,,,,,,,,,,,,,03-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
03-Jun-2018 - 00:00,,,,,,,,,,,,,,04-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
04-Jun-2018 - 00:00,,,,,,,,,,,,,,05-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
05-Jun-2018 - 00:00,,,,,,,,,,,,,,06-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
06-Jun-2018 - 00:00,,,,,,,,,,,,,,07-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
07-Jun-2018 - 00:00,,,,,,,,,,,,,,08-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
08-Jun-2018 - 00:00,,,,,,,,,,,,,,09-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
09-Jun-2018 - 00:00,,,,,,,,,,,,,,10-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
10-Jun-2018 - 00:00,,,,,,,,,,,,,,11-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
11-Jun-2018 - 00:00,,,,,,,,,,,,,,12-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
12-Jun-2018 - 00:00,,,,,,,,,,,,,,13-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
13-Jun-2018 - 00:00,,,,,,,,,,,,,,14-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
14-Jun-2018 - 00:00,,,,,,,,,,,,,,15-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
15-Jun-2018 - 00:00,,,,,,,,,,,,,,16-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
16-Jun-2018 - 00:00,,,,,,,,,,,,,,17-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
17-Jun-2018 - 00:00,,,,,,,,,,,,,,18-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
18-Jun-2018 - 00:00,,,,,,,,,,,,,,19-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
19-Jun-2018 - 00:00,,,,,,,,,,,,,,20-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
20-Jun-2018 - 00:00,,,,,,,,,,,,,,21-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
21-Jun-2018 - 00:00,,,,,,,,,,,,,,22-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
22-Jun-2018 - 00:00,,,,,,,,,,,,,,23-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
23-Jun-2018 - 00:00,,,,,,,,,,,,,,24-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
24-Jun-2018 - 00:00,,,,,,,,,,,,,,25-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
25-Jun-2018 - 00:00,,,,,,,,,,,,,,26-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
26-Jun-2018 - 00:00,,,,,,,,,,,,,,27-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
27-Jun-2018 - 00:00,,,,,,,,,,,,,,28-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
28-Jun-2018 - 00:00,,,,,,,,,,,,,,29-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
29-Jun-2018 - 00:00,,,,,,,,,,,,,,30-Jun-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
30-Jun-2018 - 00:00,,,,,,,,,,,,,,01-Jul-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
01-Jul-2018 - 00:00,,,,,,,,,,,,,,02-Jul-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
02-Jul-2018 - 00:00,,,,,,,,,,,,,,03-Jul-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
03-Jul-2018 - 00:00,,,,,,,,,,,,,,04-Jul-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
