from date,CO,NO,NO2,NOx,PM10,SO2,Ozone,to date,station
21-Jan-2018 - 00:00,1.46,16.73,61.03,78.35,294.32,13.4,12.28,22-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-Jan-2018 - 00:00,,,,,,,,23-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-Jan-2018 - 00:00,1.43,18.06,60.93,79.49,232.07,18.01,10.53,24-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-Jan-2018 - 00:00,1.12,13.86,66.39,80.74,255.6,15.99,14.47,25-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-Jan-2018 - 00:00,1.2,12.99,65.94,79.44,216.13,11.97,14.63,26-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-Jan-2018 - 00:00,0.75,13.03,63.98,77.49,241.34,12.29,14.39,27-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-Jan-2018 - 00:00,0.6,19.8,59.83,80.1,246.25,12.46,13.13,28-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-Jan-2018 - 00:00,1.36,20.9,61.32,82.74,268.42,12.42,9.91,29-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
29-Jan-2018 - 00:00,1.17,22.45,57.44,80.34,265.56,12.84,10.81,30-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
30-Jan-2018 - 00:00,1.02,18.33,60.33,79.17,235.52,13.0,13.15,31-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
31-Jan-2018 - 00:00,1.11,18.35,62.89,81.75,267.52,13.61,22.44,01-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
01-Feb-2018 - 00:00,1.29,17.83,65.26,83.59,317.62,13.64,35.13,02-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
02-Feb-2018 - 00:00,1.57,20.83,63.11,84.45,325.03,11.35,12.94,03-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-Feb-2018 - 00:00,1.52,17.12,67.84,85.46,346.79,15.28,9.39,04-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-Feb-2018 - 00:00,1.46,19.9,65.39,85.79,329.98,12.21,11.67,05-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-Feb-2018 - 00:00,1.15,17.39,66.23,84.08,268.65,11.98,13.63,06-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-Feb-2018 - 00:00,1.18,16.04,66.0,82.54,233.77,14.5,13.29,07-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-Feb-2018 - 00:00,1.4,24.02,60.59,85.13,278.37,14.01,11.35,08-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
08-Feb-2018 - 00:00,0.99,23.98,59.84,84.27,240.09,14.25,10.9,09-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
09-Feb-2018 - 00:00,1.02,21.51,62.99,85.0,250.37,12.4,10.62,10-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-Feb-2018 - 00:00,0.8,16.2,63.1,79.79,202.95,19.79,11.6,11-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
11-Feb-2018 - 00:00,0.89,14.64,63.1,78.23,202.01,11.72,13.41,12-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-Feb-2018 - 00:00,1.01,12.8,63.05,76.35,186.16,10.89,19.21,13-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-Feb-2018 - 00:00,0.75,12.91,61.55,74.96,170.92,10.75,12.4,14-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-Feb-2018 - 00:00,0.75,13.13,64.67,78.3,199.8,13.79,10.23,15-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-Feb-2018 - 00:00,0.54,11.62,68.3,80.41,160.72,12.29,16.93,16-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-Feb-2018 - 00:00,1.02,17.44,60.07,78.01,230.01,12.55,14.5,17-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-Feb-2018 - 00:00,1.19,21.01,60.19,81.69,236.04,11.72,13.77,18-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-Feb-2018 - 00:00,1.08,19.66,59.65,79.79,323.99,14.94,10.67,19-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-Feb-2018 - 00:00,0.65,11.69,66.92,79.1,320.71,12.89,18.97,20-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-Feb-2018 - 00:00,0.85,11.46,65.08,77.05,234.54,9.35,21.94,21-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
21-Feb-2018 - 00:00,0.77,10.78,64.93,76.2,243.85,39.96,23.98,22-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-Feb-2018 - 00:00,0.75,16.21,61.98,78.69,298.12,48.67,20.72,23-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-Feb-2018 - 00:00,1.15,19.63,65.66,85.78,356.5,15.53,14.85,24-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-Feb-2018 - 00:00,1.04,13.13,66.55,80.1,275.58,14.86,157.64,25-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-Feb-2018 - 00:00,0.92,13.67,62.23,76.42,334.92,6.68,,26-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-Feb-2018 - 00:00,0.43,14.61,61.58,76.69,228.06,8.46,,27-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-Feb-2018 - 00:00,0.48,12.59,62.98,76.09,239.06,14.42,,28-Feb-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-Feb-2018 - 00:00,0.88,13.05,65.38,78.92,262.53,18.5,,01-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
01-Mar-2018 - 00:00,0.65,12.43,62.33,75.26,215.43,14.67,,02-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
02-Mar-2018 - 00:00,1.27,15.52,58.65,74.68,273.82,15.25,,03-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-Mar-2018 - 00:00,0.69,14.91,57.5,72.91,266.92,20.99,,04-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-Mar-2018 - 00:00,1.11,19.98,55.52,75.97,392.34,52.22,,05-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-Mar-2018 - 00:00,0.89,13.76,60.24,74.5,282.97,12.99,,06-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-Mar-2018 - 00:00,0.71,11.93,62.11,74.53,197.33,11.9,,07-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-Mar-2018 - 00:00,0.64,14.02,57.94,72.46,193.47,11.4,,08-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
08-Mar-2018 - 00:00,0.97,14.83,58.0,73.34,222.94,12.39,,09-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
09-Mar-2018 - 00:00,0.8,14.44,56.67,71.6,238.74,12.76,,10-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-Mar-2018 - 00:00,0.78,19.38,52.08,71.69,276.91,12.97,,11-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
11-Mar-2018 - 00:00,1.13,16.87,56.32,73.69,275.53,13.56,,12-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-Mar-2018 - 00:00,1.17,17.66,54.22,72.39,303.68,14.54,,13-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-Mar-2018 - 00:00,0.81,13.44,58.21,72.15,266.9,10.91,,14-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-Mar-2018 - 00:00,0.7,19.25,53.77,73.39,294.41,11.86,,15-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-Mar-2018 - 00:00,0.94,16.92,55.89,73.31,374.81,16.1,,16-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-Mar-2018 - 00:00,0.52,11.56,59.38,71.44,217.38,20.33,,17-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-Mar-2018 - 00:00,0.91,12.86,59.14,72.5,241.43,18.63,,18-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-Mar-2018 - 00:00,0.71,14.07,56.78,71.35,265.02,13.89,,19-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-Mar-2018 - 00:00,0.85,14.68,55.6,70.78,231.67,11.71,,20-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-Mar-2018 - 00:00,1.15,25.32,47.82,71.49,322.88,13.17,,21-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
21-Mar-2018 - 00:00,1.25,17.92,53.41,71.56,272.32,15.51,,22-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-Mar-2018 - 00:00,0.71,13.08,59.31,72.89,306.25,16.06,,23-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-Mar-2018 - 00:00,0.75,12.11,60.46,73.08,255.66,12.28,,24-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-Mar-2018 - 00:00,0.94,11.78,59.39,71.68,228.57,12.38,,25-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-Mar-2018 - 00:00,0.77,11.98,60.17,72.64,232.75,13.1,,26-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-Mar-2018 - 00:00,0.95,14.44,51.92,66.86,220.99,11.64,,27-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-Mar-2018 - 00:00,1.61,12.81,57.11,70.42,298.51,14.46,,28-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-Mar-2018 - 00:00,0.91,12.07,62.07,74.64,242.17,13.33,,29-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
29-Mar-2018 - 00:00,0.64,11.63,57.38,69.52,195.67,14.16,,30-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
30-Mar-2018 - 00:00,0.37,11.15,59.34,70.99,161.54,12.35,,31-Mar-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
31-Mar-2018 - 00:00,0.34,10.42,58.87,69.79,120.33,9.9,,01-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
01-Apr-2018 - 00:00,0.53,11.15,60.21,71.85,116.67,10.69,,02-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
02-Apr-2018 - 00:00,0.73,12.67,61.9,75.06,125.45,8.09,,03-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-Apr-2018 - 00:00,0.63,12.71,63.52,76.73,259.62,13.82,,04-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-Apr-2018 - 00:00,0.45,11.92,64.22,76.66,169.65,12.07,,05-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-Apr-2018 - 00:00,0.53,11.57,61.76,73.83,111.43,12.07,,06-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-Apr-2018 - 00:00,0.63,10.86,62.06,73.41,113.48,9.94,12.07,07-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-Apr-2018 - 00:00,0.51,9.99,59.66,70.13,152.66,10.75,9.49,08-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
08-Apr-2018 - 00:00,0.63,10.94,63.54,74.97,161.52,9.6,15.47,09-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
09-Apr-2018 - 00:00,0.77,10.66,67.01,78.16,207.45,16.47,12.14,10-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-Apr-2018 - 00:00,0.56,10.55,67.03,78.07,171.21,50.3,20.22,11-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
11-Apr-2018 - 00:00,0.64,10.84,67.02,78.36,164.47,12.21,24.39,12-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-Apr-2018 - 00:00,0.85,10.66,62.41,73.57,195.44,11.28,25.73,13-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-Apr-2018 - 00:00,0.6,10.76,64.19,75.45,179.74,11.84,29.55,14-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-Apr-2018 - 00:00,0.6,10.79,62.56,73.9,199.86,13.85,38.25,15-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-Apr-2018 - 00:00,0.58,10.42,61.97,72.9,189.79,12.43,42.0,16-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-Apr-2018 - 00:00,0.63,10.63,61.72,72.84,309.55,13.24,43.38,17-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-Apr-2018 - 00:00,0.42,10.67,61.87,73.04,175.3,11.89,27.62,18-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-Apr-2018 - 00:00,0.29,10.4,56.01,66.91,128.24,11.75,17.67,19-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-Apr-2018 - 00:00,0.37,11.96,61.53,74.0,206.8,18.18,21.76,20-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-Apr-2018 - 00:00,0.4,9.41,59.27,69.17,172.26,12.74,19.36,21-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
21-Apr-2018 - 00:00,0.47,9.49,61.06,71.05,167.68,13.69,18.47,22-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-Apr-2018 - 00:00,0.7,9.57,62.29,72.37,215.97,13.3,15.0,23-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-Apr-2018 - 00:00,,,,,,,,24-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-Apr-2018 - 00:00,0.63,9.99,48.44,58.86,373.15,25.08,23.56,25-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-Apr-2018 - 00:00,,,,,,,,26-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-Apr-2018 - 00:00,,,,,,,,27-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-Apr-2018 - 00:00,,,,,,,,28-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-Apr-2018 - 00:00,,,,,,,,29-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
29-Apr-2018 - 00:00,,,,,,,,30-Apr-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
30-Apr-2018 - 00:00,,,,,,,,01-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
01-May-2018 - 00:00,,,,,,,,02-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
02-May-2018 - 00:00,0.63,10.04,64.15,74.71,95.96,9.65,16.92,03-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-May-2018 - 00:00,0.6,9.95,62.29,72.74,92.32,11.17,13.94,04-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-May-2018 - 00:00,0.94,10.87,61.36,72.73,185.74,12.66,21.67,05-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-May-2018 - 00:00,0.68,10.74,58.2,69.44,121.52,11.34,25.53,06-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-May-2018 - 00:00,0.47,10.85,61.27,72.62,146.96,11.6,22.23,07-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-May-2018 - 00:00,0.86,11.83,60.01,72.35,218.63,12.56,25.0,08-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
08-May-2018 - 00:00,0.82,11.66,58.08,70.23,153.78,11.68,24.54,09-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
09-May-2018 - 00:00,0.68,12.08,60.09,72.68,178.63,11.94,24.12,10-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-May-2018 - 00:00,0.57,10.88,61.07,72.45,153.12,11.92,18.46,11-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
11-May-2018 - 00:00,0.85,10.93,60.87,72.29,136.23,10.52,17.39,12-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-May-2018 - 00:00,0.78,9.69,61.93,72.12,130.22,12.15,25.4,13-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-May-2018 - 00:00,0.91,9.75,60.13,70.4,97.44,47.93,13.35,14-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-May-2018 - 00:00,0.66,9.78,60.01,70.3,108.21,8.09,21.2,15-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-May-2018 - 00:00,0.9,9.68,59.14,69.31,150.13,11.82,25.22,16-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-May-2018 - 00:00,0.74,9.65,59.95,70.09,121.54,10.81,11.67,17-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-May-2018 - 00:00,1.28,9.71,59.68,69.89,137.54,9.32,19.6,18-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-May-2018 - 00:00,0.72,9.79,59.43,69.72,161.93,12.09,17.71,19-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-May-2018 - 00:00,0.9,9.48,58.51,68.5,180.31,10.87,29.27,20-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-May-2018 - 00:00,0.86,9.71,59.43,69.65,183.91,11.38,23.5,21-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
21-May-2018 - 00:00,0.84,9.66,60.06,70.23,216.62,12.31,29.72,22-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-May-2018 - 00:00,0.9,9.28,59.49,69.28,151.52,11.18,17.13,23-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-May-2018 - 00:00,0.93,9.63,59.31,69.43,156.3,9.43,21.88,24-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-May-2018 - 00:00,1.03,9.38,59.77,69.65,88.31,11.09,14.75,25-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-May-2018 - 00:00,0.33,9.56,59.83,69.89,91.12,11.9,11.05,26-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-May-2018 - 00:00,0.6,9.73,58.99,69.21,165.7,11.83,22.66,27-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-May-2018 - 00:00,0.71,9.49,59.84,69.84,76.65,12.36,12.99,28-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-May-2018 - 00:00,0.7,9.39,59.93,69.82,109.78,48.63,14.51,29-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
29-May-2018 - 00:00,0.63,9.41,60.46,70.37,126.43,49.25,14.71,30-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
30-May-2018 - 00:00,0.79,9.3,59.55,69.34,113.01,12.32,14.55,31-May-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
31-May-2018 - 00:00,0.76,9.7,59.27,69.46,157.76,11.09,24.74,01-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
01-Jun-2018 - 00:00,0.92,9.49,59.49,69.48,103.64,10.82,12.28,02-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
02-Jun-2018 - 00:00,0.96,9.08,60.21,69.79,104.31,11.01,16.3,03-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-Jun-2018 - 00:00,0.85,9.5,59.42,69.42,160.11,11.85,26.22,04-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-Jun-2018 - 00:00,0.86,9.79,59.32,68.91,161.8,12.93,20.38,05-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-Jun-2018 - 00:00,1.41,9.5,60.09,69.32,149.9,13.72,11.15,06-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-Jun-2018 - 00:00,0.96,9.32,59.77,69.59,136.84,14.27,13.46,07-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-Jun-2018 - 00:00,0.92,9.34,60.12,69.97,113.06,13.06,12.01,08-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
