from date,CO,NO,NO2,NOx,PM10,SO2,Ozone,to date,station
01-Jan-2018 - 00:00,0.99,21.63,17.94,35.17,194.45,10.2,14.03,02-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
02-Jan-2018 - 00:00,0.9,15.63,34.27,50.11,234.01,11.39,13.4,03-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-Jan-2018 - 00:00,0.84,11.44,66.19,78.13,244.57,16.45,13.29,04-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-Jan-2018 - 00:00,0.94,12.77,62.83,76.1,232.09,15.57,11.48,05-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-Jan-2018 - 00:00,1.07,12.55,61.12,74.17,247.65,15.62,12.7,06-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-Jan-2018 - 00:00,1.47,18.06,60.8,79.37,237.75,33.74,9.18,07-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-Jan-2018 - 00:00,1.27,16.04,62.01,78.55,253.61,47.59,10.79,08-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
08-Jan-2018 - 00:00,0.94,13.61,64.95,79.05,263.16,14.1,10.48,09-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
09-Jan-2018 - 00:00,1.23,15.55,66.05,82.1,272.62,13.87,13.8,10-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-Jan-2018 - 00:00,1.18,14.89,66.03,81.41,264.88,14.14,16.17,11-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
11-Jan-2018 - 00:00,1.46,15.51,65.23,81.24,341.9,15.52,14.25,12-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-Jan-2018 - 00:00,1.5,12.34,64.42,77.26,321.95,13.32,9.27,13-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-Jan-2018 - 00:00,1.42,21.12,54.14,75.74,278.87,12.21,1.58,14-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-Jan-2018 - 00:00,,,,,,,,15-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-Jan-2018 - 00:00,0.64,8.74,71.99,81.29,87.96,10.89,27.04,16-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-Jan-2018 - 00:00,1.26,18.14,62.29,80.93,294.37,14.61,20.11,17-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-Jan-2018 - 00:00,1.4,18.6,62.08,81.18,303.34,15.13,12.13,18-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-Jan-2018 - 00:00,1.27,16.16,65.91,82.58,314.92,15.82,9.33,19-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-Jan-2018 - 00:00,1.02,13.37,63.61,77.49,251.16,11.29,12.09,20-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-Jan-2018 - 00:00,1.48,20.59,59.38,80.48,323.43,13.19,11.39,21-Jan-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
