from date,BP,Benzene,MP-Xylene,O Xylene,Toluene,CO,Eth-Benzene,PM2.5,NO,NO2,NOx,Ozone,RH,SR,SO2,Temp,VWS,WD,WS,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Jan-2018 - 00:00,,3.07,1.25,1.18,21.83,0.82,29.39,38.25,2.36,12.93,7.32,76.88,44.6,227.73,4.88,,0.09,67.99,1.09,10-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Jan-2018 - 00:00,,0.0,0.28,0.02,0.17,0.55,0.24,34.97,3.2,9.67,6.33,61.85,68.22,139.19,2.5,,0.09,62.88,1.18,11-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Jan-2018 - 00:00,,0.0,0.19,0.06,0.0,0.63,0.03,102.99,4.01,15.17,9.65,58.26,63.28,140.56,5.32,,0.09,66.86,1.08,12-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Jan-2018 - 00:00,,0.0,0.08,0.04,0.0,0.71,0.07,34.84,4.07,23.6,13.8,72.18,63.73,121.78,3.31,,0.09,73.12,1.05,13-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-Jan-2018 - 00:00,,0.0,0.08,0.08,0.0,0.69,0.07,32.96,3.31,26.62,14.71,72.94,47.34,175.29,3.8,,0.08,65.77,0.92,14-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-Jan-2018 - 00:00,,0.0,0.26,0.09,0.0,0.67,0.11,38.4,6.71,29.54,18.67,74.63,47.58,181.46,2.98,,0.08,58.15,0.8,15-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Jan-2018 - 00:00,,0.0,0.11,0.04,0.0,0.58,0.02,36.96,2.42,17.68,9.68,92.67,46.96,176.64,3.39,,0.09,71.44,0.97,16-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Jan-2018 - 00:00,,0.0,0.18,0.04,0.0,0.8,0.1,41.63,6.58,37.51,22.46,83.41,48.92,153.08,3.32,,0.09,97.42,0.72,17-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Jan-2018 - 00:00,,0.0,0.09,0.03,0.0,0.67,0.1,43.67,8.27,36.36,23.16,88.43,53.03,164.12,3.64,,0.09,104.97,0.77,18-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Jan-2018 - 00:00,,0.0,0.39,0.08,0.0,0.67,0.0,34.13,4.13,33.65,18.75,87.65,36.95,188.71,5.02,,0.09,69.25,0.8,19-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Jan-2018 - 00:00,,0.0,0.13,0.03,0.0,0.76,0.14,33.74,2.59,23.32,12.56,96.56,45.44,168.44,4.36,,0.09,57.89,1.04,20-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Jan-2018 - 00:00,,0.0,0.03,0.0,0.0,0.71,0.05,31.41,2.06,19.3,10.2,103.52,45.89,187.44,4.48,,0.09,65.8,0.97,21-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Jan-2018 - 00:00,,0.0,0.01,0.01,0.0,0.67,0.02,37.11,1.76,14.45,7.64,103.95,47.52,182.82,4.25,,0.09,64.19,0.97,22-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-Jan-2018 - 00:00,,0.0,0.07,0.02,0.0,0.53,0.01,45.96,1.91,19.38,10.13,95.33,58.57,180.27,3.77,,0.09,71.55,1.08,23-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-Jan-2018 - 00:00,,0.08,0.27,0.06,0.0,0.77,0.1,50.7,3.27,28.32,15.51,69.4,62.32,174.33,4.99,,0.07,108.96,0.73,24-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-Jan-2018 - 00:00,,0.2,0.03,0.01,0.0,0.71,0.19,47.56,13.64,48.65,33.17,51.7,89.86,141.72,5.74,,-0.02,110.54,0.56,25-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-Jan-2018 - 00:00,,0.0,0.09,0.03,0.0,0.72,0.0,45.28,7.82,27.93,18.71,65.7,77.15,177.04,7.68,,-0.01,99.42,0.66,26-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
26-Jan-2018 - 00:00,,0.0,0.05,0.0,0.0,0.93,0.01,42.24,1.62,16.02,8.28,74.55,89.87,180.26,8.37,,0.01,72.52,0.9,27-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
27-Jan-2018 - 00:00,,0.04,0.08,0.0,0.0,0.62,0.08,51.82,4.7,28.98,16.89,71.46,64.1,162.11,6.87,,-0.0,93.35,0.78,28-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
28-Jan-2018 - 00:00,,0.0,0.03,0.0,0.0,0.55,0.02,40.45,2.44,17.86,9.78,68.48,63.55,175.35,7.46,,0.03,65.28,1.04,29-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
