from date,BP,Benzene,MP-Xylene,O Xylene,Toluene,CO,Eth-Benzene,PM2.5,NO,NO2,NOx,Ozone,RH,SR,SO2,Temp,VWS,WD,WS,to date,station
29-Jan-2018 - 00:00,,0.0,0.17,0.02,0.0,0.8,0.0,38.55,2.5,22.32,12.01,61.4,86.64,183.65,7.19,,0.03,59.55,1.05,30-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
30-Jan-2018 - 00:00,,0.0,0.03,0.0,0.0,0.59,0.0,81.69,2.62,25.23,13.46,62.03,82.68,163.66,6.47,,0.02,58.5,0.89,31-Jan-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
31-Jan-2018 - 00:00,,0.0,0.14,0.04,0.0,0.77,0.0,38.78,2.39,26.2,13.82,64.58,90.0,192.99,6.76,,0.01,62.78,0.84,01-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-Feb-2018 - 00:00,,0.0,0.36,0.05,0.0,0.95,0.0,33.82,10.07,48.16,30.26,50.43,79.85,202.33,8.96,,0.0,84.26,0.76,02-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Feb-2018 - 00:00,,0.0,0.2,0.02,0.0,0.85,0.0,32.1,3.75,31.92,17.62,63.82,52.14,198.41,8.38,,0.03,63.77,1.09,03-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Feb-2018 - 00:00,,0.0,0.0,0.0,0.0,0.86,0.0,35.0,1.85,22.47,11.59,33.57,88.64,202.91,8.96,,0.03,61.83,1.07,04-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Feb-2018 - 00:00,,0.01,0.0,0.0,0.0,0.71,0.0,28.21,2.33,20.13,10.81,25.25,83.8,205.72,3.36,,0.01,67.82,0.88,05-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Feb-2018 - 00:00,,0.0,0.0,0.0,0.0,0.58,0.0,28.25,4.13,26.81,15.41,41.77,64.12,201.12,3.18,,0.02,74.05,0.97,06-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-Feb-2018 - 00:00,,0.0,0.0,0.0,0.0,0.6,0.0,35.03,2.23,19.68,10.52,45.49,87.16,176.69,2.9,,0.03,84.55,1.17,07-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Feb-2018 - 00:00,,0.0,0.0,0.0,0.0,0.54,0.0,29.78,7.78,30.39,19.89,26.29,90.0,124.82,2.45,,-0.0,151.99,0.75,08-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Feb-2018 - 00:00,,0.0,0.0,0.0,0.0,0.74,0.0,27.91,25.97,51.97,43.93,35.59,89.93,147.28,3.28,,-0.01,91.03,0.63,09-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Feb-2018 - 00:00,,2.72,0.59,0.18,2.85,0.83,0.55,28.89,6.13,43.42,25.01,42.58,89.99,183.61,2.13,,-0.02,134.1,0.53,10-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Feb-2018 - 00:00,,1.68,0.45,0.12,6.5,0.53,0.19,26.47,5.46,32.71,18.85,32.41,89.39,204.65,1.88,,0.01,93.88,0.87,11-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Feb-2018 - 00:00,,0.6,0.1,0.01,0.85,0.49,0.01,24.9,2.0,10.0,5.62,45.77,89.95,215.49,3.16,,0.06,80.69,1.5,12-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Feb-2018 - 00:00,,0.49,0.06,0.01,0.8,0.46,0.0,23.1,2.64,10.68,6.42,41.61,89.89,205.25,2.39,,0.04,69.96,1.2,13-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-Feb-2018 - 00:00,,0.39,0.05,0.01,0.79,0.84,0.0,33.5,2.49,11.34,6.7,51.61,89.41,218.77,1.99,,0.04,70.58,1.17,14-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-Feb-2018 - 00:00,,0.3,0.03,0.0,0.67,0.59,0.0,33.91,2.35,10.57,6.16,47.5,86.33,226.29,1.62,,0.04,62.19,1.21,15-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Feb-2018 - 00:00,,0.78,0.09,0.01,0.91,0.57,0.0,28.66,2.75,11.96,7.14,46.12,65.98,219.68,1.27,,0.04,63.5,1.15,16-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Feb-2018 - 00:00,,0.88,0.23,0.04,1.47,0.67,0.03,27.23,3.87,26.81,15.22,45.54,73.05,235.34,2.39,,0.02,65.73,0.89,17-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Feb-2018 - 00:00,,1.49,0.47,0.07,2.61,0.87,0.07,30.45,9.49,40.49,26.09,51.39,53.06,226.43,7.09,,-0.0,93.71,0.7,18-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Feb-2018 - 00:00,,0.93,0.03,0.01,0.91,0.69,0.0,26.22,2.0,16.99,9.03,61.19,49.59,232.38,3.36,,0.03,68.03,1.05,19-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Feb-2018 - 00:00,,0.72,0.11,0.01,1.15,1.0,0.0,26.48,2.68,22.73,12.34,62.29,43.77,237.33,3.37,,0.03,66.27,1.06,20-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Feb-2018 - 00:00,,0.51,0.09,0.01,1.03,0.83,0.0,28.66,2.37,21.21,11.37,65.73,47.24,228.45,3.74,,0.03,56.11,1.02,21-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Feb-2018 - 00:00,,0.9,0.17,0.02,1.35,0.63,0.0,31.76,6.02,30.09,18.43,59.25,37.71,232.02,3.85,,0.02,62.46,0.93,22-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-Feb-2018 - 00:00,,0.89,0.23,0.02,1.47,0.62,0.0,35.06,6.5,38.88,23.06,60.99,39.01,228.05,4.01,,0.01,58.43,0.82,23-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-Feb-2018 - 00:00,,0.66,0.11,0.01,1.14,0.71,0.0,27.63,3.41,29.94,16.41,56.01,32.77,239.24,4.59,,0.03,67.82,0.97,24-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-Feb-2018 - 00:00,,0.18,0.05,0.01,0.74,0.68,0.0,21.72,2.12,12.01,6.69,44.53,56.62,244.35,3.93,,0.04,67.37,1.24,25-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-Feb-2018 - 00:00,,0.03,0.01,0.0,0.47,0.52,0.0,19.88,2.04,9.57,5.44,44.36,55.94,244.79,3.72,,0.05,66.39,1.24,26-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
26-Feb-2018 - 00:00,,0.43,0.18,0.03,0.87,0.75,0.04,16.25,4.01,20.2,12.09,36.75,50.05,244.45,3.46,,0.01,73.82,0.92,27-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
27-Feb-2018 - 00:00,,0.27,0.05,0.01,0.67,0.69,0.0,22.74,4.88,19.54,12.42,41.11,35.59,245.35,4.9,,0.04,59.25,1.12,28-Feb-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
28-Feb-2018 - 00:00,,0.65,0.17,0.02,1.09,0.64,0.0,25.03,7.5,32.45,20.68,37.99,33.87,234.94,3.97,,0.02,62.93,0.92,01-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-Mar-2018 - 00:00,,0.51,0.11,0.01,0.93,0.8,0.0,28.72,5.18,25.13,15.38,46.58,38.62,242.47,3.75,,0.03,58.64,1.05,02-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Mar-2018 - 00:00,,0.63,0.12,0.01,1.08,0.76,0.0,29.01,5.71,39.13,22.6,52.32,29.52,240.81,3.9,,0.01,70.01,0.83,03-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Mar-2018 - 00:00,,0.77,0.2,0.03,1.44,0.92,0.0,28.87,6.79,37.26,22.5,50.13,24.75,241.93,3.37,,0.01,77.51,0.79,04-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Mar-2018 - 00:00,,0.5,0.09,0.02,0.99,0.97,0.0,27.79,2.62,22.43,12.14,49.36,20.62,238.52,4.31,,0.01,100.04,0.84,05-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Mar-2018 - 00:00,,0.47,0.16,0.02,1.02,0.88,0.01,20.78,9.4,37.33,24.48,42.33,21.72,241.5,4.47,,0.01,61.14,0.79,06-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-Mar-2018 - 00:00,,0.4,0.08,0.01,1.01,0.78,0.0,20.06,6.0,32.22,19.45,41.56,23.16,254.11,5.21,,0.01,61.53,0.85,07-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Mar-2018 - 00:00,,0.38,0.03,0.01,0.53,0.71,0.0,23.79,2.04,17.56,9.33,56.29,35.71,246.78,4.73,,0.04,77.9,1.18,08-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Mar-2018 - 00:00,,0.35,0.04,0.01,0.49,0.79,0.0,39.66,3.16,20.46,11.56,46.75,36.53,240.08,4.5,,0.05,72.61,1.32,09-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Mar-2018 - 00:00,,1.14,0.31,0.05,2.03,0.85,0.07,52.83,17.79,49.11,36.48,46.86,30.76,228.43,4.22,,0.02,74.33,0.97,10-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Mar-2018 - 00:00,,0.4,0.11,0.01,0.92,0.84,0.03,57.83,4.16,36.16,19.99,50.77,35.89,205.82,4.53,,0.01,84.16,0.86,11-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Mar-2018 - 00:00,,0.18,0.03,0.0,0.48,0.93,0.0,42.43,1.84,16.06,8.46,58.61,38.57,228.53,4.14,,0.03,63.1,1.04,12-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Mar-2018 - 00:00,,0.03,0.0,0.0,0.16,0.61,0.0,34.16,1.84,8.89,4.96,43.51,59.73,226.12,4.65,,0.08,77.18,1.61,13-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-Mar-2018 - 00:00,,0.05,0.02,0.01,0.4,0.55,0.0,15.74,3.39,11.33,7.3,26.8,70.19,224.89,4.5,,0.06,78.67,1.4,14-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-Mar-2018 - 00:00,,0.0,0.01,0.0,0.74,0.61,0.0,31.18,2.78,13.42,8.03,43.38,59.69,203.34,4.72,,0.06,99.61,1.42,15-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Mar-2018 - 00:00,,0.22,0.18,0.03,1.34,0.71,0.05,24.57,11.09,24.33,19.7,29.58,74.43,194.31,4.14,,0.03,131.67,1.2,16-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Mar-2018 - 00:00,,0.09,0.11,0.01,0.86,0.61,0.0,19.92,8.36,33.5,22.13,23.28,82.27,190.37,4.35,,-0.0,172.63,0.76,17-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Mar-2018 - 00:00,,0.24,0.19,0.01,1.46,0.7,0.01,22.44,5.38,32.54,19.44,34.3,81.91,153.53,4.2,,-0.02,160.69,0.55,18-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Mar-2018 - 00:00,,0.0,0.0,0.0,0.34,0.62,0.0,22.18,2.86,12.46,7.77,36.62,77.32,183.13,4.36,,0.02,76.23,0.94,19-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Mar-2018 - 00:00,,0.06,0.03,0.0,0.28,0.63,0.0,32.12,3.11,19.19,11.24,62.42,45.83,240.09,4.12,,0.03,83.96,1.15,20-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Mar-2018 - 00:00,,0.26,0.12,0.02,0.9,0.89,0.02,48.9,2.96,29.29,16.06,59.62,43.93,232.62,3.92,,-0.0,84.52,0.76,21-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Mar-2018 - 00:00,,0.27,0.12,0.02,1.42,0.73,0.04,51.25,2.86,29.01,15.84,62.18,48.55,218.91,3.61,,-0.01,144.29,0.7,22-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-Mar-2018 - 00:00,,0.82,0.59,0.06,2.32,1.01,0.11,41.23,33.4,72.16,59.68,32.27,57.52,218.72,3.88,,-0.0,211.55,0.73,23-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-Mar-2018 - 00:00,,1.46,0.84,0.11,3.45,0.91,0.14,53.4,40.7,85.34,71.55,33.2,51.91,217.24,3.75,,-0.0,214.37,0.7,24-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-Mar-2018 - 00:00,,0.04,0.09,0.01,1.11,0.53,0.0,47.83,2.67,20.07,11.34,59.61,53.08,201.31,3.67,,0.01,98.31,0.9,25-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-Mar-2018 - 00:00,,0.0,0.0,0.0,0.8,0.41,0.0,56.71,2.76,19.48,11.12,54.51,62.4,5.79,4.3,,0.0,73.09,0.81,26-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
26-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,27-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
27-Mar-2018 - 00:00,337.67,1.06,8.51,1.06,2.96,0.58,1.58,6.62,0.87,6.54,3.69,24.5,11.42,298.76,0.0,,0.01,69.9,0.32,28-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
28-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,29-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
29-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,30-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
30-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,31-Mar-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
31-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,01-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,02-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,03-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,04-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,05-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,06-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,07-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,08-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,09-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,10-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,11-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,12-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Apr-2018 - 00:00,0.0,0.0,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.09,202.15,0.0,,0.0,0.0,0.0,13-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.34,0.0,13.29,340.67,0.0,,0.0,36.61,0.51,14-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,16-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.14,0.0,0.0,37.05,476.9,0.0,,-0.0,0.0,0.5,17-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,18-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,19-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,20-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Apr-2018 - 00:00,590.89,0.06,0.0,0.0,0.0,0.14,0.0,8.53,0.0,0.0,0.0,48.7,0.0,0.0,0.0,13.92,0.0,0.0,0.0,21-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-Apr-2018 - 00:00,562.29,0.09,0.0,0.0,0.0,0.09,0.0,3.0,0.0,0.0,0.0,50.43,0.0,0.0,0.0,17.55,0.0,0.0,0.0,24-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-Apr-2018 - 00:00,,0.59,0.39,0.15,0.77,0.28,0.19,31.88,4.35,17.6,21.64,48.71,52.71,4.78,2.53,25.76,0.04,147.4,1.25,25-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-Apr-2018 - 00:00,,0.39,0.22,0.1,0.62,0.84,0.09,46.02,9.33,53.69,32.71,48.88,46.81,207.63,4.8,27.8,-0.01,190.51,0.66,26-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
26-Apr-2018 - 00:00,,0.29,0.13,0.04,0.46,0.53,0.03,53.51,3.28,24.5,13.96,46.6,58.9,189.03,5.72,27.68,0.01,172.98,0.83,27-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
