from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Eth-Benzene,to date,station
01-Jan-2018 - 00:00,,112.0,0.07,1.5,7.28,92.23,29.58,942.45,13.9,414.98,248.71,23.21,18.22,0.36,1.16,,33.79,,-7499.23,02-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
02-Jan-2018 - 00:00,,,,,,,,,,347.96,208.67,23.09,18.09,10.68,1.15,,32.39,,-9999.0,03-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
03-Jan-2018 - 00:00,,,,,,,,,,280.65,168.35,22.76,17.76,40.51,1.12,,33.29,,-9999.0,04-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
04-Jan-2018 - 00:00,,,,,,,,,,266.14,159.68,21.53,16.53,38.06,1.02,,40.15,,-9999.0,05-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
05-Jan-2018 - 00:00,,,,,,,,,,293.84,176.3,21.52,16.52,38.03,1.02,,39.18,,-9999.0,06-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
06-Jan-2018 - 00:00,,,,,,,,,,304.89,182.93,21.17,16.17,37.34,0.99,,42.72,,-9999.0,07-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
07-Jan-2018 - 00:00,,,,,,,,,,240.75,144.45,20.97,15.97,36.93,0.98,,43.32,,-9999.0,08-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
08-Jan-2018 - 00:00,,,,,,,,,,234.14,140.48,20.89,15.89,36.77,0.97,,45.09,,-9999.0,09-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
09-Jan-2018 - 00:00,,,,,,,,,,295.8,177.4,21.01,16.01,37.03,0.98,,43.96,,-9999.0,10-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
10-Jan-2018 - 00:00,1.09,45.61,6.9,11.46,15.96,49.43,81.24,968.48,13.9,232.76,139.66,20.44,15.44,35.89,0.94,,47.42,,-1869.27,11-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
11-Jan-2018 - 00:00,1.27,44.81,6.0,8.73,14.35,53.24,83.89,960.25,13.9,182.71,102.76,20.84,15.84,36.69,0.97,,45.04,,-515.21,12-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
12-Jan-2018 - 00:00,0.91,52.24,3.93,3.03,14.52,54.99,77.25,970.59,13.9,224.17,134.5,21.49,16.49,37.98,1.02,,40.8,,-1560.05,13-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
13-Jan-2018 - 00:00,0.37,68.27,7.46,0.32,15.66,57.1,34.28,982.47,13.88,296.4,177.84,21.06,16.06,37.13,0.99,,42.84,,-6663.72,14-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
14-Jan-2018 - 00:00,,,,,,,,,,229.43,137.66,21.34,16.34,37.68,1.01,,41.89,,-9999.0,15-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
15-Jan-2018 - 00:00,0.69,44.49,8.32,,15.25,46.88,17.75,977.77,13.85,234.76,140.83,20.58,15.58,36.15,0.95,,49.89,,-2493.57,16-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
16-Jan-2018 - 00:00,0.61,78.33,3.91,1.29,13.6,52.24,24.18,971.19,13.87,184.89,106.09,20.79,15.79,36.58,0.96,,47.84,,-412.88,17-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
17-Jan-2018 - 00:00,0.78,273.51,4.47,5.76,13.36,70.05,24.27,970.06,13.87,337.25,202.35,21.9,16.9,38.78,1.05,,39.47,,-99.7,18-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
18-Jan-2018 - 00:00,0.18,175.85,1.84,3.89,16.02,66.02,33.83,977.56,13.86,306.13,171.95,22.08,17.08,39.17,1.07,,39.39,,-1248.39,19-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
19-Jan-2018 - 00:00,0.5,58.01,3.2,5.56,14.89,68.78,30.91,975.23,13.87,373.1,223.86,21.69,16.69,38.39,1.04,,41.08,,-726.2,20-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
20-Jan-2018 - 00:00,1.17,44.79,9.32,12.3,14.75,54.35,78.33,983.28,13.85,231.77,139.06,21.66,16.66,38.32,1.03,,41.94,,-6558.6,21-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
21-Jan-2018 - 00:00,0.27,86.61,1.8,0.63,14.09,50.7,27.0,975.06,13.86,225.18,135.11,22.15,17.15,39.3,1.07,,39.85,,-2706.84,22-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
22-Jan-2018 - 00:00,0.35,284.91,3.57,0.4,14.2,56.16,43.81,978.03,13.86,254.51,152.7,22.19,17.19,39.39,1.08,,41.56,,-6806.66,23-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
23-Jan-2018 - 00:00,,,,,,,,,,218.0,130.8,22.28,17.28,39.56,1.08,,35.32,,-9999.0,24-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
24-Jan-2018 - 00:00,,,,,,,,,,182.84,109.71,23.35,18.35,41.7,1.17,,31.03,,-9999.0,25-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
25-Jan-2018 - 00:00,0.68,55.43,2.42,3.11,10.72,84.58,17.1,961.83,13.88,133.75,68.46,23.76,18.76,42.51,1.2,,29.94,,2.43,26-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
26-Jan-2018 - 00:00,0.17,100.74,0.95,4.29,9.61,89.24,124.58,961.02,13.89,152.52,91.36,23.64,18.65,42.29,1.19,,30.66,,-5107.69,27-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
27-Jan-2018 - 00:00,0.18,108.23,1.41,1.76,11.19,74.18,78.14,967.5,13.87,206.75,121.23,22.62,17.62,40.24,1.11,,37.02,,-832.07,28-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
28-Jan-2018 - 00:00,0.45,73.97,5.62,12.6,14.22,62.53,69.62,989.9,13.84,229.3,137.58,22.88,17.88,40.75,1.13,,33.83,,-5309.28,29-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
29-Jan-2018 - 00:00,0.78,57.51,4.78,2.74,16.52,47.76,44.96,990.81,13.84,253.09,152.78,22.65,17.65,40.3,1.11,,35.82,,-3538.12,30-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
30-Jan-2018 - 00:00,2.35,52.89,15.09,,23.57,28.24,,,13.79,200.66,120.39,21.83,16.83,38.66,1.05,,40.19,,-7704.11,31-Jan-2018 - 00:00,"Aya Nagar, Delhi - IMD"
31-Jan-2018 - 00:00,,,,,,,,,,191.19,114.71,22.22,17.22,39.45,1.08,,38.4,,-9999.0,01-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
01-Feb-2018 - 00:00,,,,,,,,,,181.88,109.06,23.01,18.01,41.01,1.14,,35.12,,-9999.0,02-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
02-Feb-2018 - 00:00,,,,,,,,,,212.56,127.54,23.49,18.49,41.55,1.16,,33.31,,-9999.0,03-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
