from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Toluene,CO,NH3,NO2,NO,NOx,Ozone,PM10,PM2.5,SR,WS,WD,SO2,to date,station
01-Jan-2018 - 00:00,5.11,10.2,1.59,4.36,30.47,1.22,39.96,30.28,1.59,16.7,64.86,116.96,76.51,192.59,1.79,191.2,6.11,02-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
02-Jan-2018 - 00:00,6.64,17.12,1.28,7.1,36.86,1.72,43.99,37.01,5.07,23.52,57.15,128.04,83.06,196.31,2.11,161.16,6.45,03-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
03-Jan-2018 - 00:00,8.84,26.6,1.08,10.95,45.52,2.0,43.76,42.66,6.41,27.56,49.38,124.27,80.61,200.92,2.04,176.4,10.35,04-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
04-Jan-2018 - 00:00,6.73,16.84,1.35,7.02,36.4,1.48,39.64,35.47,4.09,21.36,49.89,108.41,63.61,194.7,1.71,177.34,4.67,05-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
05-Jan-2018 - 00:00,5.43,11.48,1.36,4.79,31.58,1.1,36.93,31.99,2.24,17.8,50.76,93.44,50.27,190.01,1.73,185.61,8.03,06-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
06-Jan-2018 - 00:00,5.95,8.09,1.52,3.54,30.1,1.08,33.36,23.19,1.98,12.88,26.96,88.21,57.83,92.56,1.27,144.03,1.75,07-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
07-Jan-2018 - 00:00,4.15,7.84,1.36,3.4,26.13,0.93,31.95,27.93,2.53,15.84,47.66,79.03,40.77,206.76,1.97,184.59,2.68,08-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
08-Jan-2018 - 00:00,7.75,22.87,1.15,9.51,39.48,1.75,40.06,40.69,11.26,30.2,38.41,108.96,55.41,194.32,2.06,140.26,8.76,09-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
09-Jan-2018 - 00:00,10.97,29.92,1.12,12.17,47.33,2.25,44.06,45.66,12.79,34.34,40.76,145.34,86.08,178.01,2.47,178.31,7.24,10-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
10-Jan-2018 - 00:00,10.46,31.65,1.1,12.76,49.11,2.3,43.18,52.32,8.48,34.28,43.16,152.2,96.86,184.06,2.57,180.51,10.99,11-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
11-Jan-2018 - 00:00,9.85,36.06,1.18,14.57,51.83,2.04,46.67,50.87,15.65,39.06,69.01,143.28,75.15,197.58,2.36,166.02,13.45,12-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
12-Jan-2018 - 00:00,11.45,42.08,1.24,17.09,59.74,2.32,48.29,62.69,11.76,42.24,55.85,157.16,77.25,182.4,2.37,167.52,20.09,13-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
13-Jan-2018 - 00:00,10.09,38.28,1.18,15.55,55.63,2.15,48.06,60.35,12.6,41.8,47.9,143.78,70.01,147.34,2.22,180.15,5.87,14-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
14-Jan-2018 - 00:00,6.73,18.26,1.22,7.56,35.73,1.41,40.92,39.11,2.62,22.09,68.0,114.91,65.3,163.41,1.81,162.96,3.96,15-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
15-Jan-2018 - 00:00,8.01,28.76,1.22,11.71,46.8,1.8,49.53,44.12,14.24,34.19,54.96,121.6,60.02,185.39,1.9,171.72,5.36,16-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
16-Jan-2018 - 00:00,6.01,18.56,0.93,7.64,35.91,1.27,38.67,34.6,6.39,22.47,51.17,94.35,45.43,203.51,1.6,195.21,4.43,17-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
17-Jan-2018 - 00:00,3.92,11.35,0.61,4.7,24.97,0.98,39.96,30.61,2.89,17.72,49.45,78.5,32.93,232.17,1.98,200.82,2.84,18-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
18-Jan-2018 - 00:00,5.57,19.26,0.47,7.7,33.96,1.21,41.93,37.66,6.42,24.43,49.14,86.66,51.51,231.67,1.92,178.58,5.89,19-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
19-Jan-2018 - 00:00,4.01,13.52,0.37,5.33,26.19,0.93,36.81,31.02,2.55,17.93,67.75,72.75,35.72,190.77,2.05,171.94,4.81,20-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
20-Jan-2018 - 00:00,6.67,20.29,0.55,8.06,35.93,1.32,40.25,39.58,9.78,28.45,63.75,96.18,58.54,224.14,1.98,141.99,9.57,21-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
21-Jan-2018 - 00:00,6.49,16.9,0.89,6.75,34.22,1.28,36.94,37.04,3.77,22.55,68.64,93.02,60.29,220.15,1.96,156.9,8.58,22-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
22-Jan-2018 - 00:00,6.1,16.83,0.77,6.74,34.11,1.36,37.17,38.11,3.55,22.69,70.95,128.1,72.55,208.42,2.11,204.86,4.68,23-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
23-Jan-2018 - 00:00,3.86,6.54,0.55,2.91,23.93,0.77,35.4,23.64,1.26,12.53,95.71,121.64,65.6,211.69,2.2,216.59,3.1,24-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
24-Jan-2018 - 00:00,5.36,16.39,0.32,6.77,32.12,1.21,38.11,33.8,10.41,26.01,76.66,112.79,57.4,234.26,1.85,163.06,4.58,25-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
25-Jan-2018 - 00:00,4.87,11.6,0.57,4.89,28.2,1.04,33.91,33.82,2.89,19.37,64.3,112.35,57.68,229.78,1.78,178.46,10.95,26-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
26-Jan-2018 - 00:00,4.89,11.0,0.78,4.54,27.62,0.99,33.06,32.22,2.74,18.77,85.98,95.14,57.0,229.66,2.08,154.68,8.92,27-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
27-Jan-2018 - 00:00,16.32,9.37,1.36,3.75,30.41,1.05,39.96,32.94,2.03,18.06,87.49,85.69,48.65,252.53,2.04,183.18,10.08,28-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
29-Jan-2018 - 00:00,13.74,65.44,0.73,26.77,77.65,2.77,75.49,67.59,48.47,74.73,94.47,162.83,81.01,355.0,2.34,169.24,19.52,30-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
30-Jan-2018 - 00:00,8.22,25.26,0.43,13.0,37.06,1.43,44.86,43.8,9.79,32.77,70.41,93.4,71.99,232.98,2.31,139.3,11.24,31-Jan-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
31-Jan-2018 - 00:00,3.96,2.95,6.2,3.38,11.9,1.24,49.06,44.07,22.2,41.28,63.02,125.12,66.7,236.76,2.03,158.42,9.36,01-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
01-Feb-2018 - 00:00,3.23,1.72,6.34,2.88,10.54,1.14,48.86,47.07,14.47,36.58,58.15,123.48,60.22,235.68,1.97,151.72,16.62,02-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
02-Feb-2018 - 00:00,2.59,0.8,2.91,1.47,7.31,0.79,42.35,37.49,2.53,21.15,67.5,115.09,57.32,221.31,1.71,201.72,5.19,03-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
03-Feb-2018 - 00:00,2.0,0.61,2.25,1.14,7.75,0.64,32.93,30.43,2.72,17.48,59.14,99.32,49.34,106.71,1.57,200.88,5.11,04-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
04-Feb-2018 - 00:00,1.82,0.57,2.11,1.03,7.72,0.54,28.66,32.82,3.41,19.45,51.05,97.6,41.46,215.04,1.85,163.24,12.54,05-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
05-Feb-2018 - 00:00,2.39,0.99,3.8,1.74,10.02,0.81,30.17,41.11,5.07,26.55,58.72,106.35,47.72,206.32,1.94,152.28,11.53,06-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
06-Feb-2018 - 00:00,2.56,0.92,3.27,1.49,9.48,0.73,30.48,35.43,2.21,19.99,87.41,120.14,64.8,157.99,2.13,163.5,8.55,07-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
07-Feb-2018 - 00:00,2.28,0.83,3.07,1.44,9.28,0.73,29.55,36.62,2.45,20.48,82.03,136.34,60.39,132.05,2.13,195.87,6.44,08-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
08-Feb-2018 - 00:00,1.82,0.53,1.63,0.84,7.32,0.56,29.2,26.05,1.71,14.41,82.85,115.81,55.79,219.33,1.91,208.16,3.61,09-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
09-Feb-2018 - 00:00,1.63,0.72,2.32,1.14,8.78,0.54,29.57,27.44,8.23,20.39,57.77,95.96,46.16,235.64,1.71,207.87,3.03,10-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
10-Feb-2018 - 00:00,2.1,0.59,2.12,1.0,8.17,0.55,30.58,29.35,4.34,18.03,54.99,94.55,53.27,206.18,1.97,211.66,2.71,11-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
11-Feb-2018 - 00:00,0.94,0.32,0.97,0.52,6.3,0.33,31.55,22.79,1.53,12.28,66.96,48.18,32.38,164.64,2.12,207.44,2.73,12-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
12-Feb-2018 - 00:00,0.65,0.32,0.89,0.45,4.5,0.34,26.55,25.22,2.33,14.21,70.41,74.58,29.01,231.15,2.22,241.97,2.71,13-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
13-Feb-2018 - 00:00,0.79,0.31,0.97,0.45,2.45,0.64,28.42,29.35,9.3,22.24,78.04,89.53,67.49,241.43,2.05,142.2,5.64,14-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
14-Feb-2018 - 00:00,0.64,0.31,1.6,0.71,4.09,0.58,34.43,30.89,2.56,17.36,97.86,89.55,48.56,214.33,3.42,128.22,4.65,15-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
15-Feb-2018 - 00:00,1.64,0.71,3.12,1.41,8.13,0.72,24.4,34.77,5.07,21.88,89.04,92.59,45.19,202.39,2.77,139.18,10.73,16-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
16-Feb-2018 - 00:00,2.11,0.66,2.83,1.29,8.81,0.68,25.74,31.89,4.29,19.51,79.14,121.38,61.5,223.2,1.84,199.35,6.47,17-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
17-Feb-2018 - 00:00,1.27,0.32,1.36,0.67,6.68,0.42,22.31,26.66,1.37,14.26,91.98,99.24,39.66,232.6,2.08,197.35,7.94,18-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
18-Feb-2018 - 00:00,1.28,0.33,1.35,0.65,6.58,0.44,22.3,29.85,1.49,16.27,96.77,90.53,47.45,215.75,2.15,177.6,7.97,19-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
