from date,NO,CO,NO2,NOx,Ozone,PM10,PM2.5,RH,SR,Temp,WD,WS,VWS,SO2,to date,station
01-Jan-2018 - 00:00,0.0,0.0,0.0,129.13,0.0,168.67,0.0,0.0,0.0,0.0,212.62,0.0,0.0,0.0,02-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
02-Jan-2018 - 00:00,0.0,0.0,0.0,135.36,0.0,166.26,0.0,0.0,0.0,0.0,223.86,0.0,0.0,0.0,03-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
03-Jan-2018 - 00:00,0.0,0.0,0.0,80.18,0.0,137.57,0.0,0.0,0.0,0.0,221.29,0.0,0.0,0.0,04-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
04-Jan-2018 - 00:00,0.0,0.0,0.0,138.05,0.0,182.34,0.0,0.0,0.0,0.0,226.53,0.0,0.0,0.0,05-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
05-Jan-2018 - 00:00,0.0,0.0,0.0,140.47,0.0,214.3,0.0,2.67,0.14,0.85,233.67,0.0,0.03,0.0,06-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
06-Jan-2018 - 00:00,0.0,0.0,0.0,187.12,0.0,236.55,0.0,0.98,0.15,0.46,228.62,0.0,0.0,0.0,07-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
07-Jan-2018 - 00:00,0.0,0.0,0.0,141.61,0.0,203.0,0.0,2.98,0.86,2.01,183.1,0.31,0.42,0.0,08-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
08-Jan-2018 - 00:00,17.23,0.0,3.29,162.42,0.0,208.25,0.0,0.0,0.0,0.0,258.23,0.0,0.0,0.0,09-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
09-Jan-2018 - 00:00,0.0,0.0,0.0,91.66,0.0,174.59,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,10-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
10-Jan-2018 - 00:00,0.0,0.0,0.0,88.98,0.0,172.56,0.0,0.0,0.0,0.0,270.49,0.0,0.0,0.0,11-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
11-Jan-2018 - 00:00,0.0,0.0,0.0,122.25,0.0,187.6,0.0,0.07,10.25,0.54,211.21,0.04,0.0,0.0,12-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
12-Jan-2018 - 00:00,0.0,0.0,0.0,120.49,0.0,191.72,0.0,0.0,0.0,0.0,270.84,0.0,0.0,0.0,13-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
13-Jan-2018 - 00:00,0.0,0.0,0.0,103.21,0.0,166.16,0.0,0.0,0.0,0.0,269.38,0.0,0.0,0.0,14-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
14-Jan-2018 - 00:00,0.0,0.0,0.0,114.39,0.0,150.01,0.0,0.0,0.0,0.0,244.41,0.0,0.0,0.0,15-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
15-Jan-2018 - 00:00,0.0,0.0,0.0,96.81,0.0,146.72,0.0,0.0,0.0,0.0,234.9,0.0,0.0,0.0,16-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
16-Jan-2018 - 00:00,0.0,0.0,0.0,92.7,0.0,158.38,0.0,0.0,0.0,0.0,242.73,0.0,0.0,0.0,17-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
17-Jan-2018 - 00:00,0.0,0.0,0.0,103.13,0.0,159.89,0.0,1.2,0.7,1.32,213.05,0.56,0.0,0.0,18-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
18-Jan-2018 - 00:00,0.0,0.0,0.0,85.67,0.0,130.09,0.0,0.0,0.0,0.0,258.47,0.0,0.0,0.0,19-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
