from date,Benzene,Eth-Benzene,O Xylene,Toluene,BP,PM2.5,PM10,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
18-May-2018 - 00:00,0.68,1.25,,1.28,751.56,68.24,109.99,0.0,23.56,34.36,214.11,3.52,0.63,12.95,6.2,2.85,9.05,64.9,6.03,19-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-May-2018 - 00:00,0.53,1.05,,1.05,751.4,53.01,106.6,0.0,21.45,35.45,218.02,4.0,0.51,10.06,7.68,1.37,9.04,67.04,8.85,20-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-May-2018 - 00:00,0.74,1.53,,1.95,752.48,36.39,73.18,0.0,24.59,34.42,141.52,3.45,0.67,8.97,11.73,1.63,13.35,85.43,6.12,21-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-May-2018 - 00:00,4.09,4.72,,2.04,752.65,63.43,94.1,0.0,16.3,36.03,109.73,4.02,0.66,9.23,6.17,0.93,7.09,101.33,10.46,22-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-May-2018 - 00:00,1.84,0.97,,1.44,752.39,86.13,101.88,0.0,17.76,36.75,198.94,3.28,0.4,13.87,6.19,14.68,20.87,71.88,10.23,23-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-May-2018 - 00:00,0.68,1.1,,1.28,751.53,36.38,106.86,0.0,15.28,36.12,242.83,3.61,0.29,20.87,6.32,30.25,36.54,86.73,9.92,24-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-May-2018 - 00:00,1.34,1.21,,1.45,751.42,43.27,117.29,0.0,12.28,36.87,206.98,3.14,0.31,18.51,5.1,14.01,19.11,123.15,11.43,25-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-May-2018 - 00:00,5.37,3.62,,29.02,752.01,37.44,97.18,0.0,14.11,35.92,252.97,3.02,0.35,19.9,5.45,19.79,25.24,75.46,7.51,26-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-May-2018 - 00:00,1.57,2.6,,1.5,751.32,42.82,102.24,0.0,16.6,35.81,214.89,2.42,0.86,24.55,18.64,34.6,53.24,59.73,15.09,27-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-May-2018 - 00:00,1.12,1.33,,1.15,750.74,48.95,100.8,0.0,9.81,38.11,233.13,2.73,0.71,22.49,13.46,35.36,48.82,76.81,4.4,28-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-May-2018 - 00:00,1.4,1.36,,1.13,749.5,56.26,136.89,0.0,16.12,35.36,231.76,1.84,0.85,31.33,18.58,57.89,75.66,58.98,8.64,29-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-May-2018 - 00:00,1.08,1.09,,0.97,748.49,50.4,131.38,0.0,26.95,36.39,235.63,3.23,0.57,44.08,9.68,31.16,38.75,47.31,8.12,30-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-May-2018 - 00:00,0.51,0.51,,1.83,749.32,50.61,139.62,0.0,33.81,34.31,215.68,4.5,0.5,36.46,5.87,21.3,27.18,51.84,8.86,31-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
31-May-2018 - 00:00,0.77,0.62,,0.77,750.54,53.79,150.12,0.0,31.54,34.57,197.02,4.01,0.62,28.41,5.71,24.29,30.0,59.05,8.37,01-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Jun-2018 - 00:00,0.54,0.64,,1.16,751.28,55.65,146.82,0.0,23.89,37.0,247.51,4.76,0.55,21.27,5.73,21.05,26.78,64.42,11.53,02-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Jun-2018 - 00:00,0.43,0.52,,1.01,751.64,49.06,140.87,0.0,24.84,36.65,246.75,4.77,0.55,19.62,5.63,19.08,24.71,57.22,8.68,03-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Jun-2018 - 00:00,0.33,0.47,,0.84,750.61,38.74,128.87,0.0,24.41,35.82,250.92,5.36,0.51,17.28,5.46,18.08,23.53,57.85,10.02,04-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Jun-2018 - 00:00,0.5,0.44,,0.97,749.62,56.36,124.54,0.0,26.37,35.98,244.87,5.04,0.57,16.95,5.53,15.16,20.69,58.7,9.46,05-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Jun-2018 - 00:00,0.83,0.52,,0.7,750.78,50.58,108.69,0.0,27.5,36.52,251.03,4.58,0.54,17.23,5.57,15.63,21.21,55.1,8.16,06-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Jun-2018 - 00:00,0.81,0.47,,0.69,751.71,78.91,254.02,0.0,26.85,36.98,253.2,3.72,0.53,16.14,5.48,14.1,19.58,56.36,6.27,07-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Jun-2018 - 00:00,0.76,0.45,,0.69,749.53,52.74,138.05,0.0,32.57,36.27,253.24,4.64,0.56,23.68,7.37,23.28,30.64,42.53,8.3,08-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Jun-2018 - 00:00,0.71,0.59,,1.86,747.39,44.42,117.1,0.0,38.86,35.11,255.8,5.8,0.57,22.04,5.62,12.4,17.89,43.77,7.72,09-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Jun-2018 - 00:00,0.39,0.35,,1.03,746.77,39.51,96.83,0.0,48.81,33.04,200.09,5.29,0.83,26.82,5.34,13.22,18.17,46.78,6.6,10-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Jun-2018 - 00:00,0.37,0.41,,0.54,747.53,50.81,159.85,0.0,49.73,32.62,201.2,4.15,1.4,23.86,5.44,13.86,19.03,49.91,2.68,11-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Jun-2018 - 00:00,0.53,0.48,,0.6,747.3,42.96,156.44,0.0,43.17,33.42,238.92,4.17,0.73,19.19,5.46,14.17,19.62,65.7,2.88,12-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Jun-2018 - 00:00,0.68,0.44,,0.58,746.09,62.14,169.51,0.0,46.35,33.44,246.49,5.51,0.43,20.1,6.28,17.9,24.17,44.96,5.18,13-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Jun-2018 - 00:00,0.64,0.45,,0.57,746.63,64.99,177.0,0.0,46.57,32.54,239.97,5.1,0.37,16.72,5.8,14.66,20.47,47.75,5.51,14-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Jun-2018 - 00:00,0.62,0.45,,0.55,747.64,64.13,192.34,0.0,44.2,31.98,241.37,5.45,0.37,14.54,5.87,14.7,20.56,49.63,5.49,15-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Jun-2018 - 00:00,0.45,0.38,,0.49,748.61,81.37,157.28,0.0,45.17,31.72,230.71,4.03,0.37,14.13,5.74,14.53,20.07,50.6,5.82,16-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Jun-2018 - 00:00,0.38,0.35,,0.6,749.95,35.84,133.03,0.0,45.43,31.78,235.06,3.84,0.37,13.83,5.88,16.41,22.29,49.34,5.5,17-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Jun-2018 - 00:00,0.48,0.44,,0.76,749.99,47.56,110.43,0.0,44.09,32.41,238.39,3.59,0.36,12.63,5.44,11.76,17.2,52.61,5.27,18-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Jun-2018 - 00:00,0.56,0.49,,0.75,750.22,58.17,199.53,0.0,46.59,32.3,252.75,3.24,0.41,13.86,5.61,13.66,19.27,52.82,4.91,19-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Jun-2018 - 00:00,0.61,0.53,,0.79,750.27,55.23,133.19,0.0,45.33,32.64,223.78,3.14,0.39,14.78,5.83,14.59,20.42,55.77,4.84,20-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Jun-2018 - 00:00,0.67,0.54,,0.69,750.79,323.53,116.12,0.0,41.33,32.92,174.11,2.81,0.36,16.16,5.31,20.68,25.5,63.36,5.48,21-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Jun-2018 - 00:00,0.81,0.84,,0.83,750.5,41.64,124.36,0.0,33.24,35.09,199.86,2.46,0.52,19.12,5.06,29.25,34.31,51.08,5.8,22-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Jun-2018 - 00:00,2.06,2.34,,2.2,749.79,38.15,107.77,0.0,33.46,35.53,242.06,3.11,0.42,16.92,2.29,19.56,21.84,69.32,4.25,23-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Jun-2018 - 00:00,4.6,6.09,,5.11,749.93,40.58,105.13,0.0,44.98,33.0,246.13,3.39,0.44,22.43,2.29,16.08,18.37,65.75,2.78,24-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Jun-2018 - 00:00,0.4,0.51,,0.5,749.57,41.73,104.8,0.0,47.92,32.56,205.67,3.94,0.45,24.71,2.72,18.11,20.83,67.17,3.72,25-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Jun-2018 - 00:00,0.47,0.33,,0.48,748.39,42.6,103.58,0.0,55.85,30.86,216.29,4.41,0.48,24.53,2.88,22.79,25.64,58.07,4.87,26-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Jun-2018 - 00:00,0.37,0.2,,0.49,748.02,85.36,101.98,0.02,71.54,27.55,174.55,4.25,0.48,27.19,2.91,16.47,19.38,53.49,4.19,27-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Jun-2018 - 00:00,0.36,0.12,,0.51,748.37,33.0,80.96,0.1,82.73,26.01,131.37,3.58,0.52,46.87,3.17,22.01,25.17,30.11,3.66,28-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Jun-2018 - 00:00,0.54,0.11,,0.51,748.88,31.88,67.32,0.05,83.92,26.35,76.51,3.97,0.53,37.01,2.47,16.11,18.58,48.16,4.51,29-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Jun-2018 - 00:00,0.42,0.35,,0.66,748.76,30.95,59.59,0.15,87.19,26.42,162.0,3.81,0.63,35.7,2.73,19.1,21.83,41.3,5.06,30-Jun-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Jun-2018 - 00:00,0.84,0.63,,0.99,750.43,43.5,87.36,0.0,71.82,28.46,225.63,2.92,0.52,31.83,2.56,21.24,23.7,39.41,4.48,01-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Jul-2018 - 00:00,0.13,0.14,,0.08,750.64,32.82,78.54,0.0,60.6,30.27,243.36,3.26,0.39,25.63,3.2,17.2,20.4,50.28,6.3,02-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Jul-2018 - 00:00,0.36,0.28,,0.72,748.9,31.16,62.79,0.0,56.4,30.93,234.41,3.17,0.44,21.44,2.96,14.93,17.89,50.95,6.21,03-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Jul-2018 - 00:00,0.44,0.12,,1.08,748.33,32.48,71.23,0.0,57.89,30.92,216.37,3.95,0.44,20.48,2.89,15.68,18.57,37.9,6.42,04-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Jul-2018 - 00:00,0.46,0.11,,1.18,748.58,31.82,68.2,0.02,65.17,29.73,227.43,3.29,0.38,18.24,2.64,17.45,19.73,26.23,6.12,05-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Jul-2018 - 00:00,0.31,0.08,,0.89,749.93,49.36,122.33,0.0,57.49,30.52,249.02,3.5,0.33,17.29,0.94,15.61,16.54,33.77,6.68,06-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Jul-2018 - 00:00,0.16,0.07,,0.4,750.03,65.11,118.82,0.0,54.19,31.38,248.28,3.27,0.43,16.65,0.92,20.77,20.77,40.77,4.87,07-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Jul-2018 - 00:00,0.61,0.26,,1.14,749.54,50.11,114.03,0.05,53.62,31.36,250.1,3.26,0.58,20.53,1.16,21.21,22.18,38.85,4.18,08-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Jul-2018 - 00:00,0.22,0.22,,0.61,748.66,43.41,105.54,0.0,49.38,33.02,240.04,3.34,0.43,18.85,0.52,16.49,16.94,47.12,5.3,09-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Jul-2018 - 00:00,0.38,0.18,,0.57,748.14,44.41,108.58,0.0,48.58,33.3,252.23,3.09,0.47,22.48,0.8,12.56,13.27,44.19,5.15,10-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Jul-2018 - 00:00,0.7,0.17,,0.21,748.48,60.93,90.77,0.04,61.58,30.81,239.52,1.11,0.51,18.81,0.76,17.47,18.14,47.49,4.57,11-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Jul-2018 - 00:00,0.32,0.13,,0.61,748.72,27.29,67.73,0.09,78.76,27.63,234.99,0.86,0.58,21.36,1.05,14.53,15.55,31.0,3.61,12-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Jul-2018 - 00:00,0.41,0.12,,1.0,747.86,36.1,77.34,0.0,71.11,28.86,233.53,0.75,0.51,19.69,0.95,16.95,17.85,38.11,3.05,13-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Jul-2018 - 00:00,0.35,0.1,,0.86,748.19,32.18,58.37,0.0,74.87,27.84,239.16,0.55,0.48,19.22,0.64,17.98,18.53,49.73,3.37,14-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Jul-2018 - 00:00,0.44,0.1,,0.92,747.66,51.81,105.51,0.0,76.91,28.4,223.84,0.58,0.51,21.53,1.86,23.67,25.47,38.99,3.46,15-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Jul-2018 - 00:00,1.1,0.26,,1.74,747.27,41.52,88.33,0.3,82.58,27.67,241.2,0.43,0.62,27.46,1.7,25.8,26.79,34.52,3.94,16-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Jul-2018 - 00:00,0.81,0.34,,1.85,747.57,35.49,70.28,0.01,83.56,28.1,163.58,0.5,0.73,36.4,1.74,29.83,31.54,26.56,3.37,17-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Jul-2018 - 00:00,0.91,0.24,,2.11,748.05,36.56,72.01,0.09,84.09,27.68,156.53,0.43,0.73,35.04,1.62,22.3,23.91,27.77,3.57,18-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Jul-2018 - 00:00,0.84,0.32,,2.37,748.89,40.01,47.74,0.39,86.32,27.06,207.5,0.7,0.65,27.32,1.48,20.64,22.08,30.54,3.67,19-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Jul-2018 - 00:00,0.53,0.07,,1.1,748.92,21.77,44.19,0.11,90.06,26.5,235.48,1.15,0.55,22.51,2.56,10.15,11.84,27.45,3.6,20-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Jul-2018 - 00:00,0.54,0.37,,0.95,748.68,25.15,55.94,0.0,87.26,26.38,267.8,1.75,0.48,20.12,12.82,5.16,10.91,32.21,5.9,21-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Jul-2018 - 00:00,0.07,0.0,,0.14,749.02,44.82,94.56,0.03,84.87,27.37,249.6,1.01,0.36,14.23,15.02,3.14,17.19,21.5,9.34,22-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Jul-2018 - 00:00,0.07,0.01,,0.25,749.11,34.52,80.92,0.0,86.94,25.74,258.84,0.67,0.27,12.31,16.32,4.87,21.19,32.12,9.47,23-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Jul-2018 - 00:00,0.07,0.0,,0.17,749.0,39.97,98.66,0.0,81.24,26.84,258.18,0.62,0.26,14.94,10.97,16.04,26.99,21.76,8.96,24-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Jul-2018 - 00:00,0.17,0.08,,0.56,749.8,34.17,72.09,0.03,84.28,26.61,263.03,0.52,0.48,13.79,6.24,5.09,11.33,19.62,7.2,25-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Jul-2018 - 00:00,0.24,0.01,,0.4,749.63,52.72,105.29,0.02,83.48,26.24,248.16,0.59,0.51,16.44,6.55,5.4,11.94,13.87,4.19,26-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Jul-2018 - 00:00,0.24,0.02,,0.4,749.38,56.16,118.66,0.0,76.87,26.14,244.88,0.63,0.41,17.48,6.6,6.97,13.57,27.02,3.18,27-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Jul-2018 - 00:00,0.19,0.01,,0.32,749.06,50.72,105.05,0.0,75.72,26.69,243.53,0.62,0.42,15.82,7.04,9.38,13.84,23.69,3.12,28-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Jul-2018 - 00:00,0.19,0.0,,0.29,749.8,43.18,87.94,0.0,73.17,27.07,251.46,0.59,0.52,13.78,5.96,36.06,34.71,30.55,3.54,29-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Jul-2018 - 00:00,0.15,0.0,,0.22,750.21,51.1,94.8,0.0,69.15,27.84,248.23,0.87,0.45,6.83,5.44,15.03,19.39,29.78,3.33,30-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Jul-2018 - 00:00,0.22,0.02,,0.52,750.17,44.16,90.92,0.0,70.47,27.48,246.93,0.77,0.46,11.96,4.5,11.18,15.34,27.18,3.31,31-Jul-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
31-Jul-2018 - 00:00,0.24,0.02,,0.39,749.59,47.87,121.38,0.0,65.07,28.23,240.95,1.03,0.46,41.8,9.01,13.65,17.76,34.02,3.47,01-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Aug-2018 - 00:00,0.28,0.02,,0.43,749.83,70.8,150.88,0.0,63.26,28.39,231.32,0.97,0.38,21.71,6.09,13.92,19.93,34.99,2.94,02-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Aug-2018 - 00:00,0.25,0.02,,0.41,750.79,65.98,142.44,0.0,62.38,28.43,234.16,1.18,0.42,10.94,3.16,12.47,15.62,36.33,3.34,03-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Aug-2018 - 00:00,0.24,0.02,,0.41,751.22,61.87,148.71,0.0,60.84,28.64,233.35,1.61,0.39,14.4,3.3,7.13,10.43,33.29,4.5,04-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Aug-2018 - 00:00,0.33,0.04,,0.47,750.75,57.72,132.46,0.0,63.67,27.61,220.97,1.11,0.44,14.3,5.93,11.59,17.47,24.78,6.12,05-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Aug-2018 - 00:00,0.23,0.01,,0.34,750.34,62.41,114.99,0.0,64.41,27.8,232.06,0.96,0.36,18.1,2.18,6.76,8.7,28.42,7.73,06-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Aug-2018 - 00:00,0.31,0.04,,0.58,749.65,47.06,104.17,0.0,68.35,27.18,217.19,0.55,0.33,14.85,4.29,11.04,15.33,28.45,5.38,07-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Aug-2018 - 00:00,0.28,0.02,,0.47,749.55,51.7,111.94,0.0,68.46,27.6,220.58,0.48,0.38,18.59,3.38,34.0,37.3,24.42,7.84,08-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Aug-2018 - 00:00,0.25,0.02,,0.4,749.89,33.45,80.18,0.0,72.04,27.64,252.78,0.71,0.41,15.14,4.52,29.98,34.51,24.82,10.69,09-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Aug-2018 - 00:00,0.44,0.06,,0.63,751.63,44.42,62.7,0.11,83.21,27.13,259.44,0.78,0.59,14.51,5.26,25.6,30.86,58.7,11.48,10-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Aug-2018 - 00:00,0.35,0.04,,0.55,752.05,32.79,65.25,0.01,81.01,27.57,251.46,0.6,0.63,16.03,4.99,17.02,22.03,7.21,9.78,11-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Aug-2018 - 00:00,0.2,0.01,,0.31,750.11,34.29,65.35,0.0,66.75,28.44,237.41,0.98,0.43,15.7,4.81,8.29,13.1,10.14,6.48,12-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Aug-2018 - 00:00,0.23,0.02,,0.45,747.94,36.35,75.31,0.0,71.19,27.14,227.56,0.69,0.56,15.41,4.9,11.94,16.84,11.35,5.31,13-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Aug-2018 - 00:00,0.39,0.07,,0.67,748.18,38.43,96.78,0.0,67.88,28.13,230.94,0.47,0.67,15.05,4.9,14.35,19.25,18.13,7.94,14-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Aug-2018 - 00:00,0.29,0.02,,0.47,749.48,47.74,125.19,0.0,65.11,29.04,250.21,0.54,0.62,15.66,4.08,13.34,17.06,24.35,7.58,15-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Aug-2018 - 00:00,0.23,0.02,,0.45,750.35,54.42,135.07,0.38,72.09,28.29,235.46,0.57,0.53,3.93,2.49,14.06,16.54,27.14,7.24,16-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Aug-2018 - 00:00,0.33,0.03,,0.59,750.85,21.76,40.43,0.02,82.99,27.22,110.21,0.54,0.63,6.02,2.69,18.86,21.54,26.25,10.01,17-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Aug-2018 - 00:00,0.37,0.05,,0.69,748.96,25.24,47.69,0.04,81.37,28.46,105.78,0.72,0.49,4.14,2.3,16.13,17.64,23.66,8.71,18-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Aug-2018 - 00:00,0.71,0.2,,1.72,749.22,27.6,54.07,0.0,87.21,27.47,216.1,0.54,0.66,6.36,3.45,17.46,20.91,13.73,9.01,19-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Aug-2018 - 00:00,0.36,0.22,,0.6,749.65,22.64,60.29,0.0,82.41,27.63,244.56,1.44,0.37,7.73,3.5,13.8,17.15,21.53,10.12,20-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Aug-2018 - 00:00,0.56,0.45,,0.69,750.67,31.25,53.63,0.25,87.6,26.27,245.28,1.24,0.51,5.12,5.24,16.38,21.62,17.27,9.12,21-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Aug-2018 - 00:00,0.56,0.45,,0.69,750.23,31.05,53.92,0.12,83.65,27.15,274.28,1.07,0.47,3.87,5.12,15.68,20.79,18.94,7.73,22-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Aug-2018 - 00:00,0.56,0.45,,0.69,750.45,23.96,49.87,0.0,80.21,26.76,247.21,1.36,0.37,4.34,4.46,16.41,20.87,23.75,7.71,23-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Aug-2018 - 00:00,0.58,0.36,,0.84,751.39,26.05,45.93,0.01,83.58,25.37,243.36,1.71,0.91,9.57,5.39,20.12,25.5,16.81,8.26,24-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Aug-2018 - 00:00,1.36,1.23,,1.7,751.23,20.07,46.15,0.0,76.25,26.54,237.34,1.75,0.69,14.7,4.0,22.15,26.15,20.26,4.72,25-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Aug-2018 - 00:00,1.16,0.96,,1.81,750.66,25.44,51.34,0.0,74.08,26.55,230.53,1.46,0.31,10.57,3.31,19.0,22.3,21.72,3.8,26-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Aug-2018 - 00:00,0.28,0.02,,0.64,750.13,31.01,73.59,0.0,72.36,26.77,243.53,1.35,0.36,16.91,4.06,26.1,30.15,23.24,3.58,27-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Aug-2018 - 00:00,0.25,0.01,,0.51,751.06,33.52,79.46,0.0,70.45,27.76,260.29,1.29,0.42,14.5,4.17,23.22,27.4,23.9,3.57,28-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Aug-2018 - 00:00,0.64,0.7,,0.44,751.21,34.55,98.05,0.12,70.57,28.05,257.73,1.12,0.35,12.81,4.02,19.12,23.14,24.7,3.37,29-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Aug-2018 - 00:00,1.23,1.6,,0.5,752.03,25.67,43.24,0.09,89.99,25.03,252.52,1.06,0.37,15.91,4.43,19.69,24.12,24.05,3.69,30-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Aug-2018 - 00:00,0.86,1.13,,0.31,751.48,28.59,66.27,0.0,80.42,26.63,242.62,1.77,0.28,8.55,4.41,19.69,24.1,26.43,3.58,31-Aug-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
31-Aug-2018 - 00:00,0.62,0.72,,0.19,751.76,30.24,57.82,0.0,77.09,26.84,243.21,1.85,0.34,7.64,4.34,18.79,23.12,19.79,4.69,01-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Sep-2018 - 00:00,0.36,0.37,,0.1,752.87,16.28,53.63,0.0,77.93,25.75,243.85,1.72,0.39,8.25,4.45,19.03,23.49,12.29,5.03,02-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Sep-2018 - 00:00,0.31,0.32,,0.08,752.49,28.15,53.9,0.0,78.4,25.99,237.47,1.49,0.41,8.11,4.6,18.98,23.58,17.25,6.91,03-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Sep-2018 - 00:00,0.37,0.4,,0.09,752.59,33.07,54.1,0.17,84.15,25.11,208.18,1.33,0.67,8.85,7.77,17.08,24.85,17.54,4.78,04-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Sep-2018 - 00:00,0.21,0.18,,0.04,753.33,27.83,58.12,0.0,80.14,25.22,241.37,2.1,0.33,10.01,3.98,18.94,19.62,21.01,5.97,05-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Sep-2018 - 00:00,0.71,0.59,,0.63,752.84,33.21,55.21,0.0,69.21,26.7,246.07,3.19,0.45,8.85,3.71,18.37,22.07,23.02,7.95,06-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
