from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,SR,Temp,Toluene,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
18-May-2018 - 00:00,0.14,0.12,0.48,0.27,745.24,159.01,49.12,0.0,20.88,255.84,35.25,5.69,104.11,1.2,0.61,22.01,26.09,47.47,73.43,64.99,12.24,19-May-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
19-May-2018 - 00:00,0.14,0.04,0.18,0.08,745.31,164.77,59.89,0.0,26.51,286.91,35.0,0.42,109.52,1.93,0.58,36.94,0.46,11.12,11.41,98.55,6.05,20-May-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
20-May-2018 - 00:00,0.2,0.04,0.16,0.08,746.54,146.46,52.31,0.0,20.15,271.27,35.33,0.6,110.12,1.4,0.48,40.09,0.79,12.85,13.46,99.22,7.4,21-May-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
21-May-2018 - 00:00,0.11,0.05,0.25,0.11,746.64,145.57,48.98,0.0,10.83,266.02,37.04,0.47,108.58,1.65,0.54,42.18,0.5,12.97,13.3,108.51,8.6,22-May-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
22-May-2018 - 00:00,0.14,0.15,0.66,0.3,746.13,183.9,60.72,0.0,11.4,277.67,38.0,0.76,107.18,1.25,1.02,46.78,6.6,24.52,31.0,82.53,10.83,23-May-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
23-May-2018 - 00:00,0.13,0.14,0.56,0.26,744.78,192.61,68.06,0.0,12.1,278.02,38.42,0.74,98.52,1.2,0.58,46.26,8.61,24.45,33.06,79.96,9.68,24-May-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
24-May-2018 - 00:00,0.98,18.59,1.58,0.71,744.91,170.37,53.89,0.0,10.86,252.14,37.61,2.77,97.46,2.0,0.63,41.29,6.51,16.39,22.9,103.06,13.16,25-May-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
25-May-2018 - 00:00,3.15,0.31,1.13,0.48,745.51,156.24,57.86,0.0,12.72,275.54,37.11,4.41,88.95,0.78,0.97,47.69,11.92,34.53,46.45,73.32,7.55,26-May-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
26-May-2018 - 00:00,3.26,0.91,2.86,1.37,744.84,133.94,41.65,0.0,8.84,296.88,37.32,5.57,81.48,1.17,1.1,30.79,17.4,26.49,43.87,71.36,14.42,27-May-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
27-May-2018 - 00:00,0.65,0.2,0.79,0.38,744.38,189.78,55.21,0.0,5.52,293.89,37.88,2.16,77.53,1.43,0.36,13.05,6.67,18.49,25.15,83.44,11.58,28-May-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
28-May-2018 - 00:00,1.34,0.48,1.22,0.61,742.95,195.9,69.55,0.0,8.95,281.18,37.34,2.98,70.99,1.34,0.7,17.34,6.98,26.44,33.42,97.29,18.23,29-May-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
29-May-2018 - 00:00,0.86,0.21,0.82,0.37,742.04,166.66,56.98,0.0,12.48,299.59,38.51,1.86,71.56,1.22,0.71,20.07,7.3,23.41,30.71,98.9,8.46,30-May-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
30-May-2018 - 00:00,0.68,0.26,1.08,0.51,743.41,209.52,45.85,0.16,34.02,305.19,33.65,1.98,74.58,1.47,0.79,24.35,8.06,17.58,25.63,40.66,3.97,31-May-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
31-May-2018 - 00:00,1.03,0.39,1.61,0.79,744.54,157.9,48.65,0.0,31.68,322.52,34.43,3.43,77.01,1.13,0.76,31.1,7.6,30.1,37.69,63.52,6.82,01-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
01-Jun-2018 - 00:00,1.29,0.71,2.27,1.01,744.74,189.92,65.27,0.0,21.66,328.0,37.15,5.73,91.54,1.09,0.72,23.35,7.99,25.57,33.54,58.85,16.0,02-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
02-Jun-2018 - 00:00,0.71,0.19,0.91,0.37,745.1,499.69,97.53,0.0,25.95,307.31,36.31,1.74,99.37,1.86,0.44,24.39,8.24,16.26,24.5,70.55,11.57,03-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
03-Jun-2018 - 00:00,0.24,0.07,0.36,0.14,743.54,229.34,57.78,0.0,16.91,296.55,37.44,0.98,98.18,1.94,0.26,14.15,6.92,13.1,20.02,58.77,9.79,04-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
04-Jun-2018 - 00:00,0.81,0.41,1.49,0.59,742.97,244.31,64.75,0.0,18.67,316.76,37.79,2.42,96.31,1.36,0.72,14.83,8.7,16.63,25.33,50.27,12.62,05-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
05-Jun-2018 - 00:00,0.58,0.1,0.54,0.2,744.27,241.87,69.95,0.0,29.38,315.57,37.67,1.12,104.69,1.5,0.5,23.72,6.89,9.94,16.83,80.21,12.85,06-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
06-Jun-2018 - 00:00,0.8,0.14,0.86,0.32,745.53,196.83,49.95,0.0,37.31,239.13,34.42,1.7,110.72,1.69,0.59,24.22,6.84,12.93,19.77,106.04,9.12,07-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
07-Jun-2018 - 00:00,0.8,0.12,0.68,0.27,743.05,216.83,60.47,0.0,34.45,293.03,35.89,1.72,118.03,1.04,0.61,24.06,6.93,12.78,19.7,84.5,10.2,08-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
08-Jun-2018 - 00:00,0.48,0.13,0.78,0.33,740.91,245.69,62.02,0.03,41.46,297.05,34.27,1.86,122.05,1.66,0.53,26.65,7.27,15.21,22.48,27.76,10.05,09-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
09-Jun-2018 - 00:00,0.63,0.18,1.03,0.4,740.69,91.43,38.31,0.12,59.49,284.09,30.31,2.31,130.58,1.48,0.57,35.33,7.95,14.17,22.12,32.21,17.26,10-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
10-Jun-2018 - 00:00,0.49,0.12,0.67,0.26,741.38,122.94,42.42,0.0,56.82,304.12,30.75,1.81,139.16,1.56,0.56,29.47,7.28,14.01,21.29,55.03,19.16,11-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
11-Jun-2018 - 00:00,0.2,0.08,0.34,0.14,740.58,160.53,37.79,0.03,46.64,332.07,33.35,1.4,145.61,1.78,0.51,30.33,5.4,18.09,22.84,53.67,12.05,12-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
12-Jun-2018 - 00:00,0.36,0.19,0.79,0.38,739.21,271.57,65.7,0.0,40.45,332.64,35.26,2.15,148.29,1.37,0.53,44.07,3.91,29.77,33.19,41.45,15.49,13-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
13-Jun-2018 - 00:00,0.16,0.1,0.31,0.18,739.81,350.4,77.45,0.0,35.74,295.52,35.03,3.0,143.52,1.53,0.38,25.99,4.97,21.76,26.7,45.94,10.93,14-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
14-Jun-2018 - 00:00,0.16,0.07,0.26,0.13,740.99,337.58,109.68,0.0,35.76,284.24,34.19,2.71,142.81,1.51,0.33,25.58,8.51,17.73,26.24,49.16,4.1,15-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
15-Jun-2018 - 00:00,0.21,0.08,0.34,0.16,742.17,215.18,88.72,0.0,36.71,315.63,33.73,3.09,146.19,1.41,0.36,26.31,8.69,19.99,28.69,51.17,8.77,16-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
16-Jun-2018 - 00:00,0.14,0.07,0.25,0.14,743.45,163.16,79.65,0.0,37.36,310.11,33.83,3.01,145.54,1.44,0.35,28.82,8.17,17.9,26.07,52.72,8.33,17-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
17-Jun-2018 - 00:00,0.14,0.07,0.24,0.13,743.43,144.21,69.79,0.0,36.86,303.43,34.29,3.24,142.88,1.27,0.33,33.02,8.32,19.42,27.73,48.06,8.65,18-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
18-Jun-2018 - 00:00,0.19,0.1,0.28,0.16,743.54,260.02,102.63,0.0,36.17,280.91,33.58,2.64,139.86,1.77,0.32,30.69,7.55,16.61,23.62,60.32,10.54,19-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
19-Jun-2018 - 00:00,0.39,0.14,0.61,0.32,743.8,124.93,69.32,0.0,36.95,303.27,33.47,5.43,142.02,1.29,0.57,24.15,8.23,23.3,31.53,63.96,13.7,20-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
20-Jun-2018 - 00:00,0.25,0.1,0.37,0.21,744.25,100.86,56.49,0.0,37.1,326.17,34.1,4.67,143.39,1.21,0.6,27.23,7.87,24.36,32.17,71.47,19.98,21-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
21-Jun-2018 - 00:00,0.4,0.15,0.68,0.33,743.88,190.56,110.12,0.0,31.16,290.69,35.61,4.25,134.85,1.38,0.66,29.65,7.47,21.95,29.42,73.1,19.84,22-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
22-Jun-2018 - 00:00,0.4,0.18,0.6,0.31,743.14,154.09,91.17,0.08,26.12,334.19,37.48,3.7,138.69,1.45,0.66,31.26,8.27,22.58,30.85,64.96,17.19,23-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
23-Jun-2018 - 00:00,0.18,0.08,0.28,0.15,743.01,144.51,82.81,0.0,30.83,293.66,36.22,3.32,140.08,1.48,0.59,37.84,7.5,17.46,24.96,71.77,16.5,24-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
24-Jun-2018 - 00:00,0.33,0.12,0.5,0.24,743.19,117.01,71.48,0.0,39.46,285.73,34.2,3.95,138.63,1.8,0.68,40.69,7.87,19.74,27.6,67.26,16.83,25-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
25-Jun-2018 - 00:00,0.3,0.11,0.42,0.27,741.68,88.43,55.36,0.0,47.69,284.01,32.67,4.52,145.81,1.77,0.66,36.9,7.56,17.71,25.26,63.87,14.96,26-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
26-Jun-2018 - 00:00,0.2,0.09,0.29,0.22,741.57,71.11,47.45,0.0,61.7,193.9,28.77,3.55,150.03,1.48,0.68,36.91,7.37,19.87,27.24,58.79,13.98,27-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
27-Jun-2018 - 00:00,0.45,0.12,0.4,0.22,742.08,49.04,49.28,0.2,78.97,333.78,27.51,3.72,154.87,1.18,0.61,33.9,8.33,24.26,32.48,27.11,14.6,28-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
28-Jun-2018 - 00:00,0.38,0.13,0.72,0.3,742.65,26.41,17.17,0.0,78.52,274.79,27.72,2.12,172.09,1.31,0.61,29.52,8.76,13.86,22.59,59.09,11.28,29-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
29-Jun-2018 - 00:00,0.54,0.19,1.16,0.49,742.63,24.2,10.36,0.04,80.92,282.32,27.82,1.55,195.22,1.24,0.74,16.52,7.53,13.45,20.98,42.32,10.69,30-Jun-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
30-Jun-2018 - 00:00,0.32,0.1,0.58,0.24,744.13,66.5,28.09,0.0,69.94,309.48,29.67,1.0,226.88,0.93,0.57,7.09,7.01,11.75,18.39,47.54,12.59,01-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
01-Jul-2018 - 00:00,0.19,0.26,0.45,0.21,744.01,130.75,40.62,0.0,61.78,290.5,31.03,1.01,219.19,1.12,0.46,12.51,7.84,19.14,26.98,42.97,13.68,02-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
02-Jul-2018 - 00:00,0.33,0.4,1.0,0.43,742.35,84.57,22.99,0.0,54.19,282.96,32.04,1.27,220.5,1.2,0.59,13.12,8.96,20.83,29.79,44.77,14.01,03-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
03-Jul-2018 - 00:00,0.25,0.26,0.78,0.34,741.77,63.91,21.13,0.0,53.25,315.0,32.66,1.17,222.22,1.31,0.61,11.38,8.84,18.34,27.16,41.3,16.23,04-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
04-Jul-2018 - 00:00,0.32,0.13,0.66,0.28,741.97,72.3,33.56,0.0,57.53,291.99,31.67,1.46,222.03,1.41,0.7,9.88,9.08,17.22,26.3,34.45,13.25,05-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
05-Jul-2018 - 00:00,0.2,0.07,0.37,0.15,743.17,119.37,41.14,0.0,54.09,279.15,32.22,0.99,224.28,1.49,0.66,8.28,7.83,14.04,21.86,34.7,10.42,06-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
06-Jul-2018 - 00:00,0.18,0.06,0.29,0.13,743.15,150.43,49.13,0.0,46.66,324.78,33.39,1.02,227.92,1.38,0.61,8.09,7.38,13.81,21.19,49.08,12.88,07-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
07-Jul-2018 - 00:00,0.18,0.06,0.23,0.11,742.59,159.2,58.85,0.0,43.01,309.88,33.9,1.24,221.65,1.43,0.66,7.91,6.81,14.78,21.59,55.17,12.82,08-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
08-Jul-2018 - 00:00,0.23,0.09,0.36,0.16,741.7,169.09,56.75,0.0,38.09,318.41,35.49,1.45,215.3,1.82,0.62,8.38,6.82,15.7,22.52,57.92,10.39,09-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
09-Jul-2018 - 00:00,0.25,0.09,0.36,0.16,741.18,162.33,52.4,0.0,36.41,301.55,36.43,1.44,206.77,1.79,0.65,8.91,6.91,13.53,20.43,62.49,9.85,10-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
10-Jul-2018 - 00:00,0.2,0.08,0.35,0.16,741.81,108.68,38.29,0.08,50.19,271.29,33.52,1.35,205.65,1.58,0.59,9.68,6.71,10.24,16.34,54.96,9.04,11-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
11-Jul-2018 - 00:00,0.16,0.07,0.25,0.12,741.92,69.75,34.54,0.01,68.83,294.55,29.91,1.44,218.04,1.74,0.46,15.32,7.13,16.46,23.57,42.17,8.21,12-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
12-Jul-2018 - 00:00,0.19,0.08,0.3,0.14,741.52,68.46,33.16,0.29,75.87,329.45,28.96,1.43,223.74,1.61,0.45,14.53,7.46,15.44,22.84,36.14,9.58,13-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
13-Jul-2018 - 00:00,0.4,0.16,0.78,0.34,741.83,43.83,22.14,0.0,79.39,264.99,28.22,1.66,220.78,1.16,0.64,10.5,7.88,18.31,26.12,34.07,9.82,14-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
14-Jul-2018 - 00:00,0.48,0.18,0.85,0.38,741.41,59.18,29.55,0.0,77.87,263.31,29.01,2.32,227.24,0.95,0.58,10.11,7.88,20.05,27.91,39.89,9.55,15-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
15-Jul-2018 - 00:00,0.83,0.37,1.49,0.66,741.13,44.89,24.35,0.06,79.18,331.16,29.11,3.1,222.84,0.79,0.82,9.44,9.06,27.39,36.41,37.99,9.33,16-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
16-Jul-2018 - 00:00,0.61,0.2,1.15,0.49,741.35,40.07,19.85,0.1,75.24,305.03,29.91,2.36,195.06,1.01,0.71,13.26,7.82,18.1,25.91,44.58,11.74,17-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
17-Jul-2018 - 00:00,0.47,0.19,0.89,0.39,741.66,42.16,20.65,0.11,72.9,369.46,30.37,2.41,211.97,1.08,0.61,23.67,7.49,17.05,24.49,39.44,12.68,18-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
18-Jul-2018 - 00:00,0.41,0.19,0.8,0.34,742.34,44.85,21.85,0.08,71.44,371.58,30.39,1.56,212.94,1.26,0.65,35.11,10.57,16.4,26.8,35.95,12.09,19-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
