from date,NO,NO2,NOx,SO2,CO,Ozone,PM10,PM2.5,NH3,AT,RH,WS,VWS,WD,SR,BP,RF,Benzene,Toluene,MP-Xylene,Xylene,Temp,to date,station
01-Jan-2018 - 00:00,3.45,23.14,15.12,25.92,0.09,87.5,109.08,59.52,18.08,28.11,62.34,2.66,-0.05,142.53,69.86,754.78,0.0,0.23,3.23,0.03,0.09,27.5,02-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
02-Jan-2018 - 00:00,3.92,23.76,15.82,24.82,0.09,81.03,111.07,62.67,19.65,26.96,71.7,2.5,-0.02,142.51,71.68,755.18,0.0,0.21,4.02,0.03,0.04,27.96,03-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
03-Jan-2018 - 00:00,5.07,41.47,26.19,28.26,0.09,78.61,141.85,72.57,25.51,27.09,65.74,1.97,-0.0,140.55,73.01,756.98,0.0,0.24,6.6,0.04,0.11,29.83,04-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
04-Jan-2018 - 00:00,5.92,54.29,33.69,28.2,0.11,71.68,174.51,93.02,19.52,26.3,65.54,1.96,0.01,128.15,75.36,758.22,0.0,0.3,7.25,0.1,0.24,30.07,05-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
05-Jan-2018 - 00:00,6.65,57.32,35.9,32.66,0.08,68.37,162.51,92.48,21.09,25.9,67.72,1.62,-0.01,177.85,75.98,757.09,0.0,0.29,7.85,0.08,0.19,29.97,06-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
06-Jan-2018 - 00:00,11.0,61.37,41.59,22.44,0.06,95.41,150.44,84.26,18.64,25.5,67.19,1.61,-0.01,171.51,75.98,756.57,0.0,0.25,7.14,0.06,0.16,29.57,07-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
07-Jan-2018 - 00:00,6.1,45.37,29.09,9.62,0.07,97.53,145.14,81.26,20.22,25.36,69.28,1.87,-0.01,154.21,72.2,757.54,0.0,0.25,7.26,0.05,0.14,28.73,08-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
08-Jan-2018 - 00:00,3.96,34.25,21.44,23.58,0.09,120.69,132.38,81.81,21.6,25.75,69.91,2.74,0.01,107.39,71.65,758.68,0.0,,,9.42,,30.33,09-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
09-Jan-2018 - 00:00,4.49,38.49,24.12,28.33,0.05,135.71,151.5,79.92,17.67,26.33,64.62,2.73,-0.01,98.65,72.88,760.44,0.0,,,1.12,,30.2,10-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
10-Jan-2018 - 00:00,3.83,35.85,22.19,13.29,0.1,131.85,150.59,86.85,22.71,27.08,69.31,2.66,0.0,128.0,72.98,760.91,0.0,0.11,2.1,0.07,0.01,29.73,11-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
11-Jan-2018 - 00:00,4.06,44.46,26.95,46.36,0.07,106.51,155.28,87.86,23.4,27.81,71.23,1.68,-0.01,154.98,72.44,759.95,0.0,0.22,6.74,0.02,0.07,30.7,12-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
12-Jan-2018 - 00:00,4.48,51.75,31.17,64.21,0.04,82.01,181.12,109.72,24.61,28.1,73.27,1.52,-0.01,148.6,63.95,758.69,0.0,0.28,8.48,0.06,0.12,31.2,13-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
13-Jan-2018 - 00:00,3.8,34.95,21.67,26.6,0.05,72.73,125.09,77.89,20.2,27.72,76.1,2.01,-0.02,139.67,71.4,758.35,0.0,0.19,7.09,0.01,0.07,29.28,14-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
14-Jan-2018 - 00:00,3.64,28.08,17.89,15.31,0.05,62.31,129.78,86.33,21.24,27.57,76.6,1.66,0.0,138.55,62.14,759.11,0.0,0.23,6.96,0.01,0.07,28.72,15-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
15-Jan-2018 - 00:00,2.94,21.26,13.69,25.13,0.05,70.05,114.78,76.08,20.22,27.83,72.18,1.85,-0.02,139.38,69.06,758.77,0.0,0.18,7.74,0.03,0.07,28.97,16-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
16-Jan-2018 - 00:00,3.1,20.35,13.35,15.09,0.06,54.7,100.05,67.1,18.85,27.57,72.66,2.07,0.01,136.41,71.5,757.64,0.0,0.15,6.46,0.03,0.07,29.08,17-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
17-Jan-2018 - 00:00,3.75,27.58,17.73,24.84,0.06,45.47,106.17,68.74,20.28,27.06,73.44,1.96,-0.02,147.92,70.38,757.85,0.0,0.16,6.56,0.03,0.07,29.83,18-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
18-Jan-2018 - 00:00,7.43,45.11,30.04,17.64,0.05,45.65,116.45,65.6,21.7,26.39,71.62,1.98,-0.0,148.98,75.49,758.31,0.0,0.19,6.83,0.03,0.1,29.76,19-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
19-Jan-2018 - 00:00,7.95,48.66,32.36,19.38,0.06,49.89,117.06,65.72,21.42,26.49,70.46,1.85,-0.0,151.33,73.9,759.12,0.0,0.18,6.78,0.03,0.14,30.32,20-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
20-Jan-2018 - 00:00,8.52,53.28,35.27,30.41,0.12,52.86,133.97,75.92,21.78,26.36,69.97,1.89,-0.01,168.95,75.73,758.5,0.0,0.19,6.54,0.05,0.13,29.88,21-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
21-Jan-2018 - 00:00,4.94,37.3,23.86,21.68,0.05,61.17,141.08,80.99,19.24,25.99,68.95,2.26,-0.02,161.91,75.83,757.73,0.0,0.15,5.81,0.04,0.06,28.43,22-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
22-Jan-2018 - 00:00,6.18,47.31,30.2,20.91,0.05,56.77,145.34,79.38,19.04,25.61,68.85,2.28,-0.01,160.25,75.56,756.96,0.0,0.16,5.57,0.03,0.06,29.39,23-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
23-Jan-2018 - 00:00,6.12,44.92,28.86,20.6,0.06,58.23,135.7,78.21,20.67,26.21,69.22,2.58,0.0,126.71,75.36,756.27,0.0,0.18,5.76,0.04,0.07,29.77,24-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
24-Jan-2018 - 00:00,5.08,45.41,28.28,7.17,0.06,50.18,136.25,77.27,20.87,26.65,72.1,2.27,-0.01,164.97,72.34,755.38,0.0,0.17,6.38,0.06,0.08,28.74,25-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
25-Jan-2018 - 00:00,8.39,59.43,38.43,30.94,0.05,40.94,157.73,78.58,23.84,27.69,68.82,1.49,-0.01,148.91,70.57,754.85,0.0,0.18,7.53,0.05,0.14,30.65,26-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
26-Jan-2018 - 00:00,6.52,43.77,28.64,18.93,0.08,45.36,141.02,78.46,27.06,27.09,71.76,2.3,0.0,145.55,67.39,755.68,0.0,0.19,6.98,0.07,0.1,32.05,27-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
27-Jan-2018 - 00:00,5.78,43.35,27.77,17.99,0.09,43.34,132.73,78.55,24.88,27.26,72.86,2.01,0.01,126.44,69.93,756.43,0.0,0.18,6.6,0.03,0.07,31.23,28-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
28-Jan-2018 - 00:00,3.93,32.31,20.38,7.48,0.07,46.69,131.38,75.64,22.09,27.09,72.2,2.47,0.0,122.89,71.49,757.6,0.0,0.16,4.4,0.05,0.06,27.56,29-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
29-Jan-2018 - 00:00,4.34,37.1,23.28,12.2,0.07,52.11,139.11,75.7,20.26,27.14,70.16,2.26,0.0,108.98,72.92,759.17,0.0,0.15,4.25,0.04,0.05,28.11,30-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
30-Jan-2018 - 00:00,5.59,46.23,29.14,12.5,0.04,45.08,138.55,77.05,21.79,27.04,70.51,1.99,0.0,128.41,76.08,759.25,0.0,0.19,4.84,0.05,0.08,28.32,31-Jan-2018 - 00:00,"Secretariat, Amaravati - APPCB"
31-Jan-2018 - 00:00,8.48,62.36,40.06,39.97,0.04,37.83,149.35,68.99,19.65,27.31,67.35,1.6,-0.01,158.76,81.03,759.06,0.0,0.18,5.14,0.07,0.11,29.1,01-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
01-Feb-2018 - 00:00,9.85,61.59,40.79,19.82,0.05,34.95,152.89,61.42,19.25,27.5,61.45,1.97,-0.0,158.75,85.51,758.47,0.0,0.16,4.61,0.06,0.13,29.21,02-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
02-Feb-2018 - 00:00,6.3,44.66,28.88,20.8,0.07,40.71,126.79,49.94,20.08,27.24,57.17,2.57,-0.01,140.24,83.33,757.73,0.0,0.17,3.85,0.07,0.1,28.46,03-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
03-Feb-2018 - 00:00,3.94,33.99,21.29,21.82,0.07,31.3,122.88,45.12,23.04,25.7,67.5,3.25,0.0,153.57,77.23,758.74,0.0,0.09,3.52,0.08,0.07,26.05,04-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
04-Feb-2018 - 00:00,7.54,34.18,24.31,8.56,0.06,32.77,111.11,49.32,11.16,25.32,66.28,2.58,-0.01,144.98,82.47,759.17,0.0,0.13,3.16,0.06,0.06,21.46,05-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
05-Feb-2018 - 00:00,5.33,30.97,20.62,8.6,0.67,32.78,101.25,42.6,13.7,25.63,68.09,2.8,-0.01,150.73,83.76,760.65,0.0,0.12,2.79,0.06,0.1,24.04,06-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
06-Feb-2018 - 00:00,3.6,29.5,18.66,5.95,0.83,29.36,101.33,39.56,17.38,26.53,66.18,2.65,-0.02,136.91,86.61,760.2,0.0,0.12,3.09,0.05,0.11,24.5,07-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
07-Feb-2018 - 00:00,7.65,38.33,26.33,4.88,0.99,23.52,119.78,51.16,11.08,27.16,67.21,1.6,-0.01,153.51,70.48,758.62,0.0,0.07,2.06,4.61,0.1,26.3,08-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
08-Feb-2018 - 00:00,2.09,24.37,14.63,18.72,0.86,37.14,112.49,49.01,12.91,29.65,64.04,3.39,-0.03,189.56,71.31,756.58,0.0,0.1,2.4,0.07,0.2,29.38,09-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
09-Feb-2018 - 00:00,2.47,20.3,12.81,8.55,0.62,23.9,62.03,25.51,12.26,28.75,72.36,3.95,0.01,131.18,81.15,756.46,0.0,0.07,3.04,0.09,0.12,29.44,10-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
10-Feb-2018 - 00:00,2.55,16.64,10.92,5.74,0.61,25.89,69.91,34.19,12.08,28.77,71.75,3.67,0.02,122.25,77.12,758.47,0.0,0.05,2.63,0.09,0.11,29.4,11-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
