from date,to date,station
01-Jan-2018 - 00:00,02-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
02-Jan-2018 - 00:00,03-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
03-Jan-2018 - 00:00,04-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
04-Jan-2018 - 00:00,05-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
05-Jan-2018 - 00:00,06-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
06-Jan-2018 - 00:00,07-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
07-Jan-2018 - 00:00,08-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
08-Jan-2018 - 00:00,09-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
09-Jan-2018 - 00:00,10-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
10-Jan-2018 - 00:00,11-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
11-Jan-2018 - 00:00,12-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
12-Jan-2018 - 00:00,13-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
13-Jan-2018 - 00:00,14-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
14-Jan-2018 - 00:00,15-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
15-Jan-2018 - 00:00,16-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
16-Jan-2018 - 00:00,17-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
17-Jan-2018 - 00:00,18-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
18-Jan-2018 - 00:00,19-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
19-Jan-2018 - 00:00,20-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
20-Jan-2018 - 00:00,21-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
21-Jan-2018 - 00:00,22-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
22-Jan-2018 - 00:00,23-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
23-Jan-2018 - 00:00,24-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
24-Jan-2018 - 00:00,25-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
25-Jan-2018 - 00:00,26-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
26-Jan-2018 - 00:00,27-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
27-Jan-2018 - 00:00,28-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
28-Jan-2018 - 00:00,29-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
29-Jan-2018 - 00:00,30-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
30-Jan-2018 - 00:00,31-Jan-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
31-Jan-2018 - 00:00,01-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
01-Feb-2018 - 00:00,02-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
02-Feb-2018 - 00:00,03-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
03-Feb-2018 - 00:00,04-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
04-Feb-2018 - 00:00,05-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
05-Feb-2018 - 00:00,06-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
06-Feb-2018 - 00:00,07-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
07-Feb-2018 - 00:00,08-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
08-Feb-2018 - 00:00,09-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
09-Feb-2018 - 00:00,10-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
10-Feb-2018 - 00:00,11-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
11-Feb-2018 - 00:00,12-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
12-Feb-2018 - 00:00,13-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
13-Feb-2018 - 00:00,14-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
14-Feb-2018 - 00:00,15-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
15-Feb-2018 - 00:00,16-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
16-Feb-2018 - 00:00,17-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
17-Feb-2018 - 00:00,18-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
18-Feb-2018 - 00:00,19-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
19-Feb-2018 - 00:00,20-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
20-Feb-2018 - 00:00,21-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
21-Feb-2018 - 00:00,22-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
22-Feb-2018 - 00:00,23-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
23-Feb-2018 - 00:00,24-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
24-Feb-2018 - 00:00,25-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
25-Feb-2018 - 00:00,26-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
26-Feb-2018 - 00:00,27-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
27-Feb-2018 - 00:00,28-Feb-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
28-Feb-2018 - 00:00,01-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
01-Mar-2018 - 00:00,02-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
02-Mar-2018 - 00:00,03-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
03-Mar-2018 - 00:00,04-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
04-Mar-2018 - 00:00,05-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
05-Mar-2018 - 00:00,06-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
06-Mar-2018 - 00:00,07-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
07-Mar-2018 - 00:00,08-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
08-Mar-2018 - 00:00,09-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
09-Mar-2018 - 00:00,10-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
10-Mar-2018 - 00:00,11-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
11-Mar-2018 - 00:00,12-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
12-Mar-2018 - 00:00,13-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
13-Mar-2018 - 00:00,14-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
14-Mar-2018 - 00:00,15-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
15-Mar-2018 - 00:00,16-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
16-Mar-2018 - 00:00,17-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
17-Mar-2018 - 00:00,18-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
18-Mar-2018 - 00:00,19-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
19-Mar-2018 - 00:00,20-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
20-Mar-2018 - 00:00,21-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
21-Mar-2018 - 00:00,22-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
22-Mar-2018 - 00:00,23-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
23-Mar-2018 - 00:00,24-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
24-Mar-2018 - 00:00,25-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
25-Mar-2018 - 00:00,26-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
26-Mar-2018 - 00:00,27-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
27-Mar-2018 - 00:00,28-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
28-Mar-2018 - 00:00,29-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
29-Mar-2018 - 00:00,30-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
30-Mar-2018 - 00:00,31-Mar-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
31-Mar-2018 - 00:00,01-Apr-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
01-Apr-2018 - 00:00,02-Apr-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
02-Apr-2018 - 00:00,03-Apr-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
03-Apr-2018 - 00:00,04-Apr-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
04-Apr-2018 - 00:00,05-Apr-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
05-Apr-2018 - 00:00,06-Apr-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
06-Apr-2018 - 00:00,07-Apr-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
07-Apr-2018 - 00:00,08-Apr-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
08-Apr-2018 - 00:00,09-Apr-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
09-Apr-2018 - 00:00,10-Apr-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
10-Apr-2018 - 00:00,11-Apr-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
11-Apr-2018 - 00:00,12-Apr-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
12-Apr-2018 - 00:00,13-Apr-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
13-Apr-2018 - 00:00,14-Apr-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
14-Apr-2018 - 00:00,15-Apr-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
15-Apr-2018 - 00:00,16-Apr-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
16-Apr-2018 - 00:00,17-Apr-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
17-Apr-2018 - 00:00,18-Apr-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
18-Apr-2018 - 00:00,19-Apr-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
19-Apr-2018 - 00:00,20-Apr-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
20-Apr-2018 - 00:00,21-Apr-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
21-Apr-2018 - 00:00,22-Apr-2018 - 00:00,"Urban, Chamarajanagar - KSPCB"
