from date,AT,BP,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,Benzene,Toluene,Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,16.22,745.54,235.81,260.23,0.0,65.24,15.78,15.02,106.81,0.93,6.62,27.82,11.24,2.6,48.38,48.27,74.51,0.0,23.01,19.24,02-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
02-Jan-2018 - 00:00,11.56,746.39,205.17,172.91,0.0,84.15,5.47,15.03,149.28,1.2,6.56,23.74,7.43,2.27,42.62,26.65,43.79,0.0,6.97,8.68,03-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
03-Jan-2018 - 00:00,10.87,747.06,156.34,129.6,0.0,89.1,5.76,11.97,115.04,1.28,4.65,18.99,5.49,1.84,32.02,19.63,39.06,0.0,6.7,5.42,04-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
04-Jan-2018 - 00:00,12.1,747.62,113.46,88.28,0.0,83.59,23.15,10.94,154.16,1.01,4.72,21.91,6.77,1.66,35.99,18.04,42.19,0.0,11.55,6.44,05-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
05-Jan-2018 - 00:00,11.35,747.03,236.16,186.08,0.0,83.65,19.59,12.97,128.68,0.79,5.39,20.93,6.45,1.88,35.57,25.38,45.74,2.46,13.08,9.24,06-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
06-Jan-2018 - 00:00,11.21,745.41,151.95,182.94,0.0,85.67,7.22,13.74,121.73,1.11,6.29,25.03,8.79,2.49,36.77,26.52,52.35,0.0,16.27,9.48,07-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
07-Jan-2018 - 00:00,12.2,745.77,228.8,178.92,0.0,81.73,5.6,10.21,132.93,1.36,5.47,21.11,7.45,1.75,32.54,21.99,41.28,0.0,15.64,11.73,08-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
08-Jan-2018 - 00:00,10.63,748.33,84.92,111.18,0.0,83.8,5.23,14.91,188.78,1.05,5.8,21.65,7.51,2.45,31.82,26.13,38.86,0.0,7.95,10.85,09-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
09-Jan-2018 - 00:00,10.51,750.49,108.08,107.45,0.0,87.55,5.72,14.7,194.35,0.79,5.6,21.25,6.99,2.16,31.59,20.74,37.66,0.0,9.96,7.17,10-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
10-Jan-2018 - 00:00,9.55,749.7,250.51,230.6,0.01,90.51,5.18,16.59,178.19,0.71,7.15,24.41,9.55,3.23,36.36,30.58,37.64,0.0,8.84,5.78,11-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
11-Jan-2018 - 00:00,12.06,748.26,131.21,105.88,0.0,84.18,5.94,13.63,180.2,1.07,5.74,22.17,8.31,1.85,40.83,18.44,44.7,0.0,14.41,7.95,12-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
12-Jan-2018 - 00:00,10.73,747.97,299.06,204.86,0.0,90.05,6.38,16.49,261.31,0.69,6.35,23.77,8.23,3.0,46.74,35.12,40.28,0.0,8.47,9.74,13-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
13-Jan-2018 - 00:00,14.28,747.73,207.31,130.59,0.0,72.83,5.31,25.23,86.05,0.81,7.57,31.57,15.32,3.99,55.73,79.4,63.33,0.0,15.34,25.24,14-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
14-Jan-2018 - 00:00,16.04,747.51,228.43,140.91,0.0,68.89,4.72,27.09,137.56,0.96,6.04,27.54,13.49,3.21,55.77,53.21,65.92,0.0,17.48,25.36,15-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
15-Jan-2018 - 00:00,15.3,747.2,231.82,120.66,0.01,73.31,7.35,23.13,127.97,1.05,6.5,30.33,14.3,2.75,53.73,36.33,66.51,40.97,17.88,17.47,16-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
16-Jan-2018 - 00:00,14.32,745.6,212.01,106.58,0.0,79.0,9.14,19.77,166.59,1.12,5.32,25.53,10.36,2.14,51.97,24.06,55.48,48.95,18.68,14.33,17-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
17-Jan-2018 - 00:00,13.72,747.24,346.31,246.84,0.0,83.84,6.64,18.22,263.85,0.52,6.52,30.55,15.56,3.11,47.27,77.57,55.14,90.88,21.15,11.63,18-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
18-Jan-2018 - 00:00,16.24,746.8,272.45,175.38,0.0,72.99,9.23,18.33,70.27,1.24,6.36,24.69,11.04,5.41,46.53,23.63,56.17,46.95,26.08,12.51,19-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
