from date,NO2,NH3,NOx,NO,CO,Ozone,SO2,Benzene,PM10,PM2.5,WD,WS,AT,to date,station
01-Jan-2018 - 00:00,0.03,,,,,,,,,,,,,02-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
02-Jan-2018 - 00:00,0.03,,,,,,,,,,,,,03-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
03-Jan-2018 - 00:00,0.03,,,,,,,,,,,,,04-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
10-Jan-2018 - 00:00,0.04,0.01,0.07,0.03,3.93,0.01,0.93,,,0.0,,,,11-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
11-Jan-2018 - 00:00,0.02,0.01,0.04,0.02,4.16,0.01,0.86,,,0.0,,,,12-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
01-Feb-2018 - 00:00,,,,,,,,,,,,,,02-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
02-Feb-2018 - 00:00,32.61,8.93,58.5,25.89,4.75,18.27,12.72,,279.37,134.5,79.68,0.82,39.57,03-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
03-Feb-2018 - 00:00,28.61,8.83,49.86,21.25,4.71,18.89,11.62,,213.54,105.14,71.07,1.13,37.16,04-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
04-Feb-2018 - 00:00,31.99,9.18,48.24,16.24,4.68,18.69,11.46,,226.23,115.4,70.77,0.76,38.44,05-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
05-Feb-2018 - 00:00,33.86,9.48,53.67,19.81,4.62,12.99,10.67,,260.21,128.59,62.26,0.68,41.47,06-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
06-Feb-2018 - 00:00,30.33,10.2,48.49,18.16,4.72,15.48,10.91,,268.58,138.43,72.94,1.24,41.38,07-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
07-Feb-2018 - 00:00,28.52,10.63,47.14,18.64,4.68,11.0,10.45,,224.73,122.18,76.45,0.61,43.16,08-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
08-Feb-2018 - 00:00,30.24,10.3,51.38,21.14,4.51,15.09,11.6,,268.0,142.76,81.04,0.8,42.25,09-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
09-Feb-2018 - 00:00,27.49,9.85,42.26,14.78,4.46,17.58,10.72,,200.72,104.92,63.25,0.94,42.17,10-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
10-Feb-2018 - 00:00,23.3,9.55,34.61,11.31,4.13,13.2,8.21,,150.87,76.86,74.09,1.83,43.92,11-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
11-Feb-2018 - 00:00,24.45,9.13,32.62,8.18,4.09,13.75,9.61,,137.98,73.56,60.77,1.16,43.18,12-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
12-Feb-2018 - 00:00,18.91,9.59,28.4,9.48,4.01,12.33,8.05,,107.11,63.83,67.47,1.72,42.62,13-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
13-Feb-2018 - 00:00,16.22,8.95,23.74,7.52,3.88,13.46,7.23,,81.96,37.17,90.73,1.84,41.18,14-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
14-Feb-2018 - 00:00,19.86,8.38,27.64,7.78,3.58,13.76,9.23,,66.56,35.59,55.68,0.93,42.01,15-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
15-Feb-2018 - 00:00,22.62,8.86,35.05,12.44,3.62,13.77,8.31,,136.8,74.4,74.91,1.17,39.02,16-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
16-Feb-2018 - 00:00,26.03,8.66,39.69,13.68,3.66,13.44,8.54,0.0,163.37,78.6,84.33,0.99,32.08,17-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
17-Feb-2018 - 00:00,23.85,9.18,45.91,22.06,3.69,9.72,7.54,0.0,187.57,82.41,,,,18-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
18-Feb-2018 - 00:00,28.75,8.61,46.37,17.62,3.82,13.24,13.63,0.0,277.37,110.09,,,,19-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
19-Feb-2018 - 00:00,27.12,9.51,46.87,19.74,3.96,16.25,12.03,0.0,299.36,135.43,,,,20-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
20-Feb-2018 - 00:00,27.23,10.38,46.18,18.96,3.94,11.79,9.83,0.1,224.02,107.7,0.0,,0.0,21-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
21-Feb-2018 - 00:00,22.83,10.95,42.55,19.72,3.85,10.9,11.21,0.01,186.58,82.58,,,,22-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
22-Feb-2018 - 00:00,30.43,10.41,47.8,17.37,3.86,15.9,20.36,0.0,211.27,88.9,,,,23-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
23-Feb-2018 - 00:00,32.07,11.33,55.15,23.1,4.1,15.34,19.74,72.63,289.29,136.69,173.05,0.57,25.01,24-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
24-Feb-2018 - 00:00,28.7,11.92,52.93,24.23,4.08,18.1,18.56,9.26,242.28,109.64,144.46,0.67,24.95,25-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
25-Feb-2018 - 00:00,26.5,12.14,49.53,23.05,4.02,15.42,15.94,0.64,230.75,110.03,157.65,0.5,25.95,26-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
26-Feb-2018 - 00:00,22.89,11.55,43.28,20.4,3.76,10.79,15.08,1.86,169.19,80.62,144.86,0.63,25.4,27-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
27-Feb-2018 - 00:00,23.43,12.83,44.97,21.55,3.87,11.31,15.05,1.3,136.61,60.48,125.72,0.59,24.7,28-Feb-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
28-Feb-2018 - 00:00,22.73,12.43,40.15,17.43,3.88,10.52,15.3,0.0,188.78,83.61,121.73,0.6,24.71,01-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
01-Mar-2018 - 00:00,24.11,13.28,45.49,21.39,4.06,10.4,15.44,0.0,209.76,96.45,109.78,0.79,25.45,02-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
02-Mar-2018 - 00:00,22.05,13.25,34.19,12.16,4.28,18.81,18.02,0.0,197.8,106.59,137.08,0.78,25.97,03-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
03-Mar-2018 - 00:00,24.36,12.64,39.5,15.15,4.46,15.43,17.16,0.11,280.96,142.55,161.28,0.55,27.08,04-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
04-Mar-2018 - 00:00,27.91,11.58,44.86,16.96,4.34,18.26,18.03,0.0,286.95,140.69,142.23,0.59,26.37,05-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
05-Mar-2018 - 00:00,22.94,11.05,37.1,14.18,4.17,12.28,16.17,0.23,214.98,100.45,111.04,0.99,25.13,06-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
06-Mar-2018 - 00:00,29.3,11.01,43.78,14.48,3.99,13.18,16.45,0.0,194.12,107.17,122.56,0.71,25.36,07-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
07-Mar-2018 - 00:00,27.07,10.5,39.42,12.36,4.02,15.68,16.18,0.0,195.17,102.4,134.81,0.58,25.54,08-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
08-Mar-2018 - 00:00,23.17,9.63,32.09,8.93,3.94,14.98,15.06,0.0,133.26,70.89,107.3,0.77,25.6,09-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
09-Mar-2018 - 00:00,27.94,9.68,44.45,16.49,3.95,15.47,15.82,0.0,215.02,110.72,145.53,0.79,25.97,10-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
10-Mar-2018 - 00:00,29.95,9.85,46.68,16.74,4.25,17.51,16.63,0.0,214.31,107.65,121.44,0.76,26.01,11-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
11-Mar-2018 - 00:00,31.23,10.56,50.04,18.82,4.53,16.93,17.74,0.0,321.01,192.12,138.24,0.67,25.55,12-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
12-Mar-2018 - 00:00,34.91,10.61,56.3,21.41,4.45,18.37,17.76,0.0,330.67,174.25,167.18,0.8,27.29,13-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
13-Mar-2018 - 00:00,33.98,9.78,51.67,17.71,4.35,17.63,17.15,0.0,258.8,145.05,134.97,0.71,27.39,14-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
14-Mar-2018 - 00:00,34.77,9.7,50.41,15.63,4.44,22.25,18.63,0.0,291.78,164.12,161.41,0.58,27.43,15-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
15-Mar-2018 - 00:00,36.42,10.53,53.95,17.56,4.58,15.32,18.11,0.05,285.15,160.6,158.28,0.51,27.1,16-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
16-Mar-2018 - 00:00,27.19,12.14,44.89,17.71,4.04,7.81,16.04,0.0,95.7,69.48,179.64,0.86,22.35,17-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
17-Mar-2018 - 00:00,20.45,11.95,44.22,23.78,3.94,14.15,15.74,0.0,167.43,88.2,182.92,1.07,24.62,18-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
18-Mar-2018 - 00:00,22.26,11.01,42.98,20.73,4.01,13.32,14.97,0.0,198.93,95.91,132.58,1.0,26.43,19-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
19-Mar-2018 - 00:00,25.78,9.44,35.28,9.5,3.91,16.39,14.55,0.0,186.89,84.88,138.69,0.8,26.75,20-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
20-Mar-2018 - 00:00,31.96,9.3,45.73,13.79,4.09,17.0,15.98,0.0,286.13,128.57,147.39,0.88,26.88,21-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
21-Mar-2018 - 00:00,34.97,10.41,53.12,18.18,4.42,9.65,17.04,0.0,251.36,136.97,108.6,0.58,26.78,22-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
22-Mar-2018 - 00:00,27.84,10.22,38.93,11.1,3.98,15.6,15.5,0.0,152.04,83.85,148.06,0.66,28.68,23-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
23-Mar-2018 - 00:00,30.1,10.03,51.63,21.53,4.19,14.82,15.16,0.0,216.5,110.48,150.09,0.82,28.47,24-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
24-Mar-2018 - 00:00,29.86,9.62,49.55,19.72,4.17,14.71,14.81,0.0,203.86,103.89,113.71,0.7,28.43,25-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
25-Mar-2018 - 00:00,29.22,9.75,42.88,13.68,4.15,16.74,14.79,0.0,243.05,115.91,151.16,1.01,28.15,26-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
26-Mar-2018 - 00:00,32.42,9.12,46.09,13.69,4.22,20.33,16.09,0.0,247.51,103.84,151.2,0.78,28.41,27-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
27-Mar-2018 - 00:00,33.15,10.68,46.32,13.2,4.61,22.28,16.79,0.0,288.53,137.63,134.49,0.73,27.98,28-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
28-Mar-2018 - 00:00,35.0,11.78,48.75,13.75,4.49,23.54,19.38,0.0,278.52,188.82,144.44,0.61,28.39,29-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
29-Mar-2018 - 00:00,35.59,11.21,55.01,19.45,4.63,16.76,21.2,0.0,338.66,175.39,128.72,0.6,28.53,30-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
30-Mar-2018 - 00:00,36.65,11.27,53.96,17.32,4.76,16.35,20.62,0.2,300.15,144.81,148.56,0.97,29.93,31-Mar-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
31-Mar-2018 - 00:00,26.97,11.26,46.2,19.24,4.4,17.97,17.98,0.0,247.09,108.74,172.17,0.77,30.14,01-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
01-Apr-2018 - 00:00,17.71,10.13,28.02,10.33,4.04,17.4,16.46,0.0,147.69,57.18,131.47,1.21,27.35,02-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
02-Apr-2018 - 00:00,20.44,10.04,28.02,7.58,3.94,16.68,15.82,0.0,101.33,61.59,154.12,0.7,26.13,03-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
03-Apr-2018 - 00:00,21.48,10.43,32.26,10.79,4.02,18.87,16.16,0.0,161.88,84.62,187.54,0.77,27.8,04-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
04-Apr-2018 - 00:00,19.53,10.34,29.78,10.28,3.97,12.99,15.2,0.0,118.81,57.97,159.7,0.69,27.07,05-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
05-Apr-2018 - 00:00,19.68,10.16,32.21,12.55,3.82,20.97,14.92,0.0,132.66,62.81,165.71,0.82,28.51,06-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
06-Apr-2018 - 00:00,17.83,9.13,26.06,8.25,3.71,23.7,14.69,0.0,116.67,51.77,174.99,0.88,29.67,07-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
07-Apr-2018 - 00:00,16.2,8.47,23.12,6.92,3.55,20.56,14.02,0.0,85.45,48.74,148.66,0.93,28.55,08-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
08-Apr-2018 - 00:00,17.38,7.81,25.08,7.71,3.53,19.59,14.53,0.0,109.88,67.74,164.17,0.84,27.53,09-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
09-Apr-2018 - 00:00,15.09,8.47,24.39,9.3,3.52,20.22,13.87,0.0,97.03,46.24,178.49,0.87,29.07,10-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
10-Apr-2018 - 00:00,15.6,7.93,21.82,6.22,3.46,20.46,13.32,0.0,107.96,52.83,162.82,0.93,28.54,11-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
11-Apr-2018 - 00:00,19.33,7.31,26.23,6.92,3.52,21.22,13.43,0.0,139.23,63.84,182.83,1.05,30.1,12-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
12-Apr-2018 - 00:00,17.3,7.61,24.32,7.02,3.4,18.17,13.44,0.0,112.22,51.66,186.77,0.81,29.36,13-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
13-Apr-2018 - 00:00,20.03,8.22,27.67,7.66,3.41,12.41,13.26,0.0,153.02,68.79,162.55,0.91,28.07,14-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
14-Apr-2018 - 00:00,17.65,8.97,25.99,8.34,3.42,20.88,13.23,0.0,181.78,73.65,189.16,0.77,29.63,15-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
15-Apr-2018 - 00:00,17.61,8.84,23.68,6.1,3.37,20.39,12.95,0.0,129.35,58.18,177.99,0.92,30.59,16-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
16-Apr-2018 - 00:00,21.15,8.96,27.5,6.36,3.37,23.27,13.8,0.0,160.1,67.69,172.01,0.85,31.66,17-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
17-Apr-2018 - 00:00,17.71,9.41,24.52,6.83,3.49,22.25,13.3,0.0,149.23,68.72,171.12,0.91,29.43,18-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
18-Apr-2018 - 00:00,21.59,9.29,45.38,23.8,3.48,12.92,12.96,0.0,141.44,68.6,132.38,0.58,30.14,19-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
19-Apr-2018 - 00:00,20.66,9.29,54.39,33.72,3.57,12.43,13.07,0.0,224.43,92.11,153.63,1.18,30.66,20-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
20-Apr-2018 - 00:00,17.59,10.23,40.85,23.28,3.54,25.46,13.29,0.19,159.96,73.77,161.27,1.02,32.02,21-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
21-Apr-2018 - 00:00,21.34,9.82,26.96,5.62,3.3,22.22,13.41,0.0,152.93,63.45,197.18,1.09,32.78,22-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
22-Apr-2018 - 00:00,22.73,10.72,35.36,12.63,3.71,13.74,13.58,0.0,194.28,83.38,138.21,0.83,32.66,23-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
23-Apr-2018 - 00:00,19.07,9.93,29.28,10.24,3.31,16.03,12.85,0.0,154.25,60.08,119.16,0.72,32.05,24-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
24-Apr-2018 - 00:00,21.53,9.83,28.59,7.05,3.25,19.02,13.77,0.0,159.14,67.68,160.84,0.85,30.74,25-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
25-Apr-2018 - 00:00,24.52,9.91,36.32,11.81,3.41,20.14,13.83,0.0,223.59,90.12,186.41,0.77,31.25,26-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
26-Apr-2018 - 00:00,21.5,9.98,34.09,12.61,3.53,29.09,14.08,0.27,207.91,77.98,182.81,0.81,31.89,27-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
27-Apr-2018 - 00:00,21.91,9.26,27.81,5.91,3.31,25.99,14.21,0.45,168.53,70.05,185.66,0.91,31.25,28-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
28-Apr-2018 - 00:00,13.76,8.69,18.29,4.54,3.2,30.59,13.56,0.0,105.26,41.11,194.13,1.17,31.34,29-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
29-Apr-2018 - 00:00,14.05,12.42,22.91,9.05,3.38,30.29,13.08,0.24,93.43,17.38,180.8,1.29,29.11,30-Apr-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
30-Apr-2018 - 00:00,15.1,14.46,22.9,7.83,3.58,18.68,13.25,0.0,33.55,4.27,177.77,0.95,26.74,01-May-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
01-May-2018 - 00:00,14.88,14.63,23.21,8.35,3.53,12.61,13.74,0.0,100.07,49.8,161.04,1.16,26.17,02-May-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
02-May-2018 - 00:00,15.08,13.33,22.93,7.86,3.34,29.23,13.27,0.0,72.2,23.5,183.83,1.16,30.95,03-May-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
03-May-2018 - 00:00,15.84,11.28,22.06,6.21,3.14,19.94,12.74,0.0,86.73,44.57,159.03,0.87,27.78,04-May-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
04-May-2018 - 00:00,17.96,9.97,28.77,10.82,3.24,26.34,12.72,0.0,122.34,54.43,174.43,0.71,30.08,05-May-2018 - 00:00,"GM Office, Brajrajnagar - OSPCB"
