from date,CO,PM10,NO,NO2,NOx,SO2,to date,station
01-Jan-2018 - 00:00,1.05,93.04,11.14,32.78,24.3,4.91,02-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-Jan-2018 - 00:00,1.02,92.28,7.72,33.0,21.86,4.89,03-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-Jan-2018 - 00:00,1.11,84.21,10.66,39.99,27.79,5.1,04-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-Jan-2018 - 00:00,0.95,95.24,9.09,44.11,28.3,4.79,05-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-Jan-2018 - 00:00,1.07,111.5,10.84,52.0,33.46,5.06,06-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-Jan-2018 - 00:00,1.0,107.03,8.65,44.1,27.96,4.87,07-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-Jan-2018 - 00:00,0.98,101.85,9.49,45.08,29.07,4.99,08-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-Jan-2018 - 00:00,1.08,93.43,7.37,42.5,26.23,5.01,09-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-Jan-2018 - 00:00,1.12,93.42,7.29,39.52,24.72,5.32,10-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-Jan-2018 - 00:00,0.99,81.92,7.9,33.42,22.19,5.1,11-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-Jan-2018 - 00:00,1.06,80.88,13.98,65.61,42.7,5.23,12-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-Jan-2018 - 00:00,1.09,105.6,16.23,51.29,37.13,5.07,13-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-Jan-2018 - 00:00,1.02,151.16,16.34,53.85,38.46,5.11,14-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-Jan-2018 - 00:00,1.04,166.69,11.93,44.6,30.66,4.98,15-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-Jan-2018 - 00:00,1.01,146.23,8.52,37.6,24.7,5.0,16-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-Jan-2018 - 00:00,0.96,135.79,9.61,39.53,26.45,5.09,17-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-Jan-2018 - 00:00,1.03,154.32,8.95,38.51,25.47,5.2,18-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-Jan-2018 - 00:00,1.44,150.07,11.28,45.85,30.52,9.15,19-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-Jan-2018 - 00:00,2.06,134.99,9.1,42.66,27.87,8.79,20-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-Jan-2018 - 00:00,2.03,164.12,10.88,47.23,31.16,9.53,21-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-Jan-2018 - 00:00,2.02,151.63,8.86,40.95,26.59,9.07,22-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-Jan-2018 - 00:00,2.03,173.81,8.06,39.81,25.43,9.11,23-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-Jan-2018 - 00:00,2.08,191.34,6.55,32.98,21.01,9.08,24-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-Jan-2018 - 00:00,1.97,175.1,8.84,36.91,24.6,8.81,25-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-Jan-2018 - 00:00,1.48,178.78,8.73,37.37,24.75,6.73,26-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-Jan-2018 - 00:00,0.82,164.26,8.09,41.38,26.22,5.11,27-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
27-Jan-2018 - 00:00,1.02,194.18,7.45,36.77,23.5,5.27,28-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-Jan-2018 - 00:00,1.19,177.71,10.13,48.84,31.48,5.3,29-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
29-Jan-2018 - 00:00,1.48,163.81,10.63,54.11,34.33,4.9,30-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
30-Jan-2018 - 00:00,1.28,167.4,8.55,37.07,24.46,4.94,31-Jan-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
31-Jan-2018 - 00:00,1.29,161.72,7.81,36.19,23.48,5.01,01-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
01-Feb-2018 - 00:00,1.34,157.07,11.85,45.97,31.27,5.07,02-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-Feb-2018 - 00:00,1.4,150.8,6.6,37.84,23.39,4.86,03-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-Feb-2018 - 00:00,1.45,153.43,8.2,41.1,26.17,5.34,04-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-Feb-2018 - 00:00,1.41,140.18,6.91,35.16,22.31,4.99,05-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-Feb-2018 - 00:00,1.38,140.76,9.57,39.43,26.38,5.15,06-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-Feb-2018 - 00:00,0.88,124.07,4.8,23.43,19.16,3.58,07-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-Feb-2018 - 00:00,1.31,141.28,6.49,24.78,16.93,5.0,08-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-Feb-2018 - 00:00,1.45,133.01,11.09,37.96,26.79,5.16,09-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-Feb-2018 - 00:00,1.36,138.71,6.59,29.64,19.38,4.76,10-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-Feb-2018 - 00:00,1.3,127.22,10.0,34.94,24.51,5.29,11-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-Feb-2018 - 00:00,1.3,149.69,7.39,27.51,18.93,4.84,12-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-Feb-2018 - 00:00,1.52,132.35,7.42,28.37,19.38,5.27,13-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-Feb-2018 - 00:00,1.4,1.57,0.04,0.19,15.59,0.06,14-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-Feb-2018 - 00:00,1.32,0.0,0.0,0.0,16.48,0.0,15-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-Feb-2018 - 00:00,1.26,0.0,0.0,0.0,21.22,0.0,16-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-Feb-2018 - 00:00,1.42,0.0,0.0,0.0,26.65,0.0,17-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-Feb-2018 - 00:00,1.37,0.0,0.0,0.0,25.57,0.0,18-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
