from date,PM2.5,PM10,Temp,SR,BP,RH,RF,WD,WS,VWS,AT,Benzene,Xylene,SO2,Ozone,NO,NO2,NOx,NH3,CO,Toluene,to date,station
07-May-2018 - 00:00,33.15,81.55,29.74,155.39,712.23,48.25,0.0,189.28,1.18,-0.0,30.66,0.0,0.01,16.7,60.36,0.72,9.86,5.82,7.47,0.36,0.28,08-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
08-May-2018 - 00:00,36.81,105.12,38.19,150.49,712.71,48.5,0.0,172.88,0.82,0.0,31.05,0.06,0.21,11.81,51.31,4.08,27.79,17.34,17.93,0.49,0.71,09-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
09-May-2018 - 00:00,39.33,96.59,29.88,127.62,713.23,58.64,0.0,151.51,1.03,0.0,28.58,0.05,0.13,11.82,50.3,1.86,20.17,12.23,10.33,0.54,0.82,10-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
10-May-2018 - 00:00,30.35,75.58,29.66,137.23,712.64,55.27,0.0,141.05,0.89,0.0,29.71,0.02,0.11,11.34,52.53,0.49,13.88,7.78,9.71,0.46,0.48,11-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
11-May-2018 - 00:00,28.92,77.56,29.34,163.6,712.27,49.92,0.0,199.85,1.08,0.0,30.4,0.04,0.07,17.54,54.85,0.57,12.33,7.02,8.6,0.41,0.69,12-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
12-May-2018 - 00:00,28.25,70.64,29.65,124.59,712.74,50.06,0.0,148.94,0.94,0.0,29.8,0.02,0.02,10.42,57.32,0.47,10.15,5.76,7.94,0.41,0.33,13-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
13-May-2018 - 00:00,25.97,67.7,29.62,129.12,713.08,49.66,0.0,154.24,0.99,0.0,29.09,0.01,0.01,10.54,72.12,0.55,10.86,6.21,7.5,0.36,0.47,14-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
14-May-2018 - 00:00,25.77,58.97,31.05,131.59,713.36,52.71,0.0,168.99,1.27,0.03,28.82,0.0,0.01,10.0,77.18,0.4,8.51,4.79,7.9,0.37,0.27,15-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
15-May-2018 - 00:00,19.91,41.47,29.18,161.6,713.05,56.5,0.0,186.84,1.05,0.0,28.45,0.0,0.03,12.16,63.93,0.42,7.32,4.2,7.28,0.34,0.29,16-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
16-May-2018 - 00:00,36.44,86.58,29.23,157.73,712.77,54.17,0.0,156.7,0.95,0.0,29.3,0.01,0.07,24.54,62.73,0.43,12.65,7.08,8.17,0.46,0.37,17-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
17-May-2018 - 00:00,35.2,89.31,29.4,139.67,713.28,54.43,0.0,171.96,0.97,0.02,28.57,0.02,0.07,22.74,56.29,0.88,15.07,8.72,8.32,0.42,0.59,18-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
18-May-2018 - 00:00,31.9,77.38,29.06,146.68,712.65,50.7,0.0,223.41,0.95,0.0,29.64,0.0,0.05,14.24,57.67,0.42,10.88,6.12,7.56,0.38,0.5,19-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
19-May-2018 - 00:00,41.53,131.41,29.59,160.72,711.62,44.07,0.0,214.59,1.16,-0.0,31.6,0.01,0.12,11.15,59.28,0.48,14.6,8.14,7.16,0.45,0.46,20-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
20-May-2018 - 00:00,36.12,107.68,29.45,156.64,711.71,45.21,0.0,169.82,1.03,0.0,31.35,0.0,0.03,14.93,69.6,0.38,9.08,5.13,6.89,0.36,0.34,21-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
21-May-2018 - 00:00,48.02,143.4,29.49,143.18,711.88,49.4,0.0,126.69,1.08,0.0,31.13,0.01,0.06,19.0,79.18,0.39,12.89,7.17,8.05,0.5,0.36,22-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
22-May-2018 - 00:00,34.91,94.26,29.32,141.3,712.14,50.6,0.0,171.8,0.94,0.0,30.33,0.01,0.02,15.39,65.18,0.35,8.79,4.93,8.34,0.4,0.39,23-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
23-May-2018 - 00:00,42.44,117.71,29.42,128.56,712.27,53.19,0.0,153.5,0.98,0.0,30.31,0.05,0.13,13.61,60.9,0.39,12.74,7.09,8.92,0.49,0.72,24-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
24-May-2018 - 00:00,33.21,91.29,29.3,146.98,712.17,51.17,0.0,180.73,1.17,0.0,30.44,0.01,0.1,11.98,59.0,1.56,15.3,9.4,7.79,0.55,0.44,25-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
25-May-2018 - 00:00,38.99,110.02,29.34,139.89,712.06,51.7,0.0,128.36,1.15,0.01,30.68,0.03,0.07,15.49,72.19,0.52,13.5,7.59,8.65,0.49,0.53,26-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
