from date,Temp,RH,VWS,WD,WS,SR,PM2.5,CO,CH4,NO2,NO,NOx,NH3,SO2,NMHC,to date,THC,BP,station
28-Mar-2018 - 00:00,30.02,28.26,-0.73,255.55,0.65,104.35,127.01,0.71,355.08,37.04,15.35,31.98,30.12,5.09,419.47,29-Mar-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
29-Mar-2018 - 00:00,30.18,27.01,-0.76,268.35,0.94,109.63,174.52,0.76,431.96,38.14,13.94,30.72,30.12,4.63,343.71,30-Mar-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
30-Mar-2018 - 00:00,29.33,30.94,-0.68,181.27,0.81,97.13,210.3,0.57,447.41,37.78,13.77,30.88,30.11,4.7,400.96,31-Mar-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
31-Mar-2018 - 00:00,27.96,40.42,-0.49,120.17,1.11,112.84,64.49,0.65,95.26,37.25,13.24,30.35,30.19,4.4,43.75,01-Apr-2018 - 00:00,120.07,,"Talkatora District Industries Center, Lucknow - CPCB"
01-Apr-2018 - 00:00,28.22,49.31,-0.31,102.85,0.64,98.14,76.43,0.75,1.52,37.66,13.29,30.46,30.19,5.07,0.85,02-Apr-2018 - 00:00,2.37,,"Talkatora District Industries Center, Lucknow - CPCB"
02-Apr-2018 - 00:00,29.85,43.25,-0.44,104.49,0.49,95.02,110.83,0.66,128.53,37.84,14.23,31.5,29.9,4.71,71.68,03-Apr-2018 - 00:00,200.21,,"Talkatora District Industries Center, Lucknow - CPCB"
03-Apr-2018 - 00:00,31.36,37.37,-0.55,110.1,0.37,93.3,116.47,0.56,270.75,37.48,13.94,30.99,30.05,4.86,149.38,04-Apr-2018 - 00:00,420.12,,"Talkatora District Industries Center, Lucknow - CPCB"
04-Apr-2018 - 00:00,32.01,36.45,-0.57,184.09,0.65,92.71,110.13,0.63,172.29,37.91,12.83,30.16,30.06,4.5,101.71,05-Apr-2018 - 00:00,274.0,,"Talkatora District Industries Center, Lucknow - CPCB"
05-Apr-2018 - 00:00,30.15,43.67,-0.43,123.48,1.09,94.07,71.91,0.65,125.12,36.7,13.14,30.03,30.22,4.3,94.58,06-Apr-2018 - 00:00,245.03,,"Talkatora District Industries Center, Lucknow - CPCB"
06-Apr-2018 - 00:00,29.54,53.62,-0.13,114.55,0.96,78.74,81.19,0.6,406.68,36.29,13.66,30.23,30.28,4.07,300.4,07-Apr-2018 - 00:00,925.23,,"Talkatora District Industries Center, Lucknow - CPCB"
07-Apr-2018 - 00:00,28.0,57.78,0.26,95.42,0.95,139.15,71.12,0.68,690.17,36.47,13.92,30.02,30.19,3.96,400.56,08-Apr-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
08-Apr-2018 - 00:00,29.08,52.34,0.15,113.28,0.66,133.59,58.63,0.59,553.93,36.12,13.55,30.04,30.24,4.02,364.99,09-Apr-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
09-Apr-2018 - 00:00,27.48,61.13,0.32,127.81,0.62,109.67,82.42,0.55,576.21,36.94,14.09,30.3,30.15,5.28,458.01,10-Apr-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
10-Apr-2018 - 00:00,27.88,59.91,0.3,132.48,0.37,141.49,73.53,0.68,492.44,36.36,13.82,30.09,30.2,20.36,436.17,11-Apr-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
11-Apr-2018 - 00:00,28.45,56.71,0.23,142.89,0.94,109.87,74.09,0.68,706.33,36.25,13.61,30.16,30.18,9.66,372.6,12-Apr-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
12-Apr-2018 - 00:00,27.96,52.12,0.14,276.25,1.04,131.56,38.32,0.6,572.28,37.2,13.57,29.79,30.15,5.67,166.67,13-Apr-2018 - 00:00,738.89,,"Talkatora District Industries Center, Lucknow - CPCB"
13-Apr-2018 - 00:00,30.56,34.34,-0.21,294.8,0.77,155.95,66.59,0.77,685.16,36.42,13.04,29.79,30.23,8.12,217.89,14-Apr-2018 - 00:00,903.01,,"Talkatora District Industries Center, Lucknow - CPCB"
14-Apr-2018 - 00:00,31.0,25.14,-0.4,301.61,1.04,160.62,63.05,0.61,588.14,36.66,13.08,29.94,30.17,6.45,220.62,15-Apr-2018 - 00:00,966.49,,"Talkatora District Industries Center, Lucknow - CPCB"
15-Apr-2018 - 00:00,32.4,26.02,-0.38,277.58,0.8,148.53,84.89,0.64,687.63,36.96,13.32,30.3,30.11,8.35,210.09,16-Apr-2018 - 00:00,897.7,,"Talkatora District Industries Center, Lucknow - CPCB"
16-Apr-2018 - 00:00,33.21,31.19,-0.28,251.81,0.76,135.8,110.6,0.61,432.93,37.69,12.25,29.69,30.03,6.58,268.93,17-Apr-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
17-Apr-2018 - 00:00,34.06,32.19,-0.26,222.42,0.49,130.75,153.98,0.54,491.16,36.57,13.73,30.44,30.23,6.71,333.37,18-Apr-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
18-Apr-2018 - 00:00,33.89,26.09,-0.38,299.44,1.09,147.35,116.47,0.5,505.26,37.22,12.37,29.69,30.14,6.4,218.62,19-Apr-2018 - 00:00,723.67,,"Talkatora District Industries Center, Lucknow - CPCB"
19-Apr-2018 - 00:00,33.55,24.13,-0.42,299.69,1.07,142.82,109.52,0.69,523.26,36.88,12.75,29.75,30.21,6.74,209.15,20-Apr-2018 - 00:00,894.39,,"Talkatora District Industries Center, Lucknow - CPCB"
20-Apr-2018 - 00:00,32.81,34.31,-0.21,123.25,0.55,129.87,149.63,0.56,435.81,36.57,13.56,30.3,30.22,6.96,609.49,21-Apr-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
21-Apr-2018 - 00:00,32.58,27.71,-0.35,204.87,0.96,138.02,106.72,0.56,430.15,36.73,12.95,29.9,30.27,7.27,201.74,22-Apr-2018 - 00:00,645.85,,"Talkatora District Industries Center, Lucknow - CPCB"
22-Apr-2018 - 00:00,31.33,16.77,-0.56,240.06,1.28,158.23,139.29,0.6,443.79,36.82,12.7,29.74,30.23,7.24,129.4,23-Apr-2018 - 00:00,573.17,,"Talkatora District Industries Center, Lucknow - CPCB"
23-Apr-2018 - 00:00,31.07,16.24,-0.58,310.47,1.11,161.31,90.51,0.58,430.91,37.04,12.82,29.94,30.12,6.42,167.41,24-Apr-2018 - 00:00,598.18,,"Talkatora District Industries Center, Lucknow - CPCB"
24-Apr-2018 - 00:00,31.83,19.46,-0.51,293.56,0.74,146.76,109.26,0.6,544.67,37.2,12.93,30.08,30.05,7.05,259.66,25-Apr-2018 - 00:00,811.36,,"Talkatora District Industries Center, Lucknow - CPCB"
25-Apr-2018 - 00:00,32.81,20.95,-0.48,245.23,0.57,143.08,165.44,0.68,513.2,37.25,13.15,30.32,30.06,7.56,288.27,26-Apr-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
26-Apr-2018 - 00:00,32.41,37.01,-0.16,128.85,0.88,123.74,165.24,0.56,239.48,50.95,20.99,29.73,26.81,6.99,372.12,27-Apr-2018 - 00:00,621.57,,"Talkatora District Industries Center, Lucknow - CPCB"
27-Apr-2018 - 00:00,31.52,47.79,0.06,112.49,1.09,121.02,119.81,0.56,220.02,67.88,29.81,28.93,22.99,6.82,110.03,28-Apr-2018 - 00:00,329.97,,"Talkatora District Industries Center, Lucknow - CPCB"
28-Apr-2018 - 00:00,31.89,49.0,0.08,119.83,0.84,120.24,89.95,0.57,220.03,68.13,30.1,29.03,23.08,7.96,110.03,29-Apr-2018 - 00:00,330.11,,"Talkatora District Industries Center, Lucknow - CPCB"
29-Apr-2018 - 00:00,32.22,51.24,0.12,119.09,0.91,123.69,111.49,0.59,219.92,67.53,29.8,29.11,23.02,7.15,109.98,30-Apr-2018 - 00:00,330.02,,"Talkatora District Industries Center, Lucknow - CPCB"
30-Apr-2018 - 00:00,28.61,62.38,0.35,125.69,1.17,111.96,76.05,0.58,220.02,67.87,30.0,29.1,23.06,6.8,110.02,01-May-2018 - 00:00,330.06,,"Talkatora District Industries Center, Lucknow - CPCB"
01-May-2018 - 00:00,28.25,67.66,0.45,120.57,1.07,111.58,43.06,0.58,220.04,67.45,30.03,28.84,22.97,7.46,110.01,02-May-2018 - 00:00,329.94,,"Talkatora District Industries Center, Lucknow - CPCB"
02-May-2018 - 00:00,30.9,60.87,0.32,105.55,0.96,126.8,98.64,0.54,220.0,67.33,29.92,29.19,22.97,7.56,110.04,03-May-2018 - 00:00,329.97,,"Talkatora District Industries Center, Lucknow - CPCB"
03-May-2018 - 00:00,28.22,62.38,0.35,132.44,1.24,135.75,49.24,0.56,220.05,67.63,29.95,28.86,23.0,6.98,109.96,04-May-2018 - 00:00,330.06,,"Talkatora District Industries Center, Lucknow - CPCB"
04-May-2018 - 00:00,27.48,63.29,0.37,107.85,0.79,55.32,33.56,0.71,219.98,67.68,30.02,28.86,23.05,7.69,110.01,05-May-2018 - 00:00,329.89,,"Talkatora District Industries Center, Lucknow - CPCB"
05-May-2018 - 00:00,32.66,56.57,0.23,138.95,0.75,124.33,102.16,0.64,219.95,67.79,30.1,29.03,23.0,6.36,110.01,06-May-2018 - 00:00,329.9,,"Talkatora District Industries Center, Lucknow - CPCB"
06-May-2018 - 00:00,34.39,49.75,0.1,127.82,0.65,109.94,106.85,0.61,220.05,67.66,29.89,28.94,22.94,6.41,110.03,07-May-2018 - 00:00,329.9,,"Talkatora District Industries Center, Lucknow - CPCB"
07-May-2018 - 00:00,35.45,38.03,-0.14,267.93,0.72,120.87,148.79,0.69,219.98,67.55,29.95,29.08,23.03,6.54,110.06,08-May-2018 - 00:00,330.0,,"Talkatora District Industries Center, Lucknow - CPCB"
08-May-2018 - 00:00,34.5,33.4,-0.23,246.88,0.84,122.42,245.12,0.58,219.96,67.9,29.98,29.11,23.05,7.39,109.97,09-May-2018 - 00:00,329.93,,"Talkatora District Industries Center, Lucknow - CPCB"
09-May-2018 - 00:00,33.17,30.05,-0.3,250.86,1.1,131.41,177.51,0.54,220.04,67.29,29.89,29.11,23.06,7.6,110.01,10-May-2018 - 00:00,329.91,,"Talkatora District Industries Center, Lucknow - CPCB"
10-May-2018 - 00:00,33.46,26.36,-0.37,306.12,0.95,137.9,120.04,0.67,220.04,68.15,30.0,28.92,23.06,6.5,110.0,11-May-2018 - 00:00,329.98,,"Talkatora District Industries Center, Lucknow - CPCB"
11-May-2018 - 00:00,34.38,30.32,-0.29,228.43,0.56,132.06,164.13,0.6,227.57,57.09,16.97,27.45,29.57,7.64,311.59,12-May-2018 - 00:00,592.62,,"Talkatora District Industries Center, Lucknow - CPCB"
12-May-2018 - 00:00,35.77,46.72,0.03,115.59,0.8,133.17,121.92,0.65,429.76,45.14,2.65,25.42,36.25,6.04,460.78,13-May-2018 - 00:00,898.07,,"Talkatora District Industries Center, Lucknow - CPCB"
13-May-2018 - 00:00,32.8,55.79,0.22,124.38,0.97,110.46,232.64,0.61,305.5,45.39,2.04,25.38,36.14,7.1,124.92,14-May-2018 - 00:00,428.71,,"Talkatora District Industries Center, Lucknow - CPCB"
14-May-2018 - 00:00,28.76,61.58,0.33,120.25,0.96,121.53,229.1,0.6,342.62,45.31,1.77,25.42,36.18,6.85,228.72,15-May-2018 - 00:00,571.2,,"Talkatora District Industries Center, Lucknow - CPCB"
15-May-2018 - 00:00,31.12,58.69,0.27,109.02,0.78,118.48,75.1,0.62,439.99,45.75,1.5,25.13,36.18,7.28,268.73,16-May-2018 - 00:00,719.18,,"Talkatora District Industries Center, Lucknow - CPCB"
16-May-2018 - 00:00,33.35,55.73,0.21,115.16,0.75,113.26,101.71,0.61,476.4,45.28,1.61,25.24,36.25,6.55,277.17,17-May-2018 - 00:00,753.56,,"Talkatora District Industries Center, Lucknow - CPCB"
17-May-2018 - 00:00,32.86,62.06,0.34,109.5,0.87,114.96,122.97,0.59,422.85,45.32,1.48,25.25,36.24,6.9,279.34,18-May-2018 - 00:00,703.01,,"Talkatora District Industries Center, Lucknow - CPCB"
18-May-2018 - 00:00,33.33,57.94,0.26,98.08,0.74,107.25,138.22,0.57,446.67,45.85,4.84,22.25,36.16,6.17,316.21,19-May-2018 - 00:00,976.08,,"Talkatora District Industries Center, Lucknow - CPCB"
19-May-2018 - 00:00,35.33,48.01,0.06,158.53,0.91,117.61,153.07,0.63,396.21,45.51,7.32,20.05,36.24,6.72,244.82,20-May-2018 - 00:00,641.02,,"Talkatora District Industries Center, Lucknow - CPCB"
20-May-2018 - 00:00,35.03,45.88,0.02,122.5,0.51,144.58,152.42,0.54,424.6,45.4,7.43,20.09,36.26,7.11,149.36,21-May-2018 - 00:00,573.96,,"Talkatora District Industries Center, Lucknow - CPCB"
21-May-2018 - 00:00,36.7,36.81,-0.16,227.13,0.61,127.07,297.43,0.6,96.61,45.58,7.37,20.07,36.25,6.26,266.29,22-May-2018 - 00:00,301.83,,"Talkatora District Industries Center, Lucknow - CPCB"
22-May-2018 - 00:00,36.55,39.38,-0.11,178.36,0.74,118.63,167.93,0.58,65.85,45.55,7.36,20.11,36.22,6.76,321.41,23-May-2018 - 00:00,250.18,,"Talkatora District Industries Center, Lucknow - CPCB"
23-May-2018 - 00:00,35.97,57.77,0.26,116.11,0.87,110.85,134.66,0.51,616.32,46.02,7.05,20.04,36.15,6.96,347.45,24-May-2018 - 00:00,947.39,999.87,"Talkatora District Industries Center, Lucknow - CPCB"
24-May-2018 - 00:00,35.75,54.43,0.19,121.71,1.0,108.35,327.01,0.6,584.4,45.75,7.17,20.0,36.23,6.43,352.59,25-May-2018 - 00:00,937.92,998.5,"Talkatora District Industries Center, Lucknow - CPCB"
25-May-2018 - 00:00,35.21,33.52,-0.23,226.6,0.68,131.23,178.41,0.75,647.0,45.58,7.48,20.23,36.2,6.88,372.84,26-May-2018 - 00:00,,999.29,"Talkatora District Industries Center, Lucknow - CPCB"
26-May-2018 - 00:00,37.73,19.0,-0.52,246.04,0.72,129.55,173.07,0.73,593.97,45.5,7.44,23.33,35.67,6.23,378.34,27-May-2018 - 00:00,,997.77,"Talkatora District Industries Center, Lucknow - CPCB"
27-May-2018 - 00:00,35.62,51.04,0.12,97.35,0.71,114.5,157.76,0.6,414.9,45.48,7.45,30.1,34.32,6.81,321.02,28-May-2018 - 00:00,756.18,997.63,"Talkatora District Industries Center, Lucknow - CPCB"
28-May-2018 - 00:00,35.37,54.97,0.2,118.9,0.79,112.72,132.86,0.5,497.35,45.77,7.64,30.13,34.2,6.99,366.42,29-May-2018 - 00:00,882.87,995.06,"Talkatora District Industries Center, Lucknow - CPCB"
29-May-2018 - 00:00,33.86,54.32,0.19,105.45,1.17,113.92,109.87,0.58,510.15,45.72,7.09,29.94,34.26,7.16,387.66,30-May-2018 - 00:00,897.82,996.27,"Talkatora District Industries Center, Lucknow - CPCB"
30-May-2018 - 00:00,31.32,57.77,0.26,99.55,0.78,69.41,81.03,0.63,397.16,45.42,7.49,30.1,34.3,6.56,431.85,31-May-2018 - 00:00,940.02,997.64,"Talkatora District Industries Center, Lucknow - CPCB"
31-May-2018 - 00:00,33.06,60.29,0.31,102.65,0.82,94.81,76.48,0.58,459.01,45.72,7.68,30.31,34.23,6.54,306.03,01-Jun-2018 - 00:00,905.77,,"Talkatora District Industries Center, Lucknow - CPCB"
01-Jun-2018 - 00:00,30.7,62.89,0.36,105.61,1.13,100.52,47.55,0.58,230.45,45.68,7.44,30.16,34.15,6.18,114.87,02-Jun-2018 - 00:00,345.37,,"Talkatora District Industries Center, Lucknow - CPCB"
02-Jun-2018 - 00:00,29.89,70.36,0.51,100.18,0.95,91.74,57.3,0.6,220.02,45.48,7.65,30.26,34.19,5.36,110.03,03-Jun-2018 - 00:00,330.06,,"Talkatora District Industries Center, Lucknow - CPCB"
03-Jun-2018 - 00:00,33.54,59.6,0.29,90.02,0.65,103.64,137.89,0.54,220.03,45.5,7.4,30.12,34.28,6.91,109.98,04-Jun-2018 - 00:00,330.02,998.57,"Talkatora District Industries Center, Lucknow - CPCB"
04-Jun-2018 - 00:00,34.82,54.18,0.18,97.47,0.86,99.91,175.97,0.62,219.97,45.62,7.16,29.98,34.3,5.75,109.97,05-Jun-2018 - 00:00,329.91,998.01,"Talkatora District Industries Center, Lucknow - CPCB"
05-Jun-2018 - 00:00,35.6,55.19,0.2,98.78,0.89,98.5,129.11,0.63,220.01,45.99,7.43,30.34,33.98,6.55,109.97,06-Jun-2018 - 00:00,329.94,,"Talkatora District Industries Center, Lucknow - CPCB"
06-Jun-2018 - 00:00,33.13,62.59,0.35,102.74,0.83,43.43,83.8,0.56,220.02,46.32,6.65,29.95,33.96,4.52,110.11,07-Jun-2018 - 00:00,329.86,,"Talkatora District Industries Center, Lucknow - CPCB"
07-Jun-2018 - 00:00,38.06,46.87,0.04,130.84,0.71,188.2,137.05,0.81,220.0,38.15,10.36,28.58,38.07,5.62,110.0,08-Jun-2018 - 00:00,329.83,996.67,"Talkatora District Industries Center, Lucknow - CPCB"
08-Jun-2018 - 00:00,32.32,79.54,0.69,42.18,0.48,161.2,90.04,0.64,219.7,22.52,6.22,16.96,29.8,4.73,110.4,09-Jun-2018 - 00:00,329.3,993.2,"Talkatora District Industries Center, Lucknow - CPCB"
09-Jun-2018 - 00:00,35.57,59.04,0.28,73.85,0.41,102.66,71.8,0.71,219.88,32.13,8.08,23.55,35.34,5.63,110.12,10-Jun-2018 - 00:00,329.68,990.78,"Talkatora District Industries Center, Lucknow - CPCB"
10-Jun-2018 - 00:00,3.01,5.79,0.03,151.29,0.68,7.51,3.34,0.07,20.02,2.8,1.1,2.37,3.31,0.61,10.03,11-Jun-2018 - 00:00,30.03,89.98,"Talkatora District Industries Center, Lucknow - CPCB"
11-Jun-2018 - 00:00,38.3,46.2,0.02,298.12,0.94,110.17,71.76,0.62,220.02,32.97,13.21,28.11,40.54,6.44,110.08,12-Jun-2018 - 00:00,330.05,986.61,"Talkatora District Industries Center, Lucknow - CPCB"
12-Jun-2018 - 00:00,37.93,44.01,-0.02,277.92,1.24,115.39,77.35,0.57,220.04,33.41,13.31,28.37,40.91,7.39,109.97,13-Jun-2018 - 00:00,329.99,986.34,"Talkatora District Industries Center, Lucknow - CPCB"
13-Jun-2018 - 00:00,35.47,48.23,0.06,229.37,1.59,92.39,94.33,0.6,216.76,33.19,12.9,27.98,41.01,6.33,113.0,14-Jun-2018 - 00:00,329.35,986.8,"Talkatora District Industries Center, Lucknow - CPCB"
14-Jun-2018 - 00:00,34.94,49.64,0.09,240.28,0.84,77.51,90.02,0.63,220.03,33.16,13.0,28.01,41.02,5.83,110.03,15-Jun-2018 - 00:00,330.03,989.66,"Talkatora District Industries Center, Lucknow - CPCB"
15-Jun-2018 - 00:00,34.81,52.13,0.14,188.68,0.93,86.58,104.56,0.6,216.42,33.4,12.73,27.5,40.92,8.99,109.64,16-Jun-2018 - 00:00,326.15,992.91,"Talkatora District Industries Center, Lucknow - CPCB"
16-Jun-2018 - 00:00,35.96,49.52,0.09,217.25,1.28,98.9,124.69,0.61,219.91,32.48,13.62,28.17,41.2,10.46,109.98,17-Jun-2018 - 00:00,330.08,994.63,"Talkatora District Industries Center, Lucknow - CPCB"
17-Jun-2018 - 00:00,36.17,46.08,0.02,229.51,0.91,91.97,144.02,0.62,220.04,32.74,13.54,28.15,41.15,8.92,109.99,18-Jun-2018 - 00:00,330.05,994.98,"Talkatora District Industries Center, Lucknow - CPCB"
18-Jun-2018 - 00:00,33.99,54.63,0.19,257.64,0.91,107.23,266.52,0.63,219.98,32.55,14.18,28.26,41.19,10.09,110.0,19-Jun-2018 - 00:00,330.12,995.48,"Talkatora District Industries Center, Lucknow - CPCB"
19-Jun-2018 - 00:00,34.4,52.69,0.15,283.1,0.74,124.62,109.97,0.6,219.97,32.75,13.13,27.91,41.19,8.52,110.01,20-Jun-2018 - 00:00,330.15,996.05,"Talkatora District Industries Center, Lucknow - CPCB"
20-Jun-2018 - 00:00,36.6,42.59,-0.05,221.61,0.53,120.43,133.63,0.59,194.85,32.85,13.18,28.01,41.18,12.82,97.44,21-Jun-2018 - 00:00,292.2,997.0,"Talkatora District Industries Center, Lucknow - CPCB"
21-Jun-2018 - 00:00,37.7,43.15,-0.04,154.57,0.46,115.87,151.48,0.6,375.23,32.39,13.63,28.08,41.24,14.84,187.04,22-Jun-2018 - 00:00,622.29,996.32,"Talkatora District Industries Center, Lucknow - CPCB"
22-Jun-2018 - 00:00,37.64,48.74,0.07,140.39,0.67,113.31,108.6,0.63,98.06,32.73,14.05,28.19,41.12,13.76,49.06,23-Jun-2018 - 00:00,147.02,995.13,"Talkatora District Industries Center, Lucknow - CPCB"
23-Jun-2018 - 00:00,36.71,51.19,0.12,191.0,0.79,117.78,344.8,0.62,223.57,32.16,16.86,30.18,39.28,11.09,146.12,24-Jun-2018 - 00:00,370.14,995.26,"Talkatora District Industries Center, Lucknow - CPCB"
24-Jun-2018 - 00:00,35.98,53.88,0.18,236.27,0.93,115.59,68.38,0.59,230.13,33.38,19.47,33.26,36.65,10.68,210.08,25-Jun-2018 - 00:00,439.65,993.7,"Talkatora District Industries Center, Lucknow - CPCB"
25-Jun-2018 - 00:00,37.93,43.09,-0.04,265.23,0.97,119.17,83.93,0.62,230.06,32.98,19.64,33.1,36.74,9.77,209.87,26-Jun-2018 - 00:00,440.14,990.89,"Talkatora District Industries Center, Lucknow - CPCB"
26-Jun-2018 - 00:00,33.78,60.26,0.31,210.72,0.77,93.13,125.71,0.62,229.74,32.54,20.65,33.83,36.74,11.78,209.79,27-Jun-2018 - 00:00,439.98,992.55,"Talkatora District Industries Center, Lucknow - CPCB"
27-Jun-2018 - 00:00,31.6,72.66,0.55,98.66,0.96,99.93,82.55,0.61,229.91,32.76,20.43,33.7,36.72,15.07,210.12,28-Jun-2018 - 00:00,439.5,995.62,"Talkatora District Industries Center, Lucknow - CPCB"
28-Jun-2018 - 00:00,30.43,79.67,0.69,102.13,1.15,108.68,121.4,0.6,229.78,33.01,19.51,33.09,36.79,11.96,209.88,29-Jun-2018 - 00:00,440.65,997.34,"Talkatora District Industries Center, Lucknow - CPCB"
29-Jun-2018 - 00:00,31.78,72.85,0.56,119.88,1.17,93.29,51.4,0.57,230.02,32.74,20.02,33.43,36.81,10.58,210.18,30-Jun-2018 - 00:00,440.19,998.1,"Talkatora District Industries Center, Lucknow - CPCB"
30-Jun-2018 - 00:00,31.91,74.73,0.59,195.24,0.77,101.86,48.47,0.6,229.55,32.51,20.75,33.86,36.87,11.8,209.81,01-Jul-2018 - 00:00,439.86,998.08,"Talkatora District Industries Center, Lucknow - CPCB"
01-Jul-2018 - 00:00,30.72,83.59,0.77,249.97,0.86,61.54,41.07,0.58,230.18,32.92,20.31,33.66,36.68,9.62,210.09,02-Jul-2018 - 00:00,440.5,996.81,"Talkatora District Industries Center, Lucknow - CPCB"
02-Jul-2018 - 00:00,30.6,78.95,0.68,243.79,0.82,59.55,51.68,0.57,230.58,32.69,20.21,33.54,36.72,10.94,210.0,03-Jul-2018 - 00:00,440.24,995.04,"Talkatora District Industries Center, Lucknow - CPCB"
03-Jul-2018 - 00:00,31.52,76.04,0.62,188.04,1.03,120.77,49.4,0.62,230.45,40.14,20.37,37.4,37.74,14.43,210.0,04-Jul-2018 - 00:00,440.33,994.58,"Talkatora District Industries Center, Lucknow - CPCB"
04-Jul-2018 - 00:00,31.86,69.62,0.49,285.73,1.34,124.65,21.95,0.59,229.84,47.38,20.52,41.61,38.87,8.63,210.1,05-Jul-2018 - 00:00,439.88,994.18,"Talkatora District Industries Center, Lucknow - CPCB"
05-Jul-2018 - 00:00,33.63,64.65,0.39,282.26,1.14,123.94,38.05,0.61,230.31,47.37,20.48,41.58,38.9,8.93,210.13,06-Jul-2018 - 00:00,439.96,995.14,"Talkatora District Industries Center, Lucknow - CPCB"
06-Jul-2018 - 00:00,33.93,62.26,0.34,218.72,0.69,100.86,61.25,0.61,229.57,47.45,20.94,41.7,38.79,12.61,210.12,07-Jul-2018 - 00:00,440.0,995.13,"Talkatora District Industries Center, Lucknow - CPCB"
07-Jul-2018 - 00:00,35.65,58.6,0.27,128.36,0.53,99.22,106.57,0.61,229.75,42.41,18.97,37.73,38.87,20.49,210.08,08-Jul-2018 - 00:00,439.75,994.09,"Talkatora District Industries Center, Lucknow - CPCB"
08-Jul-2018 - 00:00,34.41,68.82,0.48,106.7,0.54,94.47,64.37,0.54,230.17,38.31,20.1,35.42,38.7,16.67,209.86,09-Jul-2018 - 00:00,439.71,993.4,"Talkatora District Industries Center, Lucknow - CPCB"
09-Jul-2018 - 00:00,33.59,72.62,0.55,97.06,0.79,85.11,52.4,0.6,230.9,40.4,17.35,32.42,33.71,12.59,210.26,10-Jul-2018 - 00:00,439.94,994.15,"Talkatora District Industries Center, Lucknow - CPCB"
10-Jul-2018 - 00:00,34.05,69.83,0.5,99.45,0.82,101.73,50.03,0.59,229.62,38.87,12.33,30.2,26.72,14.41,210.1,11-Jul-2018 - 00:00,439.79,994.71,"Talkatora District Industries Center, Lucknow - CPCB"
11-Jul-2018 - 00:00,31.87,80.1,0.7,135.3,0.7,85.79,41.64,0.57,229.94,38.47,12.57,30.52,25.56,14.93,209.82,12-Jul-2018 - 00:00,440.04,993.91,"Talkatora District Industries Center, Lucknow - CPCB"
12-Jul-2018 - 00:00,28.32,93.1,0.96,100.71,0.47,54.4,43.81,0.57,230.11,39.19,13.41,30.91,22.96,20.21,209.8,13-Jul-2018 - 00:00,440.08,993.67,"Talkatora District Industries Center, Lucknow - CPCB"
13-Jul-2018 - 00:00,29.13,90.25,0.91,109.05,0.51,76.54,42.51,0.6,229.65,40.59,11.05,30.4,21.2,13.46,210.03,14-Jul-2018 - 00:00,439.85,993.91,"Talkatora District Industries Center, Lucknow - CPCB"
14-Jul-2018 - 00:00,29.03,93.95,0.98,112.81,0.36,70.84,53.14,0.64,229.05,40.0,11.64,30.57,21.08,16.18,210.14,15-Jul-2018 - 00:00,439.74,993.23,"Talkatora District Industries Center, Lucknow - CPCB"
15-Jul-2018 - 00:00,31.88,81.33,0.73,79.41,0.57,116.33,51.79,0.57,229.94,39.61,12.22,30.38,21.24,11.15,209.96,16-Jul-2018 - 00:00,439.54,993.07,"Talkatora District Industries Center, Lucknow - CPCB"
16-Jul-2018 - 00:00,33.41,72.63,0.55,99.17,0.75,128.48,36.81,0.6,229.63,39.7,11.81,30.56,23.0,11.44,210.24,17-Jul-2018 - 00:00,439.83,993.8,"Talkatora District Industries Center, Lucknow - CPCB"
17-Jul-2018 - 00:00,33.66,68.14,0.46,91.61,0.79,123.75,35.61,0.61,229.15,39.6,11.85,30.46,24.28,12.27,209.99,18-Jul-2018 - 00:00,440.15,993.94,"Talkatora District Industries Center, Lucknow - CPCB"
18-Jul-2018 - 00:00,33.2,71.83,0.54,88.8,0.71,109.03,41.8,0.57,230.13,39.27,11.93,30.32,27.39,16.27,209.96,19-Jul-2018 - 00:00,439.67,994.53,"Talkatora District Industries Center, Lucknow - CPCB"
19-Jul-2018 - 00:00,33.27,73.14,0.56,111.81,0.72,101.93,55.96,0.57,229.74,38.73,12.72,30.77,29.49,17.43,210.08,20-Jul-2018 - 00:00,440.19,994.32,"Talkatora District Industries Center, Lucknow - CPCB"
20-Jul-2018 - 00:00,31.91,79.38,0.69,128.69,0.48,119.91,41.17,0.61,230.16,38.82,12.06,30.26,29.58,12.35,210.06,21-Jul-2018 - 00:00,440.02,993.49,"Talkatora District Industries Center, Lucknow - CPCB"
