from date,PM2.5,PM10,RH,VWS,BP,SR,AT,WS,WD,CO,SO2,Ozone,NO2,NO,NOx,Benzene,Xylene,Toluene,to date,station
07-May-2018 - 00:00,94.91,285.47,34.12,-0.41,747.85,148.21,36.58,1.92,134.92,1.38,27.06,45.1,85.68,19.54,42.11,2.24,5.06,8.03,08-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
08-May-2018 - 00:00,97.24,255.58,29.24,-0.39,747.71,151.93,37.9,2.18,159.65,1.39,24.92,36.0,95.22,17.56,39.37,2.77,1.43,9.81,09-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
09-May-2018 - 00:00,58.68,237.27,28.48,-0.4,747.92,151.78,33.44,3.12,112.91,1.19,24.45,42.07,70.32,9.22,26.54,1.74,3.85,5.51,10-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
10-May-2018 - 00:00,88.3,244.74,29.31,-0.54,747.8,119.22,32.61,2.8,142.81,1.48,29.02,43.37,83.19,10.92,31.41,2.44,6.23,7.54,11-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
11-May-2018 - 00:00,103.43,252.89,29.88,-0.64,747.89,102.28,33.61,2.58,179.21,1.21,27.9,48.27,96.84,18.72,40.61,4.13,6.44,13.64,12-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
12-May-2018 - 00:00,85.02,187.6,49.23,-0.48,747.85,141.96,30.13,4.42,197.58,1.13,23.5,54.16,50.67,7.26,19.54,3.12,6.23,6.34,13-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
13-May-2018 - 00:00,69.09,179.21,51.3,-0.43,747.59,141.5,30.41,4.16,192.06,1.02,25.52,56.23,41.72,6.61,16.52,1.97,2.15,4.31,14-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
14-May-2018 - 00:00,49.23,75.71,61.89,-0.4,747.86,150.6,21.45,3.9,187.42,0.67,18.72,59.55,36.42,10.67,26.39,0.81,1.97,4.81,15-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
15-May-2018 - 00:00,67.89,113.89,59.31,-0.4,751.77,142.55,25.05,2.76,169.45,0.84,18.19,51.35,38.72,7.57,16.3,1.32,2.08,2.92,16-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
16-May-2018 - 00:00,70.38,146.54,55.33,-0.4,748.1,142.99,28.66,2.88,193.04,0.84,20.77,54.65,35.03,7.23,15.01,1.61,3.52,3.73,17-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
17-May-2018 - 00:00,77.35,156.94,55.27,-0.34,748.06,149.65,28.87,3.58,189.48,0.75,22.16,56.84,31.67,6.78,13.74,1.49,0.22,2.27,18-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
18-May-2018 - 00:00,86.34,174.68,50.3,-0.3,748.0,136.24,30.52,3.27,187.15,0.83,25.92,57.34,33.48,6.47,14.04,2.0,13.16,6.5,19-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
19-May-2018 - 00:00,95.0,195.2,46.61,-0.3,748.02,145.35,33.93,2.64,191.2,0.85,22.55,47.04,33.64,6.7,14.24,2.45,13.92,5.01,20-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
20-May-2018 - 00:00,75.72,197.86,47.92,-0.3,748.06,139.98,33.36,3.09,184.12,0.77,21.62,49.41,32.38,7.08,14.13,2.1,9.64,4.55,21-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
21-May-2018 - 00:00,110.06,244.41,43.3,-0.3,748.03,142.93,35.58,2.3,166.83,1.11,22.83,48.87,43.06,7.35,17.36,3.58,3.58,12.03,22-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
22-May-2018 - 00:00,96.84,217.94,45.92,-0.3,747.98,149.59,36.83,3.08,183.79,0.85,20.85,63.61,34.39,10.58,17.08,3.19,4.18,8.05,23-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
23-May-2018 - 00:00,83.23,180.83,53.96,-0.3,747.98,141.1,34.39,3.76,191.92,0.79,24.07,56.2,34.66,10.98,20.21,2.12,6.19,5.86,24-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
24-May-2018 - 00:00,86.9,174.65,51.77,-0.3,747.99,135.23,34.72,3.3,196.32,0.79,23.37,49.27,38.32,7.15,15.9,3.76,1.89,3.65,25-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
25-May-2018 - 00:00,82.84,256.57,35.67,-0.4,747.99,150.14,36.28,2.8,155.28,0.72,25.21,48.42,62.56,9.89,24.76,3.31,1.8,10.03,26-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
26-May-2018 - 00:00,121.66,302.75,26.89,-0.7,747.96,153.74,38.38,1.47,169.77,1.46,24.78,41.45,97.68,20.51,42.07,6.23,3.54,22.91,27-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
27-May-2018 - 00:00,113.81,243.06,43.26,-0.7,748.0,144.9,36.39,2.57,192.61,0.89,27.31,25.62,54.51,10.47,23.32,4.47,2.14,12.46,28-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
28-May-2018 - 00:00,85.35,209.95,42.23,-0.59,748.0,154.38,37.08,3.53,184.72,0.7,33.17,24.73,42.47,6.64,16.76,2.4,9.67,5.47,29-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
29-May-2018 - 00:00,92.89,173.88,50.06,-0.4,747.85,155.35,30.24,4.98,217.39,0.54,17.53,81.69,26.99,6.17,15.79,1.76,20.16,4.98,30-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
30-May-2018 - 00:00,57.49,186.7,52.38,-0.34,747.72,164.46,31.42,4.24,224.05,0.57,22.16,82.79,21.74,7.96,15.54,2.65,15.36,8.82,31-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
31-May-2018 - 00:00,78.21,198.57,50.84,-0.28,747.5,120.1,31.37,3.21,214.39,0.58,22.07,79.65,24.23,4.14,9.75,1.98,5.88,3.85,01-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
01-Jun-2018 - 00:00,61.11,152.6,56.8,-0.33,784.26,171.18,27.24,4.15,222.56,0.65,20.57,88.4,20.28,4.37,8.81,1.65,0.42,1.83,02-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
02-Jun-2018 - 00:00,71.74,138.21,58.3,-0.39,745.2,122.57,28.08,3.7,220.12,0.58,17.76,67.17,21.83,5.38,9.93,1.41,1.01,1.82,03-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
03-Jun-2018 - 00:00,81.47,157.99,51.04,-0.39,747.71,128.51,30.34,2.98,239.73,0.59,24.58,80.47,27.53,5.53,11.69,1.6,4.18,3.82,04-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
04-Jun-2018 - 00:00,82.36,162.26,51.9,-0.39,748.16,153.91,31.69,4.41,236.42,0.59,20.0,90.93,18.95,5.2,8.98,1.38,4.15,2.89,05-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
05-Jun-2018 - 00:00,80.21,160.62,49.82,-0.38,745.96,152.98,32.96,4.27,237.28,0.6,22.08,90.94,18.1,4.83,8.49,1.8,7.55,4.87,06-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
06-Jun-2018 - 00:00,93.66,169.8,47.93,-0.39,745.15,160.72,34.26,2.3,227.59,0.79,27.68,88.6,35.53,5.57,14.03,2.05,2.6,6.1,07-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
07-Jun-2018 - 00:00,106.54,183.8,47.78,-0.38,748.1,160.55,34.48,2.53,217.68,0.73,38.71,90.11,34.34,5.71,13.78,2.0,1.97,6.51,08-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
08-Jun-2018 - 00:00,80.59,164.55,61.35,-0.4,750.86,129.97,27.5,2.96,233.99,0.72,23.93,71.32,26.51,5.5,11.37,1.81,4.53,4.61,09-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
09-Jun-2018 - 00:00,71.35,97.79,57.58,-0.39,752.54,161.24,29.36,2.73,226.26,0.72,20.32,78.52,28.42,6.07,12.31,1.45,2.57,3.46,10-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
10-Jun-2018 - 00:00,84.05,145.22,57.83,-0.45,752.85,140.28,29.11,1.92,171.84,0.78,25.93,50.39,44.44,7.01,17.57,1.94,2.94,4.81,11-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
11-Jun-2018 - 00:00,73.82,136.55,52.85,-0.48,754.0,148.27,32.31,2.05,144.09,0.93,21.22,10.48,49.82,6.46,18.76,1.66,6.32,6.91,12-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
12-Jun-2018 - 00:00,93.38,260.65,42.98,-0.47,755.12,158.52,36.84,2.7,155.46,0.91,25.4,47.72,55.6,7.21,20.88,2.31,10.64,10.77,13-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
13-Jun-2018 - 00:00,80.45,212.94,53.58,-0.48,755.12,88.35,28.92,1.72,156.86,1.34,18.48,43.43,44.45,8.76,18.76,2.01,0.07,8.19,14-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
14-Jun-2018 - 00:00,102.3,346.62,43.9,-0.46,752.86,154.1,33.14,2.39,171.56,1.33,23.4,33.48,60.04,9.15,24.03,2.3,2.97,7.69,15-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
15-Jun-2018 - 00:00,83.92,307.66,38.32,-0.46,750.49,170.67,34.9,2.51,162.57,1.17,23.43,38.97,51.67,8.8,20.88,2.2,1.12,7.81,16-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
16-Jun-2018 - 00:00,75.29,255.45,38.12,-0.52,749.15,176.19,36.25,2.3,150.75,1.16,25.86,37.19,52.02,10.89,22.39,2.13,2.04,7.94,17-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
17-Jun-2018 - 00:00,52.96,200.21,37.44,-0.52,748.65,173.67,36.0,2.34,151.38,0.64,22.66,47.3,37.61,7.46,15.9,0.99,0.0,2.98,18-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
18-Jun-2018 - 00:00,46.68,142.89,38.72,-0.51,748.97,167.33,35.4,1.82,146.43,1.04,22.64,50.36,52.46,9.89,21.83,1.13,0.02,3.57,19-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
19-Jun-2018 - 00:00,64.83,193.09,40.25,-0.45,748.11,156.93,36.24,1.94,139.2,1.04,24.78,64.01,47.09,7.49,18.56,1.48,0.0,4.41,20-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
20-Jun-2018 - 00:00,71.72,216.32,36.41,-0.44,747.23,172.56,38.29,2.17,139.86,1.67,24.48,72.7,52.48,6.64,19.24,1.76,1.98,6.9,21-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
21-Jun-2018 - 00:00,73.15,204.26,40.64,-0.4,747.7,171.83,37.17,2.49,213.94,1.16,24.83,85.23,31.71,5.3,12.47,1.44,1.0,4.24,22-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
22-Jun-2018 - 00:00,59.39,274.13,39.77,-0.45,748.31,169.21,38.77,1.99,185.71,2.37,25.32,77.42,45.47,6.54,17.2,1.6,5.8,4.85,23-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
23-Jun-2018 - 00:00,46.08,231.88,48.47,-0.41,748.15,149.02,33.36,2.85,189.73,1.34,21.79,93.61,29.4,5.53,11.98,1.18,0.98,2.13,24-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
24-Jun-2018 - 00:00,54.21,289.67,44.71,-0.48,749.15,122.97,36.64,1.41,173.66,1.74,23.24,59.82,52.44,7.07,19.5,1.28,2.13,3.78,25-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
25-Jun-2018 - 00:00,48.75,263.55,43.45,-0.49,751.05,92.58,36.1,2.65,151.3,1.67,24.22,74.96,33.07,5.77,13.17,2.35,3.08,4.56,26-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
26-Jun-2018 - 00:00,50.8,164.39,62.36,-0.4,750.94,72.15,26.85,2.74,183.66,0.98,19.89,48.66,26.7,6.13,11.61,1.09,4.24,2.04,27-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
27-Jun-2018 - 00:00,45.72,66.94,78.59,-0.4,750.33,83.84,20.73,2.31,230.03,2.63,18.93,32.15,18.8,6.56,9.39,0.7,3.19,4.06,28-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
28-Jun-2018 - 00:00,32.06,96.28,74.64,-0.39,749.15,115.33,22.22,4.11,244.55,0.82,19.39,38.35,20.58,6.88,9.88,0.8,0.0,3.05,29-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
29-Jun-2018 - 00:00,48.74,91.47,67.78,-0.39,747.62,146.34,25.1,2.27,232.27,1.19,18.2,42.43,29.62,7.53,13.26,1.11,0.0,6.4,30-Jun-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
30-Jun-2018 - 00:00,59.81,112.99,62.6,-0.46,747.25,138.05,28.64,1.18,165.98,1.25,14.15,40.15,42.24,8.13,17.32,2.41,1.42,6.77,01-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
01-Jul-2018 - 00:00,54.5,126.02,67.79,-0.47,748.05,92.36,25.34,1.58,148.77,1.43,18.88,24.78,39.62,9.67,17.6,1.49,0.0,4.96,02-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
02-Jul-2018 - 00:00,46.19,97.82,69.54,-0.43,749.51,73.21,23.65,2.13,172.28,1.94,17.57,26.62,41.16,9.39,17.85,1.66,0.0,4.83,03-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
03-Jul-2018 - 00:00,34.14,89.25,67.86,-0.44,750.26,87.47,24.1,2.68,154.24,1.55,20.4,34.81,29.32,8.53,13.94,1.37,0.98,3.98,04-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
04-Jul-2018 - 00:00,23.95,66.74,67.61,-0.49,750.48,145.56,25.12,2.31,150.56,1.57,22.12,32.05,26.38,8.16,12.85,1.1,0.0,3.46,05-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
05-Jul-2018 - 00:00,34.49,81.88,59.91,-0.49,749.03,163.29,29.42,1.16,168.25,2.0,22.56,35.98,39.67,8.93,17.13,1.15,0.0,4.04,06-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
06-Jul-2018 - 00:00,42.29,120.58,58.19,-0.46,749.47,152.16,30.45,2.11,170.93,1.43,19.4,49.82,28.11,7.21,12.72,1.09,0.0,2.89,07-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
07-Jul-2018 - 00:00,62.67,146.5,55.23,-0.42,750.39,153.49,32.64,1.81,203.08,0.89,19.96,62.46,34.43,6.65,14.13,1.65,0.0,4.42,08-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
08-Jul-2018 - 00:00,47.77,103.98,56.78,-0.41,751.39,145.76,32.42,2.96,240.02,0.03,16.77,54.01,15.72,6.48,8.73,0.88,0.0,2.89,09-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
09-Jul-2018 - 00:00,30.84,77.21,58.05,-0.41,750.94,163.68,30.68,3.99,239.21,0.96,19.49,47.49,13.57,6.02,7.81,0.5,1.01,7.54,10-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
10-Jul-2018 - 00:00,34.76,74.4,60.67,-0.41,750.46,143.8,29.48,3.8,240.55,0.06,19.0,49.51,14.68,6.33,8.33,0.6,0.09,0.71,11-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
11-Jul-2018 - 00:00,37.6,65.05,62.52,-0.41,751.47,165.79,29.4,2.87,230.46,0.0,18.96,33.66,14.12,6.32,8.17,0.6,2.07,2.45,12-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
12-Jul-2018 - 00:00,35.25,59.3,78.47,-0.43,752.58,46.41,22.7,1.4,180.73,0.34,19.0,33.94,25.61,7.68,12.33,1.01,0.0,2.61,13-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
13-Jul-2018 - 00:00,32.34,60.96,72.04,-0.41,752.22,136.07,25.87,2.83,182.35,0.64,18.86,25.82,21.21,15.22,23.57,0.78,0.0,1.46,14-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
14-Jul-2018 - 00:00,30.6,64.54,69.13,-0.42,752.22,138.72,26.66,2.16,196.1,0.42,19.16,,35.94,58.01,58.9,0.84,0.0,1.97,15-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
15-Jul-2018 - 00:00,33.95,63.32,63.43,-0.41,752.18,137.73,28.39,3.01,228.32,0.36,19.06,,45.23,5.34,15.89,0.5,0.0,1.61,16-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
16-Jul-2018 - 00:00,28.69,76.15,62.76,-0.41,752.17,129.18,28.25,4.63,227.97,0.35,14.73,,41.77,22.21,35.87,0.53,2.16,6.8,17-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
17-Jul-2018 - 00:00,27.36,73.32,64.39,-0.41,752.4,107.43,26.94,4.5,231.14,0.32,14.95,,40.26,9.91,26.84,0.39,0.0,0.54,18-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
18-Jul-2018 - 00:00,34.36,71.56,65.86,-0.39,751.62,94.14,26.75,3.55,241.38,0.42,13.14,,43.92,7.69,17.51,0.65,2.16,2.44,19-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
19-Jul-2018 - 00:00,40.67,75.46,66.69,-0.43,750.9,126.21,28.34,1.92,199.5,0.53,13.56,,49.9,9.46,20.36,0.99,0.0,3.31,20-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
20-Jul-2018 - 00:00,33.33,124.55,68.9,-0.44,751.29,165.86,28.6,1.31,160.46,0.52,12.43,,50.32,9.39,20.29,0.95,0.0,5.03,21-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
21-Jul-2018 - 00:00,21.29,51.51,84.04,-0.41,751.07,50.46,17.82,2.67,165.76,0.46,13.62,,42.53,10.22,18.79,0.81,0.07,2.62,22-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
22-Jul-2018 - 00:00,23.07,75.77,78.92,-0.4,752.07,138.82,21.71,2.6,205.53,0.37,14.43,,37.99,15.09,20.72,0.66,0.0,2.55,23-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
23-Jul-2018 - 00:00,22.96,38.67,85.31,-0.4,753.62,57.17,19.04,3.71,230.89,0.41,11.68,,32.65,11.35,16.74,0.55,0.0,1.83,24-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
24-Jul-2018 - 00:00,18.72,53.03,83.36,-0.36,751.21,65.72,19.51,2.11,217.07,0.51,14.88,,40.24,16.82,22.5,0.94,0.0,3.32,25-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
25-Jul-2018 - 00:00,30.26,85.97,83.66,-0.37,751.18,55.06,19.28,1.62,201.7,0.48,13.06,,39.89,33.36,35.71,1.08,0.0,4.33,26-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
26-Jul-2018 - 00:00,22.79,54.99,86.62,-0.43,750.43,62.46,17.99,0.88,187.96,0.5,14.18,,40.69,18.37,23.66,1.14,1.1,4.31,27-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
27-Jul-2018 - 00:00,68.59,114.73,81.23,-0.52,749.41,79.91,19.01,0.66,162.99,0.67,16.08,,41.29,14.46,21.23,0.94,1.11,4.25,28-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
28-Jul-2018 - 00:00,63.67,134.69,79.03,-0.5,749.18,98.69,20.96,0.76,156.81,0.58,14.1,,43.6,17.08,23.62,1.15,1.12,4.49,29-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
29-Jul-2018 - 00:00,67.7,91.9,86.67,-0.49,750.9,19.3,18.44,1.03,131.17,0.46,14.55,,37.59,20.18,23.99,1.22,0.0,4.02,30-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
30-Jul-2018 - 00:00,13.29,38.32,81.06,-0.57,751.53,122.09,19.06,0.97,163.97,0.69,14.44,16.7,42.94,13.08,16.91,0.96,0.0,2.98,31-Jul-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
31-Jul-2018 - 00:00,23.23,51.28,83.27,-0.56,752.04,65.84,16.58,0.81,154.32,0.53,13.76,25.38,56.26,13.62,24.93,1.19,0.0,6.68,01-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
01-Aug-2018 - 00:00,35.42,70.28,86.74,-0.49,752.13,45.59,16.23,0.67,157.23,0.47,12.8,22.88,49.84,18.06,26.04,1.63,1.49,3.9,02-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
02-Aug-2018 - 00:00,68.34,122.94,85.69,-0.45,749.69,56.34,17.27,1.6,136.61,1.11,13.85,17.66,41.03,23.13,26.6,1.68,1.68,5.61,03-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
03-Aug-2018 - 00:00,44.33,80.02,87.39,-0.48,749.18,37.16,15.42,2.1,139.75,0.79,15.33,24.07,46.92,18.99,25.82,1.32,2.29,6.5,04-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
04-Aug-2018 - 00:00,40.67,190.0,70.33,-0.57,749.67,100.0,25.3,1.17,196.33,0.72,25.76,45.28,73.57,2.58,22.37,0.8,0.0,3.02,05-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
05-Aug-2018 - 00:00,77.6,244.48,77.92,-0.43,748.15,116.45,21.48,1.92,142.87,0.58,11.98,34.8,46.88,3.29,15.33,1.15,1.74,5.15,06-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
06-Aug-2018 - 00:00,70.87,190.91,81.11,-0.41,749.71,83.19,20.42,0.9,161.25,0.66,13.48,29.91,43.18,2.98,14.03,2.72,1.34,5.69,07-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
07-Aug-2018 - 00:00,40.12,74.83,76.94,-0.4,750.55,122.39,22.37,2.29,224.72,0.41,12.36,57.1,24.26,3.44,9.14,1.85,0.0,6.16,08-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
08-Aug-2018 - 00:00,25.24,54.59,74.73,-0.4,750.1,111.51,22.37,3.87,240.54,0.38,14.98,60.35,13.92,17.31,16.89,0.7,0.06,1.39,09-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
09-Aug-2018 - 00:00,40.41,75.92,72.2,-0.4,747.36,138.31,24.04,2.99,238.7,0.42,13.64,61.87,15.41,17.22,16.67,0.91,0.0,1.69,10-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
10-Aug-2018 - 00:00,67.27,132.38,72.53,-0.4,747.61,125.43,25.47,0.73,207.49,0.63,11.86,53.62,23.55,4.91,9.91,2.39,1.09,5.04,11-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
11-Aug-2018 - 00:00,63.45,137.58,77.54,-0.43,749.91,101.12,23.23,1.1,177.76,0.62,12.37,41.56,26.56,5.5,11.14,2.29,1.73,6.0,12-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
12-Aug-2018 - 00:00,43.89,84.9,79.53,-0.45,751.58,109.97,21.34,1.31,153.01,0.51,13.59,41.23,25.58,6.16,11.31,1.71,5.35,4.08,13-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
13-Aug-2018 - 00:00,43.84,76.44,81.53,-0.42,750.96,80.64,20.52,1.11,163.21,0.54,14.94,41.92,20.11,4.87,8.91,1.36,0.0,3.78,14-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
14-Aug-2018 - 00:00,41.51,92.7,77.71,-0.41,750.38,83.3,22.88,1.69,174.7,0.45,13.29,47.63,18.0,4.87,8.31,0.92,0.0,2.11,15-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
15-Aug-2018 - 00:00,28.76,28.8,79.6,-0.41,749.61,100.55,21.51,2.44,219.02,0.4,13.92,50.96,14.04,4.86,7.19,0.54,0.0,0.97,16-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
16-Aug-2018 - 00:00,28.59,32.22,77.19,-0.41,749.34,100.54,23.03,3.63,237.32,0.39,14.09,46.98,13.78,4.08,6.59,0.28,0.12,2.09,17-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
17-Aug-2018 - 00:00,34.41,126.51,71.73,-0.4,750.23,122.59,25.22,2.95,241.11,0.57,16.34,53.42,16.0,4.41,7.38,0.29,1.86,5.12,18-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
18-Aug-2018 - 00:00,38.16,101.7,67.61,-0.4,750.08,159.27,28.15,1.58,227.8,0.43,14.39,55.01,21.47,4.76,9.19,1.82,0.01,6.61,19-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
19-Aug-2018 - 00:00,38.12,92.22,73.57,-0.42,750.44,119.89,25.49,1.41,184.96,0.58,13.91,50.6,25.51,6.13,11.26,2.71,3.29,7.39,20-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
20-Aug-2018 - 00:00,27.01,37.81,76.08,-0.4,749.52,103.2,22.89,3.3,217.39,0.45,17.61,59.21,12.57,4.6,6.6,1.79,1.11,7.52,21-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
21-Aug-2018 - 00:00,31.56,44.02,77.84,-0.39,749.95,62.47,22.17,2.98,235.4,0.47,16.67,46.35,18.41,6.91,17.06,1.39,0.04,3.67,22-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
22-Aug-2018 - 00:00,36.2,83.5,73.68,-0.43,749.06,108.05,24.26,0.77,192.22,0.57,12.76,44.12,30.07,8.45,14.09,2.19,3.61,5.98,23-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
23-Aug-2018 - 00:00,35.88,107.86,76.11,-0.43,748.44,109.04,23.61,0.7,173.77,0.59,11.47,33.19,25.12,7.39,11.99,2.39,2.13,8.33,24-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
24-Aug-2018 - 00:00,23.71,161.72,82.26,-0.46,748.92,80.93,20.96,0.7,151.41,0.5,11.7,33.56,22.76,8.21,11.86,2.0,0.01,9.59,25-Aug-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
