from date,PM2.5,PM10,RH,VWS,BP,SR,AT,WS,WD,CO,SO2,Ozone,NO2,NO,NOx,Benzene,Xylene,Toluene,to date,station
11-Feb-2018 - 00:00,146.58,323.81,44.32,-0.5,747.9,74.95,21.64,1.55,205.23,1.35,28.66,24.71,127.91,76.74,88.75,2.82,0.35,9.01,12-Feb-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
12-Feb-2018 - 00:00,124.84,213.56,64.84,-0.5,747.96,38.19,20.36,2.19,215.68,1.07,24.41,13.44,112.92,22.03,47.5,2.23,0.19,5.95,13-Feb-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
13-Feb-2018 - 00:00,126.08,192.7,71.92,-0.5,748.04,54.77,20.57,2.24,206.28,1.23,20.36,14.11,99.89,24.33,45.29,2.05,0.22,5.88,14-Feb-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
14-Feb-2018 - 00:00,135.26,184.55,63.66,-0.54,747.99,78.07,21.04,1.89,143.34,1.05,22.14,15.13,100.57,21.4,43.51,2.14,0.19,5.91,15-Feb-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
15-Feb-2018 - 00:00,85.21,180.32,53.5,-0.53,748.0,86.59,18.79,1.53,159.07,0.96,21.53,20.61,120.54,17.04,46.33,1.56,0.07,4.41,16-Feb-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
16-Feb-2018 - 00:00,133.73,232.01,59.05,-0.5,747.97,79.47,20.98,1.28,161.03,1.15,23.55,13.72,135.78,19.94,52.7,2.12,0.13,5.5,17-Feb-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
17-Feb-2018 - 00:00,125.82,237.14,59.12,-0.51,747.95,77.28,22.68,1.24,161.41,1.16,22.41,4.79,127.87,20.3,50.65,2.03,0.15,5.38,18-Feb-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
18-Feb-2018 - 00:00,128.68,292.7,52.5,-0.51,747.92,78.7,25.54,1.31,177.17,1.43,24.07,21.17,130.95,46.78,69.41,2.27,0.27,6.61,19-Feb-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
19-Feb-2018 - 00:00,196.12,412.34,53.56,-0.5,747.96,76.22,26.21,1.46,159.35,1.47,27.15,40.64,118.92,94.55,98.19,3.85,0.93,12.85,20-Feb-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
20-Feb-2018 - 00:00,135.33,269.91,51.5,-0.5,747.97,83.79,23.94,2.08,160.68,1.2,21.84,26.7,114.73,21.5,47.68,2.13,0.12,5.64,21-Feb-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
21-Feb-2018 - 00:00,170.91,353.75,51.34,-0.5,747.99,80.64,25.16,1.26,184.96,1.69,26.84,25.01,134.77,46.94,70.62,2.89,0.52,8.82,22-Feb-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
22-Feb-2018 - 00:00,170.25,318.42,50.23,-0.5,748.0,77.68,29.08,0.92,203.25,1.4,30.23,21.41,189.31,50.54,77.13,3.85,1.03,13.38,23-Feb-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
23-Feb-2018 - 00:00,152.79,238.23,50.4,-0.55,747.99,81.34,31.55,1.49,191.0,1.4,32.47,21.1,165.09,17.07,56.7,2.88,0.59,9.72,24-Feb-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
24-Feb-2018 - 00:00,165.0,239.5,54.77,-0.66,748.0,81.81,32.61,1.81,225.14,1.0,29.1,28.47,106.07,31.63,53.14,2.38,0.28,6.62,25-Feb-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
25-Feb-2018 - 00:00,190.77,263.16,65.15,-0.7,748.0,63.97,30.72,2.21,206.46,1.4,24.55,24.06,98.36,22.5,43.61,2.4,0.14,5.01,26-Feb-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
26-Feb-2018 - 00:00,198.32,241.96,57.85,-0.7,748.0,80.39,29.0,1.47,159.4,1.32,27.0,16.21,110.57,27.91,50.79,2.74,0.29,7.06,27-Feb-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
27-Feb-2018 - 00:00,111.15,198.56,48.96,-0.61,748.0,88.94,27.87,1.47,164.51,1.12,24.68,21.17,112.6,19.72,45.85,2.1,0.19,5.83,28-Feb-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
28-Feb-2018 - 00:00,165.89,261.1,55.26,-0.6,748.0,81.92,29.45,1.5,173.99,1.45,25.21,24.5,115.08,24.27,49.65,2.58,0.39,8.36,01-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
01-Mar-2018 - 00:00,155.05,281.71,52.12,-0.67,747.99,83.28,31.89,1.17,187.95,1.33,24.1,25.0,107.07,19.41,44.05,2.58,0.28,7.61,02-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
02-Mar-2018 - 00:00,236.21,289.55,48.95,-0.7,748.0,83.93,33.52,1.16,170.23,1.73,29.16,21.18,94.91,20.36,41.16,3.89,0.24,7.33,03-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
03-Mar-2018 - 00:00,87.58,257.57,47.32,-0.63,747.97,86.03,33.4,1.73,162.02,1.12,21.32,46.91,87.28,16.38,36.28,1.92,0.07,4.19,04-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
04-Mar-2018 - 00:00,81.78,261.14,41.48,-0.6,747.98,87.09,34.8,1.18,172.08,1.07,23.91,43.46,87.65,19.29,38.35,1.74,0.05,4.26,05-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
05-Mar-2018 - 00:00,90.29,284.9,44.04,-0.53,747.93,73.21,25.73,2.51,162.81,1.04,24.5,24.91,88.94,17.6,37.57,1.76,0.01,4.7,06-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
06-Mar-2018 - 00:00,70.04,204.01,43.66,-0.5,747.91,96.17,13.98,2.45,141.89,0.85,23.68,31.54,82.55,15.68,43.59,1.54,0.01,4.19,07-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
07-Mar-2018 - 00:00,83.96,217.29,41.73,-0.52,747.93,96.74,12.68,1.47,162.82,0.95,28.3,31.51,99.77,19.39,42.84,1.75,0.11,5.41,08-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
08-Mar-2018 - 00:00,115.76,275.86,42.46,-0.57,747.95,83.38,13.84,1.01,205.22,1.27,30.87,25.64,119.74,34.6,57.96,2.68,0.25,8.08,09-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
09-Mar-2018 - 00:00,112.88,242.21,42.07,-0.56,747.9,96.71,14.61,1.42,177.44,1.19,33.95,26.85,104.52,22.64,45.49,2.32,0.1,6.06,10-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
10-Mar-2018 - 00:00,86.05,239.34,37.2,-0.51,747.93,90.68,16.43,1.52,175.25,1.01,26.27,25.61,99.83,19.75,42.17,2.05,0.08,5.74,11-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
11-Mar-2018 - 00:00,84.11,212.07,36.76,-0.55,747.89,96.33,18.48,1.44,160.26,0.95,22.71,28.27,96.71,18.73,40.58,1.92,0.06,5.36,12-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
12-Mar-2018 - 00:00,96.9,233.95,37.53,-0.6,747.74,89.45,19.12,1.34,167.92,1.11,27.18,28.87,88.48,17.57,37.42,2.2,0.03,6.31,13-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
