from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
10-Feb-2018 - 00:00,267.91,135.56,21.55,24.62,46.16,1.36,,37.73,11-Feb-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
11-Feb-2018 - 00:00,155.11,79.46,23.57,23.29,46.86,1.51,,32.54,12-Feb-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
12-Feb-2018 - 00:00,93.24,49.29,25.25,22.1,47.35,1.63,,27.45,13-Feb-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
13-Feb-2018 - 00:00,108.48,68.36,25.6,22.13,47.73,1.66,,28.55,14-Feb-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
14-Feb-2018 - 00:00,88.83,58.31,24.89,22.29,47.17,1.61,,28.2,15-Feb-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
15-Feb-2018 - 00:00,113.14,79.42,23.79,22.91,46.7,1.52,,30.26,16-Feb-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
16-Feb-2018 - 00:00,137.5,88.23,23.3,23.16,46.46,1.49,,30.99,17-Feb-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
17-Feb-2018 - 00:00,146.41,85.24,23.66,22.97,46.64,1.51,,30.46,18-Feb-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
18-Feb-2018 - 00:00,137.53,82.31,22.79,23.69,46.48,1.45,,33.5,19-Feb-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
19-Feb-2018 - 00:00,199.18,111.76,21.64,24.39,46.03,1.36,,36.11,20-Feb-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
20-Feb-2018 - 00:00,216.44,111.93,23.86,23.12,46.97,1.53,,33.65,21-Feb-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
21-Feb-2018 - 00:00,294.05,118.95,21.65,24.5,46.15,1.36,,37.32,22-Feb-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
22-Feb-2018 - 00:00,168.66,123.23,23.59,23.12,46.41,1.51,,31.26,23-Feb-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
