from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NOx,NO2,Ozone,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,SO2,to date,station
09-Feb-2018 - 00:00,1.48,15.36,11.02,1.05,1.04,43.14,4.23,16.17,11.94,24.65,291.94,36.86,0.0,65.46,177.6,13.21,263.28,0.59,8.11,10-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
10-Feb-2018 - 00:00,0.0,0.01,0.01,0.0,1.13,57.1,21.76,50.14,28.38,18.6,477.99,29.8,0.0,59.2,177.99,14.03,184.4,0.43,4.68,11-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
11-Feb-2018 - 00:00,0.0,0.01,0.01,0.02,1.35,75.56,16.82,38.35,21.53,11.21,112.86,32.22,0.0,58.3,192.0,15.4,155.87,0.56,12.93,12-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
12-Feb-2018 - 00:00,0.0,0.01,0.01,0.02,1.14,74.48,6.93,19.94,13.05,12.19,72.43,22.05,0.27,73.61,191.94,13.91,117.9,1.71,12.04,13-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
13-Feb-2018 - 00:00,0.05,,,3.34,0.3,30.66,0.0,8.1,4.4,34.3,67.52,,0.0,,148.25,19.45,,,,14-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
14-Feb-2018 - 00:00,0.04,0.11,0.08,0.39,0.48,44.06,4.94,13.95,9.02,30.29,81.28,28.37,0.0,66.38,141.96,15.51,261.14,0.92,3.3,15-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
15-Feb-2018 - 00:00,0.01,0.14,0.06,0.27,0.73,42.36,5.21,13.45,8.24,18.05,89.71,27.78,0.0,73.65,189.47,13.91,257.82,0.95,4.64,16-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
16-Feb-2018 - 00:00,0.02,0.19,0.05,0.41,0.85,42.38,5.79,14.04,8.25,13.06,90.7,29.28,0.0,75.15,184.88,15.5,257.44,0.8,3.89,17-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
17-Feb-2018 - 00:00,0.02,0.09,0.06,0.39,0.83,43.01,5.34,13.69,8.35,17.06,110.45,34.37,0.0,71.01,178.88,16.46,259.49,0.81,3.71,18-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
18-Feb-2018 - 00:00,0.01,0.14,0.02,0.23,1.02,44.67,6.74,16.86,10.12,12.42,104.91,33.49,0.0,67.79,187.89,15.78,249.2,0.66,5.54,19-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
19-Feb-2018 - 00:00,0.02,0.12,0.03,0.21,0.96,44.77,7.11,19.32,12.21,16.66,143.02,47.1,0.0,69.45,188.83,16.14,254.89,0.59,4.47,20-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
20-Feb-2018 - 00:00,0.02,0.2,0.09,0.26,0.98,51.03,7.28,21.49,14.21,14.5,132.44,43.48,0.0,67.93,192.01,17.74,240.47,0.61,4.64,21-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
21-Feb-2018 - 00:00,0.02,0.1,0.06,0.25,1.04,56.5,9.12,26.67,17.54,13.49,147.02,46.95,0.0,67.6,191.9,18.54,235.55,0.45,4.8,22-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
22-Feb-2018 - 00:00,0.0,0.01,0.02,0.0,1.09,45.87,7.7,21.42,13.73,21.56,159.52,50.41,0.0,74.5,194.89,19.08,252.69,0.43,7.15,23-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
23-Feb-2018 - 00:00,0.02,6.3,0.05,0.67,1.19,32.41,19.25,36.94,17.68,18.92,140.98,51.71,0.0,69.86,205.25,18.96,216.41,0.36,5.53,24-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
24-Feb-2018 - 00:00,0.01,6.92,0.08,0.36,1.11,33.07,15.79,29.87,14.08,16.69,85.26,33.91,0.06,58.39,186.83,19.52,123.07,0.88,9.3,25-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
25-Feb-2018 - 00:00,0.01,6.72,0.02,0.24,0.84,26.01,10.45,19.94,9.49,15.43,68.98,27.64,0.0,74.14,193.42,18.5,251.28,0.68,8.06,26-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
26-Feb-2018 - 00:00,0.03,6.73,0.11,0.33,0.64,25.29,6.01,14.17,8.16,19.95,61.94,23.96,0.0,72.48,191.63,17.93,266.58,0.99,4.06,27-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
27-Feb-2018 - 00:00,0.04,6.87,0.09,0.37,0.76,25.2,5.89,15.93,10.09,17.59,85.36,31.36,0.0,70.97,186.83,19.7,259.84,0.7,4.49,28-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
28-Feb-2018 - 00:00,0.03,6.72,0.1,0.26,0.87,23.84,7.1,21.54,14.44,16.7,93.44,34.14,0.0,72.85,175.7,19.56,263.27,0.47,5.8,01-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
01-Mar-2018 - 00:00,0.05,6.83,0.11,0.37,0.83,25.81,7.88,23.48,15.6,23.8,93.2,32.53,0.0,64.6,166.99,20.92,234.39,0.6,5.96,02-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
02-Mar-2018 - 00:00,0.03,7.07,0.09,0.33,0.97,29.05,9.88,20.31,10.43,18.36,67.91,26.9,0.0,62.41,190.18,20.99,207.26,0.53,10.98,03-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
03-Mar-2018 - 00:00,0.02,6.85,0.05,0.26,0.79,25.99,8.39,18.31,9.91,16.06,58.55,23.04,0.0,68.18,180.06,19.16,253.68,0.52,10.03,04-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
04-Mar-2018 - 00:00,0.03,6.76,0.08,0.27,0.76,25.58,9.45,17.95,8.5,12.64,50.09,21.37,0.03,70.22,198.37,18.65,235.06,0.53,9.98,05-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
05-Mar-2018 - 00:00,0.02,6.79,0.05,0.13,0.68,24.43,8.57,17.51,8.93,24.6,66.32,24.92,0.0,67.22,173.83,18.62,250.65,0.64,6.77,06-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
06-Mar-2018 - 00:00,0.01,6.63,0.02,0.08,0.62,26.03,6.01,17.93,11.92,29.9,71.08,27.16,0.0,64.75,171.27,18.5,258.59,0.83,5.45,07-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
07-Mar-2018 - 00:00,0.02,6.63,0.04,0.16,0.75,28.6,6.69,26.33,19.63,27.21,73.43,30.07,0.0,61.05,168.63,19.42,255.51,0.72,6.56,08-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
08-Mar-2018 - 00:00,0.02,6.63,0.05,0.2,0.85,29.6,13.86,37.87,24.01,30.72,87.35,38.5,0.0,61.07,169.41,20.08,206.41,0.29,6.6,09-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
09-Mar-2018 - 00:00,0.03,6.63,0.07,0.21,0.78,30.71,12.93,34.94,22.01,30.14,70.09,28.29,0.0,59.34,170.25,20.68,249.14,0.63,6.35,10-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
10-Mar-2018 - 00:00,0.03,6.63,0.07,0.2,0.76,30.21,16.24,36.05,19.8,23.62,67.12,30.9,0.0,68.43,162.52,18.52,259.63,0.67,14.25,11-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
11-Mar-2018 - 00:00,,,,,0.89,,,,,,73.1,29.52,0.0,62.6,164.28,21.22,263.33,0.68,15.79,12-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
12-Mar-2018 - 00:00,0.03,4.78,0.06,0.15,0.98,30.69,4.49,26.66,22.18,29.55,92.83,37.06,0.0,67.83,172.19,20.48,264.33,0.56,8.77,13-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
13-Mar-2018 - 00:00,0.17,30.53,24.04,0.95,0.74,29.45,22.32,51.76,29.44,31.0,91.38,38.18,0.0,44.32,162.45,26.54,188.3,0.58,5.87,14-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
14-Mar-2018 - 00:00,0.0,12.58,26.07,0.13,1.21,30.16,32.35,55.48,23.17,25.62,116.97,43.87,0.0,52.57,163.18,23.37,142.17,0.62,8.86,15-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
15-Mar-2018 - 00:00,0.0,10.64,13.93,0.09,1.16,28.73,26.82,47.35,20.53,22.91,147.35,55.27,0.0,56.33,167.3,22.03,221.44,0.45,7.1,16-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
16-Mar-2018 - 00:00,0.0,9.37,5.85,0.06,0.91,25.34,16.55,30.05,13.5,17.77,105.26,42.47,0.0,53.61,163.2,20.62,255.41,0.52,13.95,17-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
17-Mar-2018 - 00:00,0.0,7.18,2.93,0.02,0.8,21.61,5.81,14.74,8.94,29.69,78.68,30.97,0.0,52.3,161.19,20.57,263.45,0.78,4.55,18-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
18-Mar-2018 - 00:00,0.0,9.35,16.8,0.08,0.99,22.73,9.01,20.79,11.79,28.76,69.24,26.67,0.0,47.77,157.97,20.8,261.59,0.67,6.28,19-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
19-Mar-2018 - 00:00,0.0,9.47,20.46,0.08,1.07,23.34,8.66,22.18,13.54,31.74,86.96,35.71,0.0,54.5,164.35,21.11,258.14,0.71,6.48,20-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
20-Mar-2018 - 00:00,0.0,7.45,15.14,0.07,1.14,23.62,9.85,22.17,12.33,31.87,91.02,35.37,0.0,50.74,167.99,22.68,249.07,0.55,7.26,21-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
21-Mar-2018 - 00:00,0.0,0.0,0.0,0.03,0.97,24.16,9.77,19.76,10.0,26.62,59.1,25.09,0.0,62.67,179.09,20.17,202.87,0.7,6.63,22-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
22-Mar-2018 - 00:00,,,,,0.85,23.75,10.42,20.09,9.68,23.88,51.59,21.43,0.0,62.44,170.67,20.02,259.5,0.64,5.88,23-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
23-Mar-2018 - 00:00,0.0,0.21,0.06,0.0,0.78,23.33,8.87,17.43,8.56,34.33,77.34,28.08,0.01,61.74,164.97,20.98,259.95,0.63,4.01,24-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
24-Mar-2018 - 00:00,0.01,1.71,1.9,0.01,0.87,23.5,11.47,22.74,11.27,31.58,87.64,35.91,0.0,61.81,165.45,21.99,264.11,0.77,13.49,25-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
25-Mar-2018 - 00:00,0.01,0.93,0.31,0.0,1.11,23.77,15.13,31.32,16.19,16.41,81.06,32.99,0.0,60.91,161.41,22.39,254.14,0.79,,26-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
26-Mar-2018 - 00:00,0.0,0.44,0.0,0.0,0.86,24.57,15.62,30.67,15.05,17.5,93.66,40.01,0.0,56.59,162.6,24.01,243.89,0.83,46.4,27-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
27-Mar-2018 - 00:00,0.0,0.34,0.0,0.0,1.25,25.99,24.03,44.76,20.74,18.52,120.45,48.65,0.0,55.7,166.44,23.49,221.6,0.54,105.25,28-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
28-Mar-2018 - 00:00,0.0,0.49,0.01,0.01,1.13,28.42,23.12,43.03,19.92,23.8,101.74,38.03,0.0,50.84,159.36,24.18,233.93,0.62,80.4,29-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
29-Mar-2018 - 00:00,0.05,2.25,0.02,0.06,0.93,25.04,20.43,40.61,20.19,25.52,106.36,37.23,0.0,47.43,159.83,24.01,247.67,0.77,101.39,30-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
30-Mar-2018 - 00:00,0.0,0.19,0.0,0.0,1.12,27.21,21.91,45.06,23.15,24.14,111.67,40.23,0.0,52.03,162.7,24.23,182.96,0.43,23.4,31-Mar-2018 - 00:00,"Model Town, Patiala - PPCB"
31-Mar-2018 - 00:00,0.0,0.07,0.0,0.0,1.23,28.24,28.26,52.22,23.96,18.7,114.96,37.9,0.0,48.92,167.89,23.85,107.97,0.79,23.6,01-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
01-Apr-2018 - 00:00,0.0,0.07,0.0,0.0,1.14,27.08,24.88,53.75,28.85,24.89,90.87,30.37,0.0,43.16,169.57,25.52,97.93,0.62,,02-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
02-Apr-2018 - 00:00,0.0,0.19,0.0,0.0,1.29,31.84,30.14,54.15,24.01,30.29,98.76,35.2,0.0,46.67,169.33,25.98,101.91,0.49,,03-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
03-Apr-2018 - 00:00,0.0,0.18,0.0,0.0,1.13,29.57,23.7,47.76,24.08,34.9,107.13,38.98,0.0,45.26,169.26,27.11,152.62,0.38,32.53,04-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
04-Apr-2018 - 00:00,0.0,0.34,0.0,0.0,1.2,25.5,36.16,63.03,26.88,17.94,111.22,42.82,0.0,49.17,164.55,26.82,200.45,0.37,56.3,05-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
05-Apr-2018 - 00:00,,,,,1.17,26.43,32.97,53.4,20.41,24.63,113.69,43.19,0.0,45.9,178.56,26.93,248.58,0.49,,06-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
06-Apr-2018 - 00:00,,,,,0.85,30.06,38.97,63.72,24.75,16.27,114.83,41.66,0.0,39.7,181.38,27.1,206.8,0.65,,07-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
07-Apr-2018 - 00:00,,,,,0.95,31.04,66.31,89.36,23.09,17.42,90.67,28.52,0.0,44.31,169.73,26.0,140.03,0.45,,08-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
08-Apr-2018 - 00:00,,,,,1.06,26.85,68.42,90.88,22.57,12.46,80.02,24.91,0.0,44.58,172.62,26.66,99.97,0.88,73.9,09-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
09-Apr-2018 - 00:00,,,,,0.84,23.19,56.13,78.35,22.24,12.0,53.92,18.02,0.08,56.93,181.79,24.14,150.23,0.68,,10-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
10-Apr-2018 - 00:00,,,,,1.18,32.61,89.14,113.82,24.73,9.91,66.12,28.66,0.0,54.12,183.59,25.43,179.21,0.56,,11-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
11-Apr-2018 - 00:00,,,,,0.88,20.76,71.45,89.49,18.07,4.78,48.29,45.4,0.01,75.14,175.66,20.49,115.64,0.7,,12-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
12-Apr-2018 - 00:00,,,,,1.0,23.25,113.66,126.11,12.5,1.83,46.7,14.92,0.0,53.36,194.01,23.51,202.98,0.46,,13-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
13-Apr-2018 - 00:00,,,,,0.79,26.56,34.34,70.47,37.76,21.69,66.08,26.09,0.0,34.6,199.06,24.29,260.18,0.43,,14-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
14-Apr-2018 - 00:00,,,,,1.04,32.2,64.19,101.31,37.13,,86.96,35.82,0.0,33.62,198.64,26.01,269.65,0.58,,15-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
15-Apr-2018 - 00:00,,,,,1.15,34.55,64.61,107.26,42.66,,95.22,463.29,0.0,33.8,194.6,27.38,249.02,0.41,,16-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
16-Apr-2018 - 00:00,,,,,1.1,40.61,65.23,107.28,42.39,6.97,95.8,185.88,0.0,30.84,194.04,28.11,105.69,0.54,,17-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
17-Apr-2018 - 00:00,,,,,1.02,40.68,102.69,138.55,35.99,10.75,74.49,23.2,0.07,34.72,201.16,27.7,223.08,0.68,,18-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
18-Apr-2018 - 00:00,,,,,0.86,34.98,72.98,108.46,35.56,10.48,81.86,32.3,0.0,31.33,194.92,27.73,262.62,0.77,,19-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
19-Apr-2018 - 00:00,,,,,0.88,37.72,53.28,92.37,39.1,10.94,125.18,58.75,0.0,34.66,190.17,27.45,218.58,0.53,,20-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
20-Apr-2018 - 00:00,,,,,0.73,32.74,48.29,85.77,37.56,9.16,133.76,45.2,0.0,37.05,195.56,26.57,191.03,1.27,,21-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
21-Apr-2018 - 00:00,,,,,0.81,30.18,74.55,110.12,35.59,10.54,92.55,32.43,0.0,37.42,200.97,24.69,277.18,0.69,,22-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
22-Apr-2018 - 00:00,,,,,0.94,28.84,72.21,109.05,36.85,9.86,83.35,30.03,0.0,29.39,189.14,24.85,262.04,0.78,,23-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
23-Apr-2018 - 00:00,,,,,1.0,29.35,49.76,92.42,42.66,12.91,111.65,38.72,0.0,23.48,186.46,26.51,258.31,0.79,,24-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
24-Apr-2018 - 00:00,,,,,0.97,29.43,32.8,74.9,42.1,20.07,107.08,41.01,0.0,23.8,186.17,28.12,238.34,0.45,,25-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
25-Apr-2018 - 00:00,,,,,1.34,34.82,46.5,93.13,46.62,22.34,116.25,44.6,0.0,25.33,182.53,29.59,188.37,0.33,,26-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
26-Apr-2018 - 00:00,0.38,27.83,46.36,0.52,1.44,31.28,43.34,91.9,48.57,27.18,141.13,52.72,0.01,25.35,177.57,30.41,162.69,0.39,,27-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
27-Apr-2018 - 00:00,0.29,22.9,21.0,0.14,1.3,26.58,40.71,87.38,46.71,20.93,173.9,62.64,0.0,37.55,183.72,29.96,104.77,0.83,,28-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
28-Apr-2018 - 00:00,1.08,17.28,15.0,0.07,0.95,25.87,36.92,65.72,28.98,30.75,139.21,45.73,0.0,35.05,181.78,30.19,94.2,0.89,,29-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
29-Apr-2018 - 00:00,1.5,0.31,6.09,0.0,0.84,20.5,2.3,22.0,19.7,45.58,152.88,44.93,0.0,32.22,173.87,30.55,166.14,0.51,,30-Apr-2018 - 00:00,"Model Town, Patiala - PPCB"
30-Apr-2018 - 00:00,2.53,0.74,3.11,0.02,0.86,21.43,5.73,37.89,32.16,47.01,138.46,45.72,0.0,34.52,172.3,30.58,111.18,0.63,,01-May-2018 - 00:00,"Model Town, Patiala - PPCB"
01-May-2018 - 00:00,1.51,0.86,0.0,0.04,0.81,22.33,19.95,46.25,26.3,21.49,117.95,39.92,0.0,42.47,181.72,29.52,108.1,1.05,,02-May-2018 - 00:00,"Model Town, Patiala - PPCB"
02-May-2018 - 00:00,2.24,0.85,0.0,0.06,0.79,23.34,9.62,29.29,20.46,12.64,121.98,61.44,0.03,53.97,170.13,26.31,108.93,1.03,,03-May-2018 - 00:00,"Model Town, Patiala - PPCB"
03-May-2018 - 00:00,3.02,2.59,2.78,0.06,0.79,25.38,20.17,44.48,24.32,16.66,78.98,22.33,0.0,52.44,192.05,26.13,99.48,1.16,,04-May-2018 - 00:00,"Model Town, Patiala - PPCB"
04-May-2018 - 00:00,3.66,0.78,7.15,0.14,1.03,30.84,34.02,79.57,45.56,11.07,89.49,20.88,0.0,49.13,179.12,28.17,131.14,0.74,,05-May-2018 - 00:00,"Model Town, Patiala - PPCB"
05-May-2018 - 00:00,3.89,1.14,4.9,0.17,1.04,35.7,55.11,92.18,37.1,22.11,172.51,39.42,0.0,39.65,179.13,30.07,194.28,0.43,,06-May-2018 - 00:00,"Model Town, Patiala - PPCB"
06-May-2018 - 00:00,3.84,0.88,0.0,0.05,1.07,40.68,78.42,120.95,42.8,10.93,158.17,29.39,0.0,37.89,182.27,27.75,227.9,0.55,,07-May-2018 - 00:00,"Model Town, Patiala - PPCB"
07-May-2018 - 00:00,1.75,6.51,0.0,0.03,0.94,38.38,62.48,97.87,35.52,18.75,149.63,31.33,0.0,36.57,186.66,28.83,206.19,0.52,,08-May-2018 - 00:00,"Model Town, Patiala - PPCB"
08-May-2018 - 00:00,0.12,13.5,0.0,0.02,0.7,31.93,26.66,54.9,29.05,14.13,77.38,20.8,0.0,45.75,190.01,25.92,,,,09-May-2018 - 00:00,"Model Town, Patiala - PPCB"
09-May-2018 - 00:00,0.19,15.92,0.0,0.03,0.97,32.68,35.68,70.55,34.89,9.81,92.47,20.55,0.0,36.26,183.58,27.11,,,,10-May-2018 - 00:00,"Model Town, Patiala - PPCB"
10-May-2018 - 00:00,1.14,11.65,0.0,0.06,1.09,28.89,42.65,72.62,29.97,20.87,141.53,37.63,0.0,29.37,178.23,29.14,237.96,0.47,,11-May-2018 - 00:00,"Model Town, Patiala - PPCB"
11-May-2018 - 00:00,2.94,1.03,0.95,0.08,1.38,22.75,62.49,99.47,37.01,18.63,245.5,54.11,0.0,32.25,182.46,31.0,224.99,0.44,,12-May-2018 - 00:00,"Model Town, Patiala - PPCB"
12-May-2018 - 00:00,1.46,0.01,0.01,0.0,1.41,30.54,30.27,59.06,28.78,33.42,301.07,68.03,0.0,37.17,191.77,31.08,163.52,0.59,,13-May-2018 - 00:00,"Model Town, Patiala - PPCB"
