from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NOx,NO2,Ozone,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,SO2,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Model Town, Patiala - PPCB"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
01-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,02-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
02-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,03-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
03-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,04-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
04-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,05-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
05-Feb-2018 - 00:00,0.0,,,,0.56,26.79,0.38,5.45,6.82,,,,,,,18.93,,,,06-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
06-Feb-2018 - 00:00,0.0,0.01,0.39,0.7,0.5,31.12,0.52,5.3,6.4,29.34,109.97,57.19,0.0,42.33,141.65,18.52,269.28,0.91,2.93,07-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
07-Feb-2018 - 00:00,5.57,15.04,53.11,3.76,0.51,44.32,2.54,10.18,10.92,21.4,156.46,20.31,0.0,48.9,153.44,16.36,267.64,0.84,4.73,08-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
08-Feb-2018 - 00:00,20.77,20.58,47.4,6.59,1.16,51.21,10.21,24.66,14.46,10.57,102.12,32.41,0.0,62.01,174.0,13.41,241.19,0.48,16.6,09-Feb-2018 - 00:00,"Model Town, Patiala - PPCB"
