from date,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
29-Jan-2018 - 00:00,0.0,6.46,16.45,49.66,140.98,996.56,13.65,151.08,90.65,16.04,11.47,27.51,1.9,,26.95,30-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
30-Jan-2018 - 00:00,0.0,,25.02,22.75,222.19,994.18,13.6,99.38,59.63,13.98,12.22,26.19,2.28,,17.56,31-Jan-2018 - 00:00,"Sector - 62, Noida - IMD"
31-Jan-2018 - 00:00,,,,,,,,108.08,64.85,14.32,12.04,26.37,2.35,,16.74,01-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
01-Feb-2018 - 00:00,,,,,,,,132.19,79.31,15.29,11.64,26.93,2.25,,17.35,02-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
02-Feb-2018 - 00:00,,,,,,,,119.8,71.88,14.79,11.85,26.64,2.12,,21.69,03-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
03-Feb-2018 - 00:00,,,,,,,,91.34,54.81,13.65,12.39,26.04,1.98,,23.0,04-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
04-Feb-2018 - 00:00,,,,,,,,92.16,55.3,13.69,12.36,26.05,2.24,,17.64,05-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
05-Feb-2018 - 00:00,,,,,,,,104.92,62.95,14.2,12.14,26.34,2.3,,17.01,06-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
06-Feb-2018 - 00:00,,,,,,,,91.87,55.16,13.25,12.73,25.98,2.13,,19.62,07-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
07-Feb-2018 - 00:00,,,,,,,,93.1,55.86,13.72,12.36,26.09,2.2,,18.15,08-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
08-Feb-2018 - 00:00,,,,,,,,139.41,83.65,15.58,11.56,27.14,2.04,,21.04,09-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
09-Feb-2018 - 00:00,,,,,,,,132.77,79.66,15.31,11.63,26.94,2.21,,18.91,10-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
10-Feb-2018 - 00:00,,,,,,,,191.2,114.73,17.65,10.98,28.63,1.67,,30.02,11-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
11-Feb-2018 - 00:00,,,,,,,,87.19,52.32,13.08,12.86,25.95,2.23,,17.8,12-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
12-Feb-2018 - 00:00,,,,,,,,65.58,39.41,12.25,13.29,25.54,2.24,,17.44,13-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
13-Feb-2018 - 00:00,,,,,,,,99.72,60.28,13.6,12.51,26.11,2.19,,18.37,14-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
14-Feb-2018 - 00:00,,,,,,,,84.36,50.62,13.37,12.51,25.88,2.3,,16.75,15-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
15-Feb-2018 - 00:00,,,,,,,,98.12,58.87,13.92,12.21,26.14,2.32,,16.6,16-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
16-Feb-2018 - 00:00,,,,,,,,120.79,72.47,14.83,11.83,26.67,2.35,,16.39,17-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
17-Feb-2018 - 00:00,,,,,,,,136.63,81.98,15.47,11.59,27.06,2.36,,16.3,18-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
18-Feb-2018 - 00:00,,,,,,,,139.42,83.65,15.58,11.66,27.24,2.27,,17.37,19-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
19-Feb-2018 - 00:00,,,,,,,,244.38,146.63,19.78,10.36,30.14,1.97,,22.95,20-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
20-Feb-2018 - 00:00,,,,,,,,201.43,120.86,18.06,10.74,28.8,2.22,,17.89,21-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
21-Feb-2018 - 00:00,,,,,,,,239.16,143.5,19.57,10.26,29.83,2.06,,20.88,22-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
22-Feb-2018 - 00:00,,,,,,,,212.79,127.67,18.51,10.53,29.05,1.83,,31.64,23-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
23-Feb-2018 - 00:00,,,,,,,,254.95,152.97,20.2,10.1,30.3,1.92,,33.93,24-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
24-Feb-2018 - 00:00,,,,,,,,231.05,138.63,19.24,10.23,29.48,2.31,,16.93,25-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
25-Feb-2018 - 00:00,,,,,,,,143.08,85.85,15.72,11.57,27.3,2.25,,18.76,26-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
26-Feb-2018 - 00:00,,,,,,,,83.37,50.12,12.88,12.82,25.7,1.69,,24.16,27-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
27-Feb-2018 - 00:00,,,,,,,,109.99,65.99,12.64,12.95,25.59,0.99,,31.63,28-Feb-2018 - 00:00,"Sector - 62, Noida - IMD"
28-Feb-2018 - 00:00,,,,,,,,176.62,105.97,14.24,12.17,26.4,1.03,,44.48,01-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
01-Mar-2018 - 00:00,,,,,,,,121.12,59.36,12.37,13.28,25.65,1.91,,39.02,02-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
02-Mar-2018 - 00:00,,,,,,,,214.51,88.29,13.14,12.79,25.94,0.93,,43.16,03-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
03-Mar-2018 - 00:00,,,,,,,,87.39,52.88,12.01,13.39,25.4,1.12,,37.08,04-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
04-Mar-2018 - 00:00,,,,,,,,104.54,62.72,12.51,13.05,25.56,1.04,,45.07,05-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
05-Mar-2018 - 00:00,,,,,,,,83.59,50.15,12.01,13.35,25.36,1.16,,41.2,06-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
06-Mar-2018 - 00:00,,,,,,,,78.17,46.9,11.88,13.47,25.35,1.29,,33.97,07-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
07-Mar-2018 - 00:00,,,,,,,,86.71,52.02,12.08,13.32,25.4,1.2,,34.65,08-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
08-Mar-2018 - 00:00,,,,,,,,171.52,102.91,14.12,12.22,26.34,0.86,,38.87,09-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
09-Mar-2018 - 00:00,,,,,,,,147.97,88.84,13.55,12.56,26.11,0.98,,35.09,10-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
10-Mar-2018 - 00:00,,,,,,,,84.02,50.41,12.02,13.36,25.37,1.18,,36.15,11-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
11-Mar-2018 - 00:00,,,,,,,,93.44,56.06,12.24,13.2,25.44,1.09,,33.96,12-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
12-Mar-2018 - 00:00,,,,,,,,115.24,69.14,12.77,12.88,25.65,0.99,,38.04,13-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
13-Mar-2018 - 00:00,,,,,,,,133.94,80.36,13.21,12.7,25.91,1.02,,33.47,14-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
14-Mar-2018 - 00:00,,,,,,,,154.79,92.95,13.71,12.36,26.08,0.87,,32.8,15-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
15-Mar-2018 - 00:00,,,,,,,,148.54,89.13,13.57,12.47,26.03,0.89,,30.41,16-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
16-Mar-2018 - 00:00,,,,,,,,143.34,99.94,17.63,12.48,30.11,1.29,,40.06,17-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
17-Mar-2018 - 00:00,,,,,,,,73.99,63.9,11.64,13.83,25.46,2.2,,39.62,18-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
18-Mar-2018 - 00:00,,,,,,,,158.12,46.36,11.85,13.56,25.41,1.55,,40.21,19-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
19-Mar-2018 - 00:00,,,,,,,,87.04,54.34,12.17,13.25,25.42,1.12,,36.6,20-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
20-Mar-2018 - 00:00,,,,,,,,123.39,72.93,12.92,12.81,25.73,0.99,,38.41,21-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
21-Mar-2018 - 00:00,,,,,,,,155.7,77.58,13.1,12.7,25.8,0.95,,37.44,22-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
22-Mar-2018 - 00:00,,,,,,,,243.54,57.33,12.29,13.45,25.74,1.38,,37.13,23-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
23-Mar-2018 - 00:00,,,,,,,,186.2,29.78,11.19,13.95,25.14,1.6,,35.5,24-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
24-Mar-2018 - 00:00,,,,,,,,235.31,34.11,11.36,13.81,25.18,1.48,,35.72,25-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
25-Mar-2018 - 00:00,,,,,,,,242.6,34.62,11.38,13.83,25.21,1.75,,36.21,26-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
26-Mar-2018 - 00:00,,,,,,,,262.09,35.88,11.44,13.76,25.2,1.48,,36.02,27-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
27-Mar-2018 - 00:00,,,,,,,,366.34,49.88,12.0,13.41,25.4,1.37,,33.91,28-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
28-Mar-2018 - 00:00,,,,,,,,361.51,62.79,12.23,13.3,25.54,1.13,,36.9,29-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
29-Mar-2018 - 00:00,,,,,,,,226.3,45.9,11.6,13.68,25.29,1.15,,35.25,30-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
30-Mar-2018 - 00:00,,,,,,,,276.57,61.12,12.08,13.4,25.48,1.16,,42.59,31-Mar-2018 - 00:00,"Sector - 62, Noida - IMD"
31-Mar-2018 - 00:00,,,,,,,,261.65,70.45,12.82,12.91,25.73,1.02,,40.25,01-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
01-Apr-2018 - 00:00,,,,,,,,213.67,55.35,12.21,13.21,25.43,1.09,,31.75,02-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
02-Apr-2018 - 00:00,,,,,,,,253.77,70.93,12.84,12.83,25.66,0.96,,31.37,03-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
03-Apr-2018 - 00:00,,,,,,,,255.78,70.56,12.82,12.83,25.65,0.95,,31.1,04-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
04-Apr-2018 - 00:00,,,,,,,,309.83,90.58,13.62,12.42,26.04,0.88,,31.09,05-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
05-Apr-2018 - 00:00,,,,,,,,347.96,105.76,14.22,12.13,26.35,0.83,,32.47,06-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
06-Apr-2018 - 00:00,,,,,,,,240.02,64.72,12.59,13.03,25.61,1.18,,30.04,07-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
07-Apr-2018 - 00:00,,,,,,,,124.94,33.87,11.34,13.84,25.18,1.54,,31.59,08-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
08-Apr-2018 - 00:00,,,,,,,,141.56,39.01,11.13,14.03,25.16,1.08,,31.38,09-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
09-Apr-2018 - 00:00,,,,,,,,153.33,44.09,11.72,13.63,25.35,1.53,,28.87,10-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
10-Apr-2018 - 00:00,,,,,,,,196.69,56.43,11.64,13.68,25.32,0.9,,29.88,11-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
11-Apr-2018 - 00:00,,,,,,,,112.18,30.7,11.23,13.92,25.15,1.61,,29.49,12-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
12-Apr-2018 - 00:00,,,,,,,,159.29,43.19,11.73,13.62,25.34,1.46,,33.35,13-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
13-Apr-2018 - 00:00,,,,,,,,216.24,60.62,12.42,13.22,25.64,1.42,,42.13,14-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
14-Apr-2018 - 00:00,,,,,,,,257.44,63.92,12.56,13.11,25.67,1.28,,32.94,15-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
15-Apr-2018 - 00:00,,,,,,,,309.16,77.29,13.09,12.75,25.84,1.01,,41.55,16-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
16-Apr-2018 - 00:00,,,,,,,,413.59,98.66,13.95,12.36,26.3,0.92,,33.79,17-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
17-Apr-2018 - 00:00,,,,,,,,266.88,64.99,11.82,12.34,24.16,1.07,,30.55,18-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
18-Apr-2018 - 00:00,,,,,,,,252.99,52.75,7.15,11.14,18.29,1.08,,42.65,19-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
19-Apr-2018 - 00:00,,,,,,,,295.79,69.86,12.43,17.33,29.39,0.94,,36.6,20-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
20-Apr-2018 - 00:00,,,,,,,,367.5,83.13,11.96,26.59,38.55,0.93,,37.24,21-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
21-Apr-2018 - 00:00,,,,,,,,523.19,110.39,12.26,28.35,40.61,0.8,,42.02,22-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
22-Apr-2018 - 00:00,,,,,,,,215.81,40.51,10.85,30.77,41.62,1.3,,47.21,23-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
23-Apr-2018 - 00:00,,,,,,,,232.31,48.93,12.17,28.21,40.39,1.26,,41.13,24-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
24-Apr-2018 - 00:00,,,,,,,,298.21,67.75,13.13,29.3,42.43,1.25,,46.52,25-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
25-Apr-2018 - 00:00,,,,,,,,374.69,93.95,13.06,27.59,40.65,0.95,,41.44,26-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
26-Apr-2018 - 00:00,,,,,,,,431.72,106.73,13.17,30.87,44.04,0.8,,53.26,27-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
27-Apr-2018 - 00:00,,,,,,,,333.63,74.96,8.06,37.99,46.05,0.9,,62.67,28-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
28-Apr-2018 - 00:00,,,,,,,,323.04,70.21,7.69,39.65,47.34,0.92,,66.87,29-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
29-Apr-2018 - 00:00,,,,,,,,271.6,68.66,8.3,38.47,46.78,0.94,,66.64,30-Apr-2018 - 00:00,"Sector - 62, Noida - IMD"
30-Apr-2018 - 00:00,,,,,,,,218.75,55.6,9.82,35.96,45.78,1.07,,61.63,01-May-2018 - 00:00,"Sector - 62, Noida - IMD"
01-May-2018 - 00:00,,,,,,,,157.94,36.71,7.65,39.57,47.23,1.33,,66.18,02-May-2018 - 00:00,"Sector - 62, Noida - IMD"
02-May-2018 - 00:00,,,,,,,,180.14,43.75,9.59,36.06,45.66,1.42,,59.01,03-May-2018 - 00:00,"Sector - 62, Noida - IMD"
03-May-2018 - 00:00,,,,,,,,159.36,35.81,9.91,32.09,42.0,1.54,,48.99,04-May-2018 - 00:00,"Sector - 62, Noida - IMD"
04-May-2018 - 00:00,,,,,,,,115.71,29.45,8.46,36.44,44.91,1.62,,58.82,05-May-2018 - 00:00,"Sector - 62, Noida - IMD"
05-May-2018 - 00:00,,,,,,,,212.82,54.25,9.86,35.88,45.73,1.1,,63.88,06-May-2018 - 00:00,"Sector - 62, Noida - IMD"
06-May-2018 - 00:00,,,,,,,,259.92,69.35,11.0,30.57,41.57,1.17,,46.92,07-May-2018 - 00:00,"Sector - 62, Noida - IMD"
07-May-2018 - 00:00,,,,,,,,332.24,86.09,8.93,43.07,52.0,0.85,,82.71,08-May-2018 - 00:00,"Sector - 62, Noida - IMD"
08-May-2018 - 00:00,,,,,,,,179.16,43.65,9.02,35.48,44.5,1.59,,55.87,09-May-2018 - 00:00,"Sector - 62, Noida - IMD"
09-May-2018 - 00:00,,,,,,,,196.11,56.69,11.39,31.12,42.51,1.47,,50.68,10-May-2018 - 00:00,"Sector - 62, Noida - IMD"
10-May-2018 - 00:00,,,,,,,,237.68,64.78,10.83,35.13,45.96,0.98,,64.86,11-May-2018 - 00:00,"Sector - 62, Noida - IMD"
11-May-2018 - 00:00,,,,,,,,332.02,96.02,8.78,39.15,47.93,0.82,,74.73,12-May-2018 - 00:00,"Sector - 62, Noida - IMD"
12-May-2018 - 00:00,,,,,,,,352.12,102.14,7.79,42.4,50.19,0.79,,80.94,13-May-2018 - 00:00,"Sector - 62, Noida - IMD"
13-May-2018 - 00:00,,,,,,,,233.62,55.25,7.35,42.19,49.54,1.43,,74.4,14-May-2018 - 00:00,"Sector - 62, Noida - IMD"
14-May-2018 - 00:00,,,,,,,,139.76,32.74,8.7,37.85,46.55,1.42,,65.35,15-May-2018 - 00:00,"Sector - 62, Noida - IMD"
15-May-2018 - 00:00,,,,,,,,171.45,46.53,7.94,40.31,48.25,1.17,,71.2,16-May-2018 - 00:00,"Sector - 62, Noida - IMD"
16-May-2018 - 00:00,,,,,,,,248.39,64.2,10.6,33.55,44.15,0.98,,56.46,17-May-2018 - 00:00,"Sector - 62, Noida - IMD"
17-May-2018 - 00:00,,,,,,,,341.61,87.56,7.58,45.48,53.07,0.57,,88.46,18-May-2018 - 00:00,"Sector - 62, Noida - IMD"
18-May-2018 - 00:00,,,,,,,,254.81,66.29,18.47,26.9,45.37,0.0,,42.86,19-May-2018 - 00:00,"Sector - 62, Noida - IMD"
19-May-2018 - 00:00,,,,,,,,291.62,76.63,23.79,23.65,47.44,0.0,,39.95,20-May-2018 - 00:00,"Sector - 62, Noida - IMD"
