from date,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
08-Jun-2018 - 00:00,,,,,,,,210.9,55.55,9.26,34.12,43.38,0.0,,53.41,09-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
09-Jun-2018 - 00:00,,,,,,,,112.07,34.0,14.93,25.72,40.65,0.0,,36.64,10-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
10-Jun-2018 - 00:00,,,,,,,,156.8,55.32,16.18,28.12,44.3,0.0,,46.95,11-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
11-Jun-2018 - 00:00,,,,,,,,240.98,67.62,15.11,28.28,43.39,0.0,,44.87,12-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
12-Jun-2018 - 00:00,,,,,,,,488.12,203.22,20.95,19.65,40.6,0.0,,27.18,13-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
13-Jun-2018 - 00:00,,,,,,,,884.72,369.14,22.74,16.09,38.84,0.0,,20.12,14-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
14-Jun-2018 - 00:00,,,,,,,,812.69,257.48,20.49,18.42,38.91,0.0,,23.83,15-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
15-Jun-2018 - 00:00,,,,,,,,701.12,185.25,16.08,21.51,37.59,0.0,,28.36,16-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
16-Jun-2018 - 00:00,,,,,,,,627.41,166.42,14.87,24.15,39.02,0.0,,33.79,17-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
17-Jun-2018 - 00:00,,,,,,,,282.17,87.93,11.78,27.05,38.83,0.0,,38.19,18-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
18-Jun-2018 - 00:00,,,,,,,,192.13,76.09,12.87,27.37,40.24,0.0,,40.36,19-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
19-Jun-2018 - 00:00,,,,,,,,161.98,58.16,10.93,31.43,42.36,0.0,,49.16,20-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
20-Jun-2018 - 00:00,,,,,,,,229.92,69.52,12.19,33.41,45.6,0.0,,57.31,21-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
21-Jun-2018 - 00:00,,,,,,,,292.3,91.49,11.22,33.5,44.72,0.0,,55.82,22-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
22-Jun-2018 - 00:00,,,,,,,,294.12,88.48,18.79,33.94,52.74,0.0,,67.78,23-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
23-Jun-2018 - 00:00,,,,,,,,244.37,71.93,13.74,33.0,46.74,0.0,,56.81,24-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
24-Jun-2018 - 00:00,,,,,,,,213.27,,10.4,33.88,44.29,0.0,,56.64,25-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
25-Jun-2018 - 00:00,,,,,,,,304.72,98.4,14.56,25.43,39.99,0.0,,36.75,26-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
26-Jun-2018 - 00:00,,,,,,,,188.23,97.72,22.5,16.18,38.68,0.0,,19.94,27-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
27-Jun-2018 - 00:00,,,,,,,,110.11,43.54,9.02,68.53,77.55,0.0,,23.25,28-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
28-Jun-2018 - 00:00,,,,,,,,68.18,27.14,10.26,58.93,66.95,0.0,,29.49,29-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
29-Jun-2018 - 00:00,,,,,,,,73.66,27.57,15.62,21.43,37.06,0.0,,27.66,30-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
30-Jun-2018 - 00:00,,,,,,,,80.32,31.18,16.35,21.25,37.6,0.0,,28.02,01-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
01-Jul-2018 - 00:00,,,,,,,,78.67,24.41,21.83,17.32,39.15,0.0,,21.87,02-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
02-Jul-2018 - 00:00,,,,,,,,129.68,30.4,18.72,18.4,37.12,0.0,,22.86,03-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
03-Jul-2018 - 00:00,,,,,,,,111.91,35.02,16.42,20.8,37.22,0.0,,27.57,04-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
04-Jul-2018 - 00:00,,,,,,,,101.38,33.24,8.98,48.97,57.94,0.0,,84.2,05-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
05-Jul-2018 - 00:00,,,,,,,,163.67,46.1,19.71,47.93,64.77,0.0,,57.91,06-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
06-Jul-2018 - 00:00,,,,,,,,187.31,57.67,7.45,54.33,61.7,0.0,,94.76,07-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
07-Jul-2018 - 00:00,,,,,,,,167.13,57.16,9.14,42.36,51.5,0.0,,72.72,08-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
08-Jul-2018 - 00:00,,,,,,,,180.92,65.73,14.07,38.17,49.74,0.0,,70.41,09-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
09-Jul-2018 - 00:00,,,,,,,,159.27,58.5,8.88,39.14,47.92,0.0,,70.28,10-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
10-Jul-2018 - 00:00,,,,,,,,94.71,53.71,9.45,43.6,52.9,0.0,0.0,86.77,11-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
11-Jul-2018 - 00:00,,,,,,,,98.54,39.94,10.65,29.94,40.59,0.0,,44.23,12-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
12-Jul-2018 - 00:00,,,,,,,,130.6,41.25,15.31,32.75,48.08,0.0,,61.58,13-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
13-Jul-2018 - 00:00,,,,,,,,87.16,26.38,16.32,27.28,43.55,0.0,,40.59,14-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
14-Jul-2018 - 00:00,,,,,,,,57.37,27.32,18.55,23.69,42.26,0.0,,33.5,15-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
15-Jul-2018 - 00:00,,,,,,,,83.76,38.09,14.18,27.12,41.32,0.0,,40.7,16-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
16-Jul-2018 - 00:00,,,,,,,,89.05,35.0,11.62,29.19,40.81,0.0,,43.83,17-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
17-Jul-2018 - 00:00,,,,,,,,85.24,25.24,12.98,27.4,40.39,0.0,,40.56,18-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
18-Jul-2018 - 00:00,,,,,,,,100.66,32.46,28.8,14.99,18.41,0.0,,34.35,19-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
19-Jul-2018 - 00:00,,,,,,,,84.16,30.02,,,0.0,0.0,,33.56,20-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
20-Jul-2018 - 00:00,,,,,,,,111.99,39.98,,,0.0,0.0,,47.5,21-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
21-Jul-2018 - 00:00,,,,,,,,88.0,34.43,,,0.0,0.0,,31.99,22-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
22-Jul-2018 - 00:00,,,,,,,,46.38,21.1,,,0.0,0.0,,27.83,23-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
23-Jul-2018 - 00:00,,,,,,,,66.82,25.08,,,8.57,0.0,0.0,41.98,24-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
24-Jul-2018 - 00:00,,,,,,,,74.9,27.0,21.66,31.69,35.75,0.0,,28.43,25-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
25-Jul-2018 - 00:00,,,,,,,,78.97,27.29,18.79,35.65,52.14,0.0,,16.69,26-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
26-Jul-2018 - 00:00,,,,,,,,69.86,25.53,53.41,57.51,23.26,0.0,0.0,18.42,27-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
27-Jul-2018 - 00:00,,,,,,,,48.75,26.39,17.63,35.25,52.88,0.0,,24.39,28-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
28-Jul-2018 - 00:00,,,,,,,,70.39,36.1,17.36,35.14,52.51,0.0,,23.06,29-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
29-Jul-2018 - 00:00,,,,,,,,159.08,48.96,17.29,35.09,52.38,0.0,,22.14,30-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
30-Jul-2018 - 00:00,,,,,,,,174.24,76.97,17.3,35.1,52.4,0.0,,14.14,31-Jul-2018 - 00:00,"Sector - 62, Noida - IMD"
31-Jul-2018 - 00:00,,,,,,,,208.92,58.43,17.5,35.18,52.68,0.0,,10.65,01-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
01-Aug-2018 - 00:00,,,,,,,,262.08,58.95,17.45,35.12,52.58,0.0,,12.48,02-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
02-Aug-2018 - 00:00,,,,,,,,335.86,71.99,17.45,35.12,52.57,0.0,,12.35,03-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
03-Aug-2018 - 00:00,,,,,,,,301.61,56.28,17.43,35.14,52.56,0.0,,12.45,04-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
04-Aug-2018 - 00:00,,,,,,,,303.05,62.73,17.35,35.13,52.48,0.0,,17.27,05-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
05-Aug-2018 - 00:00,,,,,,,,278.4,66.41,17.46,35.17,52.63,0.0,,10.08,06-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
06-Aug-2018 - 00:00,,,,,,,,129.06,43.17,17.47,35.19,52.66,0.0,,11.52,07-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
07-Aug-2018 - 00:00,,,,,,,,100.62,38.82,17.33,35.08,52.41,0.0,,13.93,08-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
08-Aug-2018 - 00:00,,,,,,,,72.72,33.11,17.34,35.09,52.43,0.0,,23.31,09-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
09-Aug-2018 - 00:00,,,,,,,,80.06,35.32,17.24,35.05,52.3,0.0,,12.93,10-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
10-Aug-2018 - 00:00,,,,,,,,121.02,52.03,17.24,35.12,52.36,0.0,,12.76,11-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
11-Aug-2018 - 00:00,,,,,,,,119.92,37.04,17.14,35.02,52.15,0.0,,10.34,12-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
12-Aug-2018 - 00:00,,,,,,,,87.42,28.17,17.23,35.08,52.31,0.0,,11.37,13-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
13-Aug-2018 - 00:00,,,,,,,,94.51,33.52,17.16,35.04,52.2,0.0,,10.32,14-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
14-Aug-2018 - 00:00,,,,,,,,131.94,46.61,17.11,35.0,52.11,0.0,,14.16,15-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
15-Aug-2018 - 00:00,,,,,,,,113.49,40.35,17.09,35.0,52.09,0.0,,13.01,16-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
16-Aug-2018 - 00:00,,,,,,,,89.68,33.02,17.09,35.01,52.1,0.0,,20.91,17-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
17-Aug-2018 - 00:00,,,,,,,,66.68,26.71,17.15,35.02,23.5,0.0,0.0,14.62,18-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
18-Aug-2018 - 00:00,,,,,,,,69.55,28.8,,,0.0,0.0,,17.15,19-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
19-Aug-2018 - 00:00,,,,,,,,101.45,44.21,,,0.0,0.0,,12.32,20-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
20-Aug-2018 - 00:00,,,,,,,,116.92,53.93,,,0.0,0.0,,26.09,21-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
21-Aug-2018 - 00:00,,,,,,,,67.12,26.33,23.75,38.05,11.4,0.0,0.0,23.32,22-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
22-Aug-2018 - 00:00,,,,,,,,70.0,33.24,61.29,36.82,43.04,0.0,,21.72,23-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
23-Aug-2018 - 00:00,,,,,,,,65.78,28.98,57.41,25.4,79.51,0.0,0.0,32.22,24-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
24-Aug-2018 - 00:00,,,,,,,,96.03,28.32,25.07,17.06,42.12,0.0,,27.92,25-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
25-Aug-2018 - 00:00,,,,,,,,89.11,24.38,24.09,16.09,40.18,0.0,,34.79,26-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
26-Aug-2018 - 00:00,,,,,,,,75.76,24.27,24.91,15.19,40.1,0.0,,36.89,27-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
27-Aug-2018 - 00:00,,,,,,,,60.0,25.02,27.85,16.15,44.0,0.0,,39.79,28-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
28-Aug-2018 - 00:00,,,,,,,,56.91,27.83,28.01,16.24,44.25,0.0,,40.07,29-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
29-Aug-2018 - 00:00,,,,,,,,57.23,28.71,29.34,17.4,46.74,0.0,,32.74,30-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
30-Aug-2018 - 00:00,,,,,,,,96.62,44.21,25.81,16.44,42.24,0.0,,45.62,31-Aug-2018 - 00:00,"Sector - 62, Noida - IMD"
31-Aug-2018 - 00:00,,,,,,,,156.47,45.12,25.6,20.47,45.99,0.0,,44.86,01-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
01-Sep-2018 - 00:00,,,,,,,,98.8,43.4,21.38,29.85,51.22,0.0,,50.77,02-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
02-Sep-2018 - 00:00,,,,,,,,88.49,43.52,17.03,28.53,45.56,0.0,,54.45,03-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
03-Sep-2018 - 00:00,,,,,,,,77.76,40.37,18.12,29.83,47.95,0.0,,46.21,04-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
04-Sep-2018 - 00:00,,,,,,,,119.11,59.02,18.52,37.18,55.7,0.0,,52.1,05-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
05-Sep-2018 - 00:00,,,,,,,,118.59,41.65,18.21,33.25,51.46,0.0,,38.84,06-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
06-Sep-2018 - 00:00,,,,,,,,149.12,46.0,17.42,34.22,51.64,0.0,,54.04,07-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
07-Sep-2018 - 00:00,,,,,,,,90.88,36.58,18.43,36.52,54.95,0.0,,45.66,08-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
08-Sep-2018 - 00:00,,,,,,,,117.06,30.24,15.94,28.35,44.29,0.0,,39.51,09-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
09-Sep-2018 - 00:00,,,,,,,,40.91,21.36,17.11,26.28,43.4,0.0,,44.51,10-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
10-Sep-2018 - 00:00,,,,,,,,66.62,33.03,17.81,28.79,46.6,0.0,,42.86,11-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
11-Sep-2018 - 00:00,,,,,,,,64.68,31.19,17.77,32.51,50.28,0.0,,40.26,12-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
12-Sep-2018 - 00:00,,,,,,,,84.61,31.12,21.02,32.74,53.76,0.0,,40.21,13-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
13-Sep-2018 - 00:00,,,,,,,,94.47,29.17,25.63,34.45,60.08,0.0,,41.71,14-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
14-Sep-2018 - 00:00,,,,,,,,103.33,33.43,27.35,35.9,63.26,0.0,,44.16,15-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
15-Sep-2018 - 00:00,,,,,,,,101.77,39.54,27.47,37.06,64.53,0.0,,45.11,16-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
16-Sep-2018 - 00:00,,,,,,,,101.55,44.63,26.77,33.91,60.68,0.0,,46.33,17-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
17-Sep-2018 - 00:00,,,,,,,,120.88,54.46,28.2,34.34,62.53,0.0,,50.45,18-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
18-Sep-2018 - 00:00,,,,,,,,119.13,55.37,28.22,34.42,62.63,0.0,,53.82,19-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
19-Sep-2018 - 00:00,,,,,,,,136.13,56.41,28.88,38.72,67.6,0.0,,53.53,20-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
20-Sep-2018 - 00:00,,,,,,,,155.17,82.21,27.98,39.53,67.51,0.0,,70.16,21-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
21-Sep-2018 - 00:00,,,,,,,,97.63,56.56,33.88,36.06,65.59,0.0,0.0,47.22,22-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
22-Sep-2018 - 00:00,,,,,,,,,,,,,,,,23-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
23-Sep-2018 - 00:00,,,,,,,,,,,,,,,,24-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
24-Sep-2018 - 00:00,,,,,,,,,,,,,,,,25-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
25-Sep-2018 - 00:00,,,,,,,,,,,,,,,,26-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
26-Sep-2018 - 00:00,,,,,,,,,,,,,,,,27-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
27-Sep-2018 - 00:00,,,,,,,,,,,,,,,,28-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
28-Sep-2018 - 00:00,,,,,,,,282.78,498.04,27.66,24.64,52.3,2.09,,28.81,29-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
29-Sep-2018 - 00:00,,,,,,,,122.84,229.14,29.03,25.24,54.27,1.18,,30.98,30-Sep-2018 - 00:00,"Sector - 62, Noida - IMD"
30-Sep-2018 - 00:00,,,,,,,,78.01,141.31,31.03,25.95,56.98,0.28,,26.55,01-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
01-Oct-2018 - 00:00,,,,,,,,206.78,148.23,47.48,44.44,90.89,0.52,0.0,43.74,02-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
02-Oct-2018 - 00:00,,,,,,,,194.03,134.38,65.65,57.84,123.49,0.85,,46.72,03-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
03-Oct-2018 - 00:00,,,,,,,,212.66,170.98,74.52,77.94,152.46,0.89,,42.18,04-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
04-Oct-2018 - 00:00,,,,,,,,224.66,127.25,49.33,96.44,145.22,1.12,0.0,61.32,05-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
05-Oct-2018 - 00:00,,,,,,,,226.83,142.07,41.16,88.39,129.54,1.42,,59.83,06-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
06-Oct-2018 - 00:00,,,,,,,,173.67,95.34,34.06,84.47,118.53,0.8,,26.66,07-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
07-Oct-2018 - 00:00,,,,,,,,193.47,107.64,17.35,75.18,90.78,0.63,,51.01,08-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
08-Oct-2018 - 00:00,,,,,,,,242.59,147.6,6.31,69.66,65.75,0.69,,56.19,09-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
09-Oct-2018 - 00:00,,,,,,,,230.1,122.99,20.42,55.14,63.01,0.74,,39.51,10-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
10-Oct-2018 - 00:00,,,,,,,,198.56,87.38,11.13,16.35,27.12,0.68,,34.05,11-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
11-Oct-2018 - 00:00,,,,,,,,171.12,49.49,6.12,8.91,12.73,0.57,,16.71,12-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
12-Oct-2018 - 00:00,,,,,,,,176.11,68.2,9.11,14.01,23.12,0.68,,32.0,13-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
13-Oct-2018 - 00:00,,,,,,,,263.52,143.22,23.95,18.7,42.65,0.89,,53.89,14-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
14-Oct-2018 - 00:00,,,,,,,,212.5,84.44,23.81,19.92,43.72,0.94,,16.4,15-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
15-Oct-2018 - 00:00,,,,,,,,290.85,109.01,29.93,21.05,50.98,1.09,,35.92,16-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
16-Oct-2018 - 00:00,,,,,,,,354.69,136.26,40.65,21.8,62.45,1.37,,22.72,17-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
17-Oct-2018 - 00:00,,,,,,,,347.52,128.74,64.06,19.48,83.53,1.27,,23.46,18-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
18-Oct-2018 - 00:00,,,,,,,,345.31,133.65,57.93,17.98,75.91,1.83,,15.97,19-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
19-Oct-2018 - 00:00,,,,,,,,318.02,139.3,42.46,19.75,62.21,1.8,,46.16,20-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
20-Oct-2018 - 00:00,,,,,,,,256.4,137.15,30.58,15.29,45.88,1.65,,41.43,21-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
21-Oct-2018 - 00:00,,,,,,,,281.85,140.96,38.65,17.34,56.0,1.92,,50.57,22-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
22-Oct-2018 - 00:00,,,,,,,,278.22,136.34,52.21,19.61,71.82,2.69,,15.08,23-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
23-Oct-2018 - 00:00,,,,,,,,293.27,122.87,74.4,21.92,96.32,2.87,,21.32,24-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
24-Oct-2018 - 00:00,,,,,,,,366.72,150.94,66.57,26.41,92.99,2.37,0.0,39.07,25-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
25-Oct-2018 - 00:00,,,,,,,,350.7,167.47,65.72,21.0,86.72,2.6,,35.17,26-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
26-Oct-2018 - 00:00,,,,,,,,410.92,212.63,84.15,22.62,106.76,3.3,,37.84,27-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
27-Oct-2018 - 00:00,,,,,,,,444.44,228.34,234.4,23.92,258.33,5.04,,35.74,28-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
28-Oct-2018 - 00:00,,,,,,,,,,,,,,,,29-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
29-Oct-2018 - 00:00,,,,,,,,414.75,164.12,51.66,24.43,75.33,3.91,,45.48,30-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
30-Oct-2018 - 00:00,,,,,,,,470.47,252.96,81.77,26.86,108.64,4.47,,37.18,31-Oct-2018 - 00:00,"Sector - 62, Noida - IMD"
31-Oct-2018 - 00:00,,,,,,,,341.03,179.67,68.86,20.09,88.94,2.9,,34.01,01-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
01-Nov-2018 - 00:00,,,,,,,,437.65,227.69,91.85,21.22,113.07,3.99,,31.95,02-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
02-Nov-2018 - 00:00,,,,,,,,324.88,173.42,38.3,17.39,55.69,2.14,,39.16,03-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
03-Nov-2018 - 00:00,,,,,,,,247.75,138.66,27.22,9.89,37.11,1.46,,42.85,04-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
04-Nov-2018 - 00:00,,,,,,,,157.71,93.35,30.44,7.76,38.2,1.44,,47.5,05-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
05-Nov-2018 - 00:00,,,,,,,,486.53,365.33,43.67,17.96,61.63,2.91,,31.98,06-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
06-Nov-2018 - 00:00,,,,,,,,300.03,172.6,35.31,14.47,49.78,1.92,,34.56,07-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
07-Nov-2018 - 00:00,,,,,,,,342.76,200.98,29.19,15.13,44.32,2.25,,39.17,08-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
08-Nov-2018 - 00:00,,,,,,,,489.73,374.2,73.26,22.37,95.63,4.62,,28.28,09-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
09-Nov-2018 - 00:00,,,,,,,,438.66,306.14,65.45,22.35,87.79,3.94,,35.38,10-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
10-Nov-2018 - 00:00,,,,,,,,393.38,246.29,76.36,22.65,99.0,4.44,,30.72,11-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
11-Nov-2018 - 00:00,,,,,,,,471.75,294.1,76.09,20.12,96.21,3.95,,34.14,12-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
12-Nov-2018 - 00:00,,,,,,,,473.08,276.42,68.9,20.84,89.74,4.71,,30.14,13-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
13-Nov-2018 - 00:00,,,,,,,,463.23,273.84,66.48,19.92,86.4,4.51,,20.77,14-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
14-Nov-2018 - 00:00,,,,,,,,225.58,140.83,58.44,15.41,73.85,3.18,,25.08,15-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
15-Nov-2018 - 00:00,,,,,,,,160.01,92.46,53.81,11.1,64.91,2.31,,30.07,16-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
16-Nov-2018 - 00:00,,,,,,,,194.14,110.44,56.26,12.64,68.9,1.95,,31.45,17-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
17-Nov-2018 - 00:00,,,,,,,,283.23,144.76,68.89,14.67,83.56,2.33,,32.03,18-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
18-Nov-2018 - 00:00,,,,,,,,296.24,163.74,76.62,12.94,89.56,2.92,,38.9,19-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
19-Nov-2018 - 00:00,,,,,,,,324.0,192.83,54.8,10.87,65.66,2.24,,48.65,20-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
20-Nov-2018 - 00:00,,,,,,,,369.01,206.27,58.24,14.05,72.29,3.35,,42.67,21-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
21-Nov-2018 - 00:00,,,,,,,,365.77,192.71,62.97,11.71,74.67,3.92,,33.4,22-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
22-Nov-2018 - 00:00,,,,,,,,360.81,154.49,66.82,11.65,78.48,4.62,,32.95,23-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
23-Nov-2018 - 00:00,,,,,,,,351.08,168.68,55.36,9.14,64.49,2.98,,35.75,24-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
