from date,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,SO2,WS,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,to date,station
25-Jan-2018 - 00:00,-0.05,248.42,91.48,754.83,79.56,28.26,52.37,46.61,14.11,130.3,16.25,,1.0,6.84,1.25,5.62,14.56,2.38,1.26,2.1,26-Jan-2018 - 00:00,"Shadipur, Delhi - CPCB"
26-Jan-2018 - 00:00,-0.0,189.55,88.21,755.38,89.52,29.53,62.75,57.0,11.94,130.94,15.86,,0.93,5.63,0.75,3.67,8.68,0.5,0.92,1.47,27-Jan-2018 - 00:00,"Shadipur, Delhi - CPCB"
27-Jan-2018 - 00:00,-0.01,186.97,77.93,755.41,89.29,43.19,61.72,67.39,21.25,166.26,16.43,,1.51,8.97,0.69,6.04,22.52,3.95,3.54,2.4,28-Jan-2018 - 00:00,"Shadipur, Delhi - CPCB"
28-Jan-2018 - 00:00,-0.01,211.53,73.17,755.85,105.52,51.73,62.14,74.44,17.72,142.29,17.37,,1.49,7.52,0.69,4.35,16.88,3.22,4.23,2.79,29-Jan-2018 - 00:00,"Shadipur, Delhi - CPCB"
29-Jan-2018 - 00:00,0.06,259.74,66.01,756.79,110.21,77.12,62.39,94.88,18.06,144.1,18.42,,1.37,9.15,0.91,4.96,18.78,4.66,4.89,3.89,30-Jan-2018 - 00:00,"Shadipur, Delhi - CPCB"
30-Jan-2018 - 00:00,0.02,281.12,46.2,756.13,99.42,19.27,67.25,51.19,23.34,111.74,21.47,,0.82,12.84,1.16,4.07,11.65,1.08,1.3,1.83,31-Jan-2018 - 00:00,"Shadipur, Delhi - CPCB"
31-Jan-2018 - 00:00,0.27,272.91,53.94,755.43,99.31,18.76,62.53,48.27,26.62,112.07,21.45,,0.93,9.82,1.32,4.82,12.89,2.07,1.31,1.73,01-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
01-Feb-2018 - 00:00,0.3,214.09,49.03,755.54,93.86,56.18,77.04,85.92,19.39,133.77,22.57,,1.04,17.89,0.82,5.18,17.28,5.0,6.55,3.68,02-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
02-Feb-2018 - 00:00,-0.04,241.44,54.25,754.32,94.69,28.71,68.24,59.27,20.63,107.87,22.22,,1.47,13.89,0.82,3.67,16.46,1.53,5.77,2.75,03-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
03-Feb-2018 - 00:00,-0.08,219.6,38.65,756.09,99.74,28.5,70.01,60.04,29.63,96.49,21.43,,0.74,21.54,0.79,2.09,14.41,1.43,3.29,2.39,04-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
04-Feb-2018 - 00:00,-0.06,274.35,39.41,756.5,102.57,25.91,62.42,53.92,36.06,101.51,20.18,,0.75,15.8,0.84,2.33,8.39,1.96,1.65,1.22,05-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
05-Feb-2018 - 00:00,0.52,266.82,32.66,757.94,76.19,35.66,67.76,64.57,25.19,105.13,19.61,,0.84,18.02,0.72,2.84,11.2,3.98,2.08,3.18,06-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
06-Feb-2018 - 00:00,0.93,274.12,33.54,757.74,74.59,23.27,58.0,49.46,26.95,90.72,20.53,,0.8,19.16,0.82,2.68,12.01,3.16,0.12,2.15,07-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
07-Feb-2018 - 00:00,0.53,273.99,31.99,755.88,99.64,19.64,56.79,45.92,37.77,96.14,20.04,,0.75,19.17,0.8,3.49,12.98,3.45,0.82,1.57,08-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
08-Feb-2018 - 00:00,0.3,209.04,41.45,755.32,91.53,79.5,58.18,94.54,26.13,97.52,19.72,,1.24,17.58,0.6,5.27,20.01,6.15,0.0,3.3,09-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
09-Feb-2018 - 00:00,0.06,220.34,45.43,755.37,92.2,72.9,53.96,87.02,28.29,128.97,19.92,,1.33,20.28,0.65,7.16,26.28,6.5,0.0,4.24,10-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
10-Feb-2018 - 00:00,-0.03,102.92,41.43,756.81,72.81,148.87,44.94,143.0,25.98,166.83,20.75,,2.48,21.52,0.68,15.47,68.06,14.05,0.03,10.22,11-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
11-Feb-2018 - 00:00,0.06,118.08,28.93,756.25,63.93,21.34,36.53,36.5,25.34,106.28,22.08,,0.79,14.6,1.21,2.63,9.42,1.72,0.04,3.02,12-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
12-Feb-2018 - 00:00,0.22,138.66,63.71,757.7,56.52,9.5,22.14,19.33,26.85,81.74,19.91,,0.54,7.14,1.76,0.98,2.74,0.08,0.0,0.74,13-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
13-Feb-2018 - 00:00,0.13,205.64,73.78,759.14,76.62,27.38,24.82,35.1,18.85,81.36,20.32,,0.97,6.33,0.8,2.67,10.44,3.03,0.04,1.85,14-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
14-Feb-2018 - 00:00,0.18,302.44,54.1,758.26,85.98,11.28,21.4,20.42,27.45,58.96,20.16,,0.61,7.59,0.94,2.31,6.1,1.34,0.02,0.63,15-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
15-Feb-2018 - 00:00,0.19,301.93,53.94,756.79,82.43,11.04,23.17,21.15,31.27,69.45,21.01,,0.53,8.83,0.93,3.23,7.12,2.35,0.0,0.8,16-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
16-Feb-2018 - 00:00,0.18,284.68,59.67,755.79,75.94,13.87,25.98,24.91,25.85,85.45,21.84,,0.77,8.75,0.79,3.41,8.63,1.99,0.13,1.39,17-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
17-Feb-2018 - 00:00,0.33,272.81,56.42,752.42,76.62,13.76,24.83,24.21,26.66,95.78,22.53,,0.76,15.88,1.07,4.67,10.49,2.17,0.19,1.36,18-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
18-Feb-2018 - 00:00,0.37,258.76,50.99,751.91,84.98,28.17,23.55,35.07,28.61,104.2,22.53,,1.08,13.48,0.95,3.97,15.22,2.57,0.05,2.7,19-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
19-Feb-2018 - 00:00,0.3,219.43,43.41,752.9,142.84,55.29,23.36,56.66,29.49,159.47,22.72,,1.81,16.07,0.72,7.33,23.23,7.62,0.28,4.86,20-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
20-Feb-2018 - 00:00,0.23,214.88,47.05,752.56,191.67,40.97,22.81,44.91,28.07,163.25,23.86,,1.31,16.73,0.75,8.59,28.97,6.65,0.0,4.32,21-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
21-Feb-2018 - 00:00,0.19,185.62,42.17,751.01,175.91,57.64,22.9,58.29,32.28,207.6,26.02,,1.64,13.9,0.72,7.43,34.79,8.58,0.33,5.45,22-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
22-Feb-2018 - 00:00,0.2,177.7,52.25,750.38,104.89,37.15,21.39,41.09,22.37,161.57,26.3,,1.52,15.11,0.7,6.81,33.87,9.05,5.11,5.0,23-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
23-Feb-2018 - 00:00,0.17,81.95,47.55,751.25,156.04,28.83,32.32,40.25,23.08,195.93,27.28,,1.77,18.69,0.79,5.25,21.53,6.16,4.72,3.63,24-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
24-Feb-2018 - 00:00,0.02,115.72,41.67,752.77,152.1,15.39,29.69,28.11,30.24,174.79,27.89,,1.0,14.29,0.97,5.73,14.37,3.79,1.66,2.92,25-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
25-Feb-2018 - 00:00,0.2,168.37,45.67,755.04,166.68,15.41,23.91,25.04,26.07,95.29,25.86,,0.52,17.86,1.06,1.79,7.64,0.89,2.23,0.92,26-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
26-Feb-2018 - 00:00,0.24,297.71,55.13,753.83,185.4,8.68,21.83,18.56,31.55,60.86,24.52,,0.59,8.7,1.14,1.0,3.78,0.19,1.95,0.59,27-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
27-Feb-2018 - 00:00,0.16,253.48,52.9,753.37,135.05,14.3,23.85,24.12,24.98,80.31,25.97,,0.77,12.49,0.99,4.07,13.84,2.67,2.68,1.64,28-Feb-2018 - 00:00,"Shadipur, Delhi - CPCB"
28-Feb-2018 - 00:00,0.01,189.95,59.74,753.46,121.1,17.73,25.21,27.6,21.77,118.01,26.47,,0.79,18.48,0.78,4.13,23.18,3.43,5.21,3.18,01-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
01-Mar-2018 - 00:00,-0.34,195.77,49.38,752.47,84.59,19.09,25.27,28.72,18.92,111.36,26.05,,1.02,16.52,0.76,3.41,13.6,2.92,3.88,2.51,02-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
02-Mar-2018 - 00:00,-0.22,205.4,48.24,751.37,77.56,26.46,23.24,33.53,24.77,116.24,26.95,,1.08,13.25,0.78,5.07,12.63,4.94,3.11,2.58,03-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
