from date,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,SO2,WS,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,to date,station
15-Apr-2018 - 00:00,0.22,198.49,28.13,749.54,157.09,65.51,68.66,88.93,31.03,147.77,32.75,,1.38,13.35,0.89,4.11,14.24,4.58,3.24,2.83,16-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
16-Apr-2018 - 00:00,0.04,98.36,26.93,749.74,116.13,39.13,68.52,67.75,32.67,125.55,33.21,,1.05,13.76,1.48,3.36,8.8,2.0,1.33,2.12,17-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
17-Apr-2018 - 00:00,0.08,172.73,26.26,750.51,154.72,35.63,55.67,58.13,21.19,93.13,33.05,,0.77,9.4,1.34,2.2,9.01,1.58,1.55,1.33,18-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
18-Apr-2018 - 00:00,0.06,280.11,21.25,750.02,168.18,12.56,47.85,35.52,25.17,70.78,33.09,,0.6,15.14,1.17,1.02,5.28,0.38,0.87,0.76,19-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
19-Apr-2018 - 00:00,0.26,203.14,21.2,747.85,155.71,20.5,58.01,47.25,25.94,92.98,33.75,,0.92,20.79,0.85,1.08,4.61,0.49,1.51,0.78,20-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
20-Apr-2018 - 00:00,0.5,176.33,19.69,747.16,140.44,13.1,44.64,34.23,23.32,116.01,33.59,,0.71,16.84,1.74,0.71,2.93,0.0,0.1,0.25,21-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
21-Apr-2018 - 00:00,0.53,275.72,28.65,750.22,147.29,11.4,41.06,30.95,28.54,156.72,30.31,,0.66,14.09,1.1,0.22,3.04,0.05,0.47,0.19,22-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
22-Apr-2018 - 00:00,0.53,272.49,19.93,750.91,185.32,12.38,42.76,32.62,36.91,55.34,29.92,,0.59,30.68,1.2,0.24,2.27,0.14,0.12,0.23,23-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
23-Apr-2018 - 00:00,0.44,282.29,15.67,750.25,181.39,58.69,42.82,70.36,45.1,72.79,30.88,,1.03,19.37,0.83,2.18,11.87,2.41,2.39,1.75,24-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
24-Apr-2018 - 00:00,0.16,239.88,16.14,749.44,175.33,39.95,57.11,62.27,35.71,103.41,33.0,,1.42,27.18,0.85,5.19,19.92,4.19,3.22,3.04,25-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
25-Apr-2018 - 00:00,-0.16,213.64,15.28,747.62,174.84,83.04,56.91,96.67,27.49,125.73,34.96,,1.64,19.53,0.8,9.52,37.31,12.15,8.9,6.89,26-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
26-Apr-2018 - 00:00,0.06,129.33,14.65,746.55,147.2,32.56,57.15,55.97,44.63,136.24,36.34,,1.76,20.77,0.99,6.53,20.42,6.66,3.55,4.5,27-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
27-Apr-2018 - 00:00,0.12,125.17,40.76,748.62,140.11,11.51,39.49,29.22,36.69,111.34,34.05,,0.89,10.07,1.42,3.64,11.13,1.46,0.79,1.71,28-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
28-Apr-2018 - 00:00,0.08,120.23,41.85,748.42,139.57,9.7,32.05,24.74,38.99,79.63,34.48,,0.35,7.88,1.63,1.83,6.56,0.75,0.37,0.9,29-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
29-Apr-2018 - 00:00,0.1,130.98,39.42,746.57,137.62,10.52,41.12,30.29,45.03,79.61,34.91,,0.29,8.29,0.95,1.87,6.07,0.65,0.37,1.04,30-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
30-Apr-2018 - 00:00,-0.06,138.13,37.97,745.5,158.05,18.17,43.6,37.72,27.72,61.37,34.91,,0.24,8.64,1.23,2.3,6.84,0.43,0.08,1.87,01-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
01-May-2018 - 00:00,0.08,129.28,53.25,747.69,156.63,10.44,26.17,22.1,30.86,39.74,32.85,,0.3,7.09,1.82,1.06,3.59,0.0,0.0,0.5,02-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
02-May-2018 - 00:00,0.16,121.79,56.87,748.69,151.44,10.63,25.39,22.01,36.74,78.24,31.53,,0.3,7.6,2.0,0.51,2.69,0.02,0.02,0.33,03-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
03-May-2018 - 00:00,0.17,127.8,55.77,749.08,138.56,12.05,30.12,25.66,24.95,44.34,31.03,,0.33,7.81,1.81,0.68,4.93,0.0,0.0,0.37,04-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
04-May-2018 - 00:00,-0.14,111.83,55.52,749.14,165.57,10.2,30.25,24.25,38.97,57.54,32.38,,0.33,7.39,1.51,0.68,1.98,0.46,0.16,1.54,05-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
05-May-2018 - 00:00,-0.34,155.26,39.58,748.52,187.39,22.66,50.5,44.96,45.44,84.34,34.8,,0.31,9.49,0.77,3.13,14.44,4.53,3.17,2.59,06-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
06-May-2018 - 00:00,-0.14,76.2,35.49,749.02,243.26,34.27,56.28,57.35,21.39,103.98,33.56,,0.25,10.38,1.72,4.41,16.29,4.13,2.36,2.96,07-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
07-May-2018 - 00:00,-0.11,178.83,31.29,747.73,177.01,41.43,52.81,61.23,33.84,119.86,34.16,,0.33,11.27,0.69,4.24,19.93,4.78,3.29,2.93,08-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
08-May-2018 - 00:00,0.28,209.33,38.97,748.29,149.7,9.37,27.06,21.89,41.58,84.18,30.56,,0.29,6.59,1.47,0.59,4.7,0.0,1.95,0.31,09-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
09-May-2018 - 00:00,0.19,136.68,47.87,749.51,122.81,26.49,67.55,57.12,27.75,63.18,29.71,,0.76,7.16,0.83,2.13,9.85,4.02,1.01,8.41,10-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
10-May-2018 - 00:00,0.44,186.53,40.77,749.85,158.63,26.94,68.07,57.76,41.26,77.66,32.54,,0.99,4.88,0.72,3.16,14.03,8.4,4.08,10.93,11-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
11-May-2018 - 00:00,-0.04,196.11,33.18,747.79,146.86,31.78,81.16,68.6,39.71,124.29,35.01,,1.24,7.51,0.74,4.85,14.38,11.77,4.36,14.45,12-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
12-May-2018 - 00:00,-0.2,132.05,37.7,747.23,121.76,12.79,68.98,46.92,48.63,117.0,36.1,,1.09,7.28,1.06,7.42,18.24,6.59,3.25,6.1,13-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
13-May-2018 - 00:00,-0.14,115.97,52.21,747.54,123.05,6.78,29.14,20.92,40.37,79.02,33.1,,0.53,9.01,2.0,2.21,4.8,0.09,0.0,0.83,14-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
14-May-2018 - 00:00,-0.12,165.78,50.69,748.59,141.13,7.24,43.43,28.9,34.86,49.62,31.09,,0.59,13.03,0.94,1.4,5.01,1.25,0.33,2.3,15-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
15-May-2018 - 00:00,-0.14,128.37,50.42,747.51,136.05,7.11,42.91,28.51,38.72,66.69,33.38,,0.73,11.06,1.01,2.85,5.94,2.26,0.69,3.94,16-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
16-May-2018 - 00:00,-0.09,93.17,34.96,746.85,150.73,10.43,50.43,35.17,33.62,68.08,34.99,,0.56,13.14,1.33,2.67,10.32,3.31,4.24,4.05,17-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
17-May-2018 - 00:00,-0.18,70.52,25.3,746.85,167.53,11.97,57.74,40.29,44.53,112.39,35.59,,0.62,16.2,1.1,1.91,8.31,5.03,2.24,4.79,18-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
18-May-2018 - 00:00,-0.19,59.86,30.11,746.81,151.97,17.1,54.46,42.65,28.53,92.16,34.59,,0.81,14.59,1.16,4.14,14.4,6.77,3.1,5.29,19-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
19-May-2018 - 00:00,-0.1,144.6,33.81,746.74,192.19,46.03,66.27,72.08,28.62,110.82,34.49,,1.01,13.74,0.75,9.89,29.95,11.16,7.94,7.02,20-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
20-May-2018 - 00:00,-0.07,107.59,21.82,747.57,181.84,18.24,54.0,43.32,32.86,91.07,35.06,,0.76,15.26,1.09,3.87,20.2,6.64,5.77,4.02,21-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
21-May-2018 - 00:00,-0.06,48.65,10.59,747.73,256.42,9.68,55.82,37.43,43.46,74.38,36.12,,0.48,19.53,1.53,2.12,21.72,1.73,6.64,3.07,22-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
22-May-2018 - 00:00,-0.04,65.24,13.87,746.96,239.9,39.56,55.44,61.14,49.39,120.04,36.9,,1.3,25.72,1.25,8.88,38.47,13.39,13.2,8.07,23-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
23-May-2018 - 00:00,-0.11,68.26,21.54,746.26,181.26,56.81,72.52,84.02,37.18,146.44,37.53,,1.58,17.09,1.05,12.01,55.15,21.41,17.65,11.61,24-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
24-May-2018 - 00:00,-0.14,49.43,19.32,745.87,125.59,14.79,59.67,43.57,28.17,121.53,36.79,,0.91,24.05,1.26,5.71,29.1,7.35,8.05,5.23,25-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
25-May-2018 - 00:00,0.03,41.55,11.1,746.86,159.32,37.19,64.79,64.22,39.53,86.71,37.53,,0.84,18.59,1.16,7.42,26.94,8.75,7.76,5.41,26-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
26-May-2018 - 00:00,0.1,156.03,12.65,746.76,155.92,42.19,70.59,71.3,36.23,117.87,38.0,,1.0,21.54,0.71,10.27,36.68,12.9,12.13,7.27,27-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
27-May-2018 - 00:00,0.13,243.93,12.36,746.68,211.98,29.83,66.43,59.2,35.47,102.94,37.27,,0.76,16.99,1.05,5.31,18.09,7.45,3.76,5.56,28-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
28-May-2018 - 00:00,0.16,92.63,17.95,720.86,173.97,31.66,66.01,60.63,37.06,110.7,38.88,,1.25,13.9,1.04,5.25,14.46,6.69,3.48,6.87,29-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
29-May-2018 - 00:00,0.2,168.25,29.02,744.66,148.72,39.49,55.98,61.37,33.87,106.91,37.68,,0.82,11.53,1.06,1.85,3.84,3.54,0.72,9.0,30-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
30-May-2018 - 00:00,0.26,160.65,42.61,745.95,138.41,9.43,32.59,24.88,42.43,68.15,35.26,,0.67,7.52,1.38,0.88,1.84,0.89,0.64,0.58,31-May-2018 - 00:00,"Shadipur, Delhi - CPCB"
31-May-2018 - 00:00,0.24,166.77,39.76,747.0,141.04,10.28,46.39,32.9,48.25,62.85,36.69,,0.84,6.02,0.98,1.13,3.53,1.03,0.36,0.84,01-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
01-Jun-2018 - 00:00,0.3,134.6,51.19,747.76,145.59,9.1,31.32,23.94,36.69,83.82,34.98,,0.66,5.86,1.59,1.73,6.56,0.62,0.2,2.12,02-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
02-Jun-2018 - 00:00,0.38,154.57,48.95,748.35,135.97,8.98,34.63,25.61,36.0,46.96,32.8,,0.65,6.39,1.24,1.5,7.85,0.0,0.1,3.12,03-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
03-Jun-2018 - 00:00,0.35,126.53,54.47,746.72,148.14,9.38,34.68,25.95,30.38,44.7,34.32,,0.76,4.81,1.2,1.86,8.98,0.6,0.61,3.41,04-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
04-Jun-2018 - 00:00,0.35,148.1,50.0,746.03,125.29,8.95,29.65,22.93,36.71,47.32,36.3,,0.7,5.64,1.36,1.99,9.07,0.22,0.08,3.92,05-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
05-Jun-2018 - 00:00,0.28,142.81,48.63,747.52,134.19,8.98,29.53,22.9,37.24,47.41,36.66,,0.71,6.31,1.31,2.5,10.56,0.69,0.42,3.45,06-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
06-Jun-2018 - 00:00,0.26,75.01,64.25,748.74,101.91,10.35,39.95,29.53,23.9,45.73,33.67,,0.79,5.23,1.71,2.93,12.58,1.42,0.65,4.12,07-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
07-Jun-2018 - 00:00,0.28,129.4,55.81,745.9,145.05,9.67,48.46,33.51,43.35,44.64,36.07,,0.89,6.93,0.88,3.38,15.95,3.15,1.34,4.5,08-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
08-Jun-2018 - 00:00,0.28,157.6,57.8,743.77,138.21,8.36,43.86,30.02,41.86,51.05,36.29,,0.81,6.59,1.3,2.28,8.81,0.14,0.1,4.52,09-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
09-Jun-2018 - 00:00,0.34,110.07,57.62,743.68,127.96,11.34,44.55,32.77,35.94,43.63,33.52,,0.73,5.61,1.4,2.26,9.33,1.32,0.58,3.16,10-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
10-Jun-2018 - 00:00,0.42,119.41,56.15,743.94,166.45,21.61,75.82,57.61,32.66,52.23,34.33,,0.79,5.88,0.88,3.88,14.04,3.82,3.17,3.68,11-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
11-Jun-2018 - 00:00,0.29,196.65,55.55,742.52,167.38,13.62,65.62,45.8,22.98,62.04,36.82,,0.63,7.18,1.09,2.3,11.46,1.94,4.43,3.39,12-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
12-Jun-2018 - 00:00,0.24,274.47,44.18,740.94,148.62,12.3,58.16,40.77,9.91,206.89,38.14,,0.55,7.69,1.36,2.57,15.06,2.14,1.46,3.83,13-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
13-Jun-2018 - 00:00,0.16,267.58,37.12,740.96,140.27,14.67,44.55,35.43,10.25,312.84,38.77,,0.39,7.91,2.0,1.51,9.89,0.66,0.25,3.22,14-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
14-Jun-2018 - 00:00,-0.09,275.18,34.2,741.54,133.23,14.44,47.75,36.95,16.7,241.15,38.13,,0.48,7.75,1.99,1.02,9.07,1.11,0.9,2.25,15-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
15-Jun-2018 - 00:00,-0.07,251.89,35.33,742.26,136.32,12.64,48.52,35.92,18.92,191.62,37.51,,0.35,8.8,1.71,1.96,7.6,1.72,7.44,2.34,16-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
16-Jun-2018 - 00:00,0.14,168.18,46.96,743.77,125.39,9.47,42.77,30.32,19.77,145.59,36.46,,0.57,7.34,1.3,2.05,5.82,0.38,1.9,2.07,17-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
17-Jun-2018 - 00:00,0.23,81.51,63.74,744.73,138.4,6.88,22.51,17.48,20.9,64.34,32.77,,0.47,5.85,1.93,1.12,3.87,0.02,0.44,1.25,18-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
18-Jun-2018 - 00:00,0.25,227.19,52.46,744.75,108.97,6.2,31.83,21.78,31.06,69.36,35.35,,0.65,7.11,0.82,1.61,7.16,12.8,29.03,9.81,19-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
19-Jun-2018 - 00:00,0.23,192.2,53.22,744.73,157.08,7.77,44.68,29.98,34.76,55.51,37.65,,0.71,5.81,1.0,1.27,4.76,0.81,2.37,1.86,20-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
20-Jun-2018 - 00:00,0.14,131.64,44.71,745.0,129.23,11.6,57.06,39.63,33.14,93.51,37.4,,0.66,7.58,0.95,1.79,7.04,1.47,1.8,2.48,21-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
21-Jun-2018 - 00:00,0.14,133.67,43.35,744.91,125.62,11.63,62.07,42.32,51.47,113.34,36.27,,0.87,12.86,0.88,2.17,9.02,2.0,4.2,2.13,22-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
22-Jun-2018 - 00:00,0.11,141.18,36.61,743.96,188.8,16.56,70.31,50.65,79.03,86.24,38.34,,0.71,13.6,0.89,2.62,9.76,3.32,3.91,2.31,23-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
23-Jun-2018 - 00:00,0.15,194.58,38.49,743.8,129.29,14.0,76.7,52.0,57.11,81.91,37.72,,0.96,10.31,0.94,2.27,10.17,1.9,4.09,2.02,24-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
24-Jun-2018 - 00:00,0.17,191.2,35.0,743.41,191.26,9.14,57.39,37.84,52.44,59.29,37.42,,0.8,9.92,0.87,1.64,7.1,1.18,6.54,0.95,25-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
25-Jun-2018 - 00:00,0.19,253.64,39.94,742.13,168.17,11.55,55.94,38.99,25.16,77.51,37.01,,0.79,8.55,1.04,1.15,4.26,0.58,2.19,0.99,26-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
26-Jun-2018 - 00:00,0.22,212.83,55.52,742.69,49.32,10.16,50.04,34.75,20.24,62.45,31.46,,0.81,9.72,1.11,1.39,6.11,0.65,2.51,1.0,27-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
27-Jun-2018 - 00:00,0.23,137.19,74.09,744.15,127.68,9.66,43.81,31.03,28.22,53.89,29.08,,0.9,7.06,1.43,1.55,5.53,0.31,0.39,1.12,28-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
28-Jun-2018 - 00:00,0.29,114.62,79.03,745.09,124.21,9.78,44.25,31.36,26.51,47.97,28.36,,0.76,6.76,1.72,1.58,3.66,0.22,0.44,0.71,29-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
29-Jun-2018 - 00:00,0.37,136.72,85.47,746.05,97.63,10.27,42.72,30.94,33.94,50.41,30.27,,0.84,6.68,1.67,1.26,4.39,1.06,0.54,1.07,30-Jun-2018 - 00:00,"Shadipur, Delhi - CPCB"
30-Jun-2018 - 00:00,0.31,170.82,85.72,746.7,103.22,18.73,54.47,43.95,31.18,61.17,31.46,,1.29,8.75,1.02,2.5,11.91,3.79,2.87,2.58,01-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
01-Jul-2018 - 00:00,0.3,247.92,79.41,745.77,130.42,18.86,48.0,40.62,26.24,61.21,32.72,,0.79,7.9,1.53,1.28,5.61,1.39,0.76,1.37,02-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
02-Jul-2018 - 00:00,0.32,233.31,68.29,744.18,138.0,10.15,42.33,30.63,37.85,81.02,32.58,,0.57,6.86,1.95,0.78,2.49,0.0,0.01,0.64,03-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
03-Jul-2018 - 00:00,0.27,105.67,78.23,744.46,128.53,10.12,50.02,34.7,38.36,72.96,31.71,,0.83,8.5,1.18,1.48,6.81,0.83,0.4,1.72,04-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
04-Jul-2018 - 00:00,0.23,115.74,72.78,744.66,150.32,9.2,41.56,29.47,41.48,69.73,31.91,,0.79,6.66,1.15,1.29,4.53,0.53,0.33,1.06,05-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
05-Jul-2018 - 00:00,0.33,176.03,71.74,747.16,139.1,18.52,52.02,42.48,33.1,77.11,32.28,,1.0,9.19,0.84,2.05,12.15,2.13,6.3,1.76,06-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
06-Jul-2018 - 00:00,0.25,203.92,60.64,747.97,151.54,13.32,60.15,42.65,37.04,71.44,33.45,,0.73,8.39,0.92,1.27,12.25,0.68,5.58,1.56,07-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
07-Jul-2018 - 00:00,0.27,177.28,52.47,747.44,155.69,9.42,58.07,38.43,51.15,80.95,34.31,,0.77,7.88,0.84,1.34,9.89,1.04,4.43,1.34,08-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
08-Jul-2018 - 00:00,0.19,127.51,45.77,746.73,167.9,13.53,63.7,44.71,68.47,76.03,36.64,,0.72,6.73,0.89,1.78,6.9,1.01,1.66,1.94,09-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
09-Jul-2018 - 00:00,0.26,135.8,68.69,746.79,133.05,7.56,40.87,27.79,60.08,57.23,35.82,,0.94,6.75,1.27,1.57,4.58,0.82,0.47,1.1,10-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
10-Jul-2018 - 00:00,0.28,126.17,69.91,747.1,158.08,7.22,36.7,25.29,43.16,47.32,33.9,,0.89,6.54,1.44,0.87,3.26,0.08,0.0,0.74,11-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
11-Jul-2018 - 00:00,0.32,140.01,80.31,746.88,108.21,5.79,44.2,28.14,34.46,46.91,32.33,,0.69,5.91,1.27,1.21,4.68,0.83,0.15,1.38,12-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
12-Jul-2018 - 00:00,0.31,171.33,73.43,746.49,119.91,9.94,54.75,37.07,41.46,51.49,33.07,,0.55,6.92,0.86,1.28,4.76,1.47,0.65,2.16,13-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
13-Jul-2018 - 00:00,0.38,137.92,92.85,747.59,86.25,15.36,40.82,34.0,22.16,42.36,30.06,,0.75,7.25,1.08,2.26,8.96,2.02,2.12,1.47,14-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
14-Jul-2018 - 00:00,0.26,75.09,96.18,746.57,121.31,14.92,57.26,42.39,15.99,47.19,29.44,,0.76,5.59,1.06,2.14,7.87,1.31,0.27,2.15,15-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
15-Jul-2018 - 00:00,0.3,124.72,86.28,745.44,139.38,5.99,37.96,24.98,18.31,41.26,31.43,,0.47,5.62,1.15,1.1,3.68,0.24,0.14,1.12,16-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
16-Jul-2018 - 00:00,0.16,118.9,95.87,745.85,79.24,18.68,45.98,39.4,10.58,41.81,30.48,,0.69,7.53,1.16,1.97,11.64,2.78,2.0,2.15,17-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
17-Jul-2018 - 00:00,0.03,95.4,81.79,745.89,126.72,9.11,48.56,33.11,9.9,45.23,32.68,,0.63,7.17,0.99,2.13,7.83,2.79,1.33,2.18,18-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
18-Jul-2018 - 00:00,0.02,79.22,81.58,746.29,134.23,13.02,36.73,29.95,15.73,49.21,32.43,,0.49,7.38,1.4,1.39,4.74,0.39,0.16,1.54,19-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
19-Jul-2018 - 00:00,0.02,96.49,80.93,746.09,154.03,13.32,47.23,35.78,12.61,39.52,32.35,,0.48,7.54,1.05,1.22,4.81,0.82,1.59,1.09,20-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
20-Jul-2018 - 00:00,0.0,137.06,95.72,745.94,91.52,11.62,60.39,41.42,10.91,43.14,30.2,,0.6,6.41,0.73,2.43,9.97,1.4,4.11,2.18,21-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
21-Jul-2018 - 00:00,0.02,127.99,96.26,746.1,75.57,20.57,59.57,48.14,55.54,48.12,29.63,,0.67,5.45,0.74,3.18,11.25,2.17,6.96,2.73,22-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
22-Jul-2018 - 00:00,0.11,117.79,97.22,746.48,114.68,9.9,33.58,25.78,32.52,37.31,29.0,,0.57,5.29,0.96,1.23,5.42,0.91,0.82,1.58,23-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
23-Jul-2018 - 00:00,0.05,89.36,82.59,746.21,136.09,23.1,68.17,54.74,17.34,44.37,31.11,,0.62,6.77,1.14,1.22,4.91,0.52,0.79,1.6,24-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
24-Jul-2018 - 00:00,-0.01,102.28,78.43,746.46,130.4,15.21,50.2,38.87,22.63,50.0,32.31,,0.75,8.37,0.84,2.17,6.81,1.49,1.35,1.79,25-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
25-Jul-2018 - 00:00,0.02,216.48,95.18,746.25,58.82,11.7,43.38,32.44,20.83,55.34,29.95,,0.9,9.57,1.12,1.04,4.5,1.33,0.74,1.74,26-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
26-Jul-2018 - 00:00,0.07,220.16,99.53,746.43,55.74,13.44,33.62,28.63,12.33,36.64,27.83,,0.78,13.15,0.9,1.35,7.66,0.72,6.68,1.8,27-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
27-Jul-2018 - 00:00,0.07,201.42,98.77,745.83,60.49,14.37,37.19,31.28,5.07,34.67,27.48,,0.8,8.65,0.94,0.9,10.42,0.59,7.59,1.27,28-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
28-Jul-2018 - 00:00,0.06,266.33,88.52,746.12,89.78,14.23,31.32,28.05,5.76,29.84,28.33,,0.78,10.16,0.84,1.62,9.36,1.74,7.17,1.6,29-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
29-Jul-2018 - 00:00,0.05,236.02,71.99,746.37,151.76,14.94,39.34,32.88,5.96,37.55,30.95,,0.54,9.64,0.77,1.93,7.43,1.46,5.08,1.67,30-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
30-Jul-2018 - 00:00,0.03,246.89,68.45,746.05,148.04,12.33,33.83,27.86,13.91,39.47,31.08,,0.75,7.85,1.04,1.23,6.4,1.1,2.01,1.29,31-Jul-2018 - 00:00,"Shadipur, Delhi - CPCB"
31-Jul-2018 - 00:00,0.03,235.24,63.91,745.55,73.26,6.54,30.81,21.61,12.22,44.55,31.3,,0.54,10.09,1.26,1.51,5.86,1.08,2.4,1.1,01-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
01-Aug-2018 - 00:00,0.03,240.54,58.99,745.86,138.53,4.83,18.29,13.39,13.76,51.06,31.9,,0.64,6.4,0.96,1.63,6.23,1.04,2.62,1.44,02-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
02-Aug-2018 - 00:00,-0.05,255.19,52.59,746.65,138.5,4.01,25.98,17.02,14.27,62.06,33.4,,0.74,3.3,1.74,1.95,5.55,1.26,1.41,1.42,03-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
03-Aug-2018 - 00:00,0.04,252.74,49.8,747.06,116.93,3.93,26.0,16.97,22.96,54.59,33.94,,0.71,3.98,1.84,1.23,4.32,0.65,0.5,1.11,04-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
04-Aug-2018 - 00:00,0.04,241.78,48.62,746.78,129.34,9.18,86.25,50.01,33.83,61.72,34.37,,0.8,3.5,1.27,1.0,4.19,0.59,0.53,1.3,05-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
