from date,Benzene,Eth-Benzene,MP-Xylene,BP,O Xylene,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
13-May-2018 - 00:00,0.27,0.0,0.0,757.11,1.99,216.96,114.0,0.0,29.44,241.02,37.33,239.43,1.82,0.5,15.76,62.74,18.93,81.67,29.2,11.68,14-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
14-May-2018 - 00:00,0.26,0.0,0.0,757.01,2.35,212.88,114.15,0.0,32.64,235.1,37.46,226.94,1.79,0.51,15.67,62.18,18.18,80.36,35.81,6.9,15-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
15-May-2018 - 00:00,0.31,0.01,0.0,756.49,2.03,258.68,138.28,0.0,28.38,232.33,38.38,225.43,2.01,0.58,18.04,59.74,17.51,77.25,36.2,9.39,16-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
16-May-2018 - 00:00,0.39,0.05,0.02,756.27,2.01,209.85,130.04,0.0,34.67,252.44,37.71,237.26,1.78,0.53,16.74,56.31,16.99,73.3,30.86,10.26,17-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
17-May-2018 - 00:00,0.34,0.01,0.0,755.94,2.3,221.86,113.79,0.0,28.88,251.91,38.8,225.61,1.76,0.47,22.33,56.41,14.39,70.71,37.01,9.63,18-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
18-May-2018 - 00:00,0.8,0.27,0.1,755.7,2.52,284.94,127.99,0.0,25.02,245.41,38.36,236.45,1.72,0.45,27.43,51.23,14.45,65.68,37.2,12.03,19-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
19-May-2018 - 00:00,0.65,0.02,0.01,755.66,2.58,325.44,159.24,0.0,26.35,236.35,38.18,237.07,1.58,0.49,26.14,46.63,14.15,60.78,38.07,16.13,20-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
20-May-2018 - 00:00,0.71,0.06,0.01,756.09,3.45,437.52,216.73,0.0,21.88,229.54,39.05,187.9,1.48,0.57,24.68,60.03,16.27,76.29,68.15,34.41,21-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
21-May-2018 - 00:00,0.48,0.01,0.0,756.28,2.81,214.5,136.25,0.0,18.33,228.17,39.14,166.81,1.65,0.5,23.33,57.96,16.55,74.51,61.83,24.87,22-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
22-May-2018 - 00:00,0.73,0.11,0.02,756.25,3.23,218.69,131.2,0.0,20.99,245.48,39.03,223.59,1.36,0.72,21.45,67.78,19.43,87.18,44.64,28.24,23-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
23-May-2018 - 00:00,0.66,0.04,0.0,756.1,2.06,302.99,156.39,0.0,16.33,236.94,39.07,271.79,1.77,0.61,24.91,95.4,24.1,119.49,66.57,38.74,24-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
24-May-2018 - 00:00,0.53,0.01,0.0,756.04,2.93,140.05,94.38,0.0,11.72,239.13,37.99,253.08,1.57,0.58,34.63,68.84,16.92,85.76,62.3,46.1,25-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
25-May-2018 - 00:00,0.69,0.07,0.01,756.26,2.95,131.03,75.4,0.0,17.6,257.48,37.21,233.84,1.33,0.58,26.06,80.0,19.97,99.98,39.05,26.02,26-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
26-May-2018 - 00:00,0.85,0.23,0.06,755.5,4.06,147.73,93.08,0.0,20.55,255.82,38.59,231.37,1.29,0.73,21.15,82.66,21.58,104.21,39.31,16.31,27-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
27-May-2018 - 00:00,0.75,0.03,0.01,755.21,3.82,155.3,89.28,0.0,16.34,249.2,39.48,221.7,1.28,0.55,24.85,72.78,19.68,92.47,47.65,33.18,28-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
28-May-2018 - 00:00,0.47,0.03,0.01,753.94,3.12,216.47,90.2,0.0,23.66,252.75,40.07,226.05,1.5,0.41,23.86,87.21,21.2,108.4,38.14,16.68,29-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
29-May-2018 - 00:00,0.45,0.08,0.04,753.54,2.65,160.58,93.46,0.0,36.17,262.95,38.65,229.91,2.01,0.3,17.94,74.48,14.29,88.77,34.05,11.02,30-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
30-May-2018 - 00:00,0.23,0.01,0.01,754.12,1.89,334.54,143.64,0.0,40.43,261.17,37.3,213.95,2.24,0.28,12.12,71.92,13.67,85.59,36.09,8.25,31-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
31-May-2018 - 00:00,0.27,0.01,0.0,754.78,2.23,274.89,139.44,0.0,36.33,250.13,39.02,228.81,2.21,0.3,17.12,67.32,12.93,80.24,49.59,10.52,01-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
01-Jun-2018 - 00:00,0.32,0.01,0.0,755.76,1.94,248.1,148.36,0.0,33.46,251.32,38.9,237.91,2.05,0.33,18.74,70.46,14.9,84.22,43.6,14.93,02-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
02-Jun-2018 - 00:00,0.24,0.01,0.01,756.07,2.35,193.35,121.44,0.0,30.27,247.3,38.65,237.35,1.93,0.33,15.5,48.25,13.97,62.23,39.43,19.72,03-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
03-Jun-2018 - 00:00,0.17,0.0,0.0,755.41,2.18,214.27,122.93,0.0,28.15,247.53,37.89,227.4,2.25,0.45,15.92,47.77,14.81,62.58,42.14,14.55,04-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
04-Jun-2018 - 00:00,0.21,0.03,0.03,754.7,1.81,170.57,98.12,0.0,38.15,260.31,37.47,231.87,2.18,0.46,17.67,42.58,13.83,56.41,31.21,12.08,05-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
05-Jun-2018 - 00:00,0.28,0.05,0.06,755.44,2.93,119.62,91.54,0.0,34.79,258.25,38.07,240.33,1.95,0.48,18.49,41.0,13.76,54.75,31.96,11.54,06-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
06-Jun-2018 - 00:00,0.23,0.02,0.03,756.09,2.02,137.11,95.95,0.0,31.41,254.1,38.85,248.18,1.73,0.44,20.45,34.98,11.67,46.66,33.51,12.81,07-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
07-Jun-2018 - 00:00,0.16,0.01,0.01,754.38,1.56,157.77,92.58,0.0,42.08,272.18,37.9,232.05,2.24,0.46,20.91,33.29,11.86,45.14,23.9,8.59,08-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
08-Jun-2018 - 00:00,0.2,0.01,0.0,753.0,1.4,130.72,78.51,0.0,47.68,277.04,36.54,240.52,2.57,0.5,20.98,32.23,11.84,44.07,23.62,10.68,09-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
09-Jun-2018 - 00:00,0.23,0.01,0.0,752.11,1.59,130.08,83.67,0.0,47.71,272.79,37.07,232.86,2.11,0.45,22.71,28.75,10.86,39.61,28.08,8.98,10-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
10-Jun-2018 - 00:00,0.29,0.01,0.0,752.7,1.66,195.63,114.08,0.0,46.36,268.69,37.26,233.75,2.19,0.48,22.74,29.07,10.55,39.63,31.99,10.69,11-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
11-Jun-2018 - 00:00,0.22,0.0,0.0,753.06,2.45,200.75,99.49,0.0,60.55,309.61,34.52,225.41,2.2,0.45,17.7,36.85,11.73,48.72,29.96,7.01,12-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
12-Jun-2018 - 00:00,0.41,0.15,0.06,752.59,1.51,224.05,110.18,0.08,53.63,257.12,35.69,229.25,2.84,0.37,9.57,44.67,14.44,59.11,26.1,6.25,13-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
13-Jun-2018 - 00:00,0.12,0.0,0.0,753.43,1.77,245.31,132.07,0.0,51.38,246.42,35.45,228.12,2.94,0.38,11.56,47.63,16.72,64.35,30.91,7.58,14-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
14-Jun-2018 - 00:00,0.22,0.0,0.0,754.15,1.51,244.02,128.6,0.0,47.52,237.85,35.11,232.26,3.22,0.31,13.09,49.52,18.16,67.68,33.03,7.55,15-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
15-Jun-2018 - 00:00,0.15,0.01,0.0,754.68,1.27,175.0,99.53,0.0,49.01,240.17,34.75,229.46,3.13,0.36,14.97,44.07,15.45,59.52,32.97,12.21,16-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
16-Jun-2018 - 00:00,0.18,0.0,0.0,755.54,1.15,124.78,79.54,0.0,48.81,237.0,34.85,228.01,2.83,0.34,16.89,39.33,14.15,53.48,26.85,14.59,17-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
17-Jun-2018 - 00:00,0.18,0.01,0.0,755.51,1.19,120.06,71.33,0.0,49.0,241.18,35.24,223.37,2.32,0.34,17.38,38.06,14.27,52.32,20.63,15.74,18-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
18-Jun-2018 - 00:00,0.32,0.01,0.0,755.68,2.11,146.89,84.49,0.0,49.06,246.02,35.83,236.05,1.92,0.4,16.14,40.8,15.32,56.12,17.42,15.17,19-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
19-Jun-2018 - 00:00,0.34,0.0,0.0,755.57,1.7,143.9,86.71,0.0,47.16,256.32,36.49,219.86,1.97,0.39,17.13,38.27,14.47,52.74,16.33,14.38,20-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
20-Jun-2018 - 00:00,0.37,0.02,0.0,755.86,2.18,141.14,89.59,0.0,35.01,255.48,37.43,226.59,1.67,0.37,16.8,39.23,14.56,53.79,18.96,17.27,21-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
21-Jun-2018 - 00:00,0.66,0.15,0.04,755.73,3.87,135.07,82.82,0.0,39.47,256.07,37.73,239.13,1.44,0.42,15.19,42.35,13.36,55.66,37.99,10.94,22-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
22-Jun-2018 - 00:00,0.36,0.06,0.0,755.53,3.49,130.15,55.03,0.0,43.7,263.49,37.3,218.26,1.97,0.39,23.7,41.94,11.64,53.58,53.2,9.32,23-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
23-Jun-2018 - 00:00,0.38,0.05,0.0,755.46,2.44,110.04,54.15,0.16,50.94,221.73,36.02,201.45,1.72,0.42,28.68,39.17,13.21,52.38,47.49,7.48,24-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
24-Jun-2018 - 00:00,0.34,0.05,0.0,755.24,2.22,114.94,48.72,0.02,57.52,277.0,34.55,187.56,1.95,0.38,29.28,37.92,16.34,54.26,45.82,8.11,25-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
25-Jun-2018 - 00:00,0.37,0.06,0.0,754.25,3.92,85.34,41.59,0.0,58.81,295.02,34.47,215.37,1.78,0.4,27.96,39.7,19.05,58.74,44.4,8.74,26-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
26-Jun-2018 - 00:00,0.41,0.08,0.0,753.82,2.31,101.86,44.15,0.07,65.63,160.62,32.23,178.42,1.95,0.42,24.8,45.56,22.69,68.25,44.75,9.13,27-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
27-Jun-2018 - 00:00,0.33,0.06,0.0,754.27,1.85,59.53,30.76,0.11,81.72,185.6,28.72,162.67,1.5,0.42,25.31,29.35,27.2,56.55,56.02,8.26,28-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
28-Jun-2018 - 00:00,0.37,0.07,0.0,754.5,1.96,79.21,42.46,0.05,78.98,259.72,30.46,158.21,1.2,0.34,23.91,15.13,33.34,48.45,42.76,8.47,29-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
29-Jun-2018 - 00:00,0.81,0.34,0.13,754.62,2.5,70.75,41.37,0.0,80.63,249.47,30.6,198.29,1.48,0.4,24.2,16.51,35.84,52.35,43.27,11.52,30-Jun-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
30-Jun-2018 - 00:00,0.42,0.09,0.0,755.83,1.99,121.01,62.56,0.0,64.99,283.99,32.29,212.16,1.81,0.29,25.09,16.01,29.84,45.85,53.5,14.35,01-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
01-Jul-2018 - 00:00,0.4,0.11,0.0,756.16,1.92,96.62,48.62,0.0,58.51,276.18,33.4,214.35,2.06,0.26,23.81,16.52,28.64,45.16,51.25,12.71,02-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
02-Jul-2018 - 00:00,0.37,0.08,0.0,754.75,2.56,66.64,27.92,0.0,56.66,272.41,33.85,202.7,2.29,0.27,18.69,18.69,33.6,52.29,45.23,12.04,03-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
03-Jul-2018 - 00:00,0.39,0.07,0.0,754.12,1.57,74.89,34.25,0.0,59.31,266.97,33.63,201.68,2.67,0.29,22.73,16.82,29.33,46.16,43.6,11.53,04-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
04-Jul-2018 - 00:00,0.38,0.07,0.0,754.39,1.5,102.37,53.02,0.0,62.33,244.49,32.95,210.09,2.15,0.26,29.17,13.7,23.44,37.14,34.57,13.33,05-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
05-Jul-2018 - 00:00,0.38,0.12,0.0,755.59,1.71,140.34,80.41,0.01,59.61,267.06,33.17,213.32,2.03,0.3,33.95,11.52,19.75,31.27,30.1,9.8,06-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
06-Jul-2018 - 00:00,0.4,0.11,0.0,755.8,1.67,172.65,81.71,0.0,53.67,279.8,34.42,239.71,1.96,0.31,36.39,10.4,18.6,28.99,34.07,9.83,07-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
07-Jul-2018 - 00:00,0.42,0.07,0.0,755.33,1.88,180.12,70.33,0.0,51.17,287.89,35.02,233.27,1.85,0.28,37.53,9.88,17.49,27.37,33.57,8.6,08-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
08-Jul-2018 - 00:00,0.34,0.08,0.0,754.75,1.77,140.88,59.98,0.0,51.31,308.2,35.48,229.79,1.63,0.28,39.1,9.03,16.66,25.69,33.84,8.63,09-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
09-Jul-2018 - 00:00,0.44,0.1,0.0,754.26,2.19,163.99,55.43,0.0,47.63,309.42,36.3,230.04,1.83,0.28,38.86,9.1,14.24,23.34,30.51,7.44,10-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
10-Jul-2018 - 00:00,0.59,0.26,0.08,754.46,2.01,137.73,52.02,0.0,54.6,288.63,35.22,219.38,2.08,0.31,34.24,9.07,13.76,22.83,41.76,5.72,11-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
11-Jul-2018 - 00:00,0.5,0.08,0.0,754.7,2.3,119.47,50.72,0.0,61.36,177.43,33.12,216.51,1.91,0.27,26.02,8.39,13.3,21.69,34.22,5.38,12-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
12-Jul-2018 - 00:00,0.34,0.07,0.0,753.85,1.74,99.95,41.06,0.0,57.57,286.31,34.13,212.98,2.08,0.26,26.47,8.29,12.91,21.19,37.82,4.47,13-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
13-Jul-2018 - 00:00,0.4,0.14,0.0,755.11,2.61,68.14,34.25,0.5,78.0,193.55,30.58,188.89,1.32,0.36,19.99,10.96,21.11,32.06,40.79,3.47,14-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
14-Jul-2018 - 00:00,0.5,0.12,0.0,753.89,2.69,94.49,41.94,0.08,75.12,243.1,31.67,221.07,1.66,0.35,10.61,20.33,35.81,56.13,37.6,3.96,15-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
15-Jul-2018 - 00:00,0.52,0.12,0.0,753.77,2.04,39.41,24.73,0.05,87.72,179.32,28.91,213.8,1.32,0.33,20.47,20.03,35.48,55.51,40.79,4.34,16-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
16-Jul-2018 - 00:00,0.41,0.11,0.0,753.65,2.08,54.79,34.17,0.0,79.53,214.88,31.46,184.32,1.05,0.31,24.97,17.81,30.4,48.2,44.2,3.82,17-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
17-Jul-2018 - 00:00,0.53,0.09,0.0,754.14,1.89,47.05,30.68,0.15,87.83,174.32,30.21,188.62,1.36,0.3,32.68,14.35,23.6,37.95,46.52,3.13,18-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
18-Jul-2018 - 00:00,0.36,0.06,0.0,754.89,2.03,45.85,29.05,0.0,85.06,232.45,30.48,174.55,1.34,0.35,34.41,13.69,22.1,35.79,41.47,3.37,19-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
19-Jul-2018 - 00:00,0.46,0.09,0.0,754.13,1.59,57.99,35.8,0.19,89.68,195.93,29.53,205.18,1.46,0.27,31.23,15.4,22.94,38.33,45.89,3.38,20-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
20-Jul-2018 - 00:00,0.89,0.42,0.19,754.92,1.75,48.96,31.39,0.84,95.8,123.38,28.11,211.17,1.29,0.32,30.13,15.48,23.09,38.57,31.23,2.62,21-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
21-Jul-2018 - 00:00,0.36,0.14,0.0,757.01,2.06,87.33,38.22,0.0,84.55,260.01,30.06,215.12,1.59,0.27,15.73,25.18,36.48,61.66,31.01,4.6,22-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
22-Jul-2018 - 00:00,0.43,0.15,0.0,754.87,2.29,116.8,47.05,0.0,82.51,162.42,29.17,209.34,1.33,0.28,21.48,28.42,39.98,68.4,47.54,4.78,23-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
23-Jul-2018 - 00:00,0.38,0.1,0.0,755.18,1.53,124.1,55.33,0.0,80.32,185.9,29.67,203.45,1.47,0.24,25.52,28.69,39.92,68.61,33.58,5.12,24-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
24-Jul-2018 - 00:00,0.45,0.07,0.0,754.98,0.67,113.02,55.02,0.01,84.59,194.83,29.28,213.79,1.59,0.26,29.22,26.29,37.03,63.33,30.8,5.07,25-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
25-Jul-2018 - 00:00,0.36,0.04,0.0,755.04,0.44,151.83,63.19,0.0,81.07,186.4,29.41,203.0,1.82,0.2,24.16,25.58,35.47,61.06,31.48,4.24,26-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
26-Jul-2018 - 00:00,0.28,0.04,0.0,755.16,0.47,151.48,63.38,0.0,74.62,204.83,29.66,204.97,1.98,0.23,23.7,25.8,34.97,60.77,37.62,2.51,27-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
27-Jul-2018 - 00:00,0.23,0.04,0.0,763.24,0.44,134.71,55.25,0.0,75.33,189.63,29.52,202.86,1.74,0.23,26.94,24.34,32.98,57.32,35.54,2.58,28-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
28-Jul-2018 - 00:00,0.37,0.05,0.0,756.92,0.54,189.28,50.51,0.0,70.7,195.47,30.42,204.09,1.72,0.38,31.56,22.23,30.88,53.11,45.39,3.27,29-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
29-Jul-2018 - 00:00,0.25,0.03,0.0,757.39,0.47,111.5,45.58,0.0,66.84,274.19,30.82,209.69,1.93,0.28,28.58,23.46,32.71,56.18,41.83,3.41,30-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
30-Jul-2018 - 00:00,0.23,0.04,0.01,757.27,0.55,125.78,47.31,0.0,67.01,275.48,30.86,208.16,1.64,0.27,30.86,22.56,30.91,53.47,37.47,3.23,31-Jul-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
31-Jul-2018 - 00:00,0.16,0.02,0.0,756.96,0.38,183.76,74.66,0.0,60.91,284.37,31.62,211.08,1.92,0.24,30.22,21.18,22.13,43.24,41.66,3.94,01-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
01-Aug-2018 - 00:00,0.26,0.05,0.03,757.07,0.92,226.58,108.14,0.0,59.22,248.08,31.82,212.51,2.0,0.19,24.63,21.1,13.59,34.69,45.37,3.4,02-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
02-Aug-2018 - 00:00,0.2,0.03,0.01,757.9,0.49,259.83,112.92,0.0,58.42,232.17,31.92,213.21,2.01,0.19,25.23,20.5,12.28,32.7,42.49,4.28,03-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
03-Aug-2018 - 00:00,0.21,0.02,0.0,757.79,1.57,198.3,93.5,0.0,57.63,253.28,32.17,225.67,2.1,0.33,23.72,20.58,12.43,33.01,39.87,5.6,04-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
04-Aug-2018 - 00:00,0.17,0.02,0.0,756.45,0.69,197.32,100.77,0.0,61.71,245.74,31.78,227.92,2.38,0.3,28.79,18.42,9.82,28.23,36.31,4.28,05-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
05-Aug-2018 - 00:00,0.21,0.01,0.0,756.13,0.42,156.51,75.2,0.0,64.37,221.3,31.35,229.09,2.37,0.29,33.7,18.67,12.58,30.14,36.63,3.92,06-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
06-Aug-2018 - 00:00,0.14,0.02,0.0,755.06,0.34,119.63,75.84,0.0,68.14,184.51,30.67,199.77,2.03,0.43,42.16,15.32,8.12,23.44,38.46,3.86,07-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
07-Aug-2018 - 00:00,0.26,0.03,0.01,755.1,0.45,148.05,74.5,0.0,66.83,193.34,30.99,202.87,1.64,0.42,33.23,14.21,8.06,22.26,36.83,3.4,08-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
08-Aug-2018 - 00:00,0.26,0.04,0.02,755.58,0.44,94.52,51.91,0.0,75.79,158.16,30.31,234.94,1.61,0.36,31.74,12.48,7.27,19.75,29.36,2.93,09-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
09-Aug-2018 - 00:00,2.77,5.38,6.65,757.01,7.83,70.35,49.92,0.02,83.23,173.85,30.02,225.52,1.25,0.28,27.84,10.8,6.07,16.87,38.35,2.56,10-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
10-Aug-2018 - 00:00,2.44,4.89,6.06,757.3,7.92,67.23,41.4,0.0,72.34,256.54,32.05,224.77,1.83,0.23,25.76,11.73,6.25,17.98,39.61,2.75,11-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
11-Aug-2018 - 00:00,0.28,0.03,0.0,755.99,0.58,59.6,29.13,0.0,66.99,188.21,31.71,215.79,2.04,0.2,23.46,12.87,5.54,18.38,36.61,3.55,12-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
12-Aug-2018 - 00:00,0.22,0.02,0.0,754.16,0.56,59.23,28.95,0.0,70.44,156.87,30.83,211.39,2.12,0.23,18.82,14.93,7.02,21.95,35.51,4.85,13-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
13-Aug-2018 - 00:00,0.19,0.02,0.0,754.22,0.52,114.02,49.47,0.0,69.06,191.21,31.37,200.29,1.97,0.22,19.88,14.42,6.45,20.87,40.93,4.31,14-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
14-Aug-2018 - 00:00,0.25,0.02,0.0,755.35,0.57,194.63,77.12,0.0,67.09,209.16,31.9,220.38,1.77,0.19,21.93,13.36,5.95,19.31,38.2,4.25,15-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
15-Aug-2018 - 00:00,0.23,0.03,0.0,755.84,0.61,220.46,79.4,0.0,66.16,218.2,32.39,218.96,1.66,0.25,23.11,13.0,5.06,18.05,40.47,4.56,16-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
16-Aug-2018 - 00:00,0.38,0.04,0.01,756.21,0.74,171.63,65.36,0.17,77.95,183.69,30.88,237.57,1.34,0.3,26.24,11.63,3.84,15.43,36.36,4.65,17-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
17-Aug-2018 - 00:00,0.38,0.03,0.0,754.79,0.77,62.67,35.28,0.24,90.22,148.91,29.74,185.64,1.09,0.26,26.7,11.44,3.84,15.26,38.92,5.08,18-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
18-Aug-2018 - 00:00,0.37,0.02,0.0,755.22,0.78,57.15,27.33,0.0,87.72,186.07,30.3,200.45,1.15,0.29,22.88,13.33,4.41,17.73,39.03,3.88,19-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
19-Aug-2018 - 00:00,0.32,0.02,0.0,755.76,0.72,75.3,27.96,0.0,86.04,191.64,30.05,212.02,1.6,0.27,13.41,17.87,7.52,25.38,38.84,3.35,20-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
20-Aug-2018 - 00:00,0.41,0.04,0.01,756.52,0.55,95.98,34.51,0.0,84.8,136.23,30.03,215.84,1.34,0.26,22.76,17.83,13.99,29.27,30.5,3.13,21-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
21-Aug-2018 - 00:00,1.02,0.39,0.2,756.18,0.76,82.06,36.38,0.04,86.88,156.04,29.37,216.17,1.3,0.3,35.21,15.42,22.31,29.73,21.72,3.84,22-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
22-Aug-2018 - 00:00,0.27,0.03,0.0,756.54,0.53,79.75,29.6,0.0,83.37,145.63,28.79,214.98,1.51,0.21,36.9,14.64,21.02,27.66,23.74,3.6,23-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
23-Aug-2018 - 00:00,0.29,0.02,0.0,756.95,0.5,83.68,26.67,0.0,78.84,172.13,29.38,211.84,1.7,0.23,35.86,15.14,20.05,27.44,26.75,3.33,24-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
24-Aug-2018 - 00:00,0.2,0.01,0.0,754.91,0.55,69.54,25.8,0.0,74.31,236.64,29.97,211.88,1.94,0.23,32.14,16.67,22.56,35.74,30.78,3.2,25-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
25-Aug-2018 - 00:00,0.22,0.02,0.0,751.83,0.86,70.22,30.76,0.0,74.35,210.68,29.99,212.09,1.76,0.18,26.86,16.03,22.98,39.01,32.12,2.73,26-Aug-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
