from date,Benzene,Eth-Benzene,MP-Xylene,BP,O Xylene,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
26-Feb-2018 - 00:00,0.57,0.05,0.01,758.41,1.07,149.56,62.48,0.0,35.36,183.59,26.25,127.89,1.14,0.66,8.86,3.56,11.22,14.77,49.24,6.75,27-Feb-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
27-Feb-2018 - 00:00,1.06,0.12,0.03,757.66,2.68,174.68,79.07,0.0,36.55,141.55,26.27,143.13,0.91,0.87,10.1,4.7,17.58,21.82,35.95,15.7,28-Feb-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
28-Feb-2018 - 00:00,1.58,0.25,0.05,757.07,3.87,172.96,76.87,0.0,36.56,135.77,26.93,176.29,0.85,1.15,12.34,5.33,17.84,23.23,29.43,23.2,01-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
01-Mar-2018 - 00:00,0.9,0.0,0.0,756.32,2.6,178.2,70.3,0.0,32.73,127.06,27.73,198.99,1.11,0.56,13.14,3.08,12.2,15.28,39.85,7.09,02-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
02-Mar-2018 - 00:00,0.89,0.12,0.02,756.29,2.76,138.08,67.05,0.0,34.11,119.51,26.9,208.2,0.99,0.8,11.29,3.15,11.55,14.34,42.91,4.97,03-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
03-Mar-2018 - 00:00,0.4,0.0,0.0,755.44,1.43,147.57,56.61,0.0,32.81,107.98,26.75,221.12,1.44,0.48,12.0,2.58,5.5,8.08,48.2,5.41,04-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
04-Mar-2018 - 00:00,0.5,0.0,0.0,755.51,1.67,138.76,62.49,0.0,34.5,175.43,27.43,228.14,1.18,0.53,7.58,2.76,8.49,11.24,42.3,6.11,05-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
05-Mar-2018 - 00:00,0.48,0.03,0.0,757.2,1.4,141.63,59.19,0.0,36.41,155.92,25.91,117.61,1.07,0.62,13.61,2.75,10.23,12.69,43.23,5.43,06-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
06-Mar-2018 - 00:00,0.32,0.0,0.0,758.12,0.9,113.95,59.31,0.0,28.33,193.11,25.2,55.43,1.33,0.46,7.19,2.74,5.5,7.74,56.65,5.63,07-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
07-Mar-2018 - 00:00,0.75,0.0,0.0,756.97,1.82,144.07,71.4,0.0,24.3,204.32,27.86,130.29,1.12,0.6,9.22,3.31,14.93,18.24,54.47,5.52,08-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
08-Mar-2018 - 00:00,0.85,0.08,0.01,756.7,2.02,147.84,79.39,0.0,26.64,191.5,28.67,148.43,1.16,0.72,10.25,5.59,16.0,21.59,61.68,8.39,09-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
09-Mar-2018 - 00:00,0.74,0.06,0.01,756.58,2.16,170.84,73.8,0.0,28.32,177.81,30.03,151.11,1.14,0.85,11.71,2.89,17.14,19.54,68.83,18.26,10-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
10-Mar-2018 - 00:00,2.09,1.11,0.74,757.89,3.95,144.38,79.35,0.0,29.06,195.24,29.47,200.84,1.35,1.09,8.99,4.59,14.59,19.15,55.72,24.01,11-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
11-Mar-2018 - 00:00,0.63,0.01,0.0,761.4,1.78,138.97,74.11,0.0,26.56,154.66,28.86,186.2,1.18,0.82,10.55,3.82,12.21,16.03,14.54,8.42,12-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
12-Mar-2018 - 00:00,0.91,0.19,0.04,761.38,2.64,154.79,82.24,0.0,25.72,172.1,29.55,198.21,0.96,0.96,11.68,4.97,15.05,20.02,30.12,30.46,13-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
13-Mar-2018 - 00:00,0.81,0.12,0.02,758.86,5.37,141.1,74.73,0.0,26.18,198.21,29.44,193.82,1.42,0.39,47.98,4.15,7.99,12.14,35.79,22.42,14-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
14-Mar-2018 - 00:00,0.35,0.02,0.0,755.23,1.44,155.59,77.64,0.0,31.47,178.09,28.59,221.6,2.0,0.38,44.6,3.94,8.27,12.2,34.55,28.76,15-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
15-Mar-2018 - 00:00,0.39,0.03,0.0,755.56,1.73,179.11,100.0,0.0,40.69,171.55,29.53,221.33,1.3,0.47,40.09,3.68,7.86,11.53,37.19,18.62,16-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
16-Mar-2018 - 00:00,0.43,0.01,0.0,755.65,1.9,160.12,98.81,0.0,26.9,163.74,29.85,225.05,1.35,0.46,32.33,3.62,8.6,12.22,51.33,26.43,17-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
17-Mar-2018 - 00:00,0.62,0.07,0.01,756.18,2.31,156.04,88.62,0.0,20.78,163.79,29.24,154.27,1.2,0.59,31.64,4.28,10.12,14.4,47.59,18.54,18-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
18-Mar-2018 - 00:00,1.13,0.42,0.1,756.33,3.11,186.46,98.1,0.0,22.84,196.29,29.89,161.47,1.28,0.93,42.44,4.96,13.83,18.79,50.22,36.95,19-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
19-Mar-2018 - 00:00,0.87,0.08,0.01,757.12,3.12,174.56,97.9,0.0,28.59,179.66,30.67,223.64,1.04,0.6,32.89,3.5,13.31,16.81,53.35,53.27,20-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
20-Mar-2018 - 00:00,0.33,0.02,0.0,756.62,2.17,131.14,76.65,0.0,28.6,191.09,29.58,223.56,1.43,0.49,37.76,3.7,8.73,12.43,45.25,25.83,21-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
21-Mar-2018 - 00:00,0.37,0.02,0.0,755.67,1.69,171.21,96.7,0.0,35.64,185.54,27.98,241.92,1.73,0.52,31.53,3.46,7.08,10.53,43.11,24.35,22-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
