from date,NO,NOx,NO2,SO2,Ozone,PM2.5,WS,WD,AT,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,RH,VWS,SR,to date,CO,BP,station
24-Jan-2018 - 00:00,14.39,47.61,69.4,1.26,35.92,32.47,0.64,102.12,21.69,,,,,,68.03,-0.13,-99.99,25-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
25-Jan-2018 - 00:00,6.73,30.78,49.26,2.4,48.26,27.79,0.65,86.68,22.82,,,,,,60.29,-0.13,-99.99,26-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-Jan-2018 - 00:00,6.15,30.81,50.19,2.82,52.19,26.99,0.66,75.7,23.69,,,,,,45.26,-0.13,-99.99,27-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-Jan-2018 - 00:00,6.66,31.96,51.59,3.55,51.9,27.72,0.62,85.39,23.79,,,,,,54.69,-0.13,-99.99,28-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-Jan-2018 - 00:00,2.56,21.52,38.15,3.28,56.1,28.7,0.7,63.84,23.04,,,,,,58.53,-0.12,-99.99,29-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
29-Jan-2018 - 00:00,4.87,29.52,49.7,3.35,48.96,18.86,0.71,73.87,22.75,,,,,,60.47,-0.11,-99.99,30-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
30-Jan-2018 - 00:00,4.11,28.56,49.03,3.02,48.05,15.97,0.71,69.98,21.58,,,,,,61.94,-0.11,-99.99,31-Jan-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
31-Jan-2018 - 00:00,5.75,34.61,58.12,1.96,39.57,16.03,0.72,69.13,22.26,,,,,,54.74,-0.11,-99.99,01-Feb-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
01-Feb-2018 - 00:00,16.75,57.82,85.03,1.98,30.91,16.92,0.72,70.38,22.41,,,,,,29.04,-0.11,-99.99,02-Feb-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-Feb-2018 - 00:00,11.15,49.79,78.35,3.92,35.19,16.6,0.73,71.3,21.87,,,,,,31.07,-0.11,-99.99,03-Feb-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-Feb-2018 - 00:00,4.41,32.92,57.17,18.6,39.47,15.83,0.73,71.1,21.74,,,,,,36.82,-0.11,-99.99,04-Feb-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-Feb-2018 - 00:00,2.96,23.41,41.09,39.65,46.9,17.59,0.69,80.37,22.42,,,,,,47.51,-0.12,-99.99,05-Feb-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-Feb-2018 - 00:00,5.19,29.45,49.11,3.16,36.34,20.35,0.7,76.84,22.08,,,,,,53.74,-0.12,-99.99,06-Feb-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-Feb-2018 - 00:00,5.01,28.08,46.75,6.02,34.82,17.66,0.66,88.63,23.08,,,,,,64.48,-0.12,-99.99,07-Feb-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-Feb-2018 - 00:00,6.78,30.73,49.08,1.83,22.85,13.62,0.62,104.69,22.79,,,,,,81.69,-0.12,-99.99,08-Feb-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-Feb-2018 - 00:00,13.97,45.04,65.17,3.09,20.14,25.22,0.61,100.57,23.09,,,,,,67.17,-0.13,-99.99,09-Feb-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-Feb-2018 - 00:00,16.39,52.63,75.82,3.81,18.11,31.59,0.6,116.14,23.27,,,,,,65.36,-0.13,-99.99,10-Feb-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
10-Feb-2018 - 00:00,12.37,38.73,55.75,2.69,19.66,24.7,0.67,93.03,23.49,,,,,,64.17,-0.12,-99.99,11-Feb-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
11-Feb-2018 - 00:00,4.29,21.59,35.76,2.55,23.93,20.2,0.71,91.02,23.1,,,,,,60.89,-0.11,-99.99,12-Feb-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
12-Feb-2018 - 00:00,5.74,23.26,36.59,2.59,23.5,16.94,0.68,72.36,23.51,,,,,,64.45,-0.11,-99.99,13-Feb-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
13-Feb-2018 - 00:00,0.05,22.46,0.35,0.03,37.83,18.22,0.69,70.32,23.61,,,,,,58.01,-0.1,-1.04,14-Feb-2018 - 00:00,15.93,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
14-Feb-2018 - 00:00,0.0,25.51,0.0,0.0,27.94,21.58,0.75,66.27,23.2,,,,,,66.65,-0.08,-31.25,15-Feb-2018 - 00:00,1.46,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
15-Feb-2018 - 00:00,0.0,25.68,0.0,0.0,25.19,18.74,0.74,67.36,22.83,,,,,,68.03,-0.09,0.0,16-Feb-2018 - 00:00,1.48,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
16-Feb-2018 - 00:00,0.0,39.83,0.0,0.0,26.89,17.92,0.72,68.39,23.25,,,,,,44.46,-0.11,0.0,17-Feb-2018 - 00:00,1.47,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
17-Feb-2018 - 00:00,0.0,32.57,0.0,0.0,37.02,21.66,0.68,72.3,23.5,,,,,,49.53,-0.12,0.0,18-Feb-2018 - 00:00,1.49,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
18-Feb-2018 - 00:00,0.0,23.55,0.0,0.0,36.71,18.68,0.73,71.74,22.64,,,,,,50.01,-0.1,0.0,19-Feb-2018 - 00:00,1.49,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
19-Feb-2018 - 00:00,0.0,29.51,0.0,0.0,41.77,20.76,0.74,71.97,23.05,,,,,,46.04,-0.09,0.0,20-Feb-2018 - 00:00,1.5,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
20-Feb-2018 - 00:00,0.0,26.88,0.0,0.0,46.34,20.73,0.75,63.77,22.81,,,,,,,-0.09,0.0,21-Feb-2018 - 00:00,1.48,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
21-Feb-2018 - 00:00,0.0,31.8,0.0,0.0,46.41,23.01,0.76,66.42,23.56,,,,,,,-0.09,0.0,22-Feb-2018 - 00:00,1.45,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
22-Feb-2018 - 00:00,0.0,48.62,0.0,0.0,44.15,22.83,0.74,63.7,24.14,,,,,,,-0.1,-26.04,23-Feb-2018 - 00:00,1.46,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
23-Feb-2018 - 00:00,0.0,30.91,0.0,0.0,45.41,20.52,0.76,65.76,23.49,,,,,,,-0.08,-1.06,24-Feb-2018 - 00:00,1.52,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
24-Feb-2018 - 00:00,0.0,24.06,0.0,0.0,26.49,18.06,0.73,75.31,23.18,,,,,,,-0.09,-37.23,25-Feb-2018 - 00:00,1.51,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
25-Feb-2018 - 00:00,0.0,20.84,0.0,0.0,30.34,14.59,0.74,70.28,23.68,,,,,,,-0.09,0.0,26-Feb-2018 - 00:00,1.57,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-Feb-2018 - 00:00,0.0,38.49,0.0,0.0,22.96,15.11,0.68,74.13,24.15,,,,,,,-0.12,0.0,27-Feb-2018 - 00:00,1.49,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-Feb-2018 - 00:00,0.0,35.59,0.0,0.0,25.38,15.03,0.76,72.35,24.11,,,,,,,-0.08,0.0,28-Feb-2018 - 00:00,1.48,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-Feb-2018 - 00:00,0.0,46.25,0.0,0.0,23.04,17.37,0.74,96.27,24.16,,,,,,,-0.1,0.0,01-Mar-2018 - 00:00,1.85,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
01-Mar-2018 - 00:00,0.0,39.52,0.0,0.0,26.46,18.0,0.76,67.44,24.05,,,,,,,-0.08,0.0,02-Mar-2018 - 00:00,1.46,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-Mar-2018 - 00:00,0.0,31.64,0.0,0.0,39.26,25.31,0.76,67.62,25.12,,,,,,,-0.08,0.0,03-Mar-2018 - 00:00,1.47,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-Mar-2018 - 00:00,0.0,23.51,0.0,0.0,36.74,47.06,0.73,68.57,26.43,,,,,,,-0.1,0.0,04-Mar-2018 - 00:00,1.45,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-Mar-2018 - 00:00,0.0,19.55,0.0,0.0,40.26,45.32,0.71,97.28,26.03,,,,,,,-0.11,0.0,05-Mar-2018 - 00:00,1.47,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-Mar-2018 - 00:00,0.0,22.66,0.0,0.0,31.04,40.34,0.73,73.75,26.12,,,,,,,-0.11,-4.17,06-Mar-2018 - 00:00,1.52,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-Mar-2018 - 00:00,0.0,26.95,0.0,0.0,25.27,44.15,0.74,69.76,26.21,,,,,,,-0.11,0.0,07-Mar-2018 - 00:00,1.51,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-Mar-2018 - 00:00,0.0,18.89,0.0,,37.69,44.83,0.73,69.78,25.61,,,,,,,-0.1,-31.25,08-Mar-2018 - 00:00,1.49,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-Mar-2018 - 00:00,0.0,18.75,0.0,,29.81,44.47,0.75,77.31,25.45,,,,,,,-0.09,0.0,09-Mar-2018 - 00:00,1.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-Mar-2018 - 00:00,0.0,29.25,0.0,,35.91,66.77,0.75,83.46,25.47,,,,,,,-0.09,0.0,10-Mar-2018 - 00:00,1.64,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
10-Mar-2018 - 00:00,0.0,16.13,0.0,0.0,14.53,60.52,0.74,78.63,25.37,,,,,,,-0.1,0.0,11-Mar-2018 - 00:00,1.46,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
11-Mar-2018 - 00:00,0.0,10.73,0.0,0.0,32.26,49.24,0.78,68.69,25.52,,,,,,,-0.07,0.0,12-Mar-2018 - 00:00,1.5,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
12-Mar-2018 - 00:00,0.0,8.22,0.0,0.0,33.16,35.68,0.76,86.86,25.7,,,,,,,-0.06,0.0,13-Mar-2018 - 00:00,1.51,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
13-Mar-2018 - 00:00,0.0,9.39,0.0,0.0,13.13,25.03,0.74,86.95,25.94,,,,,,,-0.07,0.0,14-Mar-2018 - 00:00,1.52,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
14-Mar-2018 - 00:00,0.0,9.29,0.0,0.0,33.84,28.81,0.72,108.37,25.79,,,,,,,-0.08,0.0,15-Mar-2018 - 00:00,1.48,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
15-Mar-2018 - 00:00,0.0,10.91,0.0,0.0,22.17,25.61,0.71,128.1,25.99,,,,,,,-0.09,0.0,16-Mar-2018 - 00:00,1.47,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
