from date,NO,NOx,NO2,SO2,Ozone,PM2.5,WS,WD,AT,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,RH,VWS,SR,to date,CO,BP,station
17-Apr-2018 - 00:00,0.0,13.43,0.0,0.0,0.0,32.1,0.66,60.86,28.45,0.0,0.0,0.0,0.0,0.0,,-0.12,269.07,18-Apr-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
18-Apr-2018 - 00:00,0.0,14.77,0.0,0.0,0.0,37.2,0.64,119.49,28.79,0.0,0.0,0.0,0.0,0.0,,-0.12,246.28,19-Apr-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
19-Apr-2018 - 00:00,0.0,14.67,0.0,0.0,0.0,47.23,0.63,134.56,28.21,1.0,1.79,0.92,0.31,0.34,,-0.12,212.87,20-Apr-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
20-Apr-2018 - 00:00,0.0,13.72,0.0,0.0,0.0,36.84,0.7,197.96,26.85,1.9,3.44,1.75,0.59,0.65,,-0.1,226.84,21-Apr-2018 - 00:00,1.2,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
21-Apr-2018 - 00:00,0.0,16.24,0.0,0.0,0.0,32.7,0.61,149.99,27.53,1.91,3.46,1.76,0.6,0.66,,-0.13,238.55,22-Apr-2018 - 00:00,0.78,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
22-Apr-2018 - 00:00,0.0,12.61,0.0,0.0,0.0,34.14,0.63,173.22,27.14,1.91,3.45,1.76,0.6,0.66,,-0.11,227.88,23-Apr-2018 - 00:00,0.78,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
23-Apr-2018 - 00:00,0.0,12.77,0.0,0.0,0.0,43.1,0.61,190.93,27.32,1.91,3.46,1.76,0.6,0.66,,-0.12,271.88,24-Apr-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
24-Apr-2018 - 00:00,0.0,13.39,0.0,0.0,0.0,37.26,0.65,157.01,26.78,1.9,3.45,1.75,0.59,0.65,,-0.11,221.57,25-Apr-2018 - 00:00,0.8,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
25-Apr-2018 - 00:00,0.0,18.77,0.0,0.0,0.0,41.77,0.63,183.92,27.04,5.31,7.22,5.19,4.03,4.09,,-0.13,243.0,26-Apr-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-Apr-2018 - 00:00,0.0,9.61,0.0,0.0,0.0,35.65,0.69,208.39,26.56,8.46,10.72,8.37,7.21,7.27,,-0.12,286.58,27-Apr-2018 - 00:00,0.8,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-Apr-2018 - 00:00,0.0,26.45,0.0,0.0,0.0,59.25,0.7,50.87,28.08,6.99,9.04,7.08,5.92,5.98,,-0.13,182.22,28-Apr-2018 - 00:00,1.86,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-Apr-2018 - 00:00,0.0,20.83,0.0,0.0,0.0,29.7,0.65,58.69,27.07,1.33,2.58,2.24,1.08,1.14,,-0.13,289.2,29-Apr-2018 - 00:00,0.76,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
29-Apr-2018 - 00:00,0.0,19.0,0.0,0.0,0.0,30.39,0.62,155.9,27.26,1.39,2.65,2.3,1.14,1.2,,-0.12,262.86,30-Apr-2018 - 00:00,0.75,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
30-Apr-2018 - 00:00,0.0,10.78,0.0,0.0,0.0,17.91,0.71,195.87,27.07,1.83,3.13,2.73,1.57,1.63,,-0.09,262.21,01-May-2018 - 00:00,0.82,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
01-May-2018 - 00:00,,,,,,,,,,,,,,,,,,02-May-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-May-2018 - 00:00,,,,,,,,,,,,,,,,,,03-May-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-May-2018 - 00:00,,,,,,,,,,,,,,,,,,04-May-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-May-2018 - 00:00,,,,,,,,,,,,,,,,,,05-May-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-May-2018 - 00:00,,,,,,,,,,,,,,,,,,06-May-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-May-2018 - 00:00,,,,,,,,,,,,,,,,,,07-May-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-May-2018 - 00:00,0.0,50.27,0.0,0.0,0.0,59.63,0.68,125.79,28.24,1.43,2.69,2.33,1.17,1.23,,-0.12,137.41,08-May-2018 - 00:00,0.9,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-May-2018 - 00:00,0.0,14.56,0.0,0.0,0.0,52.59,0.72,177.73,26.64,2.07,3.39,2.98,1.82,1.88,,-0.07,160.0,09-May-2018 - 00:00,0.96,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-May-2018 - 00:00,0.0,15.63,0.0,0.0,0.0,31.52,0.66,145.04,26.8,1.34,2.58,2.24,1.08,1.14,,-0.13,191.6,10-May-2018 - 00:00,0.77,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
10-May-2018 - 00:00,0.0,12.22,0.0,0.0,0.0,28.78,0.64,154.47,26.84,1.33,2.58,2.24,1.08,1.14,,-0.13,258.04,11-May-2018 - 00:00,0.81,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
11-May-2018 - 00:00,0.0,17.34,0.0,0.0,0.0,28.45,0.63,170.88,26.4,1.43,2.69,2.34,1.18,1.24,,-0.13,269.5,12-May-2018 - 00:00,0.81,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
12-May-2018 - 00:00,0.0,13.33,0.0,0.0,0.0,24.56,0.66,206.92,26.61,1.33,2.58,2.23,1.07,1.13,,-0.13,260.59,13-May-2018 - 00:00,0.78,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
13-May-2018 - 00:00,0.0,7.73,0.0,0.0,0.0,24.36,0.66,190.84,26.38,1.31,2.56,2.22,1.06,1.12,,-0.13,221.29,14-May-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
14-May-2018 - 00:00,0.0,18.78,0.0,0.0,0.0,30.45,0.67,199.33,25.9,1.29,2.54,2.2,1.04,1.1,,-0.13,195.09,15-May-2018 - 00:00,0.77,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
15-May-2018 - 00:00,0.0,14.31,0.0,0.0,0.0,29.11,0.61,172.12,26.42,1.29,2.53,2.19,1.03,1.09,,-0.13,244.73,16-May-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
16-May-2018 - 00:00,0.0,16.08,0.0,0.0,0.0,30.17,0.62,88.71,26.69,1.28,2.52,2.18,1.02,1.08,,-0.13,263.42,17-May-2018 - 00:00,0.77,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
17-May-2018 - 00:00,0.0,17.32,0.0,0.0,0.0,35.78,0.62,104.66,26.93,1.28,2.52,2.18,1.02,1.08,,-0.13,256.68,18-May-2018 - 00:00,0.81,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
18-May-2018 - 00:00,0.0,21.94,0.0,0.0,0.0,35.54,0.7,192.64,26.0,1.29,2.53,2.19,1.03,1.09,,-0.13,163.0,19-May-2018 - 00:00,1.44,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
19-May-2018 - 00:00,0.0,23.36,0.0,0.0,0.0,39.22,0.69,193.41,26.47,1.27,2.52,2.18,1.02,1.08,,-0.13,253.5,20-May-2018 - 00:00,0.84,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
20-May-2018 - 00:00,0.0,7.45,0.0,0.0,0.0,37.38,0.67,210.95,26.25,1.28,2.52,2.18,1.02,1.08,,-0.13,221.02,21-May-2018 - 00:00,0.84,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
21-May-2018 - 00:00,0.0,11.28,0.0,0.0,0.0,56.92,0.73,195.22,26.23,2.1,3.24,2.85,1.89,1.94,,-0.15,242.12,22-May-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
22-May-2018 - 00:00,0.0,22.87,0.0,0.0,0.0,85.92,0.67,215.24,27.04,0.59,1.88,0.0,0.0,0.03,,-0.09,270.32,23-May-2018 - 00:00,1.65,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
23-May-2018 - 00:00,0.0,24.74,0.0,0.0,0.0,56.9,0.7,164.38,26.15,0.43,2.23,0.0,0.0,0.0,,-0.06,167.47,24-May-2018 - 00:00,0.75,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
24-May-2018 - 00:00,0.0,11.86,0.0,0.0,0.0,35.11,0.76,212.09,26.54,0.16,1.32,0.0,0.0,0.09,,-0.05,224.33,25-May-2018 - 00:00,0.78,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
25-May-2018 - 00:00,0.0,14.81,0.0,0.0,0.0,36.37,0.7,206.56,25.87,0.07,1.47,0.0,0.0,0.0,,-0.06,109.31,26-May-2018 - 00:00,0.8,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-May-2018 - 00:00,0.0,11.66,0.0,0.0,0.39,24.37,0.72,187.38,26.03,0.38,0.65,0.0,0.0,0.07,,-0.08,177.88,27-May-2018 - 00:00,1.19,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-May-2018 - 00:00,0.0,18.61,0.0,0.0,4.02,34.7,0.73,75.29,25.96,0.11,0.66,0.0,0.0,0.06,,-0.08,266.15,28-May-2018 - 00:00,0.71,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-May-2018 - 00:00,0.0,3.83,0.0,,4.86,10.48,0.4,141.14,28.53,0.0,0.0,0.0,0.0,0.0,,-0.09,610.09,29-May-2018 - 00:00,1.89,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
29-May-2018 - 00:00,0.0,9.06,0.0,,19.22,13.39,0.88,233.48,26.76,0.38,3.54,0.24,0.0,1.16,,0.04,155.26,30-May-2018 - 00:00,0.75,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
30-May-2018 - 00:00,0.0,5.76,0.0,0.0,22.51,18.73,0.85,243.15,25.99,0.22,2.98,0.18,0.0,0.81,,0.02,203.07,31-May-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
31-May-2018 - 00:00,0.0,5.79,0.0,0.0,18.58,24.62,0.82,241.75,26.33,0.72,8.01,0.8,0.0,3.41,,-0.02,228.32,01-Jun-2018 - 00:00,0.78,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
01-Jun-2018 - 00:00,0.0,7.65,0.0,0.0,22.55,28.03,0.7,220.25,26.23,0.17,2.87,0.05,0.0,0.43,,-0.05,175.79,02-Jun-2018 - 00:00,0.8,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-Jun-2018 - 00:00,0.0,5.55,0.0,0.0,22.77,26.05,0.77,255.83,25.67,0.38,4.9,0.05,0.0,0.01,,-0.05,182.05,03-Jun-2018 - 00:00,0.9,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-Jun-2018 - 00:00,0.0,2.76,0.0,0.0,3.74,18.36,0.77,252.31,25.79,0.32,4.11,0.09,0.0,0.02,,-0.04,181.74,04-Jun-2018 - 00:00,0.81,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-Jun-2018 - 00:00,0.0,6.73,0.0,0.0,10.77,18.0,0.87,249.14,25.82,0.07,1.7,0.04,0.0,0.02,,0.0,203.6,05-Jun-2018 - 00:00,0.78,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-Jun-2018 - 00:00,0.0,11.04,0.0,0.0,15.66,16.46,0.88,245.87,26.04,0.13,2.54,0.2,0.0,0.39,,0.02,225.21,06-Jun-2018 - 00:00,0.8,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-Jun-2018 - 00:00,0.0,9.85,0.0,0.0,5.38,13.31,0.9,245.82,26.4,0.11,1.8,0.02,0.0,0.15,,0.04,250.25,07-Jun-2018 - 00:00,0.81,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-Jun-2018 - 00:00,0.0,10.5,0.0,0.0,9.86,12.89,0.94,240.21,25.82,0.06,0.97,0.01,0.0,0.08,,0.08,162.31,08-Jun-2018 - 00:00,0.81,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-Jun-2018 - 00:00,0.0,10.51,0.0,0.0,4.95,17.02,0.93,238.45,25.37,0.03,1.12,0.0,0.0,0.02,,0.07,77.48,09-Jun-2018 - 00:00,0.78,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-Jun-2018 - 00:00,0.0,9.3,0.0,0.0,11.66,4.98,0.95,243.44,25.29,0.02,0.89,0.0,0.0,0.0,,0.1,124.35,10-Jun-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
10-Jun-2018 - 00:00,0.0,9.17,0.0,0.0,10.39,7.92,0.96,243.42,25.32,0.03,0.9,0.0,0.0,0.04,,0.09,157.43,11-Jun-2018 - 00:00,0.78,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
11-Jun-2018 - 00:00,0.4,10.47,6.03,0.0,9.61,17.64,0.98,243.02,25.61,0.49,1.99,0.0,0.0,0.0,,0.11,113.13,12-Jun-2018 - 00:00,0.98,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
12-Jun-2018 - 00:00,0.0,9.47,15.38,0.0,13.04,17.99,0.95,243.06,25.78,1.92,6.19,0.0,0.0,0.0,,0.08,136.09,13-Jun-2018 - 00:00,0.78,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
13-Jun-2018 - 00:00,0.0,10.53,16.72,2.12,12.82,22.08,0.94,243.25,25.85,1.95,6.28,0.0,0.0,0.0,,0.07,160.03,14-Jun-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
14-Jun-2018 - 00:00,0.0,12.22,18.55,1.83,15.24,29.71,0.92,243.67,25.47,1.12,3.6,0.0,0.0,0.02,,0.05,165.94,15-Jun-2018 - 00:00,0.85,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
15-Jun-2018 - 00:00,0.0,15.28,21.96,1.85,20.28,20.32,0.88,245.37,25.76,1.15,3.72,0.0,0.0,0.0,,0.02,223.07,16-Jun-2018 - 00:00,0.75,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
16-Jun-2018 - 00:00,0.0,17.24,23.84,3.44,13.16,17.92,0.86,243.14,25.74,1.58,5.11,0.0,0.0,0.0,,0.01,280.91,17-Jun-2018 - 00:00,0.78,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
17-Jun-2018 - 00:00,0.0,14.78,19.87,4.69,5.23,15.94,0.91,246.67,25.55,1.06,3.42,0.0,0.0,0.0,,0.04,231.52,18-Jun-2018 - 00:00,0.78,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
18-Jun-2018 - 00:00,2.69,11.98,17.44,4.23,10.72,11.73,0.92,243.46,25.41,0.79,2.53,0.0,0.0,0.02,,0.05,198.8,19-Jun-2018 - 00:00,0.92,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
19-Jun-2018 - 00:00,5.64,11.07,16.0,2.97,14.6,45.23,0.95,239.97,25.52,0.63,2.04,0.0,0.0,0.0,,0.08,195.56,20-Jun-2018 - 00:00,0.96,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
20-Jun-2018 - 00:00,5.7,12.0,17.72,3.78,22.95,14.78,0.91,235.34,25.68,0.67,2.16,0.0,0.0,0.0,,0.06,213.84,21-Jun-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
21-Jun-2018 - 00:00,5.16,11.35,17.31,3.61,24.24,11.74,0.93,240.74,25.65,0.78,2.51,0.0,0.0,0.0,,0.06,184.24,22-Jun-2018 - 00:00,0.77,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
22-Jun-2018 - 00:00,4.98,11.44,17.75,3.91,29.54,14.37,0.91,242.96,25.66,0.81,2.62,0.0,0.0,0.0,,0.04,154.87,23-Jun-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
23-Jun-2018 - 00:00,5.83,13.65,20.63,3.71,18.14,17.37,0.89,245.0,25.38,0.98,3.15,0.0,0.0,0.0,,0.03,172.38,24-Jun-2018 - 00:00,0.78,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
24-Jun-2018 - 00:00,5.14,10.63,15.99,3.92,11.48,21.07,0.92,243.92,25.52,0.56,1.82,0.0,0.0,0.0,,0.05,188.96,25-Jun-2018 - 00:00,0.77,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
25-Jun-2018 - 00:00,5.24,10.81,16.14,4.17,13.51,28.66,0.94,244.73,25.61,0.53,1.72,0.0,0.0,0.0,,0.07,198.93,26-Jun-2018 - 00:00,0.89,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-Jun-2018 - 00:00,5.64,11.64,17.13,4.75,17.96,19.79,0.97,244.08,25.48,0.52,1.68,0.0,0.0,0.0,,0.11,199.26,27-Jun-2018 - 00:00,0.77,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-Jun-2018 - 00:00,5.79,12.49,18.51,4.3,13.7,16.61,0.95,244.29,25.15,0.62,2.01,0.0,0.0,0.0,,0.09,126.78,28-Jun-2018 - 00:00,0.78,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-Jun-2018 - 00:00,5.43,12.51,19.1,3.76,13.6,14.75,0.91,242.63,25.21,0.74,2.4,0.0,0.0,0.0,,0.04,98.9,29-Jun-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
29-Jun-2018 - 00:00,6.24,14.8,22.18,4.03,15.86,16.22,0.87,244.45,25.41,0.95,3.06,0.0,0.0,0.0,,0.0,169.34,30-Jun-2018 - 00:00,0.8,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
30-Jun-2018 - 00:00,5.96,14.03,21.31,4.95,4.22,17.34,0.86,248.39,25.48,1.02,3.3,0.0,0.0,0.0,,-0.01,209.14,01-Jul-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
01-Jul-2018 - 00:00,5.59,13.04,19.84,3.3,4.65,15.02,0.84,245.59,25.75,7.76,25.02,0.74,0.0,6.01,,-0.03,181.88,02-Jul-2018 - 00:00,0.78,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-Jul-2018 - 00:00,5.42,11.98,18.1,3.85,17.22,14.41,0.9,246.14,26.08,0.96,3.1,0.0,0.0,0.03,,0.03,263.37,03-Jul-2018 - 00:00,0.77,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-Jul-2018 - 00:00,5.28,9.87,14.36,4.61,17.71,15.72,0.9,246.09,25.92,0.89,2.87,0.0,0.0,0.0,,0.03,199.91,04-Jul-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-Jul-2018 - 00:00,4.5,7.37,10.86,3.92,15.71,13.6,0.93,244.9,25.79,0.61,1.96,0.0,0.0,0.0,,0.05,172.71,05-Jul-2018 - 00:00,0.76,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-Jul-2018 - 00:00,5.24,11.1,16.7,4.26,19.86,15.71,0.95,246.89,25.92,0.57,1.85,0.0,0.0,0.0,,0.09,253.59,06-Jul-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-Jul-2018 - 00:00,5.48,12.43,18.86,3.59,15.24,19.24,0.96,245.34,25.36,0.61,1.98,0.0,0.0,0.0,,0.08,135.34,07-Jul-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-Jul-2018 - 00:00,5.5,12.12,18.25,3.35,15.7,18.8,0.95,243.86,25.21,0.59,1.91,0.0,0.0,0.03,,0.08,86.02,08-Jul-2018 - 00:00,0.9,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-Jul-2018 - 00:00,5.5,12.6,19.15,3.4,14.75,68.92,0.91,245.51,25.19,0.68,2.2,0.0,0.0,0.0,,0.04,103.57,09-Jul-2018 - 00:00,0.77,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-Jul-2018 - 00:00,6.45,14.55,21.38,3.42,11.96,18.12,0.92,245.3,25.3,0.82,2.64,0.0,0.0,0.0,,0.05,134.36,10-Jul-2018 - 00:00,0.77,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
10-Jul-2018 - 00:00,5.82,12.03,17.6,4.17,12.96,28.15,0.91,244.41,25.3,0.48,1.54,0.0,0.0,0.0,,0.05,176.38,11-Jul-2018 - 00:00,0.77,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
11-Jul-2018 - 00:00,5.96,12.83,20.08,1.14,8.14,14.86,0.95,243.52,25.57,0.58,1.87,0.0,0.0,0.0,,0.08,168.81,12-Jul-2018 - 00:00,1.76,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
12-Jul-2018 - 00:00,6.19,12.79,18.48,1.17,7.61,17.91,0.97,243.76,25.32,0.47,1.5,0.0,0.0,0.0,,0.1,124.9,13-Jul-2018 - 00:00,0.78,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
13-Jul-2018 - 00:00,7.44,14.2,19.24,3.18,15.07,18.24,0.96,246.01,25.29,0.5,1.62,0.0,0.0,0.0,,0.1,133.75,14-Jul-2018 - 00:00,0.78,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
14-Jul-2018 - 00:00,5.45,10.36,15.02,3.98,15.12,19.23,0.96,245.86,25.31,0.62,2.01,0.0,0.0,0.0,,0.1,142.29,15-Jul-2018 - 00:00,0.78,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
15-Jul-2018 - 00:00,5.45,10.85,15.91,3.56,14.6,18.43,0.99,245.09,25.58,0.34,1.1,0.0,0.0,0.0,,0.12,150.31,16-Jul-2018 - 00:00,0.8,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
16-Jul-2018 - 00:00,7.08,14.28,19.94,3.77,10.38,20.46,0.98,243.87,25.25,0.48,1.56,0.0,0.0,0.0,,0.11,139.98,17-Jul-2018 - 00:00,0.78,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
17-Jul-2018 - 00:00,5.15,9.91,14.62,3.74,15.52,23.48,0.98,245.71,25.31,0.47,1.51,0.0,0.0,0.0,,0.12,146.63,18-Jul-2018 - 00:00,0.77,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
18-Jul-2018 - 00:00,4.44,6.52,9.31,4.2,16.77,18.91,0.97,246.27,25.66,0.47,1.52,0.0,0.0,0.0,,0.1,198.79,19-Jul-2018 - 00:00,0.78,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
19-Jul-2018 - 00:00,4.48,6.56,9.32,3.7,18.38,21.04,0.97,245.61,25.5,0.45,1.44,0.0,0.0,0.0,,0.1,111.18,20-Jul-2018 - 00:00,0.76,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
20-Jul-2018 - 00:00,5.04,9.28,13.59,3.76,24.1,16.77,1.0,244.85,25.43,0.34,1.1,0.0,0.0,0.0,,0.13,153.25,21-Jul-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
21-Jul-2018 - 00:00,5.11,11.34,17.36,2.59,21.64,19.7,0.95,245.45,25.26,0.44,1.42,0.0,0.0,0.0,,0.09,101.06,22-Jul-2018 - 00:00,0.93,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
22-Jul-2018 - 00:00,4.59,9.88,15.35,3.07,19.87,16.55,0.95,244.59,25.56,0.34,1.11,0.0,0.0,0.0,,0.09,155.63,23-Jul-2018 - 00:00,0.81,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
23-Jul-2018 - 00:00,6.33,12.59,18.63,4.28,17.39,21.24,0.94,244.95,25.54,0.36,1.15,0.0,0.0,0.0,,0.07,174.46,24-Jul-2018 - 00:00,0.83,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
24-Jul-2018 - 00:00,7.98,17.33,24.32,3.94,10.39,25.64,0.91,250.03,26.05,1.0,3.23,0.0,0.0,0.13,,0.05,224.88,25-Jul-2018 - 00:00,1.02,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
25-Jul-2018 - 00:00,7.22,15.74,22.47,5.99,9.81,20.8,0.9,247.36,25.46,1.42,4.6,0.01,0.0,0.31,,0.04,126.48,26-Jul-2018 - 00:00,0.77,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-Jul-2018 - 00:00,6.79,15.06,21.84,4.51,10.94,20.13,0.9,246.84,25.62,0.68,2.21,0.0,0.0,0.0,,0.03,147.14,27-Jul-2018 - 00:00,0.8,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-Jul-2018 - 00:00,6.69,14.53,20.99,4.52,12.94,17.44,0.93,245.29,25.52,0.72,2.32,0.0,0.0,0.08,,0.06,153.64,28-Jul-2018 - 00:00,0.77,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-Jul-2018 - 00:00,5.61,12.31,18.43,4.28,16.61,18.45,0.91,243.35,25.69,0.5,1.6,0.0,0.0,0.0,,0.04,173.44,29-Jul-2018 - 00:00,0.84,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
29-Jul-2018 - 00:00,5.71,12.82,19.22,1.28,13.54,30.05,0.89,246.95,25.7,0.68,2.19,0.0,0.0,0.0,,0.02,143.78,30-Jul-2018 - 00:00,0.77,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
30-Jul-2018 - 00:00,7.14,16.15,23.37,3.1,12.17,18.27,0.9,247.16,25.74,0.67,2.16,0.0,0.0,0.03,,0.04,158.05,31-Jul-2018 - 00:00,0.78,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
31-Jul-2018 - 00:00,6.44,13.96,20.29,3.55,11.73,20.61,0.92,243.67,25.44,0.57,1.85,0.0,0.0,0.0,,0.05,141.48,01-Aug-2018 - 00:00,0.76,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
01-Aug-2018 - 00:00,7.22,17.08,24.99,4.73,13.13,16.52,0.9,245.76,25.1,0.85,2.75,0.0,0.0,0.02,,0.04,142.0,02-Aug-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-Aug-2018 - 00:00,6.24,14.72,22.04,3.65,15.16,25.07,0.91,247.18,25.57,0.8,2.57,0.0,0.0,0.1,,0.05,221.76,03-Aug-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-Aug-2018 - 00:00,6.15,15.0,22.68,3.28,11.19,22.0,0.9,246.51,25.51,0.99,3.21,0.0,0.0,0.13,,0.04,145.53,04-Aug-2018 - 00:00,0.8,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-Aug-2018 - 00:00,5.37,13.0,20.1,3.47,13.49,22.55,0.91,247.79,25.5,0.53,1.72,0.0,0.0,0.02,,0.05,181.69,05-Aug-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
