from date,to date,station
01-Jan-2018 - 00:00,02-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
02-Jan-2018 - 00:00,03-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
03-Jan-2018 - 00:00,04-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
04-Jan-2018 - 00:00,05-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
05-Jan-2018 - 00:00,06-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
06-Jan-2018 - 00:00,07-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
07-Jan-2018 - 00:00,08-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
08-Jan-2018 - 00:00,09-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
09-Jan-2018 - 00:00,10-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
10-Jan-2018 - 00:00,11-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
11-Jan-2018 - 00:00,12-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
12-Jan-2018 - 00:00,13-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
13-Jan-2018 - 00:00,14-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
14-Jan-2018 - 00:00,15-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
15-Jan-2018 - 00:00,16-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
16-Jan-2018 - 00:00,17-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
17-Jan-2018 - 00:00,18-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
18-Jan-2018 - 00:00,19-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
19-Jan-2018 - 00:00,20-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
20-Jan-2018 - 00:00,21-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
21-Jan-2018 - 00:00,22-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
22-Jan-2018 - 00:00,23-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
23-Jan-2018 - 00:00,24-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
24-Jan-2018 - 00:00,25-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
25-Jan-2018 - 00:00,26-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
26-Jan-2018 - 00:00,27-Jan-2018 - 00:00,"Railway Colony, Guwahati - APCB"
