from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,P-Xylene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Feb-2018 - 00:00,21.82,908.28,445.35,227.39,66.07,169.24,206.9,0.58,0.0,,,,39.29,35.57,77.6,68.75,,13.64,1.4,02-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Feb-2018 - 00:00,18.86,918.98,351.75,181.58,72.23,111.99,179.94,0.56,0.0,,,,48.97,30.04,54.13,69.02,,11.03,0.96,03-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Feb-2018 - 00:00,17.62,912.38,304.04,152.29,67.5,119.33,153.99,0.51,0.0,,,,48.11,24.12,43.35,66.94,,14.95,0.86,04-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Feb-2018 - 00:00,16.59,914.95,301.08,172.12,67.16,124.66,205.84,0.63,0.0,0.69,0.24,2.61,42.82,22.63,46.26,64.92,3.13,13.45,0.88,05-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Feb-2018 - 00:00,15.95,902.22,372.96,210.75,64.28,88.45,168.1,0.48,0.0,0.8,0.3,3.17,39.78,37.64,55.46,84.57,27.55,16.52,1.04,06-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Feb-2018 - 00:00,17.09,906.65,329.04,170.46,65.04,93.41,176.76,0.43,0.0,0.8,0.27,2.75,40.34,26.04,51.6,69.84,25.62,14.07,0.92,07-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Feb-2018 - 00:00,16.53,900.75,292.33,160.46,63.86,120.7,210.64,0.57,0.0,0.9,0.33,2.99,34.86,25.25,52.96,66.13,37.69,14.23,0.9,08-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
