from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene,to date,station
24-Jan-2018 - 00:00,,,,,,,,,,233.77,144.19,16.36,30.46,46.81,1.26,,24.65,0.0,0.0,0.0,0.0,0.0,25-Jan-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
25-Jan-2018 - 00:00,0.16,102.24,1.26,2.54,12.95,73.02,48.0,992.53,13.7,218.21,91.58,17.37,29.3,46.67,1.43,,20.55,0.0,0.0,0.0,1.35,0.0,26-Jan-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
26-Jan-2018 - 00:00,0.35,152.44,3.55,3.92,12.44,72.32,91.3,993.31,13.7,231.49,146.99,16.79,30.11,46.79,1.31,,23.97,0.0,0.0,0.0,3.56,0.0,27-Jan-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
27-Jan-2018 - 00:00,0.31,159.97,2.08,1.64,12.65,65.15,94.82,993.4,13.69,321.75,192.66,18.57,30.95,48.78,1.26,,26.87,0.0,0.0,0.0,2.14,0.0,28-Jan-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
28-Jan-2018 - 00:00,0.23,123.27,2.15,2.66,13.68,58.43,90.83,994.28,13.69,277.47,157.39,17.89,30.64,48.45,1.34,,24.28,0.0,0.0,0.0,1.9,0.0,29-Jan-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
29-Jan-2018 - 00:00,0.27,117.0,2.76,9.43,16.55,49.04,98.6,995.48,13.68,310.14,168.15,17.52,31.13,48.4,1.35,,25.43,0.0,0.0,0.0,2.13,0.0,30-Jan-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
30-Jan-2018 - 00:00,0.78,94.74,10.42,,24.52,22.62,122.24,994.19,13.61,244.35,148.33,17.65,29.46,46.93,1.43,,22.16,0.0,0.0,0.0,1.55,0.0,31-Jan-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
31-Jan-2018 - 00:00,,,,,,,,,,223.58,140.11,17.47,29.97,47.25,1.37,,22.74,0.0,0.0,0.0,0.0,0.0,01-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
01-Feb-2018 - 00:00,,,,,,,,,,287.05,137.91,18.21,32.73,50.52,1.25,,30.76,0.0,0.0,0.0,0.0,0.0,02-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
02-Feb-2018 - 00:00,,,,,,,,,,284.3,133.66,15.52,32.43,47.91,1.06,,36.07,0.0,0.0,0.0,0.0,0.0,03-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
03-Feb-2018 - 00:00,,,,,,,,,,228.77,107.62,14.88,32.51,47.28,1.0,,35.57,0.0,0.0,0.0,0.0,0.0,04-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
04-Feb-2018 - 00:00,,,,,,,,,,230.59,114.5,14.42,33.06,47.47,0.94,,37.07,0.0,0.0,0.0,0.0,0.0,05-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
05-Feb-2018 - 00:00,,,,,,,,,,286.36,156.5,13.95,33.77,47.72,0.86,,41.57,0.0,0.0,0.0,0.0,0.0,06-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
06-Feb-2018 - 00:00,,,,,,,,,,267.41,150.88,15.3,32.56,47.81,1.01,,35.45,0.0,0.0,0.0,0.0,0.0,07-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
07-Feb-2018 - 00:00,,,,,,,,,,249.7,133.42,14.8,32.94,47.63,0.93,,37.73,0.0,0.0,0.0,,0.0,08-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
08-Feb-2018 - 00:00,,,,,,,,,,372.18,186.98,13.99,33.98,47.93,0.86,,46.36,0.0,0.0,0.0,,0.0,09-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
09-Feb-2018 - 00:00,,,,,,,,,,374.85,201.64,14.47,34.64,49.09,0.82,,46.4,0.0,0.0,0.0,,0.0,10-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
10-Feb-2018 - 00:00,,,,,,,,,,400.72,231.09,12.57,35.99,48.56,0.63,,64.08,0.0,0.0,0.0,,0.0,11-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
11-Feb-2018 - 00:00,,,,,,,,,,297.8,153.42,13.69,34.24,47.89,0.79,,47.49,0.0,0.0,0.0,,0.0,12-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
12-Feb-2018 - 00:00,,,,,,,,,,107.19,57.79,15.55,32.27,47.74,1.03,,33.62,0.0,0.0,0.0,,0.0,13-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
13-Feb-2018 - 00:00,,,,,,,,,,155.47,94.96,16.17,31.87,47.97,1.16,,34.84,0.0,0.0,0.0,,0.0,14-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
14-Feb-2018 - 00:00,,,,,,,,,,141.91,89.66,18.15,30.43,48.55,1.44,,26.07,0.0,0.0,0.0,,0.0,15-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
