from date,PM2.5,PM10,RF,AT,SR,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,Temp,RH,BP,WD,WS,to date,station
13-Jan-2018 - 00:00,410.32,603.22,0.0,18.01,72.55,44.15,144.75,105.91,186.74,69.43,4.29,52.5,0.77,8.77,3.05,31.33,61.38,747.79,264.5,0.94,14-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
14-Jan-2018 - 00:00,311.73,486.23,0.0,18.14,69.78,35.44,70.76,105.1,115.2,61.93,2.83,39.78,0.51,6.71,1.76,31.55,57.95,747.69,274.99,1.0,15-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
15-Jan-2018 - 00:00,234.66,379.31,0.0,17.81,71.3,33.72,25.5,92.65,72.67,55.52,1.89,38.72,0.36,6.1,1.21,31.64,61.78,747.78,269.58,1.38,16-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
16-Jan-2018 - 00:00,208.21,416.09,0.0,18.24,74.52,28.91,74.11,85.47,107.67,51.36,2.76,37.91,0.47,6.23,1.64,31.65,55.66,745.28,239.35,1.22,17-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
17-Jan-2018 - 00:00,342.26,507.36,0.0,15.17,64.09,10.85,35.6,78.92,73.38,68.66,2.85,24.79,0.49,5.53,1.32,31.88,80.41,746.77,133.94,1.07,18-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
18-Jan-2018 - 00:00,481.92,676.7,0.0,18.42,59.09,25.59,76.62,124.88,125.92,75.29,4.03,33.64,0.68,7.75,1.98,31.62,75.88,747.04,173.42,0.49,19-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
19-Jan-2018 - 00:00,358.93,505.28,0.0,19.32,65.6,26.28,80.01,103.6,120.15,63.88,3.07,30.67,0.64,7.98,2.38,31.43,68.98,747.69,278.38,1.12,20-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
20-Jan-2018 - 00:00,218.14,368.96,0.0,18.0,71.25,27.7,21.14,82.47,61.05,48.47,1.83,32.12,0.33,6.58,0.93,31.4,61.61,746.77,274.3,1.3,21-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
21-Jan-2018 - 00:00,285.75,429.64,0.0,17.89,69.12,28.99,110.67,95.62,140.83,49.4,3.47,51.31,0.54,6.61,1.93,31.33,60.99,746.38,155.95,0.58,22-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
22-Jan-2018 - 00:00,317.19,525.3,0.0,18.09,64.97,23.03,92.7,98.26,127.63,53.5,3.3,34.62,0.59,6.79,1.8,31.26,64.56,744.95,141.07,0.79,23-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
23-Jan-2018 - 00:00,217.71,331.03,0.02,15.53,31.43,15.32,16.7,74.46,53.19,55.31,1.47,27.6,0.31,4.9,0.61,31.53,76.02,742.73,145.76,1.51,24-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
24-Jan-2018 - 00:00,182.17,241.47,0.0,15.23,59.99,26.25,17.02,69.03,50.56,58.51,1.17,30.77,0.27,5.78,0.61,31.69,80.15,745.22,225.03,1.17,25-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
25-Jan-2018 - 00:00,185.77,265.23,0.0,15.28,70.51,16.32,27.93,80.12,65.32,60.39,1.34,19.23,0.33,5.86,0.67,31.77,82.68,744.68,262.2,1.15,26-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
26-Jan-2018 - 00:00,234.57,325.22,0.0,13.61,61.29,44.25,16.94,59.88,45.63,54.32,1.32,56.35,0.34,5.29,0.64,31.89,87.7,745.68,187.29,1.32,27-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
27-Jan-2018 - 00:00,261.45,409.03,0.0,14.46,63.81,38.35,34.54,71.9,66.33,49.4,1.6,44.56,0.35,5.29,0.99,31.78,78.21,745.7,207.2,1.11,28-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
28-Jan-2018 - 00:00,233.53,380.47,0.0,15.31,70.64,53.48,38.04,79.04,72.98,52.67,1.85,65.24,0.39,6.08,1.1,31.33,75.83,746.45,211.11,1.1,29-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
29-Jan-2018 - 00:00,257.47,411.44,0.0,16.89,73.45,46.27,70.53,86.84,103.53,59.67,1.97,46.96,0.42,6.26,1.42,31.19,69.81,747.81,267.02,1.2,30-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
30-Jan-2018 - 00:00,138.47,282.96,0.0,20.27,75.71,35.35,12.92,77.18,51.55,52.11,1.01,25.51,0.24,5.3,0.57,30.89,55.74,746.88,273.78,1.88,31-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
31-Jan-2018 - 00:00,154.81,300.22,0.0,20.22,72.45,21.49,12.38,76.28,50.64,55.89,1.1,17.68,0.25,4.78,0.47,31.07,60.45,745.99,270.51,2.05,01-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
01-Feb-2018 - 00:00,217.81,406.91,0.0,21.73,71.66,43.59,38.65,95.91,82.45,58.98,1.42,25.88,0.35,6.0,0.81,31.29,56.8,746.19,272.97,1.19,02-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
02-Feb-2018 - 00:00,150.75,322.7,0.0,21.4,73.26,63.43,25.4,79.56,62.96,58.78,0.98,48.5,0.26,5.2,0.7,30.98,60.79,744.4,259.85,1.31,03-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
03-Feb-2018 - 00:00,117.48,286.17,0.0,20.08,75.33,51.96,11.95,82.96,53.85,49.2,0.89,35.24,0.22,4.85,0.56,31.03,52.05,746.83,235.07,1.49,04-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
04-Feb-2018 - 00:00,131.84,275.56,0.0,18.92,77.94,50.81,16.06,82.32,56.85,43.86,0.89,35.66,0.19,4.51,0.48,31.34,53.86,747.31,264.23,1.63,05-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
05-Feb-2018 - 00:00,163.12,334.02,0.0,18.54,60.33,51.16,23.52,97.95,71.22,43.37,1.14,43.55,0.28,4.9,0.88,31.49,48.07,749.58,267.58,1.19,06-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
06-Feb-2018 - 00:00,142.51,327.33,0.0,19.02,53.49,76.35,15.25,87.6,58.99,46.21,0.88,77.1,0.27,4.62,0.78,31.45,51.22,749.27,255.33,1.85,07-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
07-Feb-2018 - 00:00,137.27,301.22,0.0,18.84,79.31,44.42,16.36,80.56,56.15,41.14,1.02,34.87,0.22,4.86,0.44,30.85,48.99,746.26,265.82,1.69,08-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
08-Feb-2018 - 00:00,242.65,434.48,0.0,18.4,69.49,57.21,71.1,94.13,107.88,49.72,1.65,59.08,0.38,6.56,0.9,31.15,55.52,745.39,252.79,0.99,09-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
09-Feb-2018 - 00:00,206.52,400.74,0.0,18.92,73.91,61.74,38.1,101.08,84.75,51.59,1.61,49.78,0.36,6.16,0.88,31.1,54.59,745.45,249.44,1.08,10-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
10-Feb-2018 - 00:00,265.94,533.14,0.0,19.61,69.22,50.88,162.03,96.46,183.04,55.67,3.06,50.23,0.51,8.64,1.62,31.07,51.39,747.82,153.91,0.62,11-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
11-Feb-2018 - 00:00,133.33,304.4,0.0,20.01,64.68,40.38,21.26,76.84,58.16,48.16,1.01,17.9,0.27,4.44,0.96,31.15,50.25,747.17,174.7,1.51,12-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
12-Feb-2018 - 00:00,71.15,165.51,0.0,17.34,40.11,16.19,4.02,41.19,25.19,46.05,0.8,13.06,0.1,2.48,0.24,31.11,75.21,749.52,142.88,2.5,13-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
13-Feb-2018 - 00:00,130.78,224.25,0.0,18.42,69.44,34.45,28.43,67.72,59.13,52.88,1.05,21.92,0.23,4.58,0.61,31.16,77.27,753.67,180.24,1.2,14-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
14-Feb-2018 - 00:00,71.81,179.39,0.0,18.7,79.28,47.12,7.76,60.46,38.47,37.42,0.58,24.71,0.13,3.97,0.43,31.19,62.94,753.22,267.5,2.23,15-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
15-Feb-2018 - 00:00,95.7,190.38,0.0,19.51,76.02,37.86,7.47,62.46,39.29,38.23,0.72,30.8,0.16,4.31,0.33,31.18,64.73,751.01,269.46,2.16,16-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
16-Feb-2018 - 00:00,126.68,243.1,0.0,20.62,69.93,36.77,10.55,75.93,48.96,41.08,0.99,22.63,0.21,4.66,0.37,31.05,65.81,749.58,269.34,1.51,17-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
17-Feb-2018 - 00:00,141.42,271.6,0.0,21.43,71.46,33.82,13.45,81.23,54.14,42.83,1.05,26.68,0.21,5.09,0.25,30.96,64.0,744.38,263.97,1.45,18-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
18-Feb-2018 - 00:00,150.18,287.16,0.0,21.29,77.9,29.23,37.11,79.4,72.41,41.42,1.26,22.56,0.21,5.1,0.16,30.98,60.49,743.71,254.21,1.18,19-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
19-Feb-2018 - 00:00,244.39,456.97,0.0,21.78,71.35,40.62,116.87,105.18,150.96,45.43,2.29,48.94,0.41,6.5,0.89,31.01,54.66,745.24,239.5,0.79,20-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
20-Feb-2018 - 00:00,200.71,421.28,0.0,22.97,73.31,34.9,76.9,99.11,115.24,48.37,2.04,16.22,0.37,6.01,0.68,31.14,57.33,744.65,235.33,0.93,21-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
21-Feb-2018 - 00:00,211.99,463.48,0.0,24.98,68.85,53.62,88.48,108.16,129.47,51.4,2.37,29.87,0.42,7.3,0.83,31.57,55.43,742.49,179.05,0.92,22-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
22-Feb-2018 - 00:00,194.19,377.05,0.0,25.44,66.31,47.23,53.86,93.08,93.3,58.77,1.69,22.43,0.36,6.51,0.27,31.55,59.28,741.53,175.74,0.79,23-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
23-Feb-2018 - 00:00,219.66,426.73,0.0,25.94,60.52,60.48,36.54,89.08,77.1,59.58,1.7,15.85,0.37,5.71,0.27,31.63,59.91,741.77,79.15,0.74,24-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
24-Feb-2018 - 00:00,178.06,371.8,0.0,25.86,56.6,30.38,16.45,80.56,56.23,55.08,1.4,11.86,0.3,4.84,0.16,31.53,60.47,743.76,126.15,1.02,25-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
25-Feb-2018 - 00:00,115.59,246.78,0.0,24.42,66.43,40.18,17.01,63.75,47.74,49.37,0.92,33.63,0.22,4.48,0.31,31.47,61.94,746.85,179.03,1.73,26-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
26-Feb-2018 - 00:00,65.16,120.89,0.0,23.21,80.0,21.92,10.81,62.12,41.83,42.14,0.58,17.71,0.11,4.46,0.09,30.88,63.66,744.74,264.61,2.34,27-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
27-Feb-2018 - 00:00,88.95,289.83,0.0,24.99,71.21,28.41,18.33,73.34,53.91,44.83,0.92,21.49,0.16,5.11,0.08,30.88,61.75,744.11,260.19,1.6,28-Feb-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
28-Feb-2018 - 00:00,201.16,336.67,0.0,25.8,64.53,44.38,29.01,83.81,68.16,56.5,1.22,34.53,0.29,6.4,0.56,31.16,63.76,744.33,217.08,1.17,01-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
01-Mar-2018 - 00:00,202.91,307.18,0.0,25.18,63.04,40.91,25.98,80.84,64.11,52.17,1.21,36.34,0.26,5.87,0.28,30.9,59.36,742.8,226.67,1.1,02-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
02-Mar-2018 - 00:00,460.23,299.66,0.0,26.28,72.34,30.78,49.24,80.16,82.68,57.26,1.92,46.95,0.32,5.72,0.11,30.88,60.13,741.15,233.84,1.06,03-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
03-Mar-2018 - 00:00,130.9,225.0,0.0,27.01,63.65,43.83,22.44,67.32,54.05,48.38,1.05,51.61,0.23,4.94,0.05,31.1,55.47,738.99,196.65,0.94,04-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
04-Mar-2018 - 00:00,132.83,238.75,0.0,25.31,68.31,39.4,21.48,63.74,51.38,41.76,0.96,44.94,0.23,4.7,0.11,31.02,56.59,740.53,212.66,1.49,05-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
05-Mar-2018 - 00:00,158.88,183.57,0.0,24.6,80.43,36.16,17.79,62.47,47.69,38.95,0.81,44.06,0.17,4.41,0.33,31.19,56.6,744.19,247.4,1.57,06-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
06-Mar-2018 - 00:00,134.28,177.17,0.0,24.2,80.99,27.23,11.67,65.41,44.28,37.53,0.73,36.57,0.13,4.64,0.27,30.89,56.74,744.89,264.68,1.85,07-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
07-Mar-2018 - 00:00,108.82,199.0,0.0,24.8,82.64,29.29,18.93,72.93,54.18,39.76,0.88,27.38,0.19,5.29,0.32,31.0,54.62,743.84,264.57,1.61,08-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
08-Mar-2018 - 00:00,249.31,479.68,0.0,25.7,70.89,38.26,90.83,94.31,124.0,50.26,2.43,27.39,0.44,6.2,0.9,30.99,57.0,744.82,118.27,0.75,09-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
09-Mar-2018 - 00:00,153.29,342.97,0.0,26.59,76.17,54.01,63.28,81.4,94.55,63.2,0.99,47.98,0.42,6.15,1.2,31.28,51.73,744.8,222.42,1.31,10-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
10-Mar-2018 - 00:00,76.0,207.47,0.0,27.04,82.74,38.61,15.55,65.95,47.73,60.87,0.81,46.34,0.17,5.04,0.52,31.53,48.27,743.73,256.33,1.93,11-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
11-Mar-2018 - 00:00,84.25,220.12,0.0,27.15,79.24,50.4,13.91,64.96,45.86,49.15,0.93,47.4,0.17,4.18,0.27,30.93,50.31,742.76,266.77,1.46,12-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
12-Mar-2018 - 00:00,110.18,275.93,0.0,28.31,78.4,44.5,14.56,72.0,50.13,52.43,1.01,69.15,0.19,4.71,0.28,31.09,51.52,742.74,248.97,1.42,13-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
13-Mar-2018 - 00:00,122.55,338.73,0.0,29.78,79.53,61.25,41.97,84.25,78.93,54.66,1.6,52.34,0.25,5.21,0.19,31.42,46.52,741.11,221.47,1.06,14-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
14-Mar-2018 - 00:00,129.8,424.88,0.0,28.91,67.84,32.87,40.97,84.43,78.22,53.44,1.7,34.47,0.31,5.19,0.19,31.16,43.55,739.33,161.74,0.89,15-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
15-Mar-2018 - 00:00,118.55,394.6,0.0,27.64,68.45,36.2,17.91,60.45,46.71,56.97,1.21,22.19,0.26,4.71,0.24,31.12,50.9,739.54,199.81,1.61,16-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
16-Mar-2018 - 00:00,159.22,373.86,0.0,26.57,69.5,68.13,15.47,63.37,46.29,50.24,1.11,49.27,0.26,3.96,0.4,30.57,51.72,740.79,195.23,1.53,17-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
17-Mar-2018 - 00:00,67.81,213.79,0.0,26.38,82.83,34.48,6.35,56.21,35.06,42.59,0.7,29.64,0.14,3.74,0.35,30.88,44.72,741.98,260.14,1.85,18-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
18-Mar-2018 - 00:00,90.78,228.56,0.0,27.08,82.67,42.68,5.28,60.4,36.42,43.15,0.86,52.38,0.18,3.67,0.31,31.07,42.46,743.28,250.2,1.62,19-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
19-Mar-2018 - 00:00,93.36,263.25,0.0,28.39,78.26,51.24,17.68,72.43,52.9,46.85,0.96,38.24,0.18,4.23,0.64,31.36,41.35,744.57,222.82,1.33,20-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
20-Mar-2018 - 00:00,135.74,363.73,0.0,29.49,72.73,46.05,40.38,94.04,82.83,51.06,1.59,40.42,0.27,5.41,0.33,31.06,44.09,741.69,184.74,0.88,21-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
21-Mar-2018 - 00:00,152.27,337.2,0.0,27.64,69.01,48.64,17.61,57.36,44.83,58.3,1.36,34.49,0.35,4.41,0.32,30.86,55.56,739.48,151.65,1.66,22-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
22-Mar-2018 - 00:00,123.32,222.9,0.0,25.9,76.18,39.48,5.2,42.0,25.94,45.61,1.03,32.68,0.17,3.06,0.29,29.86,58.8,740.68,164.59,1.75,23-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
23-Mar-2018 - 00:00,66.49,193.04,0.0,26.24,90.06,46.93,4.56,47.47,28.96,44.6,0.65,47.17,0.12,3.17,0.11,28.82,55.1,741.96,256.1,1.61,24-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
24-Mar-2018 - 00:00,75.84,229.31,0.0,27.75,91.51,39.58,4.52,47.1,28.73,46.07,0.78,43.31,0.14,3.58,0.11,29.11,52.36,744.32,261.64,1.86,25-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
25-Mar-2018 - 00:00,74.35,210.51,0.0,28.42,91.15,27.05,3.58,48.06,28.48,45.1,0.74,36.14,0.12,3.49,0.15,29.13,51.17,745.44,265.65,1.81,26-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
26-Mar-2018 - 00:00,83.52,245.17,0.0,29.31,90.38,42.31,6.5,60.54,37.49,45.75,0.84,52.04,0.16,3.53,0.08,28.94,46.91,743.75,267.4,1.74,27-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
27-Mar-2018 - 00:00,127.0,347.62,0.0,30.73,92.57,47.05,41.6,83.17,78.06,46.57,1.64,39.07,0.26,4.96,0.17,28.78,39.25,740.35,217.71,1.17,28-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
28-Mar-2018 - 00:00,133.29,402.03,0.0,31.71,90.12,47.15,127.11,76.92,144.25,57.93,2.25,73.31,0.41,5.36,0.14,28.81,38.91,739.54,211.44,1.56,29-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
29-Mar-2018 - 00:00,88.12,257.42,0.0,31.09,88.98,48.09,7.18,63.94,39.84,48.69,0.79,57.61,0.17,4.16,0.04,28.83,39.36,738.98,260.52,1.73,30-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
30-Mar-2018 - 00:00,91.47,288.34,0.0,31.13,91.6,39.58,8.93,78.18,48.85,46.59,1.0,54.55,0.18,3.99,0.22,28.83,39.35,736.69,238.52,1.61,31-Mar-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
31-Mar-2018 - 00:00,102.83,332.88,0.0,27.89,84.36,34.48,5.25,50.92,31.36,48.04,0.95,34.17,0.2,2.77,0.01,28.83,50.12,739.5,115.67,1.82,01-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
01-Apr-2018 - 00:00,70.31,221.71,0.0,29.3,85.59,18.07,3.03,44.53,26.14,46.05,0.87,37.63,0.15,2.5,0.03,28.79,49.27,741.02,125.85,1.62,02-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
02-Apr-2018 - 00:00,92.4,270.86,0.0,30.5,81.83,31.37,5.07,58.42,35.2,47.64,1.07,33.02,0.19,2.89,0.07,28.76,47.59,741.36,121.91,1.26,03-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
03-Apr-2018 - 00:00,94.56,272.82,0.0,32.24,97.9,33.79,10.07,53.4,36.18,47.47,0.85,38.72,0.18,2.78,0.02,28.89,45.18,739.81,139.44,1.23,04-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
04-Apr-2018 - 00:00,140.83,363.7,0.0,33.04,115.49,45.99,15.44,73.44,51.62,54.76,1.47,44.03,0.3,3.72,0.01,28.88,45.12,737.46,101.66,0.9,05-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
05-Apr-2018 - 00:00,176.93,430.72,0.0,33.02,108.51,54.96,29.91,79.94,66.85,63.1,1.77,47.31,0.47,4.65,0.13,29.04,45.58,736.17,120.39,1.05,06-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
06-Apr-2018 - 00:00,96.74,265.02,0.01,31.44,87.54,45.3,10.39,60.94,40.86,54.64,0.84,27.27,0.26,3.45,0.15,29.29,43.72,738.04,151.22,1.81,07-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
07-Apr-2018 - 00:00,44.28,147.08,0.0,29.42,126.32,23.41,3.82,41.67,25.27,50.58,0.41,30.33,0.13,2.39,0.02,29.23,51.76,740.53,137.56,1.68,08-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
08-Apr-2018 - 00:00,45.75,161.14,0.0,30.2,122.34,18.86,2.66,33.02,19.72,49.59,0.26,28.73,0.11,2.4,0.01,29.29,51.17,741.21,128.03,2.13,09-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
09-Apr-2018 - 00:00,54.5,156.52,0.03,27.42,86.68,21.1,35.36,51.95,55.73,50.76,1.31,18.72,0.14,2.67,0.13,29.15,62.41,742.46,141.19,1.69,10-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
10-Apr-2018 - 00:00,72.28,215.32,0.0,29.62,116.02,21.8,8.04,45.2,30.57,57.43,1.17,39.74,0.16,3.06,0.04,29.0,56.61,740.45,168.06,1.44,11-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
11-Apr-2018 - 00:00,41.32,127.43,0.0,27.3,105.06,20.71,3.73,34.69,21.48,50.56,0.79,28.31,0.11,2.29,0.02,28.94,61.38,740.46,116.66,2.11,12-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
12-Apr-2018 - 00:00,57.21,160.4,0.02,29.25,127.25,31.24,19.32,56.17,45.58,45.0,1.36,39.41,0.14,3.33,0.17,28.95,50.75,739.55,190.46,1.37,13-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
13-Apr-2018 - 00:00,96.52,244.41,0.0,30.58,138.0,57.68,32.83,70.06,63.96,47.37,1.63,66.88,0.23,4.42,0.59,29.08,34.19,740.52,215.98,1.23,14-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
