from date,PM2.5,PM10,RF,AT,SR,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,Temp,RH,BP,WD,WS,to date,station
01-Jan-2018 - 00:00,488.22,612.38,0.0,13.97,45.93,47.53,44.46,73.58,76.88,57.75,3.22,28.48,0.77,6.88,1.7,31.64,87.99,746.05,86.61,0.87,02-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
02-Jan-2018 - 00:00,390.0,529.35,0.0,12.38,43.97,28.44,35.48,69.84,68.19,46.17,2.84,24.76,0.59,6.39,1.56,31.83,89.3,746.75,120.31,0.97,03-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
03-Jan-2018 - 00:00,340.4,497.79,0.0,13.46,52.22,29.65,31.56,70.45,65.42,47.93,2.55,29.86,0.54,6.97,1.51,31.79,83.46,747.2,245.43,0.96,04-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
04-Jan-2018 - 00:00,426.48,560.94,0.0,12.83,51.3,18.44,36.47,87.55,78.04,57.96,2.84,14.82,0.58,6.71,1.32,31.99,86.08,747.33,153.14,0.97,05-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
05-Jan-2018 - 00:00,368.81,506.73,0.0,12.37,57.47,10.75,46.15,78.43,82.14,63.17,2.89,16.54,0.49,5.7,1.29,31.7,85.29,746.95,142.68,0.94,06-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
06-Jan-2018 - 00:00,488.5,568.28,0.0,13.94,59.21,29.43,100.56,107.38,138.91,68.21,3.91,24.7,0.78,7.66,2.03,31.52,77.9,745.79,215.41,0.9,07-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
07-Jan-2018 - 00:00,273.21,394.61,0.0,15.4,73.82,16.48,30.27,97.93,79.6,55.99,2.1,19.9,0.4,5.73,1.11,31.49,68.75,746.54,269.66,1.29,08-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
08-Jan-2018 - 00:00,216.59,362.25,0.0,16.16,74.86,23.25,48.7,93.92,94.16,51.71,2.31,24.27,0.38,5.93,1.56,31.51,61.4,748.56,279.03,1.15,09-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
09-Jan-2018 - 00:00,329.18,485.41,0.0,16.36,70.94,32.9,77.91,107.11,121.72,61.77,2.87,27.02,0.57,7.45,2.48,31.55,65.14,750.59,286.15,0.99,10-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
10-Jan-2018 - 00:00,243.85,390.47,0.0,17.31,73.9,27.81,20.7,99.51,72.71,59.34,1.93,29.58,0.39,6.61,1.44,31.61,61.19,749.9,270.84,1.43,11-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
11-Jan-2018 - 00:00,204.72,342.0,0.0,17.59,75.55,24.78,15.94,90.2,64.13,52.65,1.78,30.2,0.37,5.94,1.06,31.66,59.86,748.38,275.64,1.49,12-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
12-Jan-2018 - 00:00,244.85,409.99,0.0,18.13,67.03,38.86,74.16,103.01,116.89,56.78,2.75,40.21,0.45,6.58,1.68,31.58,59.85,747.38,245.06,1.11,13-Jan-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
