from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
24-Jan-2018 - 00:00,,,,,,,,,,139.01,88.82,12.37,10.56,22.87,4.01,,25.01,0.0,0.0,0.0,0.0,25-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
25-Jan-2018 - 00:00,,,0.0,15.48,11.77,79.14,181.92,983.65,,124.65,82.28,20.46,13.08,33.53,2.93,,17.1,0.0,0.0,0.0,0.0,26-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
26-Jan-2018 - 00:00,,,0.0,28.65,10.73,78.24,201.44,984.42,,156.23,98.24,12.15,8.7,20.86,1.38,,16.47,0.0,0.0,0.0,0.0,27-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
27-Jan-2018 - 00:00,,,0.0,23.26,11.84,68.96,222.81,984.42,14.0,214.34,125.34,11.71,10.9,22.61,1.24,,40.18,0.0,0.0,0.0,0.0,28-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
28-Jan-2018 - 00:00,1.25,312.83,0.4,22.5,12.79,63.94,253.5,985.32,14.0,160.74,95.61,15.67,11.82,27.49,1.63,,63.8,0.0,0.0,0.0,0.0,29-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
29-Jan-2018 - 00:00,0.75,137.0,0.35,18.99,14.46,56.67,255.96,986.7,,192.13,107.82,16.79,11.8,28.58,1.71,,68.79,0.0,0.0,0.0,0.0,30-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
30-Jan-2018 - 00:00,,,0.0,31.08,21.75,29.94,383.83,985.54,14.0,153.86,76.48,11.13,7.8,18.93,1.43,,74.07,0.0,0.0,0.0,0.0,31-Jan-2018 - 00:00,"Pusa, Delhi - IMD"
31-Jan-2018 - 00:00,,,,,,,,,,163.87,77.59,15.01,8.01,23.02,1.25,,85.54,0.0,0.0,0.0,0.0,01-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
01-Feb-2018 - 00:00,,,,,,,,,,196.04,92.56,12.57,5.72,18.29,1.4,,67.97,0.0,0.0,0.0,0.0,02-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
02-Feb-2018 - 00:00,,,,,,,,,,165.42,72.91,16.81,7.21,24.01,1.47,,65.29,0.0,0.0,0.0,0.0,03-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
03-Feb-2018 - 00:00,,,,,,,,,,137.28,71.39,10.76,7.52,18.28,1.31,,67.02,0.0,0.0,0.0,0.0,04-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
04-Feb-2018 - 00:00,,,,,,,,,,152.57,67.36,10.52,7.13,17.65,1.29,,63.45,0.0,0.0,0.0,0.0,05-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
05-Feb-2018 - 00:00,,,,,,,,,,186.22,89.09,13.17,10.78,23.94,1.58,,72.07,0.0,0.0,0.0,0.0,06-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
06-Feb-2018 - 00:00,,,,,,,,,,166.46,80.14,11.94,11.4,23.32,1.55,,75.89,0.0,0.0,0.0,0.0,07-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
07-Feb-2018 - 00:00,,,,,,,,,,141.05,62.09,10.65,10.19,20.85,1.33,,90.21,0.0,0.0,0.0,0.0,08-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
08-Feb-2018 - 00:00,,,,,,,,,,211.82,101.82,16.17,16.83,32.55,1.55,37.69,60.62,0.0,0.0,0.0,0.0,09-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
09-Feb-2018 - 00:00,,,,,,,,,,210.73,115.46,14.98,20.52,33.29,1.75,,82.56,0.0,0.0,0.0,0.0,10-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
10-Feb-2018 - 00:00,,,,,,,,,,183.13,92.88,17.42,21.66,39.07,2.15,,93.32,0.0,0.0,0.0,0.0,11-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
11-Feb-2018 - 00:00,,,,,,,,,,137.57,68.53,4.54,11.37,15.91,1.3,,62.84,0.0,0.0,0.0,0.0,12-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
12-Feb-2018 - 00:00,,,,,,,,,,77.52,41.23,1.35,7.79,9.13,0.88,,111.26,0.0,0.0,0.0,0.0,13-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
13-Feb-2018 - 00:00,,,,,,,,,,87.06,58.68,6.76,15.52,22.26,1.1,,82.65,0.0,0.0,0.0,0.0,14-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
14-Feb-2018 - 00:00,,,,,,,,,,63.27,52.39,3.41,15.18,18.63,1.0,,107.07,0.0,0.0,0.0,0.0,15-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
15-Feb-2018 - 00:00,,,,,,,,,,94.73,69.32,3.25,15.68,18.31,1.12,,110.73,0.0,0.0,0.0,0.0,16-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
16-Feb-2018 - 00:00,,,,,,,,,,128.98,70.55,3.92,14.77,18.65,1.34,,40.44,0.0,0.0,0.0,0.0,17-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
17-Feb-2018 - 00:00,,,,,,,,,,150.18,75.76,2.47,10.01,9.54,1.46,,95.44,0.0,0.0,0.0,0.0,18-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
18-Feb-2018 - 00:00,,,,,,,,,,109.43,62.9,24.07,29.09,36.88,1.52,,83.28,0.0,0.0,0.0,0.0,19-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
19-Feb-2018 - 00:00,,,,,,,,,,187.6,89.52,17.66,24.74,42.4,2.14,,91.66,0.0,0.0,0.0,0.0,20-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
20-Feb-2018 - 00:00,,,,,,,,,,199.11,93.6,14.77,20.74,32.68,2.13,,101.96,0.0,0.0,0.0,0.0,21-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
21-Feb-2018 - 00:00,,,,,,,,,,178.33,94.48,29.96,33.67,61.39,2.42,,101.13,0.0,0.0,0.0,0.0,22-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
22-Feb-2018 - 00:00,,,,,,,,,,186.13,77.85,18.27,23.6,40.76,1.97,,82.57,0.45,0.0,0.0,0.0,23-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
23-Feb-2018 - 00:00,,,,,,,,,,216.18,94.66,4.91,13.66,14.61,2.11,,92.3,1.01,0.0,0.0,0.0,24-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
24-Feb-2018 - 00:00,,,,,,,,,,227.84,100.19,4.73,12.2,12.57,2.23,,143.75,2.2,0.0,0.0,0.0,25-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
25-Feb-2018 - 00:00,,,,,,,,,,129.86,54.1,3.7,11.8,14.16,1.93,,98.25,1.99,0.0,0.0,0.0,26-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
26-Feb-2018 - 00:00,,,,,,,,,,113.0,30.15,2.51,8.22,4.55,1.68,,100.51,1.43,0.0,0.0,0.0,27-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
