from date,CH4,PM2.5,RH,SR,VWS,WD,WS,CO,NH3,NOx,NO,NO2,SO2,to date,BP,THC,station
01-Jan-2018 - 00:00,0.0,48.79,80.9,,0.22,247.98,0.62,0.0,163.54,14.08,13.82,10.78,3.43,02-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
02-Jan-2018 - 00:00,166.1,83.57,79.35,,0.22,155.06,0.73,0.0,186.26,16.72,16.25,13.24,5.75,03-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
03-Jan-2018 - 00:00,0.0,78.83,78.47,,0.22,141.23,0.92,0.0,221.77,20.55,16.92,18.96,6.89,04-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
04-Jan-2018 - 00:00,0.0,209.23,73.69,,0.23,62.45,1.26,0.0,162.08,19.54,14.01,21.18,18.7,05-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
05-Jan-2018 - 00:00,144.42,89.65,65.0,,0.22,105.54,1.08,0.0,205.38,19.12,14.9,19.28,30.47,06-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
06-Jan-2018 - 00:00,206.02,83.18,65.79,,0.22,114.49,1.04,0.0,99.73,19.41,12.13,20.03,63.59,07-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
07-Jan-2018 - 00:00,205.35,69.57,64.39,,0.22,114.35,1.13,0.0,119.52,14.26,12.12,12.44,27.59,08-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
08-Jan-2018 - 00:00,246.55,72.58,78.28,,0.23,117.66,1.16,0.0,132.34,15.35,12.99,13.35,21.74,09-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
09-Jan-2018 - 00:00,0.0,63.3,86.21,,0.22,54.36,1.44,0.2,143.8,16.25,13.67,14.82,22.35,10-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
10-Jan-2018 - 00:00,0.0,64.38,99.03,,0.23,199.42,0.86,0.43,160.85,12.59,11.31,10.58,6.63,11-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
11-Jan-2018 - 00:00,0.0,76.6,95.65,,0.22,145.75,0.98,0.41,76.35,13.82,11.67,12.32,12.42,12-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
12-Jan-2018 - 00:00,0.0,88.09,89.46,,0.22,159.82,0.86,0.41,115.01,14.65,12.09,13.35,21.74,13-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
13-Jan-2018 - 00:00,62.42,291.3,91.81,,0.22,136.77,0.87,0.71,120.31,25.01,22.46,18.91,42.5,14-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
14-Jan-2018 - 00:00,0.0,99.67,87.15,,0.23,152.7,0.97,0.44,109.37,11.33,12.01,7.69,45.6,15-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
15-Jan-2018 - 00:00,21.27,77.47,86.64,,0.23,140.25,0.84,0.42,110.84,10.28,12.01,6.05,22.28,16-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
16-Jan-2018 - 00:00,0.0,88.72,86.68,,0.22,124.01,0.85,0.39,102.26,10.66,11.44,6.61,24.06,17-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
17-Jan-2018 - 00:00,103.86,83.37,74.24,,0.22,98.47,1.03,0.44,105.21,13.95,11.89,13.52,69.26,18-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
18-Jan-2018 - 00:00,215.74,80.86,69.57,,0.21,92.88,1.15,0.44,92.93,19.21,16.1,18.47,48.28,19-Jan-2018 - 00:00,965.47,,"Manali, Chennai - CPCB"
19-Jan-2018 - 00:00,145.28,89.43,65.29,,0.22,109.54,1.06,0.51,110.28,17.69,12.48,19.95,66.01,20-Jan-2018 - 00:00,988.33,,"Manali, Chennai - CPCB"
20-Jan-2018 - 00:00,0.0,74.46,63.61,,0.22,177.77,0.91,0.64,106.92,18.73,11.55,24.31,70.01,21-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
21-Jan-2018 - 00:00,248.34,101.65,76.65,,0.22,161.5,0.98,0.6,104.06,18.04,13.19,20.64,62.2,22-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
22-Jan-2018 - 00:00,361.2,71.98,83.16,,0.23,147.86,0.9,0.61,103.18,15.36,12.43,18.13,11.65,23-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
23-Jan-2018 - 00:00,294.84,140.02,82.18,,0.22,127.18,0.95,0.6,111.07,19.99,15.69,20.66,7.93,24-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
24-Jan-2018 - 00:00,288.65,126.49,88.24,,0.23,139.18,0.82,0.68,95.05,21.61,15.42,25.23,7.92,25-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
25-Jan-2018 - 00:00,124.62,115.85,90.82,,0.22,137.76,0.97,0.71,105.42,21.76,16.38,23.7,8.15,26-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
26-Jan-2018 - 00:00,186.71,103.37,79.95,,0.23,112.96,1.13,0.65,117.36,16.9,12.49,19.67,8.36,27-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
27-Jan-2018 - 00:00,132.88,104.13,81.64,,0.22,113.7,1.0,0.71,103.89,18.83,13.16,22.18,9.07,28-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
28-Jan-2018 - 00:00,185.66,95.88,78.32,,0.23,101.84,1.28,0.65,117.82,14.05,11.63,15.23,8.4,29-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
29-Jan-2018 - 00:00,206.55,92.78,81.06,,0.22,126.46,1.28,0.68,114.11,14.87,13.43,15.2,9.39,30-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
30-Jan-2018 - 00:00,419.35,95.86,78.1,,0.23,135.71,1.13,0.65,122.98,17.5,12.21,21.72,8.66,31-Jan-2018 - 00:00,,,"Manali, Chennai - CPCB"
31-Jan-2018 - 00:00,575.15,105.93,73.0,,0.23,129.02,0.97,0.7,96.32,22.68,16.14,25.29,7.86,01-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
01-Feb-2018 - 00:00,0.0,65.74,68.61,,0.22,154.5,0.68,0.7,90.56,18.55,17.5,18.09,9.19,02-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
02-Feb-2018 - 00:00,327.93,98.08,72.91,,0.23,181.23,0.72,0.7,95.21,22.61,20.93,20.01,7.73,03-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
03-Feb-2018 - 00:00,307.59,114.67,68.1,,0.23,132.11,0.83,0.65,83.61,22.39,20.89,18.18,6.78,04-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
04-Feb-2018 - 00:00,0.0,60.6,54.09,,0.23,48.76,1.08,0.65,112.48,13.79,14.05,12.16,7.91,05-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
05-Feb-2018 - 00:00,0.0,55.26,64.05,,0.22,81.72,1.17,0.74,112.05,17.36,12.12,22.23,7.73,06-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
06-Feb-2018 - 00:00,62.29,64.76,93.39,,0.22,149.75,1.07,0.67,99.78,19.18,9.08,30.12,8.02,07-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
07-Feb-2018 - 00:00,0.0,50.6,95.8,,0.22,122.35,1.02,0.72,122.81,15.44,8.26,24.66,7.52,08-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
08-Feb-2018 - 00:00,0.0,45.63,89.3,,0.22,139.97,0.84,0.73,104.94,16.26,8.73,26.28,8.55,09-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
09-Feb-2018 - 00:00,0.0,98.37,93.88,,0.22,153.85,0.79,0.78,106.45,20.67,19.05,20.06,6.77,10-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
10-Feb-2018 - 00:00,0.0,89.27,87.28,,0.23,143.19,0.93,0.65,103.91,16.84,10.79,23.53,8.27,11-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
11-Feb-2018 - 00:00,0.0,78.49,83.59,,0.23,77.85,0.89,0.69,119.13,10.76,8.77,14.5,8.78,12-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
12-Feb-2018 - 00:00,255.36,73.63,82.29,,0.23,49.52,1.27,0.69,114.98,12.61,7.99,17.94,7.41,13-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
