from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Temp,AT,WS,WD,RH,BP,to date,station
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
01-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,02-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
02-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,03-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
03-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,04-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
04-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,05-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
05-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,06-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
06-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,07-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
07-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,08-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
08-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,09-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
09-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,10-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
10-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,11-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
11-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,12-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
12-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,13-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
13-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,14-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
14-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,15-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
15-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,16-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
16-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,17-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
17-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,18-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
18-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,19-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
19-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,20-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
20-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,21-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
21-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,22-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
22-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,23-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
23-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,24-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
24-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,25-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
25-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,26-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
26-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,27-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
27-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,28-Feb-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
28-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,01-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
01-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,02-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
02-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,03-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
03-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,04-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
04-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,05-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
05-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,06-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
06-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,07-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
07-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,08-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
08-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,09-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
09-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,10-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
10-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,11-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
11-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,12-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
12-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,13-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
13-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,14-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
14-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,15-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
15-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,16-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
16-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,17-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
17-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,18-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
18-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,19-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
19-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,20-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
20-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,21-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
21-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,22-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
22-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,23-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
23-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,24-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
24-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,25-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
25-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,26-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
26-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,27-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
27-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,28-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
28-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,29-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
29-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,30-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
30-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,31-Mar-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
31-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,01-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
01-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,02-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
02-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,03-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
03-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,04-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
04-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,05-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
05-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,06-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
06-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,07-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
07-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,08-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
08-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,09-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
09-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,10-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
10-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,11-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
11-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,12-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
12-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,13-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
13-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,14-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
14-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,15-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
15-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,16-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
16-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,17-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
17-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,18-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
18-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,19-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
19-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,20-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
20-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,21-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
21-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,22-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
22-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,23-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
23-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,24-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
24-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,25-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
25-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,26-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
26-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,27-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
27-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,28-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
28-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,29-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
29-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,30-Apr-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
30-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,01-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
01-May-2018 - 00:00,,,,,,,,,,,,,,,,,,02-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
02-May-2018 - 00:00,,,,,,,,,,,,,,,,,,03-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
03-May-2018 - 00:00,,,,,,,,,,,,,,,,,,04-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
04-May-2018 - 00:00,,,,,,,,,,,,,,,,,,05-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
05-May-2018 - 00:00,,,,,,,,,,,,,,,,,,06-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
06-May-2018 - 00:00,,,,,,,,,,,,,,,,,,07-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
07-May-2018 - 00:00,,,,,,,,,,,,,,,,,,08-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
08-May-2018 - 00:00,,,,,,,,,,,,,,,,,,09-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
09-May-2018 - 00:00,,,,,,,,,,,,,,,,,,10-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
10-May-2018 - 00:00,,,,,,,,,,,,,,,,,,11-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
11-May-2018 - 00:00,,,,,,,,,,,,,,,,,,12-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
12-May-2018 - 00:00,,,,,,,,,,,,,,,,,,13-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
13-May-2018 - 00:00,,,,,,,,,,,,,,,,,,14-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
14-May-2018 - 00:00,,,,,,,,,,,,,,,,,,15-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
15-May-2018 - 00:00,,,,,,,,,,,,,,,,,,16-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
16-May-2018 - 00:00,,,,,,,,,,,,,,,,,,17-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
17-May-2018 - 00:00,,,,,,,,,,,,,,,,,,18-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
18-May-2018 - 00:00,,,,,,,,,,,,,,,,,,19-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
19-May-2018 - 00:00,,,,,,,,,,,,,,,,,,20-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
20-May-2018 - 00:00,,,,,,,,,,,,,,,,,,21-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
21-May-2018 - 00:00,,,,,,,,,,,,,,,,,,22-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
22-May-2018 - 00:00,,,,,,,,,,,,,,,,,,23-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
23-May-2018 - 00:00,,,,,,,,,,,,,,,,,,24-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
24-May-2018 - 00:00,,,,,,,,,,,,,,,,,,25-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
25-May-2018 - 00:00,,,,,,,,,,,,,,,,,,26-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
26-May-2018 - 00:00,,,,,,,,,,,,,,,,,,27-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
27-May-2018 - 00:00,,,,,,,,,,,,,,,,,,28-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
28-May-2018 - 00:00,,,,,,,,,,,,,,,,,,29-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
29-May-2018 - 00:00,,,,,,,,,,,,,,,,,,30-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
30-May-2018 - 00:00,,,,,,,,,,,,,,,,,,31-May-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
31-May-2018 - 00:00,,,,,,,,,,,,,,,,,,01-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
01-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,02-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
02-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,03-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
03-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,04-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
04-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,05-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
05-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,06-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
06-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,07-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
07-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,08-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
08-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,09-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
09-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,10-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
10-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,11-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
11-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,12-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
12-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,13-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
13-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,14-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
14-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,15-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
15-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,16-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
16-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,17-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
17-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,18-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
18-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,19-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
19-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,20-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
20-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,21-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
21-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,22-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
22-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,23-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
23-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,24-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
24-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,25-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
25-Jun-2018 - 00:00,30.3,25.6,60.0,64.9,6.3,,10.98,36.0,117.0,1.8,0.2,23.8,27.9,3.4,222.0,62.0,702.0,26-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
26-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,27-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
27-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,28-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
28-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,29-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
29-Jun-2018 - 00:00,38.08,22.7,108.02,108.09,7.35,,6.05,31.58,113.08,2.09,3.91,23.28,24.63,1.5,208.5,78.54,702.42,30-Jun-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
30-Jun-2018 - 00:00,33.98,24.13,89.99,91.24,8.18,,8.5,28.05,104.3,1.69,3.77,26.62,25.39,1.83,220.0,71.34,702.71,01-Jul-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
01-Jul-2018 - 00:00,28.11,22.58,57.1,61.37,9.3,0.64,8.38,30.48,98.22,1.33,2.47,25.92,25.68,1.65,212.97,72.01,702.81,02-Jul-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
02-Jul-2018 - 00:00,25.06,25.94,65.64,66.69,8.33,1.14,8.28,26.57,97.45,1.33,3.05,26.97,25.89,2.21,213.33,68.52,702.66,03-Jul-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
03-Jul-2018 - 00:00,23.2,24.49,88.04,83.92,9.55,1.6,6.99,38.1,114.17,1.69,2.7,27.73,25.61,2.24,219.38,68.94,703.59,04-Jul-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
04-Jul-2018 - 00:00,20.01,24.01,81.88,77.21,8.12,1.41,6.37,29.61,116.99,1.52,3.08,27.26,25.39,2.57,220.36,68.32,704.31,05-Jul-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
05-Jul-2018 - 00:00,24.34,22.62,80.87,78.7,10.56,1.31,6.4,28.39,130.86,1.38,3.71,26.45,25.59,2.72,222.49,64.96,703.79,06-Jul-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
06-Jul-2018 - 00:00,19.94,26.28,75.36,71.87,7.07,1.49,6.53,25.86,105.55,1.44,2.95,27.94,24.45,2.67,219.92,74.68,702.78,07-Jul-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
07-Jul-2018 - 00:00,19.3,24.88,59.12,58.33,6.35,1.16,6.69,20.62,75.91,1.36,2.12,28.07,24.22,2.62,216.8,77.2,701.52,08-Jul-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
08-Jul-2018 - 00:00,17.88,24.1,64.51,61.97,7.61,1.21,6.81,21.97,78.08,1.33,1.81,28.02,23.09,2.21,218.33,81.88,700.97,09-Jul-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
09-Jul-2018 - 00:00,21.12,22.14,99.34,91.99,8.9,1.75,6.25,28.44,105.24,1.55,3.25,26.08,23.56,2.17,220.46,81.17,700.97,10-Jul-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
10-Jul-2018 - 00:00,25.0,11.77,73.77,73.27,9.69,1.72,8.06,25.77,100.41,1.34,3.63,18.09,23.37,2.15,214.93,81.42,701.84,11-Jul-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
11-Jul-2018 - 00:00,23.07,11.69,74.86,73.12,11.83,1.7,7.31,23.15,108.73,1.2,3.58,18.48,23.5,2.42,215.01,79.73,702.28,12-Jul-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
12-Jul-2018 - 00:00,21.29,16.35,72.82,70.53,10.07,1.57,6.85,24.42,111.95,1.24,2.2,22.0,23.24,2.79,218.83,76.16,701.36,13-Jul-2018 - 00:00,"Silk Board, Bengaluru - KSPCB"
